(1 2527497.5),(2 4204563.5),(3 4203550.5),(4 5729059),(5 7011605),(6 6595223.5),(7 6594647.5),(8 6082623.5),(9 4392540.5),(10 4805742.5),(11 4808553.5),(12 4850272.5),(13 6252695.5),(14 7016127.5),(15 7018772),(16 7430822.5),(17 8727354),(18 7907173),(19 7908329),(20 6614429),(21 5161840.5),(22 5078419.5),(23 5078355.5),(24 4784210),(25 6690466),(26 8014526.5),(27 8020030.5),(28 7813134.5),(29 8928397),(30 7906889.5),(31 7903282),(32 7578759),(33 8415736),(34 8566309),(35 8572513),(36 8246288.5),(37 9184814),(38 9926944),(39 9927247),(40 9758095),(41 8380917),(42 7331811.5),(43 7331783.5),(44 6725338.5),(45 6818247),(46 6813632.5),
(1 2178168.5),(2 3828314),(3 3828097.3),(4 5157334.5),(5 5926625.5),(6 5393212),(7 5392548.5),(8 4625280.5),(9 3730666.8),(10 4067129.3),(11 4069772.8),(12 4158571.3),(13 4896801.5),(14 5168714.5),(15 5169612.5),(16 5232341.5),(17 5142095),(18 5111344),(19 5112124.5),(20 4450969.5),(21 4673272.5),(22 4626352),(23 4628512.5),(24 4570468.5),(25 6396492),(26 7352081.5),(27 7354642.5),(28 7254244.5),(29 8635357),(30 9094977),(31 9092777),(32 8673505),(33 6363255.5),(34 6693344.5),(35 6691732),(36 6939052),(37 6555083.5),(38 7297228),(39 7295822.5),(40 7129632.5),(41 8151438.5),(42 7759090),(43 7757874.5),(44 6885591.5),(45 7309934.5),(46 7305910.5),
(1 3077440.3),(2 5104285),(3 5106765),(4 5891586.5),(5 6440013.5),(6 6572738),(7 6574051),(8 5758244),(9 4264761.5),(10 3638886.8),(11 3642252.3),(12 3803035.8),(13 5212045.5),(14 5801989),(15 5803924),(16 5492830),(17 6061831.5),(18 6150169.5),(19 6154006),(20 5789253),(21 5193556),(22 4638710),(23 4637052),(24 4504347),(25 6239255),(26 6721655),(27 6721524),(28 6716766.5),(29 7283510.5),(30 6618382),(31 6618871.5),(32 5447557),(33 6221979),(34 6544832),(35 6537049.5),(36 6451874),(37 6465691),(38 6386563),(39 6385860.5),(40 7241111),(41 6796088.5),(42 6095977),(43 6096074),(44 5288308),(45 5697554),(46 5696132),
(1 2528244.8),(2 3687879.8),(3 3688562.5),(4 4815434),(5 5520843.5),(6 5267411),(7 5270676),(8 4620983),(9 3806051),(10 3612344.3),(11 3614234),(12 3298209.3),(13 5230861),(14 6004578.5),(15 6004373),(16 5742706),(17 5369598),(18 5057952.5),(19 5055505),(20 4848604),(21 4897942),(22 4279736),(23 4279571),(24 4201127.5),(25 5400231.5),(26 5966692),(27 5966381.5),(28 6414651),(29 6221844.5),(30 6562280.5),(31 6567430),(32 5258784.5),(33 5775796),(34 6414622),(35 6415003.5),(36 6048711.5),(37 6709126),(38 6938365),(39 6937542),(40 7530763.5),(41 6090780),(42 5846440.5),(43 5849175),(44 5064615.5),(45 4738555.5),(46 4742282.5),
(1 2530184),(2 3851510.5),(3 3855979.3),(4 4858937),(5 5543338.5),(6 5121078),(7 5121867.5),(8 4603742),(9 3789513.8),(10 3104523.5),(11 3104845),(12 3241435),(13 5447896.5),(14 6009166),(15 6009059.5),(16 5746691.5),(17 5365692),(18 4477024.5),(19 4479285.5),(20 3952911.5),(21 3722404.3),(22 3446482.8),(23 3451667.5),(24 3929414.8),(25 5537406),(26 5931648.5),(27 5932499.5),(28 4799046),(29 5415353.5),(30 5841798.5),(31 5844141),(32 5401674.5),(33 5341053.5),(34 5681266.5),(35 5681622),(36 6001491.5),(37 6813427),(38 7065850),(39 7067833),(40 7291116),(41 5670192.5),(42 5650752),(43 5656863),(44 5475776),(45 5321486),(46 5319432.5),
(1 2431597.3),(2 3559386.5),(3 3557493.5),(4 3721831.3),(5 3734392),(6 3920105),(7 3918635),(8 3623746.3),(9 2679744.5),(10 2487410.3),(11 2488164.8),(12 2208719.3),(13 3336839),(14 3482800.3),(15 3483356.3),(16 3008595.8),(17 3501459.3),(18 3674665.5),(19 3676081.3),(20 3717267),(21 3118475),(22 2970604.8),(23 2974672),(24 3198439),(25 3997939.3),(26 4022137.5),(27 4022360),(28 3969128.5),(29 4432551.5),(30 4268821),(31 4265353),(32 4525882.5),(33 4457853),(34 4837168),(35 4836381),(36 4252127.5),(37 4412117.5),(38 4324727.5),(39 4322846),(40 4187655.8),(41 4401539.5),(42 4325270),(43 4323201.5),(44 4551155),(45 5471722.5),(46 5467560.5),
(1 2079843.8),(2 2954643.8),(3 2956141.5),(4 3461448.3),(5 3324513),(6 3366089.8),(7 3366758.3),(8 3329502.3),(9 2982874.5),(10 2869438.5),(11 2866312.3),(12 2902936),(13 2923306.3),(14 3482282.8),(15 3484832.8),(16 3454796.3),(17 3615423),(18 3592885.3),(19 3593645),(20 3925085.8),(21 3162968.8),(22 3075792.8),(23 3079386.5),(24 3328463),(25 3262461),(26 3516438.8),(27 3519380.3),(28 3119734.8),(29 2958779.3),(30 3684538),(31 3682699),(32 3901554),(33 3857618.3),(34 3714258.3),(35 3713802.8),(36 3042250.8),(37 3696576.8),(38 3565493.3),(39 3561455.8),(40 3839529.5),(41 3402833.5),(42 3257921.3),(43 3254630),(44 3122016),(45 3416162),(46 3419425),
(1 2075524.1),(2 2303239.3),(3 2300856.3),(4 2573394.8),(5 3423667.8),(6 3301432.5),(7 3303534),(8 2683633),(9 2224454.5),(10 1724997.9),(11 1727290.4),(12 2144204.5),(13 2565020.8),(14 2665688),(15 2665065),(16 2600408.3),(17 3112366),(18 2502908),(19 2503322.3),(20 2303300.5),(21 2474794.3),(22 2679308.5),(23 2678566),(24 3015635),(25 3158345.8),(26 3081353.5),(27 3081643.3),(28 3130717.5),(29 3197160),(30 3245658),(31 3243122.5),(32 2874677.3),(33 2536428.8),(34 2851509.5),(35 2852361.3),(36 2571328.5),(37 2667070.3),(38 3074835.8),(39 3074010.3),(40 3190769.5),(41 2672027.3),(42 3187030.5),(43 3187689.8),(44 2970484.8),(45 2509070.8),(46 2509309.5),
(1 1970888),(2 2376429.8),(3 2376447.5),(4 2714269.3),(5 3518814.3),(6 3318720.3),(7 3322235.5),(8 2891749),(9 2401021),(10 2130550),(11 2127459),(12 2386105.8),(13 2791160.8),(14 2349516.5),(15 2347451.3),(16 2188362),(17 3250958.5),(18 2966353.5),(19 2965487),(20 2901561),(21 3212186.8),(22 3233312.3),(23 3234201.5),(24 2852860.5),(25 3372970.8),(26 3701603.5),(27 3702673.8),(28 3359391.5),(29 3022059.3),(30 3024823.3),(31 3023977.5),(32 3098808.8),(33 3179847),(34 3447566.5),(35 3446540),(36 3198844.5),(37 2858835.8),(38 3139905.3),(39 3142765.5),(40 3154702.5),(41 2691888),(42 2673805),(43 2674488.3),(44 2879061.5),(45 2914695.5),(46 2915457),
(1 1673523.3),(2 2273700.5),(3 2273668),(4 2410716.8),(5 2258603.5),(6 2240555),(7 2242030.3),(8 1966032.9),(9 1739660),(10 1657446.4),(11 1656982),(12 1915122.6),(13 2441251),(14 2854302.3),(15 2857381.5),(16 2381118.3),(17 2626498.3),(18 2463603.5),(19 2463355),(20 2519623.5),(21 2265232.5),(22 2138222.8),(23 2138616.3),(24 2524129),(25 2444820.8),(26 2547491),(27 2546898.8),(28 2667941.5),(29 2166775.3),(30 2152449.3),(31 2150311.3),(32 2486735.3),(33 2481682.5),(34 2906077.5),(35 2906952.8),(36 2395098.5),(37 3096621.8),(38 2881689.5),(39 2881350.3),(40 2739695.3),(41 2255493),(42 2340316),(43 2340938.3),(44 2428158.3),(45 2870697),(46 2872165.5),
(1 1728150.4),(2 2427817.3),(3 2427681.8),(4 2751370.5),(5 2754514.3),(6 2533016.3),(7 2537402),(8 2326973),(9 2163651),(10 1846172.4),(11 1847034.6),(12 1746219.8),(13 2157839),(14 2314493.3),(15 2316135.3),(16 2290205),(17 2119246.8),(18 2337028.5),(19 2334243.3),(20 2124643.3),(21 2235963),(22 2296748),(23 2297704.3),(24 2670231.8),(25 2957887.5),(26 2602600.8),(27 2603544.3),(28 2606486),(29 2986648.5),(30 2713916.8),(31 2714446.8),(32 2268957.8),(33 2154341.5),(34 2459263.3),(35 2458159.8),(36 2536297),(37 2686650.3),(38 2670921.3),(39 2669454.8),(40 2882233.3),(41 2506663.3),(42 2622191.5),(43 2620717.8),(44 2626927),(45 2866031),(46 2865010.5),
(1 1728691.8),(2 2237242),(3 2237462.5),(4 2499201.5),(5 2061066.6),(6 1980959.4),(7 1985838.5),(8 1785453.4),(9 1586670.8),(10 1578734),(11 1578584.1),(12 1749565.8),(13 2133288.3),(14 2385250.5),(15 2384444),(16 2463319.3),(17 2405755.5),(18 2236127.3),(19 2238756.3),(20 2099080.3),(21 2102329.3),(22 2477970.5),(23 2478961.8),(24 2389087),(25 2469341),(26 2413282),(27 2413734.3),(28 2498798),(29 2616530.8),(30 2874699),(31 2872728.3),(32 2548713.8),(33 2452869),(34 2695167.3),(35 2695920),(36 2665638),(37 2452338),(38 2507778.3),(39 2506778.3),(40 2647417),(41 2443301.3),(42 2483827.3),(43 2482589),(44 2536482.3),(45 3011299.3),(46 3012227),
(1 1222187.9),(2 1866299.1),(3 1866063.6),(4 2146762),(5 1780618),(6 1718187.1),(7 1718898.8),(8 1659868.5),(9 1290600.1),(10 1517651.5),(11 1518663),(12 1630467.1),(13 1888230.8),(14 2015575.1),(15 2018901.6),(16 1975564.9),(17 1978115.5),(18 1629219.1),(19 1630013),(20 1998771.1),(21 1775403.4),(22 1745191.6),(23 1745222.9),(24 1863327.6),(25 2181951.5),(26 1962266.4),(27 1963852.6),(28 1959871.6),(29 2041294.5),(30 2006881.5),(31 2006424.5),(32 1986786.4),(33 2109516),(34 2330863.8),(35 2332253.8),(36 2017402.6),(37 2123260),(38 2270519),(39 2270654.3),(40 2065534.1),(41 2319810.5),(42 2193844.5),(43 2194959.3),(44 2463823.8),(45 2249612.3),(46 2250215.5),
(1 1364764.1),(2 1891894.9),(3 1893168.1),(4 2095915.5),(5 1848320),(6 1778418),(7 1779948.5),(8 1536010.6),(9 1491402.1),(10 1347844.1),(11 1349621.4),(12 1472758.3),(13 1882332.8),(14 2012540.5),(15 2012089.8),(16 1855840.4),(17 2135490.3),(18 1878817.6),(19 1878996.8),(20 2073010.5),(21 1915120.8),(22 2096555.4),(23 2095819.4),(24 2125971),(25 2048650),(26 1714704.9),(27 1713530.9),(28 1877814),(29 2194539.8),(30 2176448),(31 2176872.3),(32 2165493.3),(33 2076220.1),(34 2290454.8),(35 2291180.5),(36 2004747.8),(37 2031680),(38 2151758.3),(39 2151457.5),(40 2055725.1),(41 1760932.1),(42 1755750.6),(43 1755852.1),(44 1961704.5),(45 1970510),(46 1972777.8),
(1 1529386),(2 2013635),(3 2013700.1),(4 2077570.3),(5 1927401.3),(6 1898108.6),(7 1899628.5),(8 1809818.6),(9 1836896),(10 1665291),(11 1666426),(12 1787736.5),(13 1923699.8),(14 1971678.3),(15 1975156.8),(16 2185556.3),(17 2431998.3),(18 2468967.5),(19 2468704.8),(20 2092421),(21 1860544.5),(22 1923767.5),(23 1925404.8),(24 1920859),(25 1988347.8),(26 1984396.6),(27 1982980.3),(28 2006686.4),(29 2369853.3),(30 2059523),(31 2061638.4),(32 2057670.9),(33 2076827),(34 1878101.4),(35 1880153.3),(36 1852705.8),(37 1819414.9),(38 2129801),(39 2129959.8),(40 2209732.5),(41 2202801.5),(42 2323268.5),(43 2322853),(44 2117214.5),(45 2051900.8),(46 2051491.9),
(1 1230620.8),(2 1459835),(3 1460828.6),(4 1603322.1),(5 1818736.3),(6 1543856.9),(7 1542808.3),(8 1414381.8),(9 1552561.9),(10 1557662.1),(11 1557526.8),(12 1592001.8),(13 1782273.9),(14 1944894.9),(15 1946273.1),(16 2057701),(17 2080328.3),(18 2196090.3),(19 2198051.5),(20 2184001),(21 1791343.8),(22 1726663.6),(23 1726287.4),(24 1895755.8),(25 1739863.6),(26 1813503),(27 1813133.9),(28 1783457.1),(29 1954449),(30 1952937),(31 1952394.3),(32 1648780.8),(33 1640378.6),(34 1884364.6),(35 1884805.9),(36 1800081),(37 1926161.9),(38 1639284.6),(39 1639912.4),(40 1558839.3),(41 1972623.3),(42 1969913.9),(43 1969361.8),(44 2089009),(45 2127517.3),(46 2126431.5),
(1 1128955.5),(2 1330666.3),(3 1330198.9),(4 1379691.4),(5 1326464.1),(6 1345286.3),(7 1344689),(8 1352355),(9 1365953.9),(10 1095518.5),(11 1094615.4),(12 1108050.6),(13 1368713.5),(14 1425588),(15 1424966.8),(16 1512335.3),(17 1503183.5),(18 1462299.9),(19 1462686),(20 1671180.3),(21 1350642.6),(22 1477049.4),(23 1477589.6),(24 1637779.4),(25 1642350.9),(26 1679013.8),(27 1678681.4),(28 1660123),(29 1823925.8),(30 1766621.1),(31 1767951.3),(32 1656195.3),(33 1659064.5),(34 1928813.5),(35 1928427.8),(36 1733947.9),(37 1814958.6),(38 1732584.9),(39 1732451),(40 1659526.3),(41 1641841.1),(42 1572285.9),(43 1571413.8),(44 1491481.1),(45 1588154.3),(46 1590312.1),
(1 1071122.4),(2 1336798),(3 1336488.1),(4 1501805.4),(5 1617426.9),(6 1473956.8),(7 1475350.6),(8 1390182),(9 1329160.5),(10 1436647.3),(11 1437805.5),(12 1367449.4),(13 1598204.9),(14 1618642.3),(15 1620245.6),(16 1835344.4),(17 1985594.9),(18 1647642.3),(19 1648135.5),(20 1557540.4),(21 1688622.1),(22 1759972.4),(23 1759093),(24 1694526.4),(25 1640507.3),(26 1810488),(27 1809531.1),(28 1672031.6),(29 1653724.3),(30 1633959.5),(31 1632906.3),(32 1566659.3),(33 1646429.1),(34 1719775),(35 1720117.6),(36 1668517.4),(37 1602254.8),(38 1511667.8),(39 1511724.9),(40 1577611.3),(41 1578300.8),(42 1641563.1),(43 1640908.3),(44 1598619.3),(45 1545899.9),(46 1547043),
(1 903153.06),(2 1194931.1),(3 1194647),(4 1305005.4),(5 1268990.3),(6 1311908.9),(7 1310375.3),(8 1390140.1),(9 1331586.1),(10 1287415.4),(11 1287772.4),(12 1498292),(13 1564160.5),(14 1469571.6),(15 1468704.6),(16 1444063.6),(17 1466930),(18 1544832.9),(19 1543886.5),(20 1512371.9),(21 1311888.5),(22 1236512.1),(23 1236502),(24 1343895.6),(25 1504068.9),(26 1519386),(27 1519344.6),(28 1532454),(29 1184362.4),(30 1296942.1),(31 1297212.1),(32 1432221.9),(33 1512519),(34 1721625),(35 1722865.4),(36 1840921),(37 1542874.9),(38 1500229),(39 1501263.4),(40 1550124.6),(41 1521312),(42 1498036),(43 1497162),(44 1361803.8),(45 1255283.1),(46 1253611.9),
(1 775216.25),(2 826036.3),(3 826502.9),(4 1006697.4),(5 1081309.5),(6 1158133.4),(7 1159034.9),(8 1014507.2),(9 939423.9),(10 901142.5),(11 901643.7),(12 860922.94),(13 1131785.3),(14 1077607.8),(15 1078548.6),(16 1157405),(17 1260345.8),(18 1190525.3),(19 1191719),(20 1101053.3),(21 1181935.5),(22 1201742.1),(23 1202302.5),(24 1261303),(25 1287030.5),(26 1378273.5),(27 1378263.9),(28 1288436.1),(29 1434175.8),(30 1399054),(31 1398911.4),(32 1387227.8),(33 1328405.4),(34 1360734.3),(35 1359530.4),(36 1304936.1),(37 1322844.4),(38 1303291.5),(39 1303619),(40 1287830.4),(41 1316920.6),(42 1243267.8),(43 1242982.3),(44 1199285.8),(45 1310842.1),(46 1308706.3),
