1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,
(1 0.24296162),(2 0.24320512),(3 0.36639002),(4 0.60746807),(5 0.6925317),(6 0.6935709),(7 0.74707687),(8 0.80094886),(9 0.8471138),(10 0.84763694),(11 0.89921796),(12 0.98089176),(13 0.973163),(14 0.9732848),(15 1.0301456),(16 1.1405166),(17 1.1288254),(18 1.1287276),(19 1.1588701),(20 1.1938202),(21 1.1582377),(22 1.1586837),(23 1.1837832),(24 1.2374485),(25 1.2239498),(26 1.224051),(27 1.2596562),(28 1.236124),(29 1.2338405),(30 1.2346939),(31 1.2154943),(32 1.2491386),(33 1.2027041),(34 1.202122),(35 1.2079575),(36 1.2229592),(37 1.1923107),(38 1.1918933),(39 1.2305757),(40 1.246098),(41 1.2113085),(42 1.2117692),(43 1.2211503),(44 1.2220273),(45 1.2218882),
(1 0.19946826),(2 0.1998172),(3 0.292897),(4 0.47900495),(5 0.5417218),(6 0.5423161),(7 0.5776997),(8 0.6307799),(9 0.66146684),(10 0.66205835),(11 0.70442665),(12 0.77214676),(13 0.76531607),(14 0.7656335),(15 0.7949785),(16 0.8858213),(17 0.8844605),(18 0.8848462),(19 0.91099626),(20 0.94709176),(21 0.9123673),(22 0.9126208),(23 0.93702894),(24 0.9659646),(25 0.9679198),(26 0.9685796),(27 0.9830453),(28 0.9701716),(29 0.9683497),(30 0.96842813),(31 0.95130116),(32 0.97726524),(33 0.95003533),(34 0.949769),(35 0.9496531),(36 0.9654937),(37 0.9481645),(38 0.9481954),(39 0.9683036),(40 0.9732728),(41 0.9442429),(42 0.9439856),(43 0.95516723),(44 0.9558265),(45 0.95589167),
(1 0.16246028),(2 0.16264641),(3 0.23560424),(4 0.39701235),(5 0.4509817),(6 0.45116276),(7 0.46603572),(8 0.5018647),(9 0.52258426),(10 0.52307785),(11 0.5539359),(12 0.6034863),(13 0.596108),(14 0.5960398),(15 0.6174689),(16 0.69994545),(17 0.700486),(18 0.70060384),(19 0.7158824),(20 0.7406965),(21 0.710556),(22 0.710668),(23 0.7376312),(24 0.7589611),(25 0.7676791),(26 0.768172),(27 0.7719993),(28 0.7693314),(29 0.7701521),(30 0.7704934),(31 0.7701108),(32 0.7856206),(33 0.7545472),(34 0.7541998),(35 0.75604624),(36 0.75895494),(37 0.7442765),(38 0.7445655),(39 0.76833755),(40 0.7771094),(41 0.760003),(42 0.7601358),(43 0.75641555),(44 0.7567085),(45 0.756646),
(1 0.13021502),(2 0.1302861),(3 0.19278395),(4 0.32000402),(5 0.36431542),(6 0.36463812),(7 0.3809727),(8 0.4031059),(9 0.42576858),(10 0.425795),(11 0.4544805),(12 0.49070144),(13 0.48324642),(14 0.48329574),(15 0.5007072),(16 0.56546617),(17 0.5626921),(18 0.562941),(19 0.57202196),(20 0.605951),(21 0.5841352),(22 0.5842355),(23 0.60288584),(24 0.61828744),(25 0.62195045),(26 0.62217456),(27 0.63616633),(28 0.6268631),(29 0.6254044),(30 0.6254402),(31 0.6168386),(32 0.63986164),(33 0.6206972),(34 0.6207692),(35 0.6169101),(36 0.62735873),(37 0.61854935),(38 0.61882484),(39 0.63050395),(40 0.63922083),(41 0.61980665),(42 0.61993456),(43 0.621216),(44 0.6214041),(45 0.6214452),
(1 0.110345684),(2 0.11056001),(3 0.16435233),(4 0.2730267),(5 0.3122647),(6 0.31248125),(7 0.31848994),(8 0.33632413),(9 0.35458994),(10 0.35483947),(11 0.37906677),(12 0.41178748),(13 0.41192657),(14 0.4116886),(15 0.4237827),(16 0.47254384),(17 0.4678661),(18 0.46823955),(19 0.4803211),(20 0.5110644),(21 0.49223873),(22 0.4924068),(23 0.5106325),(24 0.5225406),(25 0.52619624),(26 0.5264125),(27 0.53772706),(28 0.5323714),(29 0.5296167),(30 0.529618),(31 0.5282092),(32 0.5482526),(33 0.5277733),(34 0.5275211),(35 0.52745295),(36 0.53314894),(37 0.5290507),(38 0.52924234),(39 0.541684),(40 0.5473598),(41 0.5344355),(42 0.5345414),(43 0.5328643),(44 0.5331757),(45 0.53303164),
(1 0.09555868),(2 0.09570591),(3 0.14556402),(4 0.23521698),(5 0.2678277),(6 0.26791432),(7 0.27231324),(8 0.28727618),(9 0.30521274),(10 0.30546045),(11 0.32713038),(12 0.35405362),(13 0.3470159),(14 0.3471141),(15 0.35788003),(16 0.40365857),(17 0.3989567),(18 0.3993878),(19 0.41063127),(20 0.43446845),(21 0.41655973),(22 0.4165577),(23 0.4350681),(24 0.44832617),(25 0.4459181),(26 0.44595912),(27 0.4598587),(28 0.4579145),(29 0.45577365),(30 0.45570198),(31 0.45171586),(32 0.47020924),(33 0.45154348),(34 0.45163876),(35 0.45275334),(36 0.454895),(37 0.45440698),(38 0.45438236),(39 0.46778724),(40 0.476948),(41 0.4644983),(42 0.46453866),(43 0.4637551),(44 0.46423313),(45 0.46416888),
(1 0.08063727),(2 0.080675974),(3 0.12143708),(4 0.19490898),(5 0.22258462),(6 0.22269027),(7 0.2268498),(8 0.24630377),(9 0.26126462),(10 0.26139125),(11 0.2770458),(12 0.3008599),(13 0.29701978),(14 0.2970921),(15 0.30630076),(16 0.34202942),(17 0.3393554),(18 0.33967495),(19 0.3507762),(20 0.37319416),(21 0.35970572),(22 0.3596669),(23 0.37618232),(24 0.383577),(25 0.38781372),(26 0.3877552),(27 0.4003675),(28 0.39323637),(29 0.39306876),(30 0.3932209),(31 0.38770851),(32 0.40669227),(33 0.39197415),(34 0.39203274),(35 0.39442703),(36 0.39778793),(37 0.39361733),(38 0.39332512),(39 0.406913),(40 0.41228372),(41 0.40357518),(42 0.40357018),(43 0.40437937),(44 0.4048528),(45 0.40479076),
(1 0.06644625),(2 0.06653334),(3 0.101955146),(4 0.16549116),(5 0.18787491),(6 0.18789925),(7 0.18899123),(8 0.20621547),(9 0.2189291),(10 0.21906199),(11 0.234387),(12 0.25632155),(13 0.24984151),(14 0.24979642),(15 0.25887915),(16 0.2870811),(17 0.28682745),(18 0.28697288),(19 0.29682657),(20 0.31568435),(21 0.30313334),(22 0.303292),(23 0.31629542),(24 0.32828963),(25 0.32718053),(26 0.32730702),(27 0.33670118),(28 0.33355555),(29 0.33351249),(30 0.33363453),(31 0.33194354),(32 0.3501711),(33 0.33539307),(34 0.33544004),(35 0.33422822),(36 0.33828548),(37 0.3376849),(38 0.33739847),(39 0.34746578),(40 0.35933098),(41 0.35135868),(42 0.3514025),(43 0.34995922),(44 0.3503258),(45 0.35024485),
(1 0.05664994),(2 0.056747448),(3 0.08751231),(4 0.13916786),(5 0.1574513),(6 0.15751901),(7 0.1614713),(8 0.17441349),(9 0.1875044),(10 0.1878143),(11 0.20246807),(12 0.21699175),(13 0.2130143),(14 0.21307172),(15 0.21958017),(16 0.2463664),(17 0.24761622),(18 0.24772233),(19 0.25739366),(20 0.2730238),(21 0.26317066),(22 0.2631567),(23 0.27583474),(24 0.28403878),(25 0.28453252),(26 0.2846208),(27 0.29306987),(28 0.29059088),(29 0.28950077),(30 0.2895545),(31 0.28674033),(32 0.30227646),(33 0.2923645),(34 0.29255557),(35 0.29099253),(36 0.2954698),(37 0.29549935),(38 0.2953276),(39 0.306014),(40 0.31503657),(41 0.30745682),(42 0.30731302),(43 0.30686513),(44 0.30702108),(45 0.3070558),
(1 0.051161695),(2 0.051186245),(3 0.08098623),(4 0.13011678),(5 0.14581273),(6 0.145866),(7 0.14954278),(8 0.1611711),(9 0.17177814),(10 0.17193367),(11 0.18556151),(12 0.20033059),(13 0.19465262),(14 0.19469401),(15 0.20182283),(16 0.22394882),(17 0.22612715),(18 0.22614044),(19 0.23635016),(20 0.252253),(21 0.24178883),(22 0.2418298),(23 0.2515945),(24 0.26181233),(25 0.26087216),(26 0.2610143),(27 0.2692788),(28 0.2672443),(29 0.26704654),(30 0.26703256),(31 0.2664289),(32 0.27771956),(33 0.2673442),(34 0.2675052),(35 0.26605707),(36 0.27078283),(37 0.2696173),(38 0.26943094),(39 0.2786102),(40 0.2886056),(41 0.28144035),(42 0.28145197),(43 0.28216615),(44 0.28231785),(45 0.28232542),
