1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,
(1 8.536825),(2 8.530522),(3 20.792513),(4 34.069668),(5 40.818645),(6 40.826756),(7 46.210373),(8 45.103333),(9 51.465046),(10 51.469967),(11 52.62164),(12 56.1825),(13 55.777172),(14 55.786385),(15 58.49129),(16 65.10559),(17 72.41328),(18 72.425514),(19 77.134155),(20 77.50181),(21 80.92956),(22 80.93517),(23 84.30377),(24 85.99043),(25 82.737625),(26 82.74472),(27 83.584694),(28 85.36298),(29 90.67443),(30 90.675934),(31 91.08821),(32 97.03204),(33 95.574),(34 95.57682),(35 96.429756),(36 99.148415),(37 98.9056),(38 98.92212),(39 102.24184),(40 102.0334),(41 102.2207),(42 102.202995),(43 103.02304),(44 103.03836),(45 103.04545),
(1 3.3839443),(2 3.3825095),(3 8.346762),(4 13.618742),(5 16.17613),(6 16.18676),(7 17.88137),(8 19.27878),(9 20.203535),(10 20.208786),(11 21.227295),(12 24.115873),(13 24.902933),(14 24.90349),(15 26.01537),(16 27.340668),(17 28.641733),(18 28.64883),(19 30.001425),(20 30.763618),(21 31.42297),(22 31.42646),(23 32.36663),(24 33.637844),(25 33.34171),(26 33.33066),(27 35.01958),(28 34.16748),(29 33.815166),(30 33.8191),(31 34.384815),(32 36.247993),(33 35.859867),(34 35.84729),(35 36.772617),(36 37.213917),(37 36.269947),(38 36.26602),(39 37.779163),(40 38.480953),(41 39.29592),(42 39.288826),(43 39.16524),(44 39.181313),(45 39.182304),
(1 1.8895456),(2 1.8901184),(3 4.322529),(4 6.665542),(5 7.538522),(6 7.542719),(7 8.16745),(8 8.988598),(9 9.249184),(10 9.251919),(11 10.058317),(12 11.439012),(13 11.627514),(14 11.627992),(15 11.874109),(16 12.73489),(17 13.190521),(18 13.188469),(19 14.04321),(20 14.029784),(21 14.305586),(22 14.300789),(23 14.700495),(24 15.028779),(25 15.174311),(26 15.174415),(27 15.239775),(28 14.926229),(29 15.157234),(30 15.157104),(31 15.168928),(32 15.934343),(33 15.606426),(34 15.612895),(35 15.920804),(36 16.107298),(37 15.905667),(38 15.904496),(39 16.556807),(40 16.508595),(41 16.776752),(42 16.779455),(43 16.595695),(44 16.600399),(45 16.600735),
(1 1.4789262),(2 1.4784112),(3 3.064559),(4 4.4535837),(5 4.839185),(6 4.842687),(7 5.3762684),(8 5.8119464),(9 5.8709655),(10 5.874947),(11 6.2881427),(12 7.2629695),(13 7.1788774),(14 7.1779504),(15 7.445633),(16 7.9926767),(17 8.1880245),(18 8.185945),(19 8.712411),(20 9.018911),(21 9.165482),(22 9.166746),(23 9.216885),(24 9.296932),(25 9.313045),(26 9.314095),(27 9.351889),(28 9.042539),(29 9.22185),(30 9.22208),(31 9.380867),(32 9.4593),(33 9.269542),(34 9.271691),(35 9.610269),(36 10.016843),(37 9.882005),(38 9.88091),(39 10.253358),(40 10.092596),(41 10.043612),(42 10.04534),(43 10.016507),(44 10.01756),(45 10.017271),
(1 1.0739963),(2 1.07337),(3 2.1596777),(4 3.0524447),(5 3.3873584),(6 3.3890378),(7 3.8010702),(8 4.0649524),(9 4.3534083),(10 4.35818),(11 4.7926483),(12 4.959024),(13 4.865184),(14 4.864839),(15 5.1763477),(16 5.5477414),(17 5.5706167),(18 5.5712295),(19 5.8218365),(20 5.991962),(21 5.930279),(22 5.930875),(23 6.055872),(24 6.0771117),(25 6.10905),(26 6.107892),(27 6.028755),(28 5.965871),(29 5.9001856),(30 5.8998027),(31 5.977085),(32 6.144963),(33 5.9516144),(34 5.9536347),(35 6.106787),(36 6.3095746),(37 6.1935325),(38 6.1921),(39 6.3663764),(40 6.3535867),(41 6.326951),(42 6.3271646),(43 6.313753),(44 6.3150463),(45 6.316154),
(1 0.6105847),(2 0.61130136),(3 1.1586282),(4 1.6468211),(5 1.9081944),(6 1.9100429),(7 2.1103957),(8 2.3056056),(9 2.4698281),(10 2.4710503),(11 2.6640584),(12 2.6321087),(13 2.6816604),(14 2.6826315),(15 2.8505175),(16 3.0598342),(17 3.1221228),(18 3.1246972),(19 3.2305267),(20 3.3881288),(21 3.2710009),(22 3.2698176),(23 3.3074613),(24 3.2954566),(25 3.297362),(26 3.297519),(27 3.2910001),(28 3.3079498),(29 3.3347056),(30 3.334986),(31 3.356832),(32 3.4303682),(33 3.3387115),(34 3.3384326),(35 3.4516232),(36 3.550783),(37 3.4439404),(38 3.4445252),(39 3.6088958),(40 3.5023093),(41 3.530136),(42 3.5294724),(43 3.5202603),(44 3.5212374),(45 3.52114),
(1 0.45011055),(2 0.45053548),(3 0.7907201),(4 1.1640261),(5 1.3128574),(6 1.3128879),(7 1.4629534),(8 1.6240451),(9 1.7148075),(10 1.7160552),(11 1.8278856),(12 1.9127494),(13 1.9651796),(14 1.9651698),(15 2.049815),(16 2.240251),(17 2.2237175),(18 2.2251623),(19 2.3141057),(20 2.4265049),(21 2.3347466),(22 2.3347278),(23 2.3978734),(24 2.4339323),(25 2.4211154),(26 2.4213152),(27 2.3991284),(28 2.4420831),(29 2.440565),(30 2.4406419),(31 2.4901266),(32 2.5363734),(33 2.4661453),(34 2.4669888),(35 2.5346289),(36 2.5572393),(37 2.4907258),(38 2.4914834),(39 2.6096067),(40 2.6161346),(41 2.6105695),(42 2.610594),(43 2.5947618),(44 2.5965552),(45 2.5966158),
(1 0.32330787),(2 0.3232388),(3 0.54887164),(4 0.8163297),(5 0.91140914),(6 0.91268533),(7 1.0235232),(8 1.1187452),(9 1.1704193),(10 1.1709723),(11 1.2308899),(12 1.345619),(13 1.3710077),(14 1.3710794),(15 1.4273887),(16 1.5462649),(17 1.5536293),(18 1.5543572),(19 1.6045719),(20 1.6551579),(21 1.6470817),(22 1.6469004),(23 1.6940322),(24 1.6884508),(25 1.6780394),(26 1.6780694),(27 1.6973561),(28 1.685858),(29 1.7047186),(30 1.705703),(31 1.7148976),(32 1.7540858),(33 1.6972423),(34 1.6978811),(35 1.778255),(36 1.7842938),(37 1.7565181),(38 1.7563728),(39 1.8253237),(40 1.8219004),(41 1.8209975),(42 1.8213396),(43 1.8100152),(44 1.811602),(45 1.8116245),
(1 0.22883381),(2 0.22917421),(3 0.3977171),(4 0.62510175),(5 0.710529),(6 0.7110788),(7 0.7842781),(8 0.85492855),(9 0.90504545),(10 0.90586674),(11 0.94135976),(12 1.0052235),(13 1.0047522),(14 1.0050507),(15 1.0302442),(16 1.1163232),(17 1.1257585),(18 1.1257216),(19 1.1820831),(20 1.225297),(21 1.225064),(22 1.2253683),(23 1.2716666),(24 1.239733),(25 1.2523937),(26 1.2527164),(27 1.2567754),(28 1.2469376),(29 1.2607967),(30 1.2610922),(31 1.275642),(32 1.2957699),(33 1.2602016),(34 1.2597572),(35 1.3047347),(36 1.3222798),(37 1.3069689),(38 1.3072667),(39 1.3525538),(40 1.3349615),(41 1.3439955),(42 1.3442742),(43 1.3452253),(44 1.3462865),(45 1.346155),
(1 0.18517464),(2 0.18529937),(3 0.3152921),(4 0.50135064),(5 0.560627),(6 0.561254),(7 0.6124652),(8 0.672314),(9 0.7009962),(10 0.70131755),(11 0.7172617),(12 0.7700344),(13 0.75980055),(14 0.75956374),(15 0.7797734),(16 0.86435854),(17 0.8711952),(18 0.87153757),(19 0.91098726),(20 0.94694674),(21 0.9406165),(22 0.9407058),(23 0.98464984),(24 0.9644039),(25 0.9784691),(26 0.97848517),(27 0.9810381),(28 0.96090823),(29 0.98734784),(30 0.9876124),(31 1.0064052),(32 1.0075104),(33 0.9753259),(34 0.9747082),(35 1.0142816),(36 1.0303922),(37 1.013006),(38 1.0140054),(39 1.0533164),(40 1.0343972),(41 1.0407985),(42 1.0411091),(43 1.0346577),(44 1.035572),(45 1.0355586),
