1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,
(1 2.5084543),(2 2.5066044),(3 4.8119745),(4 6.810864),(5 7.4284854),(6 7.436979),(7 8.583348),(8 9.019978),(9 9.418388),(10 9.432581),(11 10.650791),(12 11.710392),(13 11.537742),(14 11.532047),(15 12.035982),(16 12.375379),(17 12.53347),(18 12.538439),(19 13.09459),(20 13.876848),(21 13.993326),(22 13.995141),(23 13.682966),(24 14.060822),(25 14.042028),(26 14.034683),(27 14.134734),(28 14.075121),(29 14.056973),(30 14.049694),(31 14.114144),(32 14.064763),(33 13.599406),(34 13.610891),(35 13.694199),(36 13.6451),(37 13.410083),(38 13.405794),(39 13.866317),(40 13.814703),(41 13.649717),(42 13.654691),(43 13.617498),(44 13.6174755),(45 13.615918),
(1 2.1001823),(2 2.0985606),(3 3.9550998),(4 5.6907544),(5 6.400564),(6 6.406297),(7 7.129515),(8 7.4028654),(9 7.950794),(10 7.9581423),(11 8.988346),(12 9.3083105),(13 8.703836),(14 8.702236),(15 9.674679),(16 9.936429),(17 10.088621),(18 10.092723),(19 10.814441),(20 10.894002),(21 10.820799),(22 10.813756),(23 10.792063),(24 11.238835),(25 11.405865),(26 11.416842),(27 11.111926),(28 10.679293),(29 10.674729),(30 10.678275),(31 11.008028),(32 11.160875),(33 10.681872),(34 10.682546),(35 10.907251),(36 10.740372),(37 10.559823),(38 10.558626),(39 10.738935),(40 10.649621),(41 10.503756),(42 10.507832),(43 10.71759),(44 10.730276),(45 10.730932),
(1 1.8018725),(2 1.8032633),(3 3.0209572),(4 4.586049),(5 5.250652),(6 5.249767),(7 5.800526),(8 6.062328),(9 6.75103),(10 6.7552414),(11 7.582916),(12 7.179992),(13 7.1781993),(14 7.176015),(15 7.956302),(16 8.409661),(17 8.415737),(18 8.422604),(19 8.551092),(20 8.623462),(21 8.838123),(22 8.840579),(23 8.70323),(24 9.052523),(25 8.780381),(26 8.777568),(27 8.852756),(28 9.107794),(29 8.815848),(30 8.818357),(31 8.663779),(32 8.203271),(33 8.068944),(34 8.074853),(35 8.394118),(36 8.647388),(37 8.393558),(38 8.392276),(39 8.400916),(40 8.657381),(41 8.429971),(42 8.430562),(43 8.481204),(44 8.483595),(45 8.483288),
(1 1.3614608),(2 1.3641913),(3 2.3986287),(4 3.6610434),(5 4.2420382),(6 4.246576),(7 4.8036203),(8 5.048276),(9 5.4308767),(10 5.430206),(11 6.1571655),(12 5.563561),(13 5.830563),(14 5.836476),(15 6.663226),(16 6.945592),(17 6.95976),(18 6.9635363),(19 7.226986),(20 7.159143),(21 7.1184683),(22 7.1159177),(23 7.098599),(24 7.11034),(25 6.8785815),(26 6.8764462),(27 7.1326814),(28 7.145913),(29 7.011628),(30 7.012126),(31 6.8733964),(32 6.857922),(33 6.7343035),(34 6.741357),(35 6.944712),(36 6.9327984),(37 6.843171),(38 6.841697),(39 6.9081903),(40 7.021269),(41 6.960287),(42 6.966468),(43 6.884499),(44 6.8830476),(45 6.8791237),
(1 1.1813436),(2 1.1808996),(3 1.9239967),(4 2.9701054),(5 3.5252233),(6 3.5233152),(7 3.8949463),(8 4.215517),(9 4.5876765),(10 4.5904813),(11 5.144938),(12 4.76957),(13 5.077892),(14 5.0778484),(15 5.5835347),(16 5.9905834),(17 5.9169364),(18 5.918624),(19 5.9979844),(20 6.237091),(21 6.291035),(22 6.292413),(23 6.156025),(24 6.1207275),(25 6.086281),(26 6.088112),(27 6.041168),(28 6.085864),(29 6.1206584),(30 6.117899),(31 6.116444),(32 5.993144),(33 5.7444444),(34 5.742856),(35 5.820745),(36 5.894063),(37 5.6459947),(38 5.644806),(39 5.790212),(40 5.9296184),(41 5.7998104),(42 5.7990837),(43 5.726774),(44 5.7283125),(45 5.729588),
(1 1.0331568),(2 1.0339911),(3 1.6582175),(4 2.5710413),(5 2.9300246),(6 2.9314659),(7 3.3584068),(8 3.7301404),(9 4.056396),(10 4.0587606),(11 4.4229226),(12 4.222404),(13 4.5456657),(14 4.541148),(15 4.916782),(16 5.294181),(17 5.229011),(18 5.231846),(19 5.26076),(20 5.315462),(21 5.2392545),(22 5.2386327),(23 5.268518),(24 5.4505796),(25 5.3324223),(26 5.3322377),(27 5.3513165),(28 5.248333),(29 5.282857),(30 5.281293),(31 5.257686),(32 5.1764226),(33 4.9751596),(34 4.9815826),(35 5.138338),(36 5.1067047),(37 4.855969),(38 4.857027),(39 4.9800696),(40 5.0260105),(41 5.050202),(42 5.0520787),(43 4.9981785),(44 5.001994),(45 5.001137),
(1 0.82186276),(2 0.8230264),(3 1.2756367),(4 2.0685952),(5 2.261333),(6 2.2654595),(7 2.6321464),(8 2.9220269),(9 3.143077),(10 3.1465056),(11 3.4855993),(12 3.5011659),(13 3.702619),(14 3.7057915),(15 3.875587),(16 4.30158),(17 4.163908),(18 4.162399),(19 4.182042),(20 4.359325),(21 4.3553033),(22 4.359409),(23 4.265176),(24 4.3652263),(25 4.2996106),(26 4.299656),(27 4.2498126),(28 4.195854),(29 4.2618575),(30 4.2650967),(31 4.317719),(32 4.3479075),(33 4.1787276),(34 4.1784115),(35 4.270761),(36 4.3041286),(37 3.9916685),(38 3.9893625),(39 4.100418),(40 4.1103497),(41 4.053031),(42 4.056123),(43 4.0394883),(44 4.0456157),(45 4.0442586),
(1 0.678574),(2 0.67919993),(3 1.0866448),(4 1.6608489),(5 1.8989239),(6 1.9020898),(7 2.1807637),(8 2.3886025),(9 2.527742),(10 2.527874),(11 2.7001197),(12 2.8722386),(13 3.0860445),(14 3.084792),(15 3.254012),(16 3.498491),(17 3.4717412),(18 3.47399),(19 3.4782085),(20 3.4665213),(21 3.4859483),(22 3.4851995),(23 3.479266),(24 3.692635),(25 3.626609),(26 3.627781),(27 3.656949),(28 3.5649683),(29 3.706046),(30 3.7041051),(31 3.5905356),(32 3.5913293),(33 3.4520798),(34 3.4502308),(35 3.5007682),(36 3.5109808),(37 3.415654),(38 3.417346),(39 3.3562496),(40 3.5660396),(41 3.450105),(42 3.4537983),(43 3.453465),(44 3.4572995),(45 3.456967),
(1 0.6213782),(2 0.6211862),(3 0.91874886),(4 1.4300975),(5 1.6549484),(6 1.6564189),(7 1.7962276),(8 1.9753301),(9 2.1293387),(10 2.1305554),(11 2.257542),(12 2.352207),(13 2.5028467),(14 2.5048492),(15 2.646017),(16 2.83154),(17 2.7439635),(18 2.7456903),(19 2.914149),(20 2.820658),(21 2.8753967),(22 2.872858),(23 2.8649788),(24 3.0132225),(25 2.929142),(26 2.9303675),(27 3.005333),(28 2.9665184),(29 2.9387698),(30 2.9398692),(31 2.951026),(32 2.9238605),(33 2.8560023),(34 2.8549557),(35 2.8778098),(36 2.820433),(37 2.6868393),(38 2.6846375),(39 2.7040231),(40 2.8129919),(41 2.6938128),(42 2.6970851),(43 2.7292287),(44 2.7355742),(45 2.737379),
(1 0.5618284),(2 0.5619913),(3 0.87509793),(4 1.4330196),(5 1.6465327),(6 1.6468827),(7 1.8059973),(8 2.008716),(9 2.0840507),(10 2.084944),(11 2.2006834),(12 2.3491776),(13 2.4311013),(14 2.4319403),(15 2.5586417),(16 2.6953592),(17 2.6404872),(18 2.6418052),(19 2.7753756),(20 2.7313378),(21 2.7388496),(22 2.739173),(23 2.737832),(24 2.9287121),(25 2.8446677),(26 2.8449085),(27 2.8589602),(28 2.8235087),(29 2.8708527),(30 2.8754086),(31 2.819709),(32 2.7986312),(33 2.710988),(34 2.7113614),(35 2.7393677),(36 2.6995258),(37 2.6143045),(38 2.6169214),(39 2.659088),(40 2.6816823),(41 2.6087327),(42 2.6108224),(43 2.6266305),(44 2.6316905),(45 2.632211),
