1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,500.5,501.5,502.5,503.5,504.5,505.5,506.5,507.5,508.5,509.5,510.5,511.5,
(1 45177876),(2 111527510),(3 163123180),(4 191001620),(5 203979600),(6 211671500),(7 209891950),(8 198543490),(9 182309440),(10 174458830),(11 177501200),(12 187704510),(13 202521280),(14 217677060),(15 233077840),(16 249539500),(17 262729620),(18 265952210),(19 267340210),(20 267024720),(21 266006320),(22 266466940),(23 283186780),(24 293627400),(25 302816860),(26 316266000),(27 301625150),(28 300453470),(29 302221900),(30 317342240),(31 337316960),(32 348834050),(33 361385760),(34 362510180),(35 353539040),(36 349565820),(37 344791260),(38 348503040),(39 342031000),(40 335953150),(41 345663970),(42 354996860),(43 361731170),(44 369106940),(45 377994660),(46 384143200),(47 377523040),(48 369198340),(49 365701600),(50 374181280),(51 370502180),(52 369751800),(53 372529060),(54 381530140),(55 389625340),(56 401120540),(57 420672740),(58 419079070),(59 411350270),(60 403980260),(61 387630200),(62 376501600),(63 376166300),(64 379654660),(65 379175900),(66 390610200),(67 394205470),(68 393298700),(69 389154300),(70 381028580),(71 370856960),(72 364867700),(73 369521760),(74 375974900),(75 377191970),(76 365429120),(77 349462940),(78 345130080),(79 346904600),
(1 19641192),(2 46911720),(3 67862960),(4 77294490),(5 79174740),(6 78886210),(7 75658936),(8 70978776),(9 67841430),(10 68783730),(11 72008930),(12 75670930),(13 78901550),(14 79987560),(15 79344690),(16 79532300),(17 81294480),(18 83281780),(19 85783200),(20 87062664),(21 86795944),(22 88517500),(23 91961140),(24 93453016),(25 91813520),(26 88301890),(27 84786650),(28 82754150),(29 81803880),(30 84448600),(31 89706520),(32 93531920),(33 96198580),(34 100049970),(35 98991380),(36 101393750),(37 102005650),(38 102617300),(39 101315624),(40 102007210),(41 105792230),(42 106713010),(43 104358776),(44 102787500),(45 104138920),(46 108951384),(47 109468370),(48 109859580),(49 111725740),(50 118393520),(51 117857410),(52 116413360),(53 115092630),(54 112906290),(55 111899110),(56 114647590),(57 125337620),(58 127285550),(59 125040340),(60 125302680),(61 121515020),(62 118328424),(63 119176680),(64 123781140),(65 126567510),(66 132533650),(67 135539100),(68 136003280),(69 136992350),(70 134730640),(71 129589144),(72 125391490),(73 127748110),(74 130242456),(75 129580776),(76 126708330),(77 124907500),(78 129146830),(79 134847140),
(1 12346103),(2 29597030),(3 42891924),(4 48731476),(5 49187516),(6 48446396),(7 47262572),(8 45806532),(9 45119200),(10 45824916),(11 47275444),(12 48930764),(13 49949570),(14 49784544),(15 48922964),(16 48985504),(17 50187612),(18 51034370),(19 52236244),(20 52878820),(21 53162708),(22 55218556),(23 57318564),(24 58195012),(25 57256268),(26 54398100),(27 51546028),(28 50797876),(29 51522336),(30 54350836),(31 57170052),(32 58726372),(33 60940788),(34 65350540),(35 63958388),(36 64210972),(37 63139628),(38 63558956),(39 63715788),(40 65779188),(41 68518660),(42 68686820),(43 66236100),(44 64547710),(45 64276590),(46 65205500),(47 67253016),(48 71033070),(49 74731740),(50 78707270),(51 77456510),(52 76527030),(53 76298190),(54 75689440),(55 76965330),(56 79270290),(57 84561030),(58 85940610),(59 83115670),(60 81458590),(61 79183016),(62 78478090),(63 80474104),(64 83269380),(65 83960024),(66 85120504),(67 84195800),(68 81803450),(69 83068770),(70 83440700),(71 81491656),(72 79813050),(73 80714630),(74 80593730),(75 79618550),(76 78523016),(77 78588536),(78 81091040),(79 84040296),
(1 6525626),(2 14778471),(3 20725888),(4 23545028),(5 23898806),(6 23906760),(7 23638928),(8 23578344),(9 23696546),(10 24257406),(11 25399854),(12 26462252),(13 26597992),(14 26590418),(15 27623118),(16 29134062),(17 29941788),(18 29442002),(19 28828456),(20 28563022),(21 29024750),(22 29824434),(23 30790200),(24 30801160),(25 30647452),(26 29814944),(27 29126248),(28 28526144),(29 28136690),(30 28446830),(31 29224136),(32 29615118),(33 29873568),(34 29856330),(35 30116256),(36 30500064),(37 30579448),(38 30188626),(39 29617942),(40 29292822),(41 28799918),(42 28621294),(43 28137230),(44 27648520),(45 27223748),(46 27224356),(47 27729930),(48 28299250),(49 29007804),(50 29303036),(51 29216598),(52 29507416),(53 29869316),(54 30561956),(55 31472328),(56 32521752),(57 33462268),(58 33243300),(59 33082504),(60 32775808),(61 32407794),(62 32413312),(63 33229060),(64 34487880),(65 34469476),(66 34380196),(67 33052110),(68 31687936),(69 31726102),(70 32256164),(71 32865920),(72 33643790),(73 33440388),(74 33077142),(75 33042966),(76 32629540),(77 31925682),(78 31580360),(79 31746870),
(1 4938491),(2 10690561),(3 14654153),(4 16486336),(5 16848696),(6 17344558),(7 17566494),(8 17728428),(9 17769526),(10 17767328),(11 18098360),(12 18457434),(13 18219054),(14 18106152),(15 18805664),(16 20034744),(17 20852724),(18 21045166),(19 20935984),(20 20709930),(21 20684328),(22 20985414),(23 21946158),(24 22461012),(25 22982622),(26 23732478),(27 22952824),(28 22185178),(29 21618092),(30 21890196),(31 22637724),(32 23488936),(33 24475968),(34 24118210),(35 23329868),(36 22565704),(37 21907802),(38 21572346),(39 21579992),(40 21487156),(41 21101924),(42 20658146),(43 20398090),(44 20752262),(45 21361666),(46 21850896),(47 21631956),(48 21486462),(49 21648814),(50 22118406),(51 22432462),(52 22920952),(53 23597438),(54 24112696),(55 24171804),(56 23943080),(57 24182494),(58 24401056),(59 25479774),(60 26066158),(61 25491424),(62 24548410),(63 23619104),(64 22943486),(65 22922670),(66 23960216),(67 24276158),(68 23844922),(69 23415244),(70 23200954),(71 22993122),(72 23121560),(73 23349532),(74 24125930),(75 24848128),(76 25151660),(77 24920640),(78 24414452),(79 24020058),
(1 4363439),(2 9047114),(3 12530474),(4 14784576),(5 15856422),(6 16655421),(7 17065938),(8 17581492),(9 17924788),(10 17792354),(11 17898470),(12 18122034),(13 17712316),(14 17714038),(15 18516512),(16 19559184),(17 20180678),(18 20422406),(19 21295812),(20 21593034),(21 21351546),(22 21725074),(23 22683146),(24 23249808),(25 23884586),(26 24587204),(27 23638964),(28 23125810),(29 23027058),(30 23193410),(31 23422862),(32 23702560),(33 24575974),(34 24467924),(35 23356194),(36 22616784),(37 21972962),(38 21650706),(39 21455500),(40 21478960),(41 21377514),(42 21203592),(43 20961482),(44 21424470),(45 21940196),(46 22482228),(47 22716770),(48 22868796),(49 23013596),(50 23049488),(51 22996148),(52 23436790),(53 24089888),(54 24160818),(55 23484192),(56 22328540),(57 21855790),(58 22360892),(59 23682892),(60 25191382),(61 25828398),(62 25857348),(63 25220554),(64 24116012),(65 23686010),(66 24128300),(67 24954804),(68 25221670),(69 25017472),(70 24276504),(71 23931304),(72 23817944),(73 23673866),(74 23941176),(75 24824852),(76 25823880),(77 26454550),(78 26504506),(79 25985040),
(1 3017717.5),(2 6043887),(3 8085482),(4 9499150),(5 10289599),(6 10724490),(7 11045653),(8 11582927),(9 11977386),(10 11801695),(11 11732791),(12 11623911),(13 11494661),(14 11719330),(15 12071563),(16 12319695),(17 12633111),(18 12858539),(19 13562953),(20 13780868),(21 13456839),(22 13395761),(23 13454049),(24 13582561),(25 13878555),(26 14234964),(27 13662625),(28 13628361),(29 13586842),(30 13282644),(31 12911561),(32 12606550),(33 13015108),(34 13069034),(35 13069412),(36 13245674),(37 13132756),(38 13026038),(39 13081036),(40 13284497),(41 13533210),(42 13581562),(43 13758681),(44 14117579),(45 14502907),(46 14419154),(47 14041191),(48 13857890),(49 13892913),(50 14192790),(51 13838953),(52 13462082),(53 13352529),(54 13661504),(55 14214710),(56 14612660),(57 14536078),(58 14525625),(59 14535978),(60 14786479),(61 15270031),(62 15420559),(63 15411285),(64 15143500),(65 14749199),(66 14923237),(67 15192286),(68 15567167),(69 15581863),(70 15528074),(71 15645695),(72 15754446),(73 15566857),(74 15168255),(75 14743686),(76 14452347),(77 14319870),(78 14387120),(79 14300102),
(1 2519979),(2 4951016.5),(3 6346094),(4 7233325.5),(5 7536405.5),(6 7861002.5),(7 8096276.5),(8 8394782),(9 8497983),(10 8339481),(11 8312537.5),(12 8246093),(13 8271754),(14 8511438),(15 8800379),(16 8913858),(17 8929891),(18 9050089),(19 9816630),(20 10160205),(21 9742747),(22 9580822),(23 9582606),(24 9533558),(25 9417668),(26 9403132),(27 9058780),(28 9000089),(29 8934225),(30 9023021),(31 9143364),(32 9305763),(33 9789395),(34 9880402),(35 9612112),(36 9504101),(37 9536723),(38 9622551),(39 9491717),(40 9261534),(41 9199445),(42 9171857),(43 9298894),(44 9226659),(45 9068469),(46 9133438),(47 9088086),(48 9134518),(49 9210573),(50 9548252),(51 9601433),(52 9492822),(53 9438129),(54 9476639),(55 9544719),(56 9494460),(57 9409684),(58 9398194),(59 9279682),(60 9119424),(61 9124793),(62 9169051),(63 9176784),(64 9237577),(65 9218483),(66 9608021),(67 9927149),(68 9890557),(69 9815486),(70 10136755),(71 10482451),(72 10785481),(73 10857463),(74 10567042),(75 10077918),(76 9925113),(77 9993386),(78 10166193),(79 10312255),
(1 2038844.8),(2 3953981.3),(3 5045213.5),(4 5630995),(5 5555361),(6 5490280.5),(7 5356495),(8 5449727),(9 5535877.5),(10 5537667),(11 5789245),(12 5952193),(13 6010772),(14 6105681),(15 6063417),(16 5979413),(17 5787476),(18 5758979),(19 6397612.5),(20 6945531),(21 6857374),(22 6853956),(23 6931138),(24 6796163.5),(25 6652420.5),(26 6757886),(27 6598417),(28 6597219),(29 6281309),(30 6169763),(31 6357435),(32 6589373),(33 7032831),(34 7421332),(35 7382456),(36 7454308),(37 7280754.5),(38 7036044),(39 6771358),(40 6674429),(41 6776547),(42 6741677.5),(43 6594651.5),(44 6322638.5),(45 6135012.5),(46 6315334.5),(47 6654405),(48 6955465.5),(49 7083554),(50 7059381.5),(51 7040141),(52 7132953.5),(53 7370901.5),(54 7332682),(55 7065353.5),(56 6904379),(57 6850059.5),(58 6712508),(59 6615715.5),(60 6744686.5),(61 6884534.5),(62 6833083),(63 6965724),(64 7070949.5),(65 6867286.5),(66 7048931.5),(67 6992041),(68 6580806.5),(69 6530228),(70 6882519),(71 7136216),(72 7292263.5),(73 7124455.5),(74 6970614.5),(75 6785147),(76 6740712.5),(77 6867200.5),(78 7107312),(79 7485001.5),
(1 1882192.5),(2 3754911),(3 4821197),(4 5335805.5),(5 5415161),(6 5540704),(7 5615141.5),(8 5783186.5),(9 5844549.5),(10 5828462),(11 6023619),(12 6022899.5),(13 6075966),(14 6167939),(15 6194618.5),(16 6242013.5),(17 6300004.5),(18 6500495.5),(19 6931360),(20 7274227.5),(21 7063315),(22 6907834),(23 6949870.5),(24 6919126),(25 6944227.5),(26 7111141.5),(27 7140702),(28 7155773),(29 7026250.5),(30 7042875.5),(31 7140526.5),(32 7271618),(33 7407713),(34 7197714),(35 6785799),(36 6588830),(37 6366843.5),(38 6223689),(39 6255779),(40 6404518),(41 6573016),(42 6641251.5),(43 6612130),(44 6546218),(45 6560578),(46 6598814),(47 6604806),(48 6607418),(49 6579566),(50 6420529),(51 6358973),(52 6549382),(53 6609740.5),(54 6578903),(55 6366109.5),(56 6360130.5),(57 6906730.5),(58 6997431.5),(59 7038278.5),(60 7270102),(61 7220914.5),(62 7095165.5),(63 7078826.5),(64 7048771.5),(65 6829970.5),(66 7070870),(67 6914962),(68 6745063),(69 6861608.5),(70 7015622.5),(71 7134452),(72 7179508),(73 7122802),(74 7179526),(75 7162264),(76 7045050),(77 6855220),(78 6729684.5),(79 6779321),
(1 1837353.6),(2 3680534.5),(3 4808926),(4 5347875),(5 5554364),(6 5814218.5),(7 5946020),(8 6099396.5),(9 6161047.5),(10 6215138.5),(11 6492214),(12 6567852),(13 6551405),(14 6531268),(15 6722971.5),(16 7064738),(17 7247920),(18 7283674),(19 7335835.5),(20 7278947),(21 7061950),(22 6927813.5),(23 6913824),(24 6991025),(25 7181604),(26 7339760.5),(27 7159444),(28 7126214.5),(29 7215595.5),(30 7354540),(31 7357902),(32 7277156),(33 7106000),(34 6717291.5),(35 6383641.5),(36 6247553),(37 6395507),(38 6706175),(39 6884104.5),(40 6836821.5),(41 6775401),(42 6737727),(43 6554357.5),(44 6276018),(45 6241460),(46 6240568.5),(47 6198819),(48 6173503.5),(49 6273285),(50 6363209.5),(51 6353446),(52 6348557),(53 6328117.5),(54 6318816),(55 6203611.5),(56 6269827),(57 6937926.5),(58 6971781.5),(59 7094345.5),(60 7482649),(61 7318130),(62 7075059),(63 6940575),(64 6784344.5),(65 6654516.5),(66 6645668),(67 6594748.5),(68 6640395),(69 6706357),(70 6716700.5),(71 6758811),(72 6792495.5),(73 6857400.5),(74 6911791),(75 6960684),(76 6882547),(77 6625425.5),(78 6431681),(79 6364910),
