1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 420805.34),(2 1433481),(3 2935397.3),(4 4769583.5),(5 6951569.5),(6 9403123),(7 12019819),(8 14632881),(9 17268510),(10 19960576),(11 22653710),(12 25205066),(13 27553974),(14 29793850),(15 31766650),(16 33708468),(17 35458252),(18 37111628),(19 38463404),(20 39715332),(21 40796380),(22 41787024),(23 42596772),(24 43342990),(25 44046172),(26 44627676),(27 45364736),(28 46109516),(29 47127412),(30 49297804),(31 51061788),(32 52860880),(33 55320096),(34 57205972),(35 59111070),(36 62110308),(37 66123700),(38 70791464),(39 76143970),(40 81980580),(41 88493240),(42 95721090),(43 104167770),(44 113328100),(45 123472540),(46 134338000),(47 146081570),(48 158136820),(49 170852420),(50 182569920),(51 195077440),(52 207363580),(53 220438270),(54 233673600),(55 247750030),(56 262726140),(57 277888700),(58 293130900),(59 308309400),(60 323069340),(61 338661340),(62 352963970),(63 362245020),(64 368793950),(65 372919140),(66 374772960),(67 373862240),(68 372307550),(69 369794400),(70 364530270),(71 359186900),(72 351288960),(73 343694560),(74 334071140),(75 324518820),(76 313422530),(77 300970600),(78 288543520),(79 274788830),
(1 281814.7),(2 1069251.1),(3 2266875),(4 3861226.5),(5 5780271),(6 7952305.5),(7 10268304),(8 12602701),(9 14969635),(10 17280878),(11 19532298),(12 21597556),(13 23456000),(14 25139482),(15 26634452),(16 27841164),(17 28957434),(18 30080676),(19 30950854),(20 31685546),(21 32325044),(22 32929900),(23 33432420),(24 34087900),(25 34760816),(26 35503860),(27 36277660),(28 37093630),(29 38002840),(30 39506524),(31 40786336),(32 42089256),(33 43675676),(34 45041800),(35 46367496),(36 48321530),(37 50791120),(38 53676660),(39 56900236),(40 60408130),(41 64257876),(42 68541390),(43 73354160),(44 78717784),(45 84559340),(46 90868080),(47 97598904),(48 104185140),(49 111110540),(50 117254640),(51 122864850),(52 128995790),(53 135329540),(54 141891330),(55 148666580),(56 155946660),(57 163114450),(58 170108720),(59 176570530),(60 182444160),(61 188318430),(62 193582080),(63 197258720),(64 200374800),(65 202177630),(66 202823000),(67 202489200),(68 201836640),(69 200810370),(70 199651660),(71 198467040),(72 197029700),(73 195388110),(74 193359790),(75 190974500),(76 188188770),(77 184836640),(78 180852860),(79 176519000),
(1 337088.75),(2 1307836.9),(3 2807023),(4 4845229.5),(5 7319840.5),(6 10198201),(7 13361667),(8 16725435),(9 20206488),(10 23721234),(11 27161630),(12 30495728),(13 33664150),(14 36614820),(15 39454876),(16 41792240),(17 44049964),(18 45992692),(19 47676156),(20 48927330),(21 50091044),(22 51083188),(23 51944292),(24 52791724),(25 53558816),(26 54366080),(27 55229580),(28 56029424),(29 56816972),(30 57681680),(31 58418196),(32 59101132),(33 59682716),(34 60155024),(35 60420788),(36 60697004),(37 61025840),(38 61410692),(39 61757300),(40 62181730),(41 62716532),(42 63635780),(43 65042100),(44 66977424),(45 69379990),(46 72340850),(47 75758810),(48 79322456),(49 82972440),(50 85359290),(51 86989150),(52 89218760),(53 91863510),(54 95031780),(55 98726870),(56 103219210),(57 108184000),(58 113377464),(59 118333784),(60 122865790),(61 128098536),(62 133280536),(63 137446770),(64 140516080),(65 142173250),(66 142564050),(67 142233780),(68 141395730),(69 140436240),(70 139663410),(71 139289710),(72 139635740),(73 140229780),(74 141062670),(75 141832510),(76 142489870),(77 143011000),(78 143015730),(79 142468430),
(1 357042),(2 1389100.9),(3 3048181),(4 5234873),(5 7877564.5),(6 10888826),(7 14138658),(8 17606840),(9 21083464),(10 24538838),(11 27882152),(12 31086776),(13 34055704),(14 36818450),(15 39464364),(16 41579696),(17 43361788),(18 44788790),(19 45727184),(20 46304776),(21 46638012),(22 46790856),(23 46862576),(24 46973740),(25 47132964),(26 47374708),(27 47828076),(28 48353280),(29 49062836),(30 50040884),(31 51154108),(32 52308140),(33 53563044),(34 54723970),(35 55848120),(36 57083584),(37 58411090),(38 59739164),(39 61023470),(40 62271148),(41 63383816),(42 64408704),(43 65456356),(44 66544336),(45 67633576),(46 68759704),(47 69928930),(48 70990220),(49 71881290),(50 72191860),(51 71964220),(52 71407290),(53 70768760),(54 70249640),(55 70010984),(56 70167640),(57 70746910),(58 71648440),(59 72674020),(60 73651170),(61 74670180),(62 75743300),(63 76190660),(64 76248070),(65 76003100),(66 75561304),(67 75176290),(68 74631710),(69 74168310),(70 74021250),(71 74096620),(72 74657784),(73 75623420),(74 77014690),(75 78621920),(76 80408590),(77 82231496),(78 83893544),(79 85337784),
(1 359441.16),(2 1395155.1),(3 3069754.3),(4 5233490),(5 7823024.5),(6 10683828),(7 13722767),(8 16888226),(9 19968908),(10 22888070),(11 25682720),(12 28250944),(13 30595502),(14 32739938),(15 34767304),(16 36419290),(17 37645230),(18 38509772),(19 38833700),(20 38743730),(21 38277044),(22 37511984),(23 36590172),(24 35637516),(25 34684710),(26 33835476),(27 33232352),(28 32806930),(29 32677778),(30 32930642),(31 33420974),(32 34133610),(33 35106830),(34 36187876),(35 37362652),(36 38663644),(37 40172636),(38 41825892),(39 43525700),(40 45197324),(41 46730716),(42 47976124),(43 49065420),(44 49917080),(45 50586404),(46 51055144),(47 51251504),(48 51164492),(49 50801520),(50 50195452),(51 49416524),(52 48236580),(53 46942930),(54 45745828),(55 44784900),(56 44133196),(57 43888204),(58 44030356),(59 44410268),(60 44888756),(61 45398480),(62 45877610),(63 45989810),(64 45867184),(65 45703880),(66 45694556),(67 46051020),(68 46841028),(69 48136510),(70 50040844),(71 52316264),(72 54966148),(73 57781530),(74 60819710),(75 63783376),(76 66671884),(77 69285390),(78 71562270),(79 73476170),
(1 343974.03),(2 1318367),(3 2822678.5),(4 4706084.5),(5 6860785),(6 9120220),(7 11333869),(8 13459232),(9 15335458),(10 16952710),(11 18315588),(12 19414364),(13 20336540),(14 21142482),(15 21949406),(16 22727136),(17 23425276),(18 23994710),(19 24356806),(20 24541708),(21 24513638),(22 24303520),(23 23925102),(24 23482006),(25 22950708),(26 22433654),(27 22016218),(28 21722244),(29 21603190),(30 21803300),(31 22221900),(32 22892364),(33 23845484),(34 24939224),(35 26177434),(36 27737508),(37 29621290),(38 31692230),(39 33912970),(40 36056064),(41 38028224),(42 39741236),(43 41153580),(44 42244584),(45 42948560),(46 43222516),(47 43077028),(48 42398020),(49 41193250),(50 39323470),(51 37145790),(52 34849816),(53 32727724),(54 30893696),(55 29427808),(56 28318842),(57 27436262),(58 26672752),(59 25916612),(60 25114570),(61 24672820),(62 24449900),(63 24066768),(64 23375664),(65 22331280),(66 21041038),(67 19868836),(68 19165356),(69 19181130),(70 19978960),(71 21610416),(72 23914628),(73 26588356),(74 29367114),(75 32037036),(76 34359010),(77 36241580),(78 37819930),(79 39104268),
(1 309832.6),(2 1176553.4),(3 2502112.8),(4 4095131.5),(5 5826591),(6 7530269),(7 9083868),(8 10440730),(9 11493653),(10 12266364),(11 12820788),(12 13189045),(13 13468142),(14 13705904),(15 14004821),(16 14358042),(17 14855172),(18 15484297),(19 16169186),(20 16889870),(21 17637530),(22 18341010),(23 18937552),(24 19451378),(25 19770594),(26 19905572),(27 19886796),(28 19756540),(29 19493496),(30 19261308),(31 19013518),(32 18799560),(33 18722060),(34 18727454),(35 18857472),(36 19160328),(37 19779032),(38 20697788),(39 21855906),(40 23128260),(41 24389412),(42 25666218),(43 26995300),(44 28302444),(45 29520690),(46 30547072),(47 31302676),(48 31667146),(49 31642862),(50 31116402),(51 30146740),(52 28976572),(53 27916276),(54 27224308),(55 26949656),(56 27057044),(57 27273310),(58 27380132),(59 27295464),(60 26999492),(61 26636850),(62 26458624),(63 26440576),(64 26349844),(65 26089800),(66 25654738),(67 25117416),(68 24601514),(69 24372950),(70 24491704),(71 25065834),(72 26002226),(73 27172782),(74 28369656),(75 29401340),(76 30113636),(77 30453154),(78 30483198),(79 30367616),
(1 361109.53),(2 1371464.6),(3 2915527.8),(4 4765144),(5 6747522.5),(6 8659819),(7 10399450),(8 11875826),(9 12970802),(10 13741030),(11 14224275),(12 14494053),(13 14622561),(14 14660603),(15 14688855),(16 14670336),(17 14640885),(18 14650919),(19 14710270),(20 14838306),(21 15079763),(22 15386733),(23 15727046),(24 16077369),(25 16345783),(26 16513146),(27 16575415),(28 16505053),(29 16284711),(30 15995831),(31 15635644),(32 15254674),(33 14924279),(34 14708821),(35 14642927),(36 14781474),(37 15214470),(38 15955523),(39 16983424),(40 18142248),(41 19383742),(42 20596032),(43 21884468),(44 23226130),(45 24662314),(46 26116320),(47 27480068),(48 28663714),(49 29547684),(50 30187884),(51 30504814),(52 30414796),(53 30212498),(54 30116834),(55 30200982),(56 30368750),(57 30475722),(58 30365932),(59 29912776),(60 29095936),(61 27988416),(62 26884988),(63 25910828),(64 25095872),(65 24354334),(66 23763602),(67 23376030),(68 23212998),(69 23390362),(70 23722636),(71 24098054),(72 24401758),(73 24633374),(74 24723980),(75 24586244),(76 24232246),(77 23738362),(78 23166952),(79 22594274),
(1 327742.75),(2 1240982.3),(3 2601419.3),(4 4209140.5),(5 5896961.5),(6 7515369.5),(7 8987660),(8 10288062),(9 11361797),(10 12232242),(11 12939769),(12 13502651),(13 13968510),(14 14351457),(15 14653442),(16 14834203),(17 14848595),(18 14719039),(19 14482863),(20 14191017),(21 13925944),(22 13738462),(23 13653080),(24 13661939),(25 13745235),(26 13853319),(27 13956497),(28 14034888),(29 14045986),(30 14005224),(31 13880428),(32 13692792),(33 13507450),(34 13303684),(35 13156508),(36 13192329),(37 13511907),(38 14065771),(39 14769434),(40 15532624),(41 16224120),(42 16867926),(43 17515858),(44 18228618),(45 19025332),(46 19858752),(47 20712454),(48 21464844),(49 22112040),(50 22621724),(51 22896894),(52 22880272),(53 22861444),(54 22908386),(55 23047046),(56 23173014),(57 23174118),(58 22934676),(59 22468212),(60 21833672),(61 20951764),(62 20172688),(63 19461518),(64 18822470),(65 18228244),(66 17717838),(67 17440124),(68 17458886),(69 17956512),(70 18812096),(71 19827316),(72 20821482),(73 21650300),(74 22216056),(75 22576656),(76 22813956),(77 23012914),(78 23340468),(79 23756620),
(1 300115.38),(2 1113439.3),(3 2284771.5),(4 3587619.5),(5 4865822),(6 6024516.5),(7 7029615),(8 7914418),(9 8679982),(10 9386140),(11 10065369),(12 10707302),(13 11325182),(14 11883234),(15 12369325),(16 12711941),(17 12833173),(18 12761572),(19 12534629),(20 12232447),(21 11930770),(22 11721442),(23 11624361),(24 11666220),(25 11812725),(26 12031061),(27 12252303),(28 12438514),(29 12547700),(30 12585262),(31 12505927),(32 12321673),(33 12100161),(34 11847918),(35 11587353),(36 11295860),(37 11186478),(38 11296091),(39 11601063),(40 11992524),(41 12382533),(42 12686733),(43 12961111),(44 13281696),(45 13691753),(46 14174604),(47 14708285),(48 15236608),(49 15702919),(50 16250492),(51 16654016),(52 16812016),(53 16805010),(54 16818810),(55 16877134),(56 16952712),(57 17032134),(58 17046288),(59 16948776),(60 16798212),(61 16539230),(62 16331236),(63 16297134),(64 16226466),(65 15977188),(66 15590617),(67 15237995),(68 15055063),(69 15177348),(70 15530414),(71 15977036),(72 16320887),(73 16457006),(74 16378832),(75 16207708),(76 16090574),(77 16095764),(78 16290816),(79 16648418),
(1 337641.78),(2 1236813),(3 2474795),(4 3776538),(5 4981339),(6 6013593),(7 6875639),(8 7610627),(9 8266775.5),(10 8890986),(11 9512925),(12 10131726),(13 10736393),(14 11288749),(15 11788653),(16 12141551),(17 12279207),(18 12184243),(19 11880890),(20 11479709),(21 11110086),(22 10865708),(23 10814521),(24 10969526),(25 11277640),(26 11674112),(27 12070341),(28 12389053),(29 12575185),(30 12613314),(31 12466312),(32 12158245),(33 11751381),(34 11257432),(35 10752962),(36 10315853),(37 10030131),(38 9901176),(39 9900711),(40 9942760),(41 9975627),(42 9985867),(43 10039360),(44 10167456),(45 10376635),(46 10625295),(47 10883846),(48 11076809),(49 11211326),(50 11255194),(51 11281367),(52 11362020),(53 11542872),(54 11741853),(55 11895414),(56 11935782),(57 11889535),(58 11784077),(59 11651511),(60 11537823),(61 11558593),(62 11699141),(63 11795953),(64 11759501),(65 11536122),(66 11214616),(67 10939753),(68 10886444),(69 11232040),(70 11845680),(71 12533468),(72 12990880),(73 13073088),(74 12835471),(75 12524348),(76 12373329),(77 12528060),(78 13050804),(79 13840361),
