1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 7576.91),(2 21768.705),(3 45630.387),(4 70960.73),(5 101285.48),(6 136511.03),(7 175540.95),(8 225951.8),(9 283540.72),(10 340751.16),(11 406329.5),(12 473646.75),(13 564699.3),(14 656580.44),(15 763811),(16 865850.56),(17 975373.8),(18 1082824),(19 1205350.1),(20 1322107.9),(21 1444901),(22 1558679.9),(23 1671198.5),(24 1774918.9),(25 1886094),(26 1995419.9),(27 2123185),(28 2246086.8),(29 2354830.8),(30 2455114.8),(31 2521281.8),(32 2576751),(33 2657502.3),(34 2730145.3),(35 2812722),(36 2890453.8),(37 2971611.3),(38 3042280.8),(39 3128059),(40 3197452.8),(41 3285604.8),(42 3362763),(43 3464036.8),(44 3580076.3),(45 3699278.8),(46 3825633.3),(47 3978969.3),(48 4150686.8),(49 4361102),(50 4546998),(51 4787552),(52 4995018.5),(53 5295973.5),(54 5562700.5),(55 5843246.5),(56 6115394.5),(57 6396952.5),(58 6689878),(59 6991916),(60 7298752),(61 7667769.5),(62 8066513.5),(63 8469143),(64 8839437),(65 9209713),(66 9549711),(67 9873103),(68 10157612),(69 10467191),(70 10796734),(71 11149065),(72 11486380),(73 11827972),(74 12150493),(75 12474912),(76 12736947),(77 12977875),(78 13210663),(79 13426781),
(1 10901.042),(2 38365.57),(3 84142.3),(4 143622.33),(5 217438.8),(6 304385.44),(7 402523.66),(8 515632.75),(9 637476.7),(10 766428),(11 907029),(12 1057308.1),(13 1221092),(14 1392911.3),(15 1589518.1),(16 1786513.6),(17 1995119.3),(18 2207385.5),(19 2430837.3),(20 2655360.5),(21 2881644),(22 3103154.5),(23 3328923.3),(24 3538538),(25 3755871.3),(26 3964821.3),(27 4166451.3),(28 4343478.5),(29 4501530.5),(30 4636527),(31 4706941.5),(32 4736410),(33 4775363.5),(34 4818113),(35 4859564),(36 4887590.5),(37 4903789.5),(38 4936212),(39 4958763),(40 4984051),(41 5021659.5),(42 5069437.5),(43 5134563.5),(44 5217917),(45 5312518),(46 5429997),(47 5583427),(48 5751917),(49 5949379),(50 6161610.5),(51 6410067),(52 6650389.5),(53 6921118.5),(54 7201229),(55 7480836),(56 7769733.5),(57 8066947),(58 8382841.5),(59 8689930),(60 8990098),(61 9299949),(62 9614770),(63 9905197),(64 10128390),(65 10314922),(66 10466562),(67 10591454),(68 10731990),(69 10869269),(70 11040476),(71 11236998),(72 11439732),(73 11659506),(74 11888279),(75 12127986),(76 12352225),(77 12571950),(78 12777147),(79 12972130),
(1 24276.916),(2 94180),(3 208196.45),(4 364616.5),(5 561170),(6 796596.7),(7 1069847.9),(8 1383629.3),(9 1706290),(10 2053635.9),(11 2428712),(12 2815565.8),(13 3220054.8),(14 3640439),(15 4102928.8),(16 4549746.5),(17 5014977.5),(18 5478486.5),(19 5947191.5),(20 6406422.5),(21 6852462),(22 7259372),(23 7658227.5),(24 7998970.5),(25 8314181.5),(26 8592327),(27 8842887),(28 9039405),(29 9202159),(30 9330977),(31 9411515),(32 9487135),(33 9584369),(34 9656039),(35 9746041),(36 9827197),(37 9910765),(38 10016251),(39 10087343),(40 10144011),(41 10216387),(42 10276996),(43 10346155),(44 10423963),(45 10512908),(46 10590360),(47 10684011),(48 10761516),(49 10863749),(50 10969147),(51 11086752),(52 11176504),(53 11263821),(54 11322045),(55 11357883),(56 11338276),(57 11311319),(58 11254165),(59 11165537),(60 11064064),(61 10947032),(62 10812760),(63 10639945),(64 10429512),(65 10224795),(66 10034075),(67 9876817),(68 9759568),(69 9675218),(70 9607809),(71 9585335),(72 9581237),(73 9624602),(74 9689341),(75 9778877),(76 9885587),(77 10002663),(78 10132455),(79 10268912),
(1 43430.07),(2 173054.97),(3 389604.03),(4 692100.56),(5 1079712.6),(6 1544492.6),(7 2092289.4),(8 2723727),(9 3403456.5),(10 4131037),(11 4898741.5),(12 5686303),(13 6495133),(14 7314418),(15 8140680),(16 8935607),(17 9705772),(18 10450692),(19 11165023),(20 11828732),(21 12443766),(22 12973771),(23 13468682),(24 13906886),(25 14290004),(26 14644084),(27 14959420),(28 15241476),(29 15479284),(30 15694804),(31 15945287),(32 16247435),(33 16540745),(34 16772503),(35 17022486),(36 17284080),(37 17541852),(38 17777764),(39 17943982),(40 18043292),(41 18125380),(42 18175724),(43 18185906),(44 18149788),(45 18050808),(46 17896792),(47 17701226),(48 17450912),(49 17158656),(50 16819722),(51 16458889),(52 16048215),(53 15602732),(54 15152357),(55 14677020),(56 14170660),(57 13648222),(58 13125376),(59 12619967),(60 12159292),(61 11722565),(62 11319458),(63 10989490),(64 10720642),(65 10528284),(66 10418257),(67 10410967),(68 10458760),(69 10543950),(70 10644513),(71 10785673),(72 10954945),(73 11152018),(74 11378921),(75 11622655),(76 11881289),(77 12133598),(78 12387253),(79 12633703),
(1 34696.59),(2 136589.06),(3 305940.63),(4 535906.4),(5 823446.94),(6 1158360.5),(7 1532622.5),(8 1943136.9),(9 2365583.8),(10 2800132.8),(11 3240710.5),(12 3674931.8),(13 4097189.8),(14 4511570),(15 4915676.5),(16 5303935),(17 5681517),(18 6049483),(19 6412595.5),(20 6771845),(21 7133354),(22 7492128.5),(23 7882062.5),(24 8269072),(25 8653772),(26 9039814),(27 9426260),(28 9791584),(29 10132497),(30 10431626),(31 10628821),(32 10740333),(33 10850070),(34 10933565),(35 11001287),(36 11034233),(37 11037297),(38 10991575),(39 10890651),(40 10747015),(41 10575758),(42 10375121),(43 10163487),(44 9934520),(45 9694827),(46 9467638),(47 9260039),(48 9078788),(49 8931194),(50 8811644),(51 8724364),(52 8679615),(53 8686555),(54 8729896),(55 8805387),(56 8910335),(57 9031927),(58 9179863),(59 9347638),(60 9538364),(61 9753261),(62 10009423),(63 10283398),(64 10522961),(65 10717805),(66 10866503),(67 10979261),(68 11057823),(69 11124574),(70 11190427),(71 11239399),(72 11276218),(73 11298447),(74 11302796),(75 11305226),(76 11321857),(77 11345481),(78 11374196),(79 11422223),
(1 25886.4),(2 100607.42),(3 220331.6),(4 382507.8),(5 584779),(6 823093.8),(7 1092465.8),(8 1391211.3),(9 1704236.8),(10 2026665.3),(11 2358827),(12 2691304.3),(13 3012574),(14 3329576.5),(15 3640990.8),(16 3928849.5),(17 4207110.5),(18 4481479.5),(19 4753302.5),(20 5021569.5),(21 5290903),(22 5564141),(23 5854049.5),(24 6148957),(25 6445161),(26 6733549),(27 7006418.5),(28 7251672),(29 7454691),(30 7616430.5),(31 7688502.5),(32 7704257),(33 7754881.5),(34 7837657.5),(35 7936713.5),(36 8056441),(37 8184759),(38 8328453.5),(39 8477464),(40 8626010),(41 8786594),(42 8941712),(43 9103500),(44 9247926),(45 9368043),(46 9467066),(47 9554698),(48 9627430),(49 9677495),(50 9731516),(51 9803666),(52 9905944),(53 10070802),(54 10258851),(55 10435879),(56 10621413),(57 10787958),(58 10947286),(59 11092752),(60 11217164),(61 11335618),(62 11474441),(63 11612323),(64 11704078),(65 11760514),(66 11798255),(67 11826445),(68 11879939),(69 11969909),(70 12095416),(71 12245246),(72 12409991),(73 12591040),(74 12769323),(75 12944906),(76 13139525),(77 13326674),(78 13516053),(79 13696147),
(1 29090.707),(2 114756.04),(3 251997.48),(4 435482.47),(5 662429.44),(6 922790.7),(7 1213053.4),(8 1523855.3),(9 1853725.9),(10 2193466.3),(11 2535849),(12 2876795.8),(13 3209063.5),(14 3545005.3),(15 3883895),(16 4212425),(17 4543175.5),(18 4882739.5),(19 5238866.5),(20 5624229.5),(21 6038665),(22 6472573.5),(23 6930691.5),(24 7381648),(25 7809530.5),(26 8212912.5),(27 8571694),(28 8883538),(29 9137696),(30 9339551),(31 9485198),(32 9605196),(33 9725356),(34 9851145),(35 9976202),(36 10105511),(37 10226356),(38 10341984),(39 10443753),(40 10530815),(41 10605546),(42 10665871),(43 10719365),(44 10743678),(45 10751150),(46 10779198),(47 10844005),(48 10954416),(49 11079819),(50 11239794),(51 11429190),(52 11613120),(53 11800155),(54 11968895),(55 12122821),(56 12279189),(57 12414353),(58 12537814),(59 12638853),(60 12711609),(61 12783236),(62 12833099),(63 12861803),(64 12860905),(65 12833462),(66 12805446),(67 12781665),(68 12752049),(69 12722948),(70 12682560),(71 12642654),(72 12597862),(73 12548139),(74 12495818),(75 12438198),(76 12387082),(77 12333684),(78 12289874),(79 12248108),
(1 33592.258),(2 129573.99),(3 279061.1),(4 468943.16),(5 685981.94),(6 914767.06),(7 1146095.6),(8 1368060.8),(9 1572728.1),(10 1749857.5),(11 1897510.4),(12 2017420.9),(13 2116065.8),(14 2202294.5),(15 2286647),(16 2369617.3),(17 2465817.8),(18 2577124.8),(19 2704533.8),(20 2848513.5),(21 3007591.5),(22 3173212.5),(23 3339284.3),(24 3484807.5),(25 3612191.5),(26 3716787.3),(27 3810757),(28 3902135.5),(29 4000169),(30 4117961.5),(31 4268494.5),(32 4446440.5),(33 4678515.5),(34 4953854),(35 5280595.5),(36 5640266.5),(37 6008360),(38 6384463),(39 6738403.5),(40 7071758),(41 7379319.5),(42 7645462.5),(43 7878072),(44 8068212.5),(45 8213624),(46 8343755),(47 8470382),(48 8593434),(49 8683515),(50 8761131),(51 8820488),(52 8861460),(53 8886465),(54 8893511),(55 8895457),(56 8894130),(57 8883923),(58 8873634),(59 8854007),(60 8827388),(61 8797195),(62 8749922),(63 8705809),(64 8637973),(65 8560569),(66 8472032),(67 8378225.5),(68 8274286),(69 8146903.5),(70 8000727.5),(71 7846365.5),(72 7694798),(73 7533886),(74 7385058),(75 7238675.5),(76 7120416),(77 7030440.5),(78 6967624.5),(79 6946880),
(1 40436.484),(2 155749.16),(3 333634.66),(4 565831.5),(5 843125.94),(6 1153171.3),(7 1482762.3),(8 1823200.9),(9 2171194),(10 2505278.5),(11 2822033),(12 3118941.5),(13 3390252),(14 3646220.8),(15 3889779.8),(16 4098456),(17 4288815),(18 4455719.5),(19 4604628),(20 4728426),(21 4839439),(22 4921729),(23 4986284),(24 5031734.5),(25 5061871.5),(26 5093158.5),(27 5141702),(28 5213310),(29 5317391),(30 5465518.5),(31 5655656.5),(32 5892312.5),(33 6136459.5),(34 6351734.5),(35 6543613),(36 6680148),(37 6756163),(38 6778652),(39 6738268.5),(40 6641200),(41 6516102),(42 6375908),(43 6247863.5),(44 6136301),(45 6054532),(46 6012408.5),(47 6019800),(48 6054824.5),(49 6103698),(50 6163667),(51 6236697.5),(52 6329060),(53 6461523),(54 6619854.5),(55 6802344.5),(56 7003876),(57 7211353),(58 7405324),(59 7597258.5),(60 7751038),(61 7881185.5),(62 7979917),(63 8044150.5),(64 8045151),(65 7990251.5),(66 7900106.5),(67 7792399.5),(68 7681400),(69 7576549.5),(70 7484687),(71 7411300),(72 7352044),(73 7312065),(74 7281921),(75 7259690),(76 7251845),(77 7247668.5),(78 7243986.5),(79 7241590.5),
(1 40825.375),(2 157709.69),(3 340452.22),(4 582640.1),(5 875604.5),(6 1207990.3),(7 1561464.6),(8 1920375.5),(9 2278349.8),(10 2608938.3),(11 2901798.3),(12 3156590),(13 3361134),(14 3534848.8),(15 3680191.5),(16 3790781.8),(17 3889564.5),(18 3974553),(19 4063581),(20 4152851.5),(21 4256611),(22 4364540),(23 4491338),(24 4638298.5),(25 4804797),(26 4987633),(27 5183576),(28 5385614),(29 5574698.5),(30 5751224),(31 5899469.5),(32 6020254),(33 6110071),(34 6149458.5),(35 6169180.5),(36 6153276),(37 6139349),(38 6126905),(39 6132822),(40 6145418),(41 6177684.5),(42 6202365),(43 6239543),(44 6285051),(45 6333450),(46 6404233),(47 6530461),(48 6700054),(49 6898459.5),(50 7129442.5),(51 7368214),(52 7604071),(53 7814080),(54 7979470),(55 8096604.5),(56 8150687),(57 8143641),(58 8067125.5),(59 7938859.5),(60 7751743),(61 7534326),(62 7304022),(63 7080553),(64 6876333),(65 6688477.5),(66 6540368),(67 6425091.5),(68 6357397),(69 6326389),(70 6319777),(71 6334262),(72 6346481.5),(73 6354850.5),(74 6329526.5),(75 6282112.5),(76 6209922),(77 6112094),(78 6000254),(79 5884243.5),
(1 61909.992),(2 244881.83),(3 534980.9),(4 913661.06),(5 1353854.9),(6 1827469.1),(7 2300280),(8 2747023.3),(9 3138743.5),(10 3460878),(11 3714855.3),(12 3909499.8),(13 4064386),(14 4209414.5),(15 4366740),(16 4535049.5),(17 4717406.5),(18 4907765),(19 5098520),(20 5262162),(21 5382903.5),(22 5462763.5),(23 5548720),(24 5660316),(25 5836456),(26 6097519.5),(27 6459982.5),(28 6891077),(29 7337501.5),(30 7734401),(31 7990955.5),(32 8106319),(33 8162093),(34 8163305.5),(35 8099798.5),(36 7971582),(37 7812592),(38 7626361),(39 7411493.5),(40 7168095),(41 6902356),(42 6617311),(43 6340819),(44 6081942),(45 5874848),(46 5717748.5),(47 5624625),(48 5584464),(49 5581066.5),(50 5599627.5),(51 5623891),(52 5656572),(53 5699979.5),(54 5758263),(55 5814147),(56 5874035.5),(57 5938035),(58 6009011.5),(59 6097718.5),(60 6202893),(61 6333988),(62 6502291),(63 6685122),(64 6860972),(65 7017788.5),(66 7151573.5),(67 7235230),(68 7293481),(69 7361004.5),(70 7433488),(71 7497610.5),(72 7532156),(73 7542084.5),(74 7519183),(75 7477478.5),(76 7415945),(77 7360141),(78 7313035.5),(79 7283532),
