1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 13458.577),(2 20791.19),(3 24537.705),(4 27282.387),(5 28132.447),(6 28895.883),(7 30376.389),(8 30867.52),(9 31540.166),(10 32633.668),(11 33209.863),(12 33599.81),(13 33339.414),(14 33775.117),(15 33847.414),(16 33799.926),(17 33187.277),(18 33340.723),(19 32596.594),(20 32493.027),(21 32281.035),(22 32978.305),(23 32880.652),(24 31948.314),(25 31513.3),(26 31112.68),(27 31712.846),(28 31736.613),(29 31410.078),(30 31892.734),(31 32842.816),(32 33465.402),(33 33431.14),(34 33386.895),(35 33813.11),(36 34193.97),(37 34770.58),(38 34788.188),(39 34423.94),(40 34601.57),(41 34548.76),(42 34723.598),(43 35159.543),(44 35453.168),(45 35798.33),(46 35682.082),(47 35296.426),(48 35410.44),(49 35810.258),(50 35999.71),(51 36592.105),(52 35985.81),(53 35529.668),(54 35710.19),(55 35795.62),(56 35700.273),(57 35399.227),(58 35146.43),(59 35559.5),(60 36096.125),(61 35409.363),(62 35612.87),(63 35843.797),(64 35585.664),(65 35246.145),(66 35104.125),(67 35264.348),(68 36016.38),(69 35828.152),(70 36408.793),(71 36598.668),(72 36407.594),(73 36701.45),(74 36958.457),(75 37188.36),(76 37277.156),(77 36790.656),(78 36217.766),(79 36150.652),
(1 13485.139),(2 20440.813),(3 23833.07),(4 25890.648),(5 27661.738),(6 28410.65),(7 28978.734),(8 30041.266),(9 30994.883),(10 32279.404),(11 32859.125),(12 33264.117),(13 32769.773),(14 32863.945),(15 32599.7),(16 32339.574),(17 31788.393),(18 32183.945),(19 31793.055),(20 31685.398),(21 31740.432),(22 31049.346),(23 30395.123),(24 30013.52),(25 29505.004),(26 29348.982),(27 29043.156),(28 29636.596),(29 29425.87),(30 30050.21),(31 30456.861),(32 30675.895),(33 31251.098),(34 31481.068),(35 32189.053),(36 32172.207),(37 32579.395),(38 33066.04),(39 32972.64),(40 32296.027),(41 32305.887),(42 32573.44),(43 33019.137),(44 33664.668),(45 34217.684),(46 33993.207),(47 33504.055),(48 33098.395),(49 32282.873),(50 32023.012),(51 32158.797),(52 32566.262),(53 32574.48),(54 32649.447),(55 33045.44),(56 33013.035),(57 33313.4),(58 33188.188),(59 33039.18),(60 33485.086),(61 33899.258),(62 34012.797),(63 34154.496),(64 34079.316),(65 34109.977),(66 34309.72),(67 34579.44),(68 34222.234),(69 34363.44),(70 35371.703),(71 35359.105),(72 35618.47),(73 35524.582),(74 35567.355),(75 35464.418),(76 35021.996),(77 34539.77),(78 34577.258),(79 34609.324),
(1 13403.361),(2 19943.2),(3 23063.43),(4 25462.832),(5 27240.139),(6 28034.219),(7 29222.951),(8 29955.97),(9 30145.914),(10 30919.59),(11 31863.861),(12 32321.738),(13 32285.545),(14 32624.629),(15 32127.967),(16 31767.752),(17 31721.041),(18 30990.99),(19 30130.148),(20 29866.11),(21 29879.104),(22 29775.705),(23 29970.752),(24 30301.338),(25 29540.943),(26 29103.18),(27 28831.695),(28 29083.74),(29 29389.607),(30 29854.078),(31 29735.082),(32 29659.64),(33 30147.742),(34 30921.3),(35 31217.307),(36 31189.707),(37 30843.975),(38 31636.084),(39 31390.19),(40 31581.975),(41 31760.049),(42 31640.273),(43 31371.857),(44 31821.523),(45 31953.916),(46 32371.95),(47 32507.188),(48 32310.473),(49 31846.121),(50 32189.682),(51 32947.293),(52 33355.61),(53 33708.313),(54 33620.934),(55 33735.445),(56 33601.75),(57 33714.484),(58 32878.582),(59 32875.176),(60 33010.883),(61 32855.42),(62 33063.137),(63 33458.61),(64 33772.008),(65 33326.34),(66 34119.23),(67 34357.258),(68 33777.406),(69 33776.16),(70 33941.242),(71 33983.832),(72 34100.285),(73 33962.53),(74 33836),(75 33056.45),(76 32995.125),(77 32676.578),(78 32571.684),(79 32772.46),
(1 13052.819),(2 20000.672),(3 23613.947),(4 25943.697),(5 26875.443),(6 27591.707),(7 28475.682),(8 28893.03),(9 29645.35),(10 30569.674),(11 31178.252),(12 31039.73),(13 31260.16),(14 31574.475),(15 31073.988),(16 31042.229),(17 30743.773),(18 30614.209),(19 30420.914),(20 30557.145),(21 31058.244),(22 30742.947),(23 30351.732),(24 29916.387),(25 29619.197),(26 29790.068),(27 29293.363),(28 29872.81),(29 30975.822),(30 31937.725),(31 31994.033),(32 31776.021),(33 31201.969),(34 31821.049),(35 32049.023),(36 32300.943),(37 32613.998),(38 33427.94),(39 33335.74),(40 33923.145),(41 34024.918),(42 33920.207),(43 33275.215),(44 33444.2),(45 33653.484),(46 33112.05),(47 33599.95),(48 33328.53),(49 33583.574),(50 33616.83),(51 34112.867),(52 34104.973),(53 33931.26),(54 34100.707),(55 34099.367),(56 34359.957),(57 34070.105),(58 33864.35),(59 33777.496),(60 33594.34),(61 33357.85),(62 33873.926),(63 33789.15),(64 34335.086),(65 34464.71),(66 34378.574),(67 34322.79),(68 34465.156),(69 34619.777),(70 35449.293),(71 35051.207),(72 34876.28),(73 34788.047),(74 34870.355),(75 34071.23),(76 33525.992),(77 33100.96),(78 33425.42),(79 33723.727),
(1 12723.319),(2 19375.797),(3 22747.172),(4 24427.238),(5 26055.678),(6 26624.354),(7 26965.326),(8 28698.082),(9 29599.441),(10 30414.299),(11 30941.043),(12 31087.945),(13 31423.816),(14 31913.678),(15 31478.871),(16 31876.193),(17 31700.932),(18 31227.664),(19 30581.832),(20 30475.008),(21 29960.152),(22 29460.129),(23 29235.705),(24 29392.389),(25 29229.094),(26 29684.367),(27 29378.424),(28 29571.986),(29 29431.158),(30 29660.072),(31 29467.965),(32 29000.092),(33 28524.494),(34 29135.729),(35 29986.244),(36 29965.396),(37 30654.053),(38 30872.443),(39 31570.191),(40 31703.092),(41 32175.137),(42 32499.799),(43 32334.896),(44 32526.096),(45 32935.32),(46 33638.285),(47 34114.16),(48 33863.395),(49 33975.18),(50 34419.96),(51 34367.73),(52 34356.883),(53 34740.566),(54 34659.496),(55 34766.41),(56 34743.074),(57 34682.098),(58 34259.28),(59 34495.53),(60 34754.016),(61 34699.285),(62 34186.746),(63 34686.426),(64 34712.438),(65 34508.26),(66 34240.844),(67 34717.063),(68 34866.563),(69 35215.285),(70 35573.273),(71 35961.72),(72 35704.594),(73 35628.047),(74 35616.836),(75 35371.6),(76 34672.645),(77 34364.61),(78 34298.156),(79 33849.652),
(1 12648.885),(2 19188.451),(3 22537.27),(4 24608.764),(5 26648.885),(6 27490.82),(7 27769.705),(8 28577.037),(9 29545.14),(10 29811.14),(11 30339.91),(12 30350.309),(13 30436.83),(14 30769.055),(15 30386.36),(16 30996.143),(17 30875.422),(18 30897.352),(19 30071.957),(20 29583.154),(21 29513.19),(22 29280.607),(23 28940.695),(24 28590.955),(25 28409.96),(26 28542.766),(27 27878.266),(28 27910.195),(29 27632.27),(30 27976.334),(31 28130.572),(32 28500.77),(33 28402.098),(34 28650.104),(35 29217.477),(36 29628.977),(37 30229.215),(38 30370.855),(39 30463.754),(40 30261.486),(41 30753.707),(42 30705.406),(43 30836.46),(44 30954.67),(45 31139.453),(46 31531.344),(47 31808.299),(48 30861.229),(49 30580.902),(50 30946.838),(51 31540.092),(52 31477.07),(53 31733.879),(54 31940.734),(55 32402.79),(56 31900.967),(57 31504.992),(58 31149.207),(59 31631.016),(60 32013.082),(61 31924.56),(62 31359.264),(63 31880.508),(64 31899.271),(65 32296.387),(66 32289.965),(67 32428.24),(68 32593.092),(69 32769.64),(70 32668.926),(71 33080.082),(72 33026.99),(73 32558.074),(74 32493.07),(75 31858.059),(76 31061.006),(77 31181.64),(78 31049.572),(79 30521.926),
(1 12826.883),(2 19273.508),(3 22749.453),(4 25490.277),(5 27051.37),(6 27507.195),(7 28103.39),(8 28777.428),(9 29729.72),(10 30661.984),(11 31563.484),(12 31779.57),(13 31419.904),(14 31305.074),(15 31269.793),(16 30938.602),(17 30720.633),(18 30175.613),(19 29376.191),(20 28765.764),(21 28915.078),(22 28682.893),(23 28633.963),(24 28349.56),(25 28482.223),(26 27871.16),(27 28120.738),(28 27469.322),(29 27812.281),(30 28370.367),(31 28540.451),(32 28933.854),(33 29009.941),(34 29258.44),(35 29806.99),(36 29878.48),(37 30199.443),(38 30691.635),(39 31406.63),(40 32030.777),(41 31833.576),(42 31978.418),(43 31728.338),(44 32247.7),(45 32483.69),(46 33333.746),(47 33499.742),(48 33377.98),(49 33473.324),(50 33036.06),(51 32660.814),(52 32001.627),(53 31964.02),(54 32078.361),(55 32578.857),(56 33114.645),(57 32672.295),(58 31985.076),(59 31938.746),(60 31257.043),(61 31343.813),(62 31905.477),(63 32140.086),(64 32407.514),(65 32307.979),(66 32044.41),(67 32350.236),(68 32477.625),(69 32800.1),(70 33810.41),(71 33537.59),(72 33458.105),(73 33471.383),(74 33034.93),(75 32454.756),(76 32713.24),(77 32552.082),(78 32615.281),(79 31835.469),
(1 12546.631),(2 19059.67),(3 22714.896),(4 25507.547),(5 27161.838),(6 27695.785),(7 27811.615),(8 28910.104),(9 30116.258),(10 31110.04),(11 31216.531),(12 30887.996),(13 31213.506),(14 30977.81),(15 30598.19),(16 29924.26),(17 30027.852),(18 29273.904),(19 29427.428),(20 28768.482),(21 28536.656),(22 28484.873),(23 28212.244),(24 28396.012),(25 28444.412),(26 28306.885),(27 28650.404),(28 28422.613),(29 28448.807),(30 28564.436),(31 29098.033),(32 29009.623),(33 30088.21),(34 29904.605),(35 30049.16),(36 30166.588),(37 30690.887),(38 30211.29),(39 30562.352),(40 31158.129),(41 31225.41),(42 31395.889),(43 31936.639),(44 31929.883),(45 32148.805),(46 32208.23),(47 31931.154),(48 31988.479),(49 31723.668),(50 31314.104),(51 31683.145),(52 32275.137),(53 31845.484),(54 31629.783),(55 32055.295),(56 31894.342),(57 31827.943),(58 31833.996),(59 31854.475),(60 31346.867),(61 31116.057),(62 31710.191),(63 32298.584),(64 31994.883),(65 31653.256),(66 31384.914),(67 31476.338),(68 32176.22),(69 32399.05),(70 33104.605),(71 33272.023),(72 32753.926),(73 31939.982),(74 31415.701),(75 31251.373),(76 31505.795),(77 31506.996),(78 30977.938),(79 30392.615),
(1 12404.9),(2 18590.592),(3 22001.861),(4 24116.74),(5 25610.025),(6 26793.084),(7 27862.326),(8 28981.26),(9 29971.363),(10 30696.885),(11 31054.715),(12 31486.887),(13 31550.445),(14 31372.309),(15 31101.805),(16 30863.883),(17 30977.545),(18 30208.531),(19 29273.027),(20 28418.018),(21 27872.2),(22 27751.727),(23 27125.291),(24 27029.563),(25 26922.396),(26 27045.523),(27 27490.797),(28 27590.443),(29 28031.46),(30 28148.088),(31 28952.365),(32 29749.533),(33 30128.117),(34 30266.639),(35 30092.012),(36 30392.1),(37 31314.434),(38 31727.373),(39 32248.203),(40 32354.965),(41 32138.828),(42 32412.92),(43 33058.51),(44 33419.145),(45 33943.203),(46 33984.746),(47 33386.617),(48 33446.656),(49 33583.934),(50 33533.27),(51 33663.8),(52 34295.754),(53 34329.723),(54 34188.152),(55 33680.324),(56 33786.145),(57 34132.246),(58 33460.23),(59 33164.348),(60 33189.504),(61 32752.78),(62 33194.53),(63 33567.105),(64 33616.395),(65 34249.707),(66 34016.34),(67 34058.04),(68 34005.082),(69 34118.47),(70 34816.605),(71 34855.355),(72 34565.023),(73 34549.84),(74 34475.36),(75 34139.926),(76 33523.363),(77 33656.945),(78 33068.06),(79 32913.707),
(1 11655.061),(2 17444.11),(3 20569.672),(4 22612.273),(5 23972.174),(6 25184.883),(7 26258.82),(8 27030.672),(9 28363.566),(10 28619.06),(11 29404.445),(12 29426.125),(13 29485.107),(14 29383.531),(15 28930.748),(16 28748.564),(17 28274.867),(18 27584.777),(19 27327.662),(20 26949.486),(21 26558.336),(22 26788.709),(23 26434.2),(24 25851.418),(25 26436.152),(26 26639.123),(27 26667.06),(28 26577.709),(29 26932.445),(30 27020.236),(31 27307.691),(32 27581.371),(33 28244.697),(34 28343.594),(35 28710.93),(36 28880.482),(37 29374.863),(38 29381.041),(39 29798.863),(40 29752.902),(41 30072.88),(42 30121.363),(43 30273.098),(44 30478.094),(45 30854.693),(46 30719.656),(47 30832.545),(48 31004.844),(49 31546.889),(50 31434.664),(51 31453.072),(52 31651.883),(53 31672.61),(54 31816.432),(55 31860.69),(56 32049.414),(57 32023.238),(58 32261.854),(59 32521.621),(60 31996.893),(61 31941.51),(62 31755.895),(63 32209.02),(64 32258.525),(65 31987.207),(66 32072.459),(67 31712.871),(68 31454.555),(69 31979.723),(70 32254.078),(71 32365.182),(72 32239.203),(73 32046.576),(74 31388.36),(75 31614.652),(76 31355.346),(77 30871.252),(78 30189.89),(79 29745.42),
(1 11773.959),(2 17851.55),(3 21685.777),(4 23937.973),(5 25765.879),(6 27165.809),(7 28352.646),(8 29390.99),(9 30893.027),(10 31647.62),(11 31882.334),(12 32390.766),(13 32452.453),(14 32070.729),(15 31283.266),(16 30680.354),(17 30146.404),(18 29011.67),(19 28628.168),(20 28557.139),(21 28159.13),(22 28266.527),(23 28054.87),(24 27324.033),(25 27123.008),(26 26665.234),(27 26812.59),(28 27232.328),(29 27789.21),(30 27687.54),(31 28128.81),(32 28666.934),(33 29351.285),(34 30080.01),(35 29784.156),(36 29925.566),(37 30362.969),(38 30716.105),(39 31632.701),(40 31301.645),(41 31402.078),(42 32123.621),(43 31691.387),(44 31668.975),(45 31952.285),(46 31745.752),(47 31965.719),(48 32892.625),(49 33456.004),(50 33203.95),(51 33197.9),(52 33908.965),(53 34262.496),(54 34548.758),(55 34654.75),(56 34179.773),(57 33867.605),(58 33336.332),(59 33685.6),(60 33069.004),(61 33264.824),(62 33827.617),(63 34263.043),(64 33928.543),(65 33823.96),(66 34218.773),(67 34335.086),(68 33940.832),(69 34638),(70 34774.816),(71 34656.87),(72 34201.01),(73 33600.36),(74 33231.71),(75 32802.12),(76 32111.852),(77 32123.629),(78 31315.088),(79 31095.445),
(1 11422.039),(2 16718.9),(3 20364.754),(4 22212.205),(5 23617.67),(6 24562.064),(7 25504.479),(8 26841.438),(9 27798.2),(10 28720.68),(11 28676.69),(12 28793.928),(13 28877.113),(14 28661.207),(15 28575.936),(16 28151.049),(17 27984.717),(18 27273.682),(19 27102.705),(20 26494.914),(21 25908.715),(22 25910.729),(23 25917.791),(24 25588.746),(25 25960.002),(26 26336.883),(27 26928.193),(28 27223.23),(29 27684.133),(30 28217.955),(31 28522.623),(32 28285.572),(33 28708.7),(34 28830.615),(35 28518.203),(36 28809.814),(37 28956.643),(38 29198.521),(39 29031.291),(40 29325.885),(41 29177.617),(42 29336.686),(43 29269.258),(44 29684.395),(45 29959.215),(46 29961.086),(47 30032.938),(48 30313.037),(49 30529.94),(50 30426.072),(51 30704.943),(52 30917.102),(53 30827.037),(54 30841.668),(55 30925.734),(56 30677.914),(57 30499.605),(58 30756.578),(59 30850.193),(60 30688.057),(61 31377.838),(62 31599.068),(63 31731.86),(64 31753.172),(65 31415.012),(66 31344.676),(67 31276.125),(68 31997.938),(69 32102.588),(70 32432.309),(71 32352.363),(72 32047.846),(73 31646.092),(74 31242.795),(75 31113.883),(76 30808.254),(77 30693.188),(78 30044.193),(79 29598.088),
(1 11430.675),(2 16301.686),(3 19489.104),(4 21367.252),(5 22973.537),(6 24249.607),(7 25041.518),(8 26450.93),(9 27181.703),(10 27660.26),(11 27952.898),(12 28372.576),(13 28171.436),(14 27948.602),(15 27412.707),(16 26817.22),(17 26613.834),(18 25468.775),(19 25608.785),(20 24813.56),(21 24199.67),(22 24216.707),(23 24510.932),(24 24727.453),(25 24826.96),(26 24718.47),(27 24961.688),(28 25050.45),(29 25422.271),(30 25746.705),(31 26447.002),(32 26961.688),(33 27040.729),(34 27219.162),(35 27140),(36 27533.16),(37 27774.756),(38 28513.459),(39 29333.576),(40 29601.406),(41 29591.291),(42 29726.781),(43 29688.717),(44 30087.916),(45 29836.758),(46 29658.28),(47 29632.684),(48 29914.936),(49 30275),(50 30438.156),(51 29941.852),(52 29869.95),(53 29359.678),(54 29551.082),(55 30129.93),(56 30024.498),(57 29284.344),(58 29146.313),(59 29204.908),(60 29577.168),(61 29990.762),(62 30321.93),(63 29899.838),(64 29851.838),(65 29860.336),(66 30259.348),(67 30196.531),(68 30534.416),(69 30593.625),(70 30879.707),(71 30760.395),(72 30591.703),(73 30217.08),(74 30176.47),(75 29778.502),(76 29798.68),(77 29433.922),(78 29137.607),(79 28752.361),
(1 11237.666),(2 16642.385),(3 20127.166),(4 21949.559),(5 23221.441),(6 23796.242),(7 24650.506),(8 25665.143),(9 26635.02),(10 26936.818),(11 27304.586),(12 27406.07),(13 27143.432),(14 27076.295),(15 26672.941),(16 26390.404),(17 26061.467),(18 25719.287),(19 25676.86),(20 25612.037),(21 25451.166),(22 25267.166),(23 25351.307),(24 25046.955),(25 24466.938),(26 24279.266),(27 24614.506),(28 24294.955),(29 24293.336),(30 24658.172),(31 25070.547),(32 25278.008),(33 25542.773),(34 25762.61),(35 25648.744),(36 25924.926),(37 26708.889),(38 27016.148),(39 27209.652),(40 27325.908),(41 27585.42),(42 27667.637),(43 27651.494),(44 27809.113),(45 27613.068),(46 27901.148),(47 28051.54),(48 27868.955),(49 28028.086),(50 28182.635),(51 28181.79),(52 28172.982),(53 28068.316),(54 27828.17),(55 27607.664),(56 27933.955),(57 28311.709),(58 27894.521),(59 27952.717),(60 27930.133),(61 28222.77),(62 28022.197),(63 28033.771),(64 27953.188),(65 27958.682),(66 27768.092),(67 28000.314),(68 28575.277),(69 28827.49),(70 28789.344),(71 28545.53),(72 28279.617),(73 28185.85),(74 28222.023),(75 28504.652),(76 27924.082),(77 27741.479),(78 27136.766),(79 27267.49),
(1 10627.925),(2 15933.923),(3 19392.39),(4 21390.877),(5 22987.201),(6 24118.383),(7 25200.617),(8 26338.367),(9 27216.47),(10 28071.645),(11 27797.717),(12 28025.113),(13 27625.172),(14 27249.531),(15 26639.27),(16 26006.518),(17 25495.871),(18 25185.416),(19 24985.69),(20 24861.984),(21 24449.773),(22 24336.602),(23 24147.213),(24 24299.29),(25 24030.709),(26 24055.133),(27 24353.703),(28 24435.12),(29 24579.475),(30 24966.328),(31 24939.164),(32 25324.879),(33 25954.463),(34 26035.691),(35 25994.086),(36 26142.74),(37 27184.58),(38 27439.953),(39 27641.447),(40 27452.533),(41 27851.766),(42 28149.373),(43 27947.002),(44 28056.443),(45 28345.012),(46 28046.28),(47 27982.52),(48 27642.938),(49 27538.246),(50 27715.072),(51 27923.719),(52 28296.854),(53 28295),(54 28226.379),(55 28063.48),(56 27539.098),(57 27507.496),(58 27184.434),(59 27208.938),(60 27176.246),(61 27684.668),(62 27936.844),(63 27884.092),(64 27914.398),(65 28146.305),(66 28222.5),(67 28347.99),(68 28773.488),(69 28732.441),(70 28654.143),(71 28615.086),(72 28345.822),(73 28078.814),(74 27967.195),(75 27785.512),(76 27358.8),(77 27312.887),(78 26930.836),(79 26582.38),
(1 10870.552),(2 15685.886),(3 18430.818),(4 20282.605),(5 22002.303),(6 22784.873),(7 23916.53),(8 24538.396),(9 25607.07),(10 26076.709),(11 26424.14),(12 26442.355),(13 26123.945),(14 25666.432),(15 25508.555),(16 24854.422),(17 24777.53),(18 24600.715),(19 24543.201),(20 24272.992),(21 23825.188),(22 23898.076),(23 23692.59),(24 24160.488),(25 23721.691),(26 23861.283),(27 23790.932),(28 23775.555),(29 24212.148),(30 24502.504),(31 24424.896),(32 24850.26),(33 24965.453),(34 25543.412),(35 25946.703),(36 26536.926),(37 26869.08),(38 27275.342),(39 27638.113),(40 27481.518),(41 27889.025),(42 27857.482),(43 27745.246),(44 27909.502),(45 27836.238),(46 28011.209),(47 27847.342),(48 27821.773),(49 27713.205),(50 27815.41),(51 28015.732),(52 28255.557),(53 27556.896),(54 27251.148),(55 27034.955),(56 27525.05),(57 27535.695),(58 27430.23),(59 27432.527),(60 27299.943),(61 27218.355),(62 27784.676),(63 27380.016),(64 27547.994),(65 27598.686),(66 27499.875),(67 27734.36),(68 27461.137),(69 27390.969),(70 27413.625),(71 27565.936),(72 27499.227),(73 27238.816),(74 26925.389),(75 26586.91),(76 26144.926),(77 26253.975),(78 25948.9),(79 25415.959),
(1 10449.569),(2 15318.037),(3 17750.732),(4 19246.807),(5 20571.266),(6 21661.623),(7 22667.719),(8 23846.307),(9 24951.35),(10 25500.844),(11 25820.207),(12 26037.742),(13 25987.477),(14 25200.918),(15 24752.35),(16 24616.838),(17 23996.158),(18 23782.564),(19 23465.244),(20 23173.463),(21 22427.715),(22 22345.572),(23 21943.639),(24 22037.998),(25 22045.533),(26 22367.932),(27 22909.785),(28 22731.732),(29 22648.969),(30 23011.625),(31 23501.799),(32 23819),(33 24545.258),(34 24416.95),(35 24611.945),(36 24980.818),(37 25035.967),(38 25051.13),(39 24877.787),(40 25373.066),(41 25470.508),(42 25450.17),(43 25874.93),(44 25545.629),(45 25461.533),(46 25646.139),(47 25890.465),(48 26178.074),(49 26091.514),(50 26067.03),(51 25904.367),(52 25569.322),(53 25609.502),(54 25966.576),(55 26024.14),(56 25823.945),(57 25801.398),(58 25761.736),(59 26020.795),(60 26238.848),(61 26132.22),(62 26227.422),(63 26157.379),(64 26407.398),(65 26786.412),(66 26726.695),(67 26947.89),(68 26864.88),(69 26809.371),(70 27128.049),(71 26670.336),(72 26250.012),(73 25943.443),(74 25847.29),(75 25633.7),(76 25370.498),(77 24985.357),(78 24597.49),(79 24500.668),
(1 10296.301),(2 14907.988),(3 17532.604),(4 19088.951),(5 20076.516),(6 21068.936),(7 22158.596),(8 23318.426),(9 24169.75),(10 25088.791),(11 25422.92),(12 25341.932),(13 25030.164),(14 24646.283),(15 24160.287),(16 24031.139),(17 23508.79),(18 23041.629),(19 22578.816),(20 22243.531),(21 22490.857),(22 21977.18),(23 22242.377),(24 22241.863),(25 22229.209),(26 22190.23),(27 22485.227),(28 22928.277),(29 23293.303),(30 23467.467),(31 23954.924),(32 24274.512),(33 24737.887),(34 24786.523),(35 24603.838),(36 24872.35),(37 25171.365),(38 25648.764),(39 26146.096),(40 26508.084),(41 26890.168),(42 26715.951),(43 26542.512),(44 26499.375),(45 26531.623),(46 26504.842),(47 26542.096),(48 26511.549),(49 26523.646),(50 26183.893),(51 26692.33),(52 26723.547),(53 27042.795),(54 26983.092),(55 26938.576),(56 26959.346),(57 26757.059),(58 26903.732),(59 26824.064),(60 26853.195),(61 26547.87),(62 26117.664),(63 26350.092),(64 26678.74),(65 26744.846),(66 26743.734),(67 26976.023),(68 26878.814),(69 26915.908),(70 26711.762),(71 26783.893),(72 26816.69),(73 26334.143),(74 25760.861),(75 25340.914),(76 24928.639),(77 24549.889),(78 24310.502),(79 24184.06),
