1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 60828.26),(2 194573.88),(3 441969.66),(4 722235.3),(5 1094955.9),(6 1534794),(7 2055939.9),(8 2661674.3),(9 3387317),(10 4261489),(11 5169142.5),(12 6160847.5),(13 7271282.5),(14 8478819),(15 9775812),(16 11160460),(17 12673383),(18 14308249),(19 16113435),(20 18048820),(21 20138574),(22 22367074),(23 24794224),(24 27348714),(25 30136618),(26 33084506),(27 36118492),(28 39405276),(29 42690704),(30 46221020),(31 49699980),(32 53265748),(33 56783404),(34 60308624),(35 63854320),(36 67352184),(37 70893260),(38 74398250),(39 77971910),(40 81573090),(41 85310696),(42 88740470),(43 92146616),(44 95483656),(45 98760510),(46 101910180),(47 104954070),(48 107785976),(49 110407900),(50 112793830),(51 115004610),(52 117039944),(53 118989080),(54 120868490),(55 122657210),(56 124312584),(57 126085944),(58 127531784),(59 129023990),(60 130399450),(61 131863416),(62 133126744),(63 134355860),(64 135498510),(65 136604430),(66 137564050),(67 138471790),(68 139396370),(69 140362990),(70 141290820),(71 142234690),(72 143122220),(73 144015120),(74 144900540),(75 145681680),(76 146420510),(77 147116830),(78 147573380),(79 148042770),
(1 81468.77),(2 306635),(3 688899.25),(4 1196372.8),(5 1837532.8),(6 2601386),(7 3489830.5),(8 4492540.5),(9 5639465),(10 6970014.5),(11 8411545),(12 9984309),(13 11725195),(14 13624048),(15 15673736),(16 17826972),(17 20123314),(18 22527924),(19 25048080),(20 27654758),(21 30347232),(22 33129396),(23 36072676),(24 39157144),(25 42375684),(26 45725196),(27 49169530),(28 52772970),(29 56388908),(30 60140290),(31 63750252),(32 67350160),(33 70900264),(34 74333000),(35 77645250),(36 80886450),(37 84067600),(38 87126040),(39 90168056),(40 93184870),(41 96268600),(42 99123260),(43 101944190),(44 104575220),(45 107045200),(46 109269630),(47 111346070),(48 113078480),(49 114548930),(50 115693620),(51 116683120),(52 117444420),(53 118060460),(54 118482750),(55 118765030),(56 118972136),(57 119217660),(58 119195416),(59 119142460),(60 118955650),(61 118756630),(62 118302250),(63 117777580),(64 117116710),(65 116383320),(66 115540376),(67 114602584),(68 113588370),(69 112588904),(70 111583020),(71 110624104),(72 109660950),(73 108726296),(74 107815230),(75 106933490),(76 106045144),(77 105129816),(78 104132440),(79 103126120),
(1 129509.375),(2 502860.34),(3 1111298.6),(4 1947236),(5 2993638),(6 4234228.5),(7 5686481.5),(8 7346285.5),(9 9247141),(10 11418637),(11 13842344),(12 16482948),(13 19334670),(14 22425990),(15 25727354),(16 29162688),(17 32741898),(18 36370176),(19 40087470),(20 43911116),(21 47835652),(22 51862628),(23 56014784),(24 60312492),(25 64704430),(26 69241000),(27 73906696),(28 78666400),(29 83419870),(30 88111370),(31 92789736),(32 97295100),(33 101890070),(34 106223400),(35 110423360),(36 114441576),(37 118454616),(38 122343430),(39 126177340),(40 130002840),(41 133841660),(42 137567340),(43 141153780),(44 144450530),(45 147390460),(46 150045310),(47 152368910),(48 154415730),(49 156119120),(50 157471660),(51 158706030),(52 159642030),(53 160393040),(54 160871410),(55 161140770),(56 161158000),(57 160965920),(58 160683780),(59 160174690),(60 159359410),(61 158232850),(62 156924530),(63 155419070),(64 153645040),(65 151700270),(66 149630160),(67 147364820),(68 145035220),(69 142636300),(70 140199410),(71 137741980),(72 135301490),(73 132900160),(74 130523384),(75 128183176),(76 125880984),(77 123667160),(78 121551230),(79 119480730),
(1 142135.25),(2 550787.44),(3 1206880.3),(4 2098138.8),(5 3202025.8),(6 4497024.5),(7 5969785),(8 7608978),(9 9416567),(10 11364981),(11 13457944),(12 15658414),(13 17921930),(14 20290550),(15 22706304),(16 25117880),(17 27546232),(18 29923410),(19 32284828),(20 34649870),(21 36998064),(22 39326044),(23 41634390),(24 43950030),(25 46232788),(26 48465868),(27 50680064),(28 52789870),(29 54796990),(30 56643164),(31 58392464),(32 59909276),(33 61404764),(34 62709340),(35 63909250),(36 64999810),(37 66025464),(38 66981816),(39 67804120),(40 68561896),(41 69305250),(42 69991720),(43 70563100),(44 71018460),(45 71318020),(46 71534920),(47 71662300),(48 71735704),(49 71747380),(50 71724720),(51 71718710),(52 71681624),(53 71683090),(54 71633150),(55 71601260),(56 71529430),(57 71458690),(58 71459180),(59 71417670),(60 71407160),(61 71368940),(62 71383240),(63 71390520),(64 71366600),(65 71331590),(66 71339890),(67 71374560),(68 71405520),(69 71438120),(70 71433250),(71 71426000),(72 71422580),(73 71408330),(74 71424020),(75 71454500),(76 71508570),(77 71566410),(78 71584424),(79 71534040),
(1 107512.5),(2 412049.2),(3 892441),(4 1543066.5),(5 2343144.3),(6 3283881),(7 4346930),(8 5525072.5),(9 6812656.5),(10 8176707),(11 9639521),(12 11159287),(13 12702464),(14 14287062),(15 15884320),(16 17457986),(17 19035132),(18 20571424),(19 22090946),(20 23613836),(21 25119276),(22 26605446),(23 28065570),(24 29552894),(25 31017036),(26 32439880),(27 33836200),(28 35167548),(29 36413348),(30 37554160),(31 38641390),(32 39568356),(33 40472860),(34 41258404),(35 41983410),(36 42625924),(37 43242416),(38 43846156),(39 44452380),(40 45059840),(41 45658736),(42 46281750),(43 46848080),(44 47350400),(45 47781972),(46 48169308),(47 48489052),(48 48833230),(49 49126644),(50 49400764),(51 49709824),(52 50026084),(53 50361916),(54 50691036),(55 51014500),(56 51341184),(57 51646310),(58 52016110),(59 52376436),(60 52708010),(61 52971164),(62 53270980),(63 53527870),(64 53735548),(65 53936640),(66 54109276),(67 54272732),(68 54426090),(69 54565876),(70 54684310),(71 54821532),(72 54924892),(73 54977380),(74 55050660),(75 55124796),(76 55172420),(77 55199256),(78 55196440),(79 55080372),
(1 102787.16),(2 396238.2),(3 863296.6),(4 1490313),(5 2249661.3),(6 3129383.3),(7 4106340),(8 5178300),(9 6322516),(10 7522868),(11 8753714),(12 10027194),(13 11294872),(14 12561664),(15 13800726),(16 14990701),(17 16161405),(18 17257524),(19 18289812),(20 19253424),(21 20139776),(22 20939900),(23 21668140),(24 22353628),(25 23001882),(26 23585626),(27 24138564),(28 24647092),(29 25104178),(30 25499508),(31 25869282),(32 26166582),(33 26411182),(34 26620164),(35 26793202),(36 26936790),(37 27057916),(38 27180880),(39 27336128),(40 27547930),(41 27821798),(42 28103712),(43 28404656),(44 28705696),(45 29009706),(46 29336000),(47 29651690),(48 29991824),(49 30326694),(50 30663040),(51 31006374),(52 31359162),(53 31707382),(54 32060588),(55 32426508),(56 32816048),(57 33202746),(58 33628988),(59 34090730),(60 34508780),(61 34888588),(62 35305972),(63 35694132),(64 36073756),(65 36451590),(66 36836630),(67 37235380),(68 37678330),(69 38155116),(70 38647160),(71 39153764),(72 39654056),(73 40088984),(74 40473340),(75 40795840),(76 41005910),(77 41177640),(78 41224944),(79 41161224),
(1 85173.51),(2 328291.97),(3 710606.25),(4 1215922.6),(5 1826188.1),(6 2527478.3),(7 3308531.8),(8 4167865.8),(9 5085575.5),(10 6050789),(11 7065633),(12 8126371),(13 9216231),(14 10321403),(15 11422823),(16 12513674),(17 13575911),(18 14582160),(19 15508017),(20 16352452),(21 17119992),(22 17820060),(23 18475116),(24 19093860),(25 19675300),(26 20233400),(27 20751958),(28 21211912),(29 21602408),(30 21913088),(31 22193228),(32 22384212),(33 22533956),(34 22624330),(35 22676008),(36 22678570),(37 22641228),(38 22597034),(39 22564684),(40 22547630),(41 22552216),(42 22573710),(43 22590390),(44 22602420),(45 22597852),(46 22581304),(47 22534942),(48 22486632),(49 22416012),(50 22318740),(51 22204040),(52 22044620),(53 21856298),(54 21630620),(55 21398836),(56 21157752),(57 20899768),(58 20679656),(59 20479592),(60 20320286),(61 20212884),(62 20193042),(63 20211406),(64 20265482),(65 20356260),(66 20515132),(67 20728612),(68 20983964),(69 21284924),(70 21612640),(71 21947614),(72 22278964),(73 22603520),(74 22899508),(75 23159550),(76 23338260),(77 23459500),(78 23524766),(79 23501636),
(1 66638.26),(2 254634.95),(3 549386.9),(4 936360.9),(5 1407791.6),(6 1959282.4),(7 2581343.3),(8 3277697.8),(9 4033488.8),(10 4820028.5),(11 5633994.5),(12 6476820.5),(13 7332379.5),(14 8218235.5),(15 9116358),(16 10006943),(17 10875810),(18 11692593),(19 12456716),(20 13163840),(21 13805692),(22 14385756),(23 14920270),(24 15408759),(25 15841781),(26 16218487),(27 16543920),(28 16784632),(29 16962092),(30 17056590),(31 17126550),(32 17127138),(33 17117322),(34 17069750),(35 17011620),(36 16926602),(37 16827180),(38 16723037),(39 16604451),(40 16483526),(41 16374844),(42 16315328),(43 16262002),(44 16222546),(45 16199163),(46 16200116),(47 16233344),(48 16328874),(49 16453005),(50 16623426),(51 16825490),(52 17039730),(53 17276662),(54 17516354),(55 17772788),(56 18014164),(57 18230460),(58 18463070),(59 18674158),(60 18914972),(61 19164516),(62 19432168),(63 19682090),(64 19919752),(65 20142788),(66 20352054),(67 20541178),(68 20703830),(69 20821326),(70 20909260),(71 20970406),(72 21006016),(73 21008042),(74 20959428),(75 20880660),(76 20743042),(77 20563976),(78 20334892),(79 20063334),
(1 81946.945),(2 310997.4),(3 661591.2),(4 1104272.1),(5 1630145.4),(6 2222824.5),(7 2855778),(8 3526394.8),(9 4227816.5),(10 4950426.5),(11 5666359.5),(12 6372773),(13 7048157.5),(14 7700719),(15 8309360),(16 8874280),(17 9389284),(18 9842286),(19 10244903),(20 10602541),(21 10909489),(22 11181011),(23 11419228),(24 11618113),(25 11786490),(26 11923759),(27 12042857),(28 12142060),(29 12220762),(30 12287097),(31 12344778),(32 12414392),(33 12493324),(34 12581880),(35 12699097),(36 12826931),(37 12966658),(38 13119270),(39 13297138),(40 13488907),(41 13684331),(42 13880729),(43 14069669),(44 14234882),(45 14400819),(46 14541367),(47 14664025),(48 14770325),(49 14878682),(50 14973827),(51 15064887),(52 15147795),(53 15220216),(54 15286626),(55 15348827),(56 15414521),(57 15498259),(58 15607648),(59 15739037),(60 15901175),(61 16090758),(62 16322564),(63 16581719),(64 16872508),(65 17211060),(66 17581244),(67 17964770),(68 18347658),(69 18718250),(70 19075358),(71 19410608),(72 19724016),(73 19993410),(74 20216022),(75 20385126),(76 20494438),(77 20558076),(78 20551574),(79 20487122),
(1 77881.516),(2 298196.63),(3 637003.44),(4 1075085.8),(5 1594745.5),(6 2184601),(7 2822785),(8 3505979.5),(9 4230582),(10 4980429.5),(11 5735500.5),(12 6517239),(13 7273279),(14 8032649),(15 8779596),(16 9496607),(17 10177769),(18 10798113),(19 11377616),(20 11935392),(21 12468477),(22 12997748),(23 13508460),(24 13988331),(25 14442037),(26 14867813),(27 15271630),(28 15630690),(29 15960393),(30 16244128),(31 16501698),(32 16731858),(33 16966984),(34 17172496),(35 17363310),(36 17515716),(37 17629676),(38 17704674),(39 17739842),(40 17710354),(41 17637514),(42 17526648),(43 17373932),(44 17155566),(45 16903452),(46 16609652),(47 16283877),(48 15962080),(49 15643623),(50 15339172),(51 15057211),(52 14791295),(53 14547989),(54 14304569),(55 14065399),(56 13828587),(57 13601527),(58 13393344),(59 13186135),(60 12998278),(61 12829911),(62 12676708),(63 12550000),(64 12443916),(65 12354576),(66 12268713),(67 12178046),(68 12095557),(69 12003402),(70 11909040),(71 11803686),(72 11685588),(73 11560060),(74 11421289),(75 11258434),(76 11090058),(77 10923301),(78 10743028),(79 10557156),
(1 86439.12),(2 327942.22),(3 696894.06),(4 1166614.8),(5 1727701),(6 2361360.8),(7 3056274),(8 3796643.3),(9 4572371),(10 5370715.5),(11 6173488),(12 6975806.5),(13 7739860.5),(14 8485030),(15 9194130),(16 9841662),(17 10427979),(18 10937997),(19 11403133),(20 11830620),(21 12219176),(22 12591309),(23 12952354),(24 13280939),(25 13578901),(26 13860184),(27 14114315),(28 14308721),(29 14481180),(30 14602633),(31 14720971),(32 14804155),(33 14910170),(34 15011595),(35 15116458),(36 15192493),(37 15257449),(38 15298195),(39 15319669),(40 15323198),(41 15303766),(42 15281044),(43 15225466),(44 15126268),(45 14987907),(46 14792434),(47 14552052),(48 14272098),(49 13976852),(50 13655028),(51 13323285),(52 12980610),(53 12638720),(54 12287410),(55 11943994),(56 11614159),(57 11313368),(58 11055004),(59 10838189),(60 10680766),(61 10580483),(62 10539208),(63 10555084),(64 10613316),(65 10713084),(66 10845128),(67 11005205),(68 11172104),(69 11340792),(70 11511174),(71 11666993),(72 11809681),(73 11930005),(74 12026628),(75 12105290),(76 12171006),(77 12233897),(78 12290090),(79 12348649),
