1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 28335.566),(2 46484.402),(3 51983.117),(4 50387.652),(5 50843.363),(6 51488.91),(7 54050.445),(8 55654.62),(9 58351.14),(10 60830.023),(11 64726.652),(12 66191.2),(13 67771.7),(14 70308.3),(15 71930.58),(16 73713.79),(17 74060.21),(18 75025.82),(19 75129.195),(20 74304.32),(21 74897.914),(22 73363.22),(23 71352.06),(24 72088.445),(25 70999.15),(26 70567.56),(27 68654.71),(28 68147.33),(29 68033.4),(30 69058.34),(31 69715.28),(32 70682.93),(33 71093.484),(34 70611.2),(35 69292.09),(36 69073.516),(37 71690.516),(38 76444.32),(39 76760.35),(40 75243.6),(41 74831.734),(42 75573.414),(43 75861.67),(44 78799.305),(45 78662.234),(46 78541.21),(47 78856.95),(48 78889.61),(49 79176.81),(50 79322.08),(51 77964.54),(52 77354.57),(53 76596.66),(54 75876.48),(55 75284.57),(56 75925.9),(57 76615.18),(58 74584.57),(59 71897.09),(60 72458.57),(61 73778.19),(62 74415.41),(63 74436.87),(64 74463.695),(65 74794.984),(66 74860.52),(67 73653.98),(68 71852.836),(69 73487.47),(70 75808.12),(71 78027.19),(72 79197.39),(73 79056.08),(74 79434.34),(75 81039.7),(76 83309.805),(77 84203),(78 83440.984),(79 81858),
(1 26136.03),(2 42587.566),(3 48417.453),(4 48773.68),(5 49637.664),(6 48980.223),(7 49919.99),(8 52203.695),(9 53445.664),(10 56572.652),(11 60633.793),(12 62901.004),(13 62510.453),(14 63861.926),(15 65084.9),(16 67421.62),(17 65934.164),(18 66354.25),(19 66843.46),(20 67101.8),(21 67557.01),(22 65866.09),(23 64660.273),(24 65032.406),(25 65551.984),(26 65041.72),(27 63080.62),(28 61807.727),(29 60903.85),(30 62025.645),(31 62469.4),(32 62653.297),(33 63990.664),(34 64417.25),(35 63175.95),(36 63006.656),(37 64158.184),(38 67489.6),(39 67037.54),(40 66277.29),(41 66711.44),(42 68427.555),(43 67207.44),(44 67396.2),(45 66926.65),(46 67089.375),(47 68631.42),(48 69226.06),(49 67993.266),(50 67642.18),(51 67597.414),(52 68712.375),(53 69142.9),(54 69288.7),(55 68164.72),(56 67616.33),(57 67080.39),(58 67621.6),(59 68110.46),(60 68261.58),(61 68213.234),(62 67751.85),(63 67460.51),(64 68881.93),(65 70803.52),(66 71291.52),(67 71267.7),(68 70924.18),(69 71478.97),(70 73639.28),(71 74142.8),(72 73513.12),(73 73871.88),(74 74630.82),(75 75569.77),(76 76221.17),(77 77112.67),(78 76630.69),(79 76353.46),
(1 25844.309),(2 41933.74),(3 47288.785),(4 46042.684),(5 45184.324),(6 45094.758),(7 47831.324),(8 49721.645),(9 51260.86),(10 54287.297),(11 57977.496),(12 61174.266),(13 60800.45),(14 62700.29),(15 65239),(16 66268.32),(17 65080.813),(18 64267.36),(19 64238.457),(20 66253.26),(21 67307.52),(22 66556.79),(23 64426.383),(24 63708.445),(25 62689.137),(26 62310.254),(27 61848.773),(28 61122.61),(29 60367.53),(30 58787.703),(31 57937.1),(32 59607.313),(33 61432.816),(34 62028.59),(35 62439.273),(36 63833.727),(37 64137.586),(38 65758.53),(39 64252.555),(40 65566.55),(41 67696.78),(42 70028.89),(43 70178.81),(44 70695.57),(45 70877.89),(46 70827.266),(47 70038.23),(48 70393.61),(49 70278.51),(50 69504.2),(51 68539.16),(52 68476.48),(53 67629.23),(54 67784.38),(55 68230.05),(56 68045.33),(57 66545.336),(58 66167.57),(59 67174.05),(60 67763.41),(61 67073.98),(62 66695.58),(63 66641.59),(64 67700.43),(65 68079.28),(66 67217.83),(67 67123.76),(68 67714.02),(69 69781.18),(70 71427.016),(71 73714.516),(72 73009.484),(73 74175.69),(74 74432.87),(75 74649.2),(76 75226.23),(77 76469.95),(78 76692.05),(79 77323.74),
(1 24330.586),(2 38130.21),(3 41625.547),(4 41364.555),(5 41674.184),(6 40558.027),(7 43361.613),(8 46908.008),(9 50797.434),(10 52503.152),(11 54908.727),(12 56411.242),(13 56553.434),(14 56838.895),(15 60002.63),(16 60483.48),(17 60551.395),(18 60946.348),(19 61546.445),(20 61806.16),(21 61514.863),(22 60531.45),(23 60063.08),(24 58869.848),(25 58571.008),(26 58053.22),(27 57504.836),(28 57843.08),(29 58869.29),(30 57550.727),(31 57687.08),(32 60145.59),(33 60649.297),(34 60553.64),(35 61626.656),(36 63197.824),(37 63390.61),(38 64532.344),(39 63032.758),(40 63224.863),(41 64091.676),(42 65417.25),(43 65097.633),(44 66564.29),(45 67377.195),(46 66904.3),(47 66689.1),(48 65118.887),(49 65663.625),(50 65668.305),(51 64653.918),(52 63809.38),(53 63151.703),(54 62481.008),(55 62718.992),(56 62957.46),(57 64040.977),(58 64238.7),(59 64038.383),(60 64051.445),(61 64603.805),(62 64520.277),(63 65088.17),(64 65088.297),(65 64990.758),(66 63697.473),(67 65138.98),(68 66563.13),(69 68459.84),(70 68294.03),(71 68385.66),(72 68976.516),(73 70253.48),(74 71433.16),(75 72162.25),(76 72999.305),(77 73139.375),(78 73686.77),(79 74446.984),
(1 24472.525),(2 38129.06),(3 41821.082),(4 40776.36),(5 40844.477),(6 41391.875),(7 44263.227),(8 46851.582),(9 49864.254),(10 52152.72),(11 54059.684),(12 55429.31),(13 55744.996),(14 56883.207),(15 57869.62),(16 58630.5),(17 59805.9),(18 59686.22),(19 59950.926),(20 59279.01),(21 58904.027),(22 59018.637),(23 59465.684),(24 57905.23),(25 56160.684),(26 54891.355),(27 54338.9),(28 54664.906),(29 55713.414),(30 54820.82),(31 55480.875),(32 56311.023),(33 56190.83),(34 57087.7),(35 58729.805),(36 60195.168),(37 59492.22),(38 61271.21),(39 61472.496),(40 61828.598),(41 62641.168),(42 62927.96),(43 62390.707),(44 63540.207),(45 63816.35),(46 63023.547),(47 63262.563),(48 62441.28),(49 62451.84),(50 61572.35),(51 60330.2),(52 59712.516),(53 57304.996),(54 58038.793),(55 59224.516),(56 60038.863),(57 59003.645),(58 59270.17),(59 58872.477),(60 59115.867),(61 59853.426),(62 60186.816),(63 60840.46),(64 61133.047),(65 61578.598),(66 61652.406),(67 63057.344),(68 63165.51),(69 64742.68),(70 64301.906),(71 65384.113),(72 66150.62),(73 67487.05),(74 68308.84),(75 68225.74),(76 69205.484),(77 69359.445),(78 70203.01),(79 69897.6),
(1 24325.457),(2 38804.527),(3 43307.777),(4 42093.31),(5 42693.7),(6 42890.137),(7 46105.47),(8 48272.344),(9 51449.492),(10 53684.36),(11 55206.273),(12 56794.53),(13 58480.035),(14 59862.21),(15 60624.73),(16 60960.44),(17 62359.58),(18 61191.727),(19 59920.516),(20 60298.063),(21 61810.418),(22 60950.258),(23 60124.867),(24 58801.543),(25 57707.25),(26 56911.543),(27 56053.4),(28 55797.938),(29 56846.504),(30 55744.977),(31 56358.703),(32 57827.938),(33 58927.582),(34 60016.527),(35 61681.145),(36 63196.17),(37 62639.21),(38 62472.727),(39 62330.41),(40 63762.24),(41 64811.76),(42 63866.246),(43 62836.91),(44 64315.953),(45 64901.59),(46 63659.2),(47 63567.37),(48 64483.656),(49 63706.93),(50 62435.406),(51 61057.516),(52 61071.145),(53 60026),(54 59821.36),(55 60229.594),(56 61238.516),(57 61825.285),(58 61277.305),(59 59724.816),(60 60476.8),(61 61252.434),(62 60891.875),(63 61278.41),(64 63520.793),(65 64966.914),(66 64627.76),(67 64183.926),(68 64977.17),(69 65966.734),(70 65675.48),(71 67305.71),(72 68244.75),(73 70709.4),(74 71833.35),(75 70469.31),(76 70348.66),(77 70867.7),(78 71591.79),(79 72147.73),
(1 25093.033),(2 40275.734),(3 44748.418),(4 43454.164),(5 42346.723),(6 43124.53),(7 46701.867),(8 48377.76),(9 50383.07),(10 52493.316),(11 54398.76),(12 55708.324),(13 57274.96),(14 59534.195),(15 60282.723),(16 60305.637),(17 60683.223),(18 59580.27),(19 59399.76),(20 61051.164),(21 61776.418),(22 59935.145),(23 60118.297),(24 59640.64),(25 57415.25),(26 55821.63),(27 55150.242),(28 55723.773),(29 55948.098),(30 55235.164),(31 56395.184),(32 57405.6),(33 58430.797),(34 60222.805),(35 61254.938),(36 62434.96),(37 62993.094),(38 63006.836),(39 62684.363),(40 63207.117),(41 63767.27),(42 64347.117),(43 64792.13),(44 64511.504),(45 63681.91),(46 63103.816),(47 63275.68),(48 63012.004),(49 62129.668),(50 60789.48),(51 59000.92),(52 59441.63),(53 59522.96),(54 59006.79),(55 57636.484),(56 58488.066),(57 58937.84),(58 57688.31),(59 56804.023),(60 57110.53),(61 58444.73),(62 59407.24),(63 58962.055),(64 60011.01),(65 60997.195),(66 61430.883),(67 63351.957),(68 65256.344),(69 66606.62),(70 64839.984),(71 65774.82),(72 67342.62),(73 69225.4),(74 70816.14),(75 69947.98),(76 70065.1),(77 70855.2),(78 71327.4),(79 71199.25),
(1 23149.45),(2 36567.793),(3 40073.387),(4 40125.164),(5 40168.637),(6 40049.824),(7 42759.785),(8 44342.895),(9 45824.895),(10 48546.336),(11 50763.69),(12 52519.035),(13 54151.875),(14 55486.832),(15 55451.742),(16 54488.1),(17 56391.438),(18 57053.945),(19 57215.055),(20 56667.01),(21 56922.703),(22 57434.37),(23 58200.477),(24 57682.305),(25 55948.54),(26 54971.516),(27 54630.484),(28 55100.414),(29 55110.258),(30 55289.414),(31 55838.137),(32 56523.395),(33 58153.383),(34 58677.31),(35 58259.27),(36 57758.414),(37 57974.875),(38 58545.855),(39 58544.14),(40 59335.637),(41 60019.04),(42 59145.863),(43 57816.37),(44 58998.953),(45 59760.59),(46 58946.297),(47 59110.625),(48 57335.363),(49 56531.383),(50 57559.36),(51 57868.824),(52 56517.95),(53 55138.45),(54 55506.066),(55 55503.934),(56 56186.547),(57 56559),(58 55821.19),(59 54931.883),(60 56170.13),(61 56401.668),(62 57010.887),(63 56952.242),(64 56998.926),(65 57819.953),(66 58760.234),(67 59215.332),(68 58950.375),(69 59420.016),(70 59219.168),(71 60844.035),(72 61163.227),(73 60379.113),(74 60447.645),(75 60683.41),(76 60421.945),(77 60709.637),(78 61909.86),(79 62711.227),
(1 23631.86),(2 36520.12),(3 38906.73),(4 37795.633),(5 38110.477),(6 38786.11),(7 41690.73),(8 43721.516),(9 45829.824),(10 48158.438),(11 50954.105),(12 52236.996),(13 52731.04),(14 53960.66),(15 55335.508),(16 55131.77),(17 55350.75),(18 55136.883),(19 55738.35),(20 55062.285),(21 55589.246),(22 56315.043),(23 56088.445),(24 54408.133),(25 52189.637),(26 51886.934),(27 52197.64),(28 53021.664),(29 53622.67),(30 53423.156),(31 53809.844),(32 53551.69),(33 56609.816),(34 57688.504),(35 57502.664),(36 57331.816),(37 57641.613),(38 58397.75),(39 59835.84),(40 59916.492),(41 58809.938),(42 58222.09),(43 57683.57),(44 58921.6),(45 58659),(46 57858.375),(47 58711.055),(48 58261.484),(49 56772.375),(50 57048.023),(51 57906.742),(52 57102.25),(53 56036.74),(54 55969.28),(55 55762.96),(56 56787.36),(57 56741.16),(58 56925.96),(59 56416.598),(60 57853.832),(61 57485.406),(62 56640.26),(63 57329.64),(64 58300.074),(65 59251.23),(66 59961.22),(67 61460.04),(68 62179.13),(69 61614.113),(70 60823.223),(71 61202.848),(72 61319.742),(73 62344.035),(74 63260.063),(75 62718.652),(76 62583.207),(77 63651.918),(78 63960.543),(79 63612.74),
(1 23568.117),(2 36394.508),(3 37826.047),(4 36673.773),(5 37659.22),(6 39279.438),(7 41441.832),(8 42479.695),(9 43933.313),(10 46660.117),(11 48882.285),(12 49498.01),(13 50683.613),(14 53341.473),(15 54018.793),(16 53528.996),(17 52286.2),(18 52889.363),(19 53579.1),(20 53993.523),(21 54184.793),(22 53593.805),(23 53121.625),(24 52805.73),(25 51847.895),(26 50330.535),(27 49840.523),(28 50178.52),(29 50596.598),(30 51922.75),(31 51219.375),(32 51738.656),(33 52890.047),(34 54307.03),(35 54891.645),(36 54374.176),(37 54133.355),(38 54222.984),(39 56031.36),(40 56699.52),(41 56136.824),(42 55328.945),(43 54795.805),(44 55534.953),(45 55146.43),(46 55844.402),(47 55321.11),(48 54782.973),(49 54984.78),(50 54585.91),(51 54131.64),(52 53860.36),(53 53928.72),(54 54228.164),(55 53493.227),(56 53609.16),(57 53689.168),(58 54261.92),(59 55055.047),(60 56645.13),(61 56328.586),(62 54611.43),(63 54804.527),(64 55150.332),(65 56267.42),(66 58023.793),(67 58615.4),(68 57963.766),(69 57359.67),(70 57468.527),(71 58386.453),(72 59016.71),(73 59721.1),(74 59902.52),(75 60502.6),(76 59771.92),(77 58706.926),(78 59720.223),(79 59653.953),
(1 22767.148),(2 34856.63),(3 37288.324),(4 36425.746),(5 36957.895),(6 37809.402),(7 40456.504),(8 42076.426),(9 44174.906),(10 46702.33),(11 49134.242),(12 48777.094),(13 49615.383),(14 51662.4),(15 53501.098),(16 54849.977),(17 53424.07),(18 53216.15),(19 53993.47),(20 53591.574),(21 53632.84),(22 53131.234),(23 52701.805),(24 51310.813),(25 51424.383),(26 52022.766),(27 51771.176),(28 51076.92),(29 51261.04),(30 52908.414),(31 52896.574),(32 53093.824),(33 54341.793),(34 55500.04),(35 56268.098),(36 56235.793),(37 56355.082),(38 56992.742),(39 57899.88),(40 57544.58),(41 57408.23),(42 55851.05),(43 54337.492),(44 54315.74),(45 55018.85),(46 55872.207),(47 55128.66),(48 54698.71),(49 54793.77),(50 53574.355),(51 53102.723),(52 52959.617),(53 52236.902),(54 51374.36),(55 51884.246),(56 52732.297),(57 52791.37),(58 52645.38),(59 53695.535),(60 54695.984),(61 55264.42),(62 54714.387),(63 55262.137),(64 56190.92),(65 57716.766),(66 58431.03),(67 58538.906),(68 58068.918),(69 57706.723),(70 58152.848),(71 59129.11),(72 59714.4),(73 60482.14),(74 60479.703),(75 61364.098),(76 62110.508),(77 60645.832),(78 59118.12),(79 58555.367),
(1 22359.316),(2 35372.766),(3 38897.07),(4 39330.566),(5 38748.152),(6 38476.68),(7 40933.12),(8 43129.867),(9 45163.42),(10 47015.516),(11 48226.188),(12 48191.97),(13 49590.215),(14 51960.176),(15 52946.363),(16 52918.242),(17 52991.28),(18 52713.246),(19 53665.543),(20 53526.56),(21 54244.145),(22 53573.496),(23 51984.496),(24 51087.098),(25 51034.08),(26 51632.977),(27 51159.06),(28 49626.688),(29 49211.824),(30 49625.594),(31 50542.58),(32 51279.54),(33 51648.57),(34 52801.17),(35 53813.5),(36 54037.473),(37 53797.023),(38 52896.91),(39 53766.08),(40 54618.44),(41 53509.367),(42 52865.402),(43 52465.45),(44 52725.473),(45 53275.46),(46 52881.566),(47 52342.125),(48 52366.504),(49 52370.527),(50 53363.254),(51 54007.336),(52 52869.15),(53 52792.348),(54 52812.72),(55 52228.73),(56 52659.918),(57 53469.848),(58 53701.27),(59 54041.67),(60 55770.92),(61 56897.363),(62 57090.055),(63 56816.945),(64 56734.707),(65 57022.59),(66 57280.203),(67 57801.406),(68 57424.176),(69 56858.855),(70 57609.582),(71 58362.605),(72 58029.863),(73 58734.242),(74 58771.99),(75 58656.746),(76 57920.17),(77 57261.254),(78 56850.973),(79 57777.918),
(1 21693.264),(2 34109.004),(3 37643.71),(4 37651.16),(5 36732.887),(6 36550.906),(7 39494.652),(8 41582.11),(9 43293.04),(10 44119.883),(11 45880.49),(12 47615.66),(13 49037.76),(14 49753.37),(15 50354.55),(16 50737.18),(17 50811.49),(18 51155.8),(19 50357.51),(20 50480.523),(21 52765.816),(22 52006.816),(23 49601.67),(24 48028.11),(25 48326.51),(26 48899.465),(27 49507.25),(28 49058.79),(29 48132.094),(30 47841.816),(31 48802.508),(32 49467.93),(33 50946.53),(34 50998.188),(35 50915.496),(36 51180.49),(37 52532.996),(38 52966.293),(39 53190.67),(40 53639.996),(41 53868.14),(42 53056.746),(43 52785.633),(44 52823.336),(45 52964.06),(46 52261.07),(47 51208.94),(48 51393.418),(49 51536.3),(50 51822.54),(51 52820.875),(52 53252.887),(53 52075.094),(54 51040.2),(55 50332.164),(56 50985.35),(57 50684.746),(58 51598.785),(59 52132.63),(60 53168.32),(61 53653.83),(62 54140.215),(63 54247.168),(64 53174.51),(65 52325.566),(66 53607.582),(67 54951.188),(68 54947.496),(69 55299.51),(70 55325.61),(71 56452.645),(72 55498.477),(73 54468.758),(74 54625.023),(75 55691.156),(76 55949.117),(77 55879.45),(78 55721.234),(79 55984.336),
(1 20585.695),(2 31556.746),(3 33651.875),(4 33440.766),(5 35031.4),(6 35232.62),(7 36990.22),(8 38922.598),(9 40235.56),(10 41610.797),(11 43474.805),(12 44924.22),(13 45513.41),(14 46770.156),(15 48193.62),(16 47939.22),(17 47917.703),(18 47814.984),(19 48766.492),(20 48406.195),(21 48916.523),(22 47581.266),(23 45119.242),(24 43732.434),(25 44834.46),(26 45409.965),(27 45444.418),(28 45486.15),(29 45208.11),(30 45591.01),(31 46363.676),(32 47577.25),(33 47650.105),(34 47962.355),(35 48082.074),(36 49425.773),(37 49936.555),(38 49824.395),(39 50372.113),(40 50982.227),(41 51375.402),(42 50772.188),(43 50082.832),(44 49620.805),(45 49970.97),(46 50112.28),(47 50142.71),(48 48857.402),(49 48240.645),(50 49763.184),(51 50092.785),(52 49025.426),(53 48529.734),(54 48983.918),(55 48952.188),(56 49255.12),(57 50175.152),(58 51026.094),(59 50194.246),(60 50628.902),(61 51286.598),(62 52406.89),(63 52702.18),(64 52616.402),(65 53268.01),(66 53800.14),(67 53898.844),(68 54452.324),(69 54328.99),(70 54334.113),(71 54515.867),(72 53284.77),(73 51533.664),(74 51365.277),(75 53439.492),(76 53743.785),(77 53500.4),(78 53676.43),(79 54471.105),
(1 20428.254),(2 30836.459),(3 32678.266),(4 32262.197),(5 32878.11),(6 33065.613),(7 35439.426),(8 37227.316),(9 38665.953),(10 39896.67),(11 41416.484),(12 41610.156),(13 42976.426),(14 44844.61),(15 46178.668),(16 45701.574),(17 46431.613),(18 47212.855),(19 47553.09),(20 47382.58),(21 47066.125),(22 45661.56),(23 44238.145),(24 44364.156),(25 45223.324),(26 44523.875),(27 44747.59),(28 45407.58),(29 45330.16),(30 45475),(31 45646.45),(32 46620.13),(33 47580.08),(34 47525.5),(35 48221.957),(36 49030.063),(37 50223.02),(38 50161.418),(39 49865.715),(40 50153.426),(41 49865.746),(42 49456.402),(43 48845.504),(44 48191.098),(45 48146.2),(46 49312.656),(47 49107.223),(48 48741.824),(49 47908.69),(50 47366.69),(51 47057.52),(52 46628.38),(53 45707.402),(54 45988.066),(55 46926.105),(56 47548.355),(57 46756.652),(58 46852.49),(59 47636.105),(60 46979.53),(61 47678.27),(62 47894.547),(63 48410.25),(64 49392.168),(65 50196.645),(66 50557.184),(67 50796.73),(68 51128.027),(69 52199.52),(70 52669.25),(71 52286.875),(72 51473.355),(73 50810.438),(74 51448.24),(75 52154.777),(76 52087.605),(77 52613.676),(78 53154.926),(79 52095.83),
(1 20334.482),(2 30466.678),(3 32278.88),(4 32403.455),(5 31365.285),(6 30799.752),(7 33194.996),(8 35884.723),(9 37038.22),(10 38302.613),(11 40656.51),(12 40861.25),(13 40612.71),(14 41944.28),(15 42491.2),(16 42590.71),(17 43127.438),(18 43325.457),(19 44082.105),(20 43957.07),(21 43385.21),(22 41511.62),(23 40631.21),(24 40525.324),(25 42297.008),(26 42384.375),(27 42121.61),(28 41169.297),(29 42687.418),(30 43730.07),(31 43192.363),(32 43134.69),(33 43769.848),(34 45013.97),(35 45720.8),(36 45488.805),(37 46053.383),(38 45986.08),(39 46211.625),(40 44744.21),(41 44894.51),(42 44568.637),(43 43537.59),(44 43311.715),(45 44440.313),(46 44872.16),(47 44018.027),(48 42832.688),(49 42481.42),(50 42742.004),(51 42027),(52 42283.16),(53 42484.953),(54 42151.04),(55 42198.332),(56 43400.273),(57 43585.867),(58 44590.11),(59 45429.805),(60 44793.047),(61 43990.18),(62 44402.945),(63 44997.64),(64 46500.37),(65 47732.563),(66 47453.25),(67 47003.656),(68 47775.883),(69 48237.39),(70 48016.688),(71 46841.2),(72 47290.02),(73 47666.508),(74 47538.82),(75 47099.01),(76 47048.75),(77 48177.06),(78 49115.863),(79 48107.375),
(1 20579.416),(2 30499.658),(3 31730.963),(4 31635.82),(5 30680.092),(6 30322.08),(7 32497.123),(8 34839.164),(9 36292.25),(10 38461.58),(11 39745.52),(12 40152.402),(13 40320.977),(14 41378.395),(15 42146.83),(16 41531.117),(17 42226.945),(18 42132.36),(19 42131.75),(20 42042.65),(21 42099.684),(22 40874.668),(23 39497.57),(24 39440.54),(25 40297.4),(26 40188.844),(27 40082.684),(28 40510.52),(29 40822.066),(30 41302.04),(31 42140.445),(32 42858.496),(33 42766.086),(34 44053.957),(35 44834.164),(36 44021.266),(37 43649.45),(38 43422.082),(39 44686.145),(40 45728.684),(41 45516.395),(42 44674.09),(43 43315.14),(44 43610.875),(45 44978.824),(46 44259.637),(47 43657.066),(48 43091.113),(49 43061.258),(50 43464.65),(51 43527.8),(52 43143.06),(53 42600.93),(54 42433.363),(55 42734.53),(56 42738.2),(57 43579.258),(58 44431.32),(59 45103.54),(60 45637.97),(61 45664.973),(62 45266.9),(63 45376.887),(64 46384.594),(65 46007.742),(66 45233.23),(67 45713.902),(68 47027.97),(69 47765.17),(70 47178.258),(71 47647.434),(72 46467.65),(73 46481.836),(74 45895.523),(75 46296.45),(76 47520.523),(77 48136.633),(78 47340.133),(79 46623.453),
(1 19843.848),(2 29239.402),(3 30694.658),(4 30534.191),(5 30596.443),(6 30738.922),(7 32544.383),(8 34144.188),(9 35690.78),(10 37559.527),(11 39185.78),(12 39535.414),(13 40424.93),(14 41794.26),(15 42880.23),(16 42223.906),(17 41084.5),(18 40336.7),(19 41642.59),(20 41947.492),(21 41613.63),(22 40107.934),(23 39361.95),(24 39270.734),(25 38740.063),(26 38311.07),(27 39130.438),(28 40499.87),(29 41583.594),(30 41447.35),(31 41705.355),(32 43318.867),(33 43091.25),(34 42662.04),(35 43744.406),(36 44594.26),(37 44554.83),(38 44471.348),(39 44982.53),(40 45309.1),(41 44446.7),(42 43632.496),(43 43002.668),(44 42591.07),(45 43063.42),(46 43865.02),(47 43546.6),(48 42804.05),(49 43124.77),(50 42827.98),(51 42528.97),(52 42435.395),(53 42465.797),(54 42816.99),(55 42739.99),(56 43324.777),(57 43315.348),(58 43902.46),(59 44581.7),(60 45752.83),(61 45784.266),(62 45722.156),(63 45732.25),(64 45589.895),(65 45692.51),(66 45616.996),(67 45449.168),(68 45631.203),(69 45963.613),(70 47262.51),(71 47109.95),(72 45385.438),(73 44985.836),(74 46314.164),(75 46934.277),(76 47153.234),(77 47455.336),(78 47084.29),(79 46418.438),
