1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 88917.37),(2 272410.25),(3 573039.75),(4 932303),(5 1345503),(6 1771057),(7 2261737.3),(8 2797396.3),(9 3350852.8),(10 3933190.3),(11 4436184.5),(12 4948993),(13 5496287.5),(14 6073665.5),(15 6807194.5),(16 7613162.5),(17 8389167),(18 9181328),(19 9987395),(20 10792154),(21 11512547),(22 12303016),(23 12986232),(24 13768025),(25 14624884),(26 15607603),(27 16622495),(28 17740066),(29 18885926),(30 20039846),(31 21144438),(32 22265380),(33 23508274),(34 24779926),(35 26005510),(36 27143766),(37 28201130),(38 29108800),(39 30039370),(40 30970560),(41 31989530),(42 33100162),(43 34134276),(44 35286690),(45 36356572),(46 37342756),(47 38295636),(48 39220796),(49 40013456),(50 40691756),(51 41381330),(52 41937732),(53 42421844),(54 42878240),(55 43265028),(56 43575870),(57 43894576),(58 44195132),(59 44453880),(60 44923892),(61 45397376),(62 46035412),(63 46528404),(64 47071196),(65 47498484),(66 48017540),(67 48510050),(68 49148276),(69 49866260),(70 50545984),(71 51474892),(72 52455136),(73 53817492),(74 55200196),(75 56716428),(76 58305570),(77 60071892),(78 61823516),(79 63797332),
(1 66338.484),(2 221026.7),(3 464029.84),(4 779403.5),(5 1125803.5),(6 1512611.5),(7 1963669),(8 2461832.5),(9 2953886.8),(10 3454786.8),(11 3935316.8),(12 4392439),(13 4841699),(14 5335459),(15 5857271),(16 6510241),(17 7078762.5),(18 7675456),(19 8322637),(20 8956361),(21 9618631),(22 10337385),(23 11091752),(24 11888422),(25 12750879),(26 13733440),(27 14815430),(28 15887701),(29 16965350),(30 18046666),(31 19198150),(32 20381306),(33 21632036),(34 22907140),(35 24281142),(36 25602836),(37 26858918),(38 28067444),(39 29352480),(40 30494758),(41 31704620),(42 32808102),(43 33927730),(44 35091290),(45 36098576),(46 37139524),(47 38150390),(48 39043996),(49 39852790),(50 40735950),(51 41641892),(52 42524160),(53 43414270),(54 44417644),(55 45348300),(56 46363656),(57 47225860),(58 48140064),(59 48954804),(60 49960220),(61 50942504),(62 51984030),(63 53088840),(64 54316404),(65 55518316),(66 56674630),(67 57725748),(68 58867110),(69 60085760),(70 61139970),(71 62281000),(72 63353816),(73 64529720),(74 65688756),(75 66854292),(76 67955820),(77 68958570),(78 69836160),(79 70673980),
(1 54430.434),(2 185645.42),(3 398912.84),(4 674626.75),(5 1012262.7),(6 1399197.9),(7 1813659.4),(8 2264739),(9 2735267),(10 3243526),(11 3774699.8),(12 4296572.5),(13 4825703.5),(14 5428224.5),(15 6056708),(16 6865400.5),(17 7569145.5),(18 8325196),(19 9097593),(20 9841840),(21 10596228),(22 11415803),(23 12200984),(24 13016123),(25 13831724),(26 14677433),(27 15488664),(28 16256965),(29 16979472),(30 17700246),(31 18393170),(32 19089734),(33 19757600),(34 20423738),(35 21025162),(36 21600176),(37 22113200),(38 22654128),(39 23222570),(40 23796958),(41 24494946),(42 25103274),(43 25726094),(44 26418090),(45 27011296),(46 27631488),(47 28217702),(48 28771072),(49 29282814),(50 29862328),(51 30525104),(52 31154006),(53 31815994),(54 32537086),(55 33330326),(56 34091416),(57 34847028),(58 35665140),(59 36349500),(60 37084444),(61 37677828),(62 38143890),(63 38697524),(64 39263772),(65 39864692),(66 40513330),(67 41083812),(68 41755780),(69 42465332),(70 43208772),(71 43903984),(72 44609376),(73 45311884),(74 46129296),(75 46947516),(76 47622052),(77 48266956),(78 48777908),(79 49307508),
(1 63005.266),(2 220417.44),(3 465402.84),(4 776882.7),(5 1166169.1),(6 1619673.1),(7 2138604.5),(8 2709007),(9 3314352.5),(10 3957980.5),(11 4635041.5),(12 5367295.5),(13 6138834.5),(14 6964092.5),(15 7824816),(16 8763180),(17 9671680),(18 10615127),(19 11549403),(20 12463394),(21 13424855),(22 14332629),(23 15214916),(24 16006928),(25 16790662),(26 17516170),(27 18179580),(28 18762268),(29 19314456),(30 19787916),(31 20257630),(32 20709622),(33 21138248),(34 21520764),(35 21807832),(36 22080046),(37 22326536),(38 22542554),(39 22808142),(40 23032466),(41 23355768),(42 23562520),(43 23764466),(44 24009168),(45 24192758),(46 24395854),(47 24589512),(48 24796494),(49 24961062),(50 25195800),(51 25437768),(52 25690590),(53 25920476),(54 26188946),(55 26492568),(56 26802344),(57 27118136),(58 27460490),(59 27716538),(60 27927704),(61 28013778),(62 28034820),(63 28103392),(64 28140660),(65 28157592),(66 28256848),(67 28344792),(68 28477638),(69 28653148),(70 28883592),(71 29070696),(72 29246432),(73 29406170),(74 29607346),(75 29840064),(76 30040718),(77 30225486),(78 30407964),(79 30568700),
(1 72625.42),(2 250999.61),(3 525023.06),(4 875268.44),(5 1298126.1),(6 1778326.4),(7 2314192.8),(8 2874792.3),(9 3502602.5),(10 4181733.8),(11 4922718),(12 5692390.5),(13 6511712),(14 7367424),(15 8280721.5),(16 9259241),(17 10187743),(18 11146084),(19 12082820),(20 12982345),(21 13866400),(22 14762068),(23 15603837),(24 16435375),(25 17207344),(26 17943110),(27 18607508),(28 19220614),(29 19783762),(30 20228504),(31 20611768),(32 20942386),(33 21210254),(34 21419446),(35 21535486),(36 21573238),(37 21574690),(38 21558708),(39 21462532),(40 21319944),(41 21236500),(42 21067032),(43 20840178),(44 20601886),(45 20340478),(46 20072838),(47 19800652),(48 19490200),(49 19190990),(50 18880174),(51 18616622),(52 18382248),(53 18154690),(54 17982616),(55 17826028),(56 17717044),(57 17631632),(58 17578632),(59 17518386),(60 17451442),(61 17392750),(62 17336084),(63 17350546),(64 17370528),(65 17437842),(66 17535974),(67 17665672),(68 17846842),(69 18097516),(70 18427550),(71 18815622),(72 19300574),(73 19850276),(74 20480518),(75 21136334),(76 21834594),(77 22533900),(78 23296152),(79 24035800),
(1 58756.926),(2 201474.77),(3 427336.1),(4 714784),(5 1065315.3),(6 1487531),(7 1958583.6),(8 2472788.5),(9 3048050),(10 3654576.8),(11 4312594.5),(12 4984657),(13 5656478),(14 6365148),(15 7081173),(16 7829347),(17 8523035),(18 9191826),(19 9840879),(20 10473402),(21 11062323),(22 11638426),(23 12160093),(24 12663491),(25 13117334),(26 13550842),(27 13918466),(28 14278648),(29 14589344),(30 14904659),(31 15146960),(32 15356352),(33 15556310),(34 15683944),(35 15727290),(36 15729563),(37 15738765),(38 15712563),(39 15606069),(40 15532445),(41 15488314),(42 15421069),(43 15277354),(44 15133130),(45 14956550),(46 14809859),(47 14629373),(48 14451222),(49 14247946),(50 14039040),(51 13830008),(52 13640186),(53 13529274),(54 13404074),(55 13331417),(56 13264823),(57 13258087),(58 13279353),(59 13274717),(60 13273683),(61 13283004),(62 13275134),(63 13302290),(64 13361124),(65 13389693),(66 13387059),(67 13402863),(68 13378312),(69 13299134),(70 13244330),(71 13217646),(72 13195181),(73 13157783),(74 13098747),(75 13052620),(76 13034723),(77 13047725),(78 13100040),(79 13157820),
(1 61565.66),(2 208684.53),(3 440822.13),(4 742745.6),(5 1113205.5),(6 1545243.5),(7 2010816.1),(8 2518328.3),(9 3065196),(10 3656709.8),(11 4273378),(12 4866295),(13 5494351.5),(14 6105485),(15 6716320.5),(16 7326494),(17 7901015),(18 8481257),(19 9035063),(20 9543973),(21 10009667),(22 10442122),(23 10797983),(24 11126417),(25 11415226),(26 11664620),(27 11857781),(28 12022943),(29 12147489),(30 12280338),(31 12394592),(32 12459801),(33 12530756),(34 12573915),(35 12573765),(36 12548914),(37 12498662),(38 12444417),(39 12361163),(40 12284337),(41 12229787),(42 12169874),(43 12105468),(44 12043538),(45 11994014),(46 11921436),(47 11859409),(48 11761886),(49 11642613),(50 11523387),(51 11394368),(52 11277873),(53 11193220),(54 11102767),(55 11034880),(56 10974335),(57 10914812),(58 10861881),(59 10813540),(60 10791924),(61 10791097),(62 10809639),(63 10884645),(64 10967286),(65 11010423),(66 11024079),(67 11077271),(68 11134112),(69 11173330),(70 11228832),(71 11278720),(72 11342258),(73 11384473),(74 11477376),(75 11556608),(76 11636422),(77 11716202),(78 11775690),(79 11825113),
(1 85715.35),(2 306954.7),(3 645824.1),(4 1075972.8),(5 1581548.4),(6 2139709.5),(7 2747953.8),(8 3389315),(9 4038217.8),(10 4694567.5),(11 5349457),(12 5994049),(13 6618382.5),(14 7212718),(15 7775779.5),(16 8258757.5),(17 8702370),(18 9081673),(19 9417350),(20 9715783),(21 9968065),(22 10190524),(23 10349129),(24 10476590),(25 10587951),(26 10694240),(27 10747931),(28 10793342),(29 10848831),(30 10914837),(31 10992060),(32 11048544),(33 11125897),(34 11216106),(35 11309070),(36 11418115),(37 11561931),(38 11717862),(39 11884482),(40 12010940),(41 12134437),(42 12208809),(43 12267375),(44 12308993),(45 12357845),(46 12368565),(47 12396691),(48 12405411),(49 12387299),(50 12382716),(51 12340561),(52 12298180),(53 12242125),(54 12179954),(55 12126701),(56 12073341),(57 12051109),(58 12083387),(59 12135590),(60 12211311),(61 12311584),(62 12404634),(63 12568159),(64 12693662),(65 12825116),(66 13006347),(67 13170581),(68 13318561),(69 13429282),(70 13593065),(71 13679942),(72 13782591),(73 13861275),(74 13953372),(75 14038470),(76 14111708),(77 14123674),(78 14117724),(79 14088302),
(1 91796.68),(2 330802.56),(3 700725.94),(4 1172175.8),(5 1726901.3),(6 2336587),(7 3002041.5),(8 3686538.3),(9 4399006),(10 5118380),(11 5855605.5),(12 6540634.5),(13 7208394.5),(14 7826550.5),(15 8413101),(16 8952021),(17 9412816),(18 9817024),(19 10147417),(20 10420200),(21 10633478),(22 10804808),(23 10947364),(24 11043260),(25 11133325),(26 11188012),(27 11236166),(28 11263708),(29 11273000),(30 11274329),(31 11296224),(32 11262693),(33 11216666),(34 11171625),(35 11197000),(36 11204269),(37 11225282),(38 11249432),(39 11302581),(40 11331173),(41 11353823),(42 11372631),(43 11369274),(44 11354836),(45 11331882),(46 11274952),(47 11227369),(48 11133584),(49 11048446),(50 10976667),(51 10913192),(52 10865938),(53 10829919),(54 10819035),(55 10820344),(56 10795268),(57 10816226),(58 10869192),(59 10958747),(60 11043654),(61 11145858),(62 11263558),(63 11430434),(64 11572833),(65 11755255),(66 11955051),(67 12131218),(68 12281638),(69 12431897),(70 12599072),(71 12735605),(72 12873515),(73 12990140),(74 13106156),(75 13215868),(76 13298328),(77 13380976),(78 13427539),(79 13495259),
(1 95534.72),(2 351303.88),(3 751103.9),(4 1260850.3),(5 1867551.1),(6 2525385.3),(7 3214997.3),(8 3927625.8),(9 4659746.5),(10 5420493.5),(11 6203014),(12 6954374),(13 7701391),(14 8393334),(15 9076475),(16 9694051),(17 10212160),(18 10652357),(19 11011707),(20 11279977),(21 11427582),(22 11475226),(23 11416775),(24 11271822),(25 11087007),(26 10834725),(27 10552916),(28 10252953),(29 9944977),(30 9646132),(31 9327132),(32 8994020),(33 8656311),(34 8335226.5),(35 8060475.5),(36 7794928),(37 7581095),(38 7401007),(39 7275698.5),(40 7213663.5),(41 7227112),(42 7299375),(43 7408874),(44 7535822),(45 7667465),(46 7754602.5),(47 7849758),(48 7928818),(49 7993849),(50 8049562.5),(51 8103429.5),(52 8148948.5),(53 8149691.5),(54 8116526),(55 8052143),(56 7949630),(57 7877662),(58 7826125.5),(59 7800512),(60 7779818.5),(61 7787392),(62 7830915.5),(63 7873763.5),(64 7927474),(65 7971706.5),(66 8005333.5),(67 8046193),(68 8070862),(69 8091090),(70 8113118),(71 8147860.5),(72 8195886),(73 8230190),(74 8258184),(75 8271893.5),(76 8261716.5),(77 8253900.5),(78 8244402.5),(79 8225758),
(1 94176.055),(2 338101.13),(3 711189.06),(4 1177174.5),(5 1718241.9),(6 2301913),(7 2901277.8),(8 3491467.5),(9 4063807.5),(10 4612228),(11 5149039),(12 5610686),(13 6033710.5),(14 6405690.5),(15 6763208.5),(16 7091965),(17 7366866),(18 7586500),(19 7771331),(20 7933702.5),(21 8071151),(22 8161120),(23 8216899),(24 8247333.5),(25 8268062),(26 8272960),(27 8244625),(28 8217353.5),(29 8194518.5),(30 8165617),(31 8144232.5),(32 8109809),(33 8062352),(34 8028514),(35 8015096.5),(36 8036208),(37 8086393.5),(38 8158175),(39 8243740),(40 8335736.5),(41 8467886),(42 8576824),(43 8699637),(44 8797073),(45 8871856),(46 8946650),(47 9006489),(48 9055352),(49 9066902),(50 9076672),(51 9069910),(52 9044288),(53 9015847),(54 9002372),(55 8975701),(56 8975644),(57 8986502),(58 8994864),(59 9021216),(60 9102867),(61 9211138),(62 9351861),(63 9523522),(64 9724299),(65 9933669),(66 10138701),(67 10376392),(68 10616878),(69 10852496),(70 11097944),(71 11327992),(72 11543644),(73 11744217),(74 11908856),(75 12019042),(76 12095151),(77 12135981),(78 12155801),(79 12124572),
