1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 1393605.9),(2 1511814.5),(3 374112.28),(4 1934726),(5 2210208),(6 1107958.5),(7 2812540.8),(8 3231832),(9 2063724),(10 3755719.3),(11 4322217.5),(12 3107745.8),(13 4768803.5),(14 5325405.5),(15 4037895.3),(16 5593736.5),(17 6322344),(18 5264838),(19 6824072),(20 7758256),(21 6994921.5),(22 8657192),(23 10044674),(24 9402572),(25 11056055),(26 12466557),(27 11812187),(28 13448600),(29 14852400),(30 14135221),(31 15787048),(32 17272550),(33 16410209),(34 18078062),(35 19549968),(36 18627886),(37 20227220),(38 22057984),(39 20803870),(40 22137742),(41 23674288),(42 22240904),(43 23325650),(44 24671824),(45 22956626),(46 23857494),(47 25377240),(48 23876688),(49 24886342),(50 26740742),(51 25330880),(52 26570606),(53 29195610),(54 27650138),(55 28974448),(56 31460040),(57 30147426),(58 31519702),(59 34131100),(60 32852342),(61 34377524),(62 37241180),(63 35894316),(64 37361044),(65 40287756),(66 39118068),(67 40523108),(68 43933740),(69 42438268),(70 43462412),(71 46508332),(72 44987236),(73 45815904),(74 48199092),(75 46207460),(76 46429732),(77 48845172),(78 46890990),(79 46919148),
(1 696806.94),(2 921299.8),(3 647536.7),(4 1715614.8),(5 2286547.5),(6 2279311.5),(7 3669573.5),(8 4585964),(9 4755740),(10 6366221.5),(11 7557140),(12 7896093),(13 9753591),(14 11194622),(15 11644862),(16 13702912),(17 15447981),(18 16085554),(19 18393906),(20 20405962),(21 21289092),(22 23850476),(23 26184006),(24 27253708),(25 30005484),(26 32551148),(27 33686664),(28 36515556),(29 39293440),(30 40545496),(31 43482570),(32 46390284),(33 47724880),(34 50878400),(35 54059096),(36 55291590),(37 58174476),(38 61459064),(39 62322344),(40 64666144),(41 67494580),(42 68055390),(43 69933170),(44 72397710),(45 72848190),(46 74649224),(47 77071150),(48 77239110),(49 78827340),(50 81128510),(51 81148520),(52 82517060),(53 84909050),(54 84531890),(55 85467880),(56 87144020),(57 86438280),(58 87038820),(59 88613380),(60 87796980),(61 88397040),(62 89942296),(63 89071120),(64 89612800),(65 91156500),(66 90353840),(67 90793330),(68 92369420),(69 91281500),(70 91313260),(71 92649240),(72 91433100),(73 91259800),(74 92057170),(75 90546264),(76 90006930),(77 90815720),(78 89295060),(79 88559976),
(1 204993.2),(2 375602.1),(3 493427),(4 966731.56),(5 1421302.5),(6 1813750),(7 2563966.8),(8 3264203.8),(9 3883426.8),(10 4843140.5),(11 5797306.5),(12 6681028),(13 7849551.5),(14 9089529),(15 10170693),(16 11593201),(17 13031595),(18 14341515),(19 16059473),(20 17742130),(21 19315450),(22 21291630),(23 23252552),(24 25157030),(25 27480122),(26 29718150),(27 31733030),(28 34328668),(29 36926056),(30 39458692),(31 42354520),(32 45104652),(33 47713536),(34 50744756),(35 53811668),(36 56314764),(37 59073300),(38 61947390),(39 64023540),(40 66264052),(41 68670660),(42 70475224),(43 72164296),(44 74120040),(45 75799460),(46 77576456),(47 79473590),(48 80506504),(49 81663010),(50 82894584),(51 83229336),(52 83642570),(53 83986650),(54 83566890),(55 83189176),(56 82741896),(57 81556370),(58 80608670),(59 79751144),(60 78389544),(61 77360600),(62 76386920),(63 74825290),(64 73526120),(65 72403080),(66 70566250),(67 68814530),(68 67149280),(69 64920884),(70 62905548),(71 61192148),(72 58950816),(73 56854124),(74 55120704),(75 53024620),(76 51176064),(77 49699280),(78 47871856),(79 46265216),
(1 170869.56),(2 448762.13),(3 785620.3),(4 1400646.9),(5 2084455.8),(6 2785051.5),(7 3721980),(8 4746624),(9 5760555.5),(10 7049720),(11 8425834),(12 9772738),(13 11328420),(14 12944448),(15 14519999),(16 16328377),(17 18216392),(18 20098228),(19 22181728),(20 24314734),(21 26503602),(22 28876424),(23 31381896),(24 33822970),(25 36446740),(26 39084076),(27 41668388),(28 44435400),(29 47225600),(30 50005604),(31 52829332),(32 55743252),(33 58605220),(34 61643210),(35 64675184),(36 67487320),(37 70381820),(38 73097190),(39 75423710),(40 77741890),(41 79955860),(42 81876184),(43 83710744),(44 85423176),(45 87336790),(46 89259576),(47 91182150),(48 92636536),(49 93999050),(50 95083420),(51 95796960),(52 96452424),(53 96630600),(54 96471410),(55 96375096),(56 95862744),(57 95080690),(58 94324920),(59 93416530),(60 92166264),(61 91094940),(62 89731040),(63 88158900),(64 86673540),(65 85085570),(66 83171400),(67 81295816),(68 79168216),(69 76825620),(70 74691610),(71 72647336),(72 70452550),(73 68478424),(74 66592156),(75 64682360),(76 62935990),(77 61341652),(78 59644750),(79 58160980),
(1 145316.95),(2 468166),(3 947839.06),(4 1636802.1),(5 2457003.3),(6 3365586.3),(7 4436005),(8 5611450),(9 6859603),(10 8298995),(11 9834999),(12 11447871),(13 13169338),(14 14938605),(15 16731569),(16 18634974),(17 20559456),(18 22469682),(19 24393200),(20 26347718),(21 28281140),(22 30164120),(23 32077222),(24 33983424),(25 35799810),(26 37597732),(27 39390876),(28 41150864),(29 42875700),(30 44688920),(31 46425400),(32 48107040),(33 49832332),(34 51521790),(35 53180532),(36 54790004),(37 56300764),(38 57626130),(39 58807180),(40 59915410),(41 60953370),(42 61866684),(43 62581748),(44 63160110),(45 63894336),(46 64482970),(47 65004916),(48 65467390),(49 65651908),(50 65721124),(51 65655716),(52 65352140),(53 64884290),(54 64285224),(55 63530070),(56 62670404),(57 61853224),(58 60926732),(59 59932184),(60 59018596),(61 58103450),(62 57175824),(63 56448130),(64 55824076),(65 55229572),(66 54744304),(67 54316860),(68 53878270),(69 53515160),(70 53201980),(71 52893210),(72 52831570),(73 52853052),(74 52855976),(75 53025790),(76 53301680),(77 53609320),(78 54037840),(79 54547410),
(1 143194.1),(2 472801),(3 953113.5),(4 1668811.4),(5 2535991.5),(6 3528884),(7 4770572),(8 6147776),(9 7643557),(10 9369832),(11 11253686),(12 13203418),(13 15405038),(14 17691670),(15 19942544),(16 22407090),(17 24863220),(18 27218266),(19 29744740),(20 32251740),(21 34661692),(22 37126104),(23 39745676),(24 42273370),(25 44825816),(26 47354564),(27 49748664),(28 52164650),(29 54489676),(30 56685556),(31 58800960),(32 60666624),(33 62478764),(34 64154196),(35 65576244),(36 66798028),(37 67926630),(38 68832960),(39 69374590),(40 69866350),(41 70137570),(42 70310590),(43 70289690),(44 70039896),(45 69649170),(46 69055420),(47 68180020),(48 67262160),(49 66259176),(50 65159550),(51 63892704),(52 62689620),(53 61479220),(54 60059188),(55 58730284),(56 57465190),(57 56337050),(58 55339284),(59 54368424),(60 53537692),(61 52891144),(62 52341852),(63 51950572),(64 51868744),(65 51929812),(66 51940776),(67 52163468),(68 52543616),(69 53001270),(70 53538076),(71 54260020),(72 55065548),(73 56025484),(74 56996450),(75 57954676),(76 58931800),(77 59823230),(78 60749452),(79 61674376),
(1 126621.766),(2 425255),(3 871810.75),(4 1510478.5),(5 2260625.8),(6 3139212.3),(7 4213015.5),(8 5426154.5),(9 6758741),(10 8287390),(11 10029882),(12 11929372),(13 14064652),(14 16341474),(15 18690908),(16 21114156),(17 23588690),(18 26071708),(19 28626314),(20 31136120),(21 33590424),(22 35932850),(23 38250936),(24 40430456),(25 42453550),(26 44262904),(27 45902090),(28 47403584),(29 48808784),(30 49951524),(31 50871064),(32 51566332),(33 51985390),(34 52245064),(35 52313744),(36 52112536),(37 51816196),(38 51439516),(39 50897296),(40 50324490),(41 49691144),(42 48947856),(43 48294410),(44 47590336),(45 46864380),(46 46225016),(47 45544676),(48 44871110),(49 44247450),(50 43564824),(51 42834204),(52 42181868),(53 41659216),(54 41145360),(55 40853948),(56 40681692),(57 40596788),(58 40618356),(59 40718348),(60 40824068),(61 41112220),(62 41371988),(63 41742144),(64 42151620),(65 42533116),(66 42766130),(67 43034730),(68 43253028),(69 43416444),(70 43549932),(71 43764944),(72 43865450),(73 44065916),(74 44154600),(75 44012270),(76 43850776),(77 43653724),(78 43370230),(79 43019740),
(1 128651.79),(2 452814.9),(3 951613.6),(4 1648914.4),(5 2502271.3),(6 3493797.5),(7 4657124.5),(8 5938078),(9 7299248),(10 8808393),(11 10468938),(12 12225911),(13 14092599),(14 16062790),(15 18048522),(16 20063898),(17 22139310),(18 24223476),(19 26351978),(20 28437132),(21 30405710),(22 32196626),(23 33831708),(24 35216516),(25 36378056),(26 37361852),(27 38097492),(28 38650348),(29 39031452),(30 39194196),(31 39270070),(32 39173400),(33 38943290),(34 38727764),(35 38345280),(36 37872844),(37 37409170),(38 36885292),(39 36234650),(40 35554310),(41 34806304),(42 33984784),(43 33280188),(44 32526404),(45 31859598),(46 31285436),(47 30792960),(48 30374610),(49 30054028),(50 29825730),(51 29627660),(52 29549382),(53 29587718),(54 29664836),(55 29849704),(56 30138884),(57 30476108),(58 30891346),(59 31314328),(60 31754184),(61 32266162),(62 32753726),(63 33288504),(64 33777850),(65 34230124),(66 34588948),(67 34944390),(68 35184460),(69 35395316),(70 35586636),(71 35712540),(72 35796304),(73 35912430),(74 35850664),(75 35661610),(76 35426964),(77 35077840),(78 34614380),(79 34117904),
(1 131761.69),(2 460629.75),(3 962761.7),(4 1662965),(5 2495722.3),(6 3459027.3),(7 4579050.5),(8 5767255),(9 7007794),(10 8332715.5),(11 9704772),(12 11129852),(13 12613430),(14 14085177),(15 15501410),(16 16894102),(17 18234872),(18 19466650),(19 20719206),(20 21851736),(21 22852160),(22 23753178),(23 24516616),(24 25114650),(25 25553260),(26 25769160),(27 25803794),(28 25764016),(29 25600744),(30 25289542),(31 24895540),(32 24382364),(33 23873756),(34 23350606),(35 22836160),(36 22286860),(37 21786612),(38 21315542),(39 20827576),(40 20370426),(41 19938978),(42 19497840),(43 19065626),(44 18690304),(45 18355538),(46 18035894),(47 17793088),(48 17533264),(49 17305466),(50 17121456),(51 17016828),(52 17013972),(53 17157824),(54 17407814),(55 17757136),(56 18156224),(57 18592050),(58 19102792),(59 19719004),(60 20314016),(61 20942260),(62 21518546),(63 22117690),(64 22672662),(65 23201428),(66 23672116),(67 24178036),(68 24646522),(69 25068104),(70 25481190),(71 25977304),(72 26417470),(73 26892730),(74 27348580),(75 27767610),(76 28158690),(77 28518656),(78 28821540),(79 29080210),
(1 137307.86),(2 497221.63),(3 1053696.6),(4 1800908),(5 2687158.5),(6 3683281),(7 4800209),(8 6002982),(9 7263145),(10 8582552),(11 9957276),(12 11376398),(13 12829705),(14 14243102),(15 15561458),(16 16813496),(17 17982172),(18 19074516),(19 20071882),(20 20992520),(21 21722860),(22 22296106),(23 22694584),(24 22892840),(25 22922154),(26 22641848),(27 22187234),(28 21648848),(29 21048434),(30 20301124),(31 19523378),(32 18801536),(33 18116200),(34 17532366),(35 17048142),(36 16610725),(37 16274859),(38 16069604),(39 15929872),(40 15852188),(41 15840073),(42 15830661),(43 15894016),(44 16034759),(45 16210756),(46 16446677),(47 16723134),(48 16951384),(49 17228204),(50 17508938),(51 17855044),(52 18256072),(53 18714270),(54 19178078),(55 19703122),(56 20172796),(57 20607910),(58 21056342),(59 21517366),(60 21841218),(61 22170296),(62 22405242),(63 22657452),(64 22879986),(65 23138044),(66 23394264),(67 23642262),(68 23914250),(69 24162802),(70 24441622),(71 24808850),(72 25106328),(73 25353932),(74 25551816),(75 25730432),(76 25780328),(77 25751594),(78 25710692),(79 25473020),
(1 156964.7),(2 584337.6),(3 1250882.6),(4 2136450),(5 3188976.5),(6 4360372),(7 5622521),(8 6964010.5),(9 8322792.5),(10 9672090),(11 10995088),(12 12251251),(13 13383276),(14 14382394),(15 15210445),(16 15882136),(17 16386611),(18 16787594),(19 17047022),(20 17210362),(21 17340000),(22 17391864),(23 17414076),(24 17435300),(25 17425950),(26 17306994),(27 17216096),(28 17121716),(29 16964044),(30 16804698),(31 16681491),(32 16563351),(33 16554722),(34 16636098),(35 16803078),(36 17064222),(37 17432580),(38 17848178),(39 18308944),(40 18872832),(41 19440112),(42 19948252),(43 20497006),(44 20937306),(45 21368614),(46 21790766),(47 22159120),(48 22397640),(49 22645796),(50 22848640),(51 23002316),(52 23241618),(53 23447718),(54 23590084),(55 23786010),(56 23920698),(57 23988350),(58 24042732),(59 24007972),(60 23915570),(61 23782634),(62 23568338),(63 23282080),(64 22946960),(65 22505920),(66 21989508),(67 21465186),(68 20865622),(69 20250258),(70 19601560),(71 18990306),(72 18339968),(73 17643030),(74 16923024),(75 16156661),(76 15419851),(77 14694246),(78 14045694),(79 13402579),
