(1 0.00045517774),(2 1.6411105),(3 5.425799),(4 7.407924),(5 7.4273067),(6 10.572913),(7 14.941364),(8 16.148647),(9 16.149462),(10 18.582594),(11 19.503021),(12 19.692152),(13 19.72863),(14 19.15816),(15 20.80638),(16 22.12864),(17 22.110395),(18 24.739674),(19 27.223557),(20 27.237728),(21 27.240826),(22 26.70621),(23 25.507648),(24 25.492943),(25 25.520424),(26 26.673481),(27 30.712164),(28 33.726196),(29 33.808132),(30 34.88581),(31 35.93462),(32 36.702698),(33 36.718838),(34 35.914852),(35 34.50914),(36 34.26219),(37 34.295135),(38 34.87637),(39 34.525),(40 33.627495),(41 33.646446),(42 32.361664),(43 33.565434),(44 33.576614),
(1 0.000530582),(2 1.7470131),(3 5.955964),(4 6.8018503),(5 6.8077297),(6 8.885977),(7 13.654868),(8 15.65776),(9 15.675822),(10 18.142479),(11 20.60721),(12 21.461061),(13 21.491257),(14 22.157524),(15 24.673437),(16 25.965082),(17 25.980753),(18 26.909842),(19 27.205593),(20 26.90444),(21 26.907059),(22 25.804476),(23 25.983349),(24 25.33221),(25 25.319729),(26 25.688242),(27 26.426939),(28 27.738874),(29 27.770983),(30 27.999743),(31 29.927708),(32 30.611794),(33 30.612604),(34 30.912813),(35 31.469158),(36 31.335268),(37 31.349377),(38 30.765259),(39 30.721773),(40 29.848246),(41 29.867538),(42 30.414515),(43 29.411743),(44 29.41722),
(1 0.0005548352),(2 1.834182),(3 6.4872227),(4 7.8381543),(5 7.828871),(6 9.569516),(7 12.270354),(8 14.432858),(9 14.450258),(10 16.848337),(11 18.976652),(12 20.202124),(13 20.263054),(14 20.991304),(15 22.242104),(16 22.19291),(17 22.24447),(18 23.158983),(19 23.821787),(20 25.042421),(21 25.089329),(22 24.165741),(23 23.207392),(24 23.143179),(25 23.156275),(26 22.975094),(27 25.471441),(28 26.356655),(29 26.518396),(30 26.686464),(31 28.544842),(32 30.099785),(33 30.108639),(34 30.012527),(35 29.757645),(36 29.850122),(37 29.83975),(38 29.205713),(39 29.593233),(40 29.75181),(41 29.74469),(42 29.853832),(43 32.20835),(44 32.222652),
(1 0.0005374504),(2 1.3561405),(3 5.276722),(4 6.7909946),(5 6.7892694),(6 8.977153),(7 11.745784),(8 13.620272),(9 13.628235),(10 15.268583),(11 16.07153),(12 17.850489),(13 17.871319),(14 19.211447),(15 21.437958),(16 21.51661),(17 21.535091),(18 22.32053),(19 25.023445),(20 26.50332),(21 26.467022),(22 26.701153),(23 24.157515),(24 23.136702),(25 23.127956),(26 21.846552),(27 23.29837),(28 23.565968),(29 23.752035),(30 24.103909),(31 26.857244),(32 27.899647),(33 27.82504),(34 27.915104),(35 27.350769),(36 26.908554),(37 26.93931),(38 27.068361),(39 26.41411),(40 26.683084),(41 26.685137),(42 27.598211),(43 27.881493),(44 27.898811),
(1 0.00059138046),(2 1.697737),(3 5.4066224),(4 7.083262),(5 7.080025),(6 8.679249),(7 12.128359),(8 13.734358),(9 13.720242),(10 15.986268),(11 17.437382),(12 18.825071),(13 18.83562),(14 20.434233),(15 21.899952),(16 21.813267),(17 21.896635),(18 22.990572),(19 24.5686),(20 25.474762),(21 25.526707),(22 23.685669),(23 22.623964),(24 22.140024),(25 22.139801),(26 21.236282),(27 22.532555),(28 22.39373),(29 22.38757),(30 22.291199),(31 23.08004),(32 24.406343),(33 24.443857),(34 23.89903),(35 25.4147),(36 26.095627),(37 26.11177),(38 26.17368),(39 27.180672),(40 26.70685),(41 26.730879),(42 26.680628),(43 27.54882),(44 27.546473),
(1 0.0006137198),(2 1.4442571),(3 4.860553),(4 5.9849615),(5 5.9613156),(6 7.852402),(7 11.008423),(8 12.932952),(9 12.942649),(10 15.1115),(11 16.798773),(12 17.58703),(13 17.591032),(14 18.35886),(15 19.527035),(16 20.3276),(17 20.362274),(18 21.38793),(19 23.041655),(20 23.966532),(21 23.972898),(22 23.483976),(23 23.03363),(24 22.63387),(25 22.632788),(26 22.382547),(27 23.860329),(28 24.784683),(29 24.880407),(30 24.122532),(31 25.632711),(32 27.337233),(33 27.314157),(34 27.05213),(35 25.433155),(36 24.72459),(37 24.755707),(38 25.03298),(39 23.807531),(40 23.400194),(41 23.394606),(42 22.834661),(43 24.311394),(44 24.304533),
(1 0.0005216149),(2 1.2098732),(3 4.7191553),(4 6.580072),(5 6.5703816),(6 7.704701),(7 10.9649935),(8 12.439182),(9 12.454981),(10 14.245346),(11 15.709509),(12 16.207474),(13 16.228209),(14 16.822586),(15 17.511145),(16 18.335932),(17 18.354855),(18 19.223928),(19 20.58943),(20 22.616838),(21 22.583918),(22 21.588701),(23 20.87069),(24 21.270176),(25 21.24),(26 20.666876),(27 21.742374),(28 22.044056),(29 22.08166),(30 21.57203),(31 22.211359),(32 23.464642),(33 23.473461),(34 23.071066),(35 23.040567),(36 24.422764),(37 24.404533),(38 24.703838),(39 23.18116),(40 23.215982),(41 23.22682),(42 22.595602),(43 22.498302),(44 22.513391),
(1 0.00068182696),(2 1.2925864),(3 4.4872074),(4 6.226085),(5 6.2342796),(6 7.680537),(7 10.234152),(8 12.321825),(9 12.324834),(10 14.335204),(11 16.194138),(12 17.609613),(13 17.65879),(14 18.676651),(15 19.519968),(16 19.53582),(17 19.572115),(18 20.937716),(19 21.456104),(20 22.888458),(21 22.863905),(22 20.009045),(23 19.63174),(24 21.203964),(25 21.201542),(26 21.592405),(27 23.654722),(28 22.93104),(29 23.005308),(30 22.201668),(31 22.10554),(32 23.48393),(33 23.534994),(34 24.197418),(35 24.084827),(36 24.37965),(37 24.36793),(38 25.10131),(39 24.767756),(40 24.79781),(41 24.791792),(42 24.219862),(43 23.530409),(44 23.53337),
(1 0.00054555683),(2 1.2780496),(3 4.7470098),(4 6.3182306),(5 6.325271),(6 7.6143436),(7 10.3276415),(8 11.640283),(9 11.672798),(10 13.090075),(11 14.761967),(12 16.245764),(13 16.243288),(14 16.764023),(15 18.25303),(16 18.364048),(17 18.389894),(18 18.551811),(19 18.167858),(20 19.085531),(21 19.099472),(22 18.142206),(23 17.675993),(24 18.262926),(25 18.245491),(26 18.227318),(27 19.780888),(28 19.284191),(29 19.364698),(30 18.74614),(31 18.876411),(32 20.34807),(33 20.35708),(34 20.186857),(35 19.803589),(36 20.023924),(37 20.056856),(38 20.69594),(39 21.446367),(40 22.522995),(41 22.516577),(42 22.129694),(43 22.248335),(44 22.257454),
(1 0.0006539584),(2 1.454199),(3 5.197038),(4 7.0583587),(5 7.058419),(6 8.212558),(7 11.233049),(8 13.854409),(9 13.876172),(10 16.262383),(11 16.773514),(12 17.33545),(13 17.367756),(14 17.128632),(15 17.180775),(16 17.51123),(17 17.50084),(18 18.27774),(19 19.832924),(20 20.378527),(21 20.427748),(22 19.731253),(23 20.049883),(24 21.057922),(25 21.055117),(26 20.488344),(27 20.262316),(28 20.334492),(29 20.407505),(30 20.236065),(31 20.037619),(32 21.326675),(33 21.363104),(34 22.494598),(35 21.98004),(36 22.372587),(37 22.386473),(38 22.730213),(39 21.771254),(40 21.526115),(41 21.488747),(42 21.447508),(43 22.15597),(44 22.159365),
