1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,
(1 0.00015090096),(2 0.07694373),(3 0.24200921),(4 0.31237924),(5 0.312725),(6 0.33530822),(7 0.4137541),(8 0.45641395),(9 0.45648912),(10 0.48287582),(11 0.49552017),(12 0.5468806),(13 0.5463658),(14 0.55135924),(15 0.5622318),(16 0.5652464),(17 0.5641242),(18 0.58286744),(19 0.56456727),(20 0.6097838),(21 0.6096586),(22 0.5663152),(23 0.59232247),(24 0.61950743),(25 0.6198095),(26 0.60423285),(27 0.6863989),(28 0.7031472),(29 0.71066624),(30 0.66774845),(31 0.6672461),(32 0.7143228),(33 0.71243423),(34 0.69472504),(35 0.6536751),(36 0.6878535),(37 0.6866993),(38 0.66644),(39 0.66895807),(40 0.6775302),(41 0.6773563),(42 0.6461581),(43 0.6803473),(44 0.680134),
(1 0.00013380837),(2 0.05893453),(3 0.1851591),(4 0.23580264),(5 0.23625699),(6 0.25369114),(7 0.30952656),(8 0.3397664),(9 0.34006697),(10 0.36035824),(11 0.371902),(12 0.4100735),(13 0.41006592),(14 0.41848627),(15 0.43140697),(16 0.43619356),(17 0.4346231),(18 0.4440215),(19 0.43246153),(20 0.46025988),(21 0.4597642),(22 0.42453668),(23 0.4480765),(24 0.46969673),(25 0.46980765),(26 0.458642),(27 0.5162002),(28 0.5357114),(29 0.538485),(30 0.50774944),(31 0.51285434),(32 0.54408705),(33 0.54270923),(34 0.52664167),(35 0.5007735),(36 0.5288735),(37 0.52782816),(38 0.5073529),(39 0.51901275),(40 0.5243171),(41 0.5239267),(42 0.49859953),(43 0.5247562),(44 0.5245362),
(1 0.00011650125),(2 0.046033137),(3 0.1403371),(4 0.17788313),(5 0.17806008),(6 0.19027452),(7 0.23781015),(8 0.2610536),(9 0.26065913),(10 0.274799),(11 0.28711578),(12 0.31487602),(13 0.314407),(14 0.31621343),(15 0.32591292),(16 0.32771978),(17 0.32644477),(18 0.33697498),(19 0.32782415),(20 0.35509077),(21 0.35474968),(22 0.3331119),(23 0.34534055),(24 0.35425937),(25 0.3544716),(26 0.346585),(27 0.39134255),(28 0.40567508),(29 0.4072018),(30 0.38347954),(31 0.39137357),(32 0.41535497),(33 0.41433063),(34 0.40799516),(35 0.37898722),(36 0.40343708),(37 0.4025131),(38 0.38881347),(39 0.3897068),(40 0.39666852),(41 0.39682803),(42 0.37229642),(43 0.38788322),(44 0.38790038),
(1 0.0001048016),(2 0.03560383),(3 0.1098164),(4 0.13638382),(5 0.13648757),(6 0.14815402),(7 0.19016668),(8 0.2034807),(9 0.20345278),(10 0.21403141),(11 0.22581577),(12 0.25011024),(13 0.24980721),(14 0.24969685),(15 0.25247797),(16 0.25752306),(17 0.25634015),(18 0.26733494),(19 0.25791243),(20 0.2775644),(21 0.27731866),(22 0.2565332),(23 0.2667036),(24 0.2745637),(25 0.27463514),(26 0.26501936),(27 0.30352318),(28 0.30981073),(29 0.31151122),(30 0.2958818),(31 0.29649344),(32 0.316686),(33 0.3157012),(34 0.3106188),(35 0.29241678),(36 0.31275004),(37 0.3119592),(38 0.3021485),(39 0.30522397),(40 0.30377933),(41 0.30376542),(42 0.28531644),(43 0.30596504),(44 0.30585435),
(1 0.00009834881),(2 0.030757463),(3 0.09083852),(4 0.11398843),(5 0.11402335),(6 0.1232074),(7 0.15609717),(8 0.16809797),(9 0.16782328),(10 0.17311469),(11 0.18161295),(12 0.19765349),(13 0.1972138),(14 0.20216347),(15 0.20560257),(16 0.21191992),(17 0.21108605),(18 0.21943882),(19 0.20912994),(20 0.22509876),(21 0.22492997),(22 0.20368473),(23 0.21518041),(24 0.22348666),(25 0.22365254),(26 0.21759169),(27 0.2483271),(28 0.25576687),(29 0.25720444),(30 0.24372667),(31 0.24786213),(32 0.26334307),(33 0.26264432),(34 0.25749665),(35 0.24367028),(36 0.25824615),(37 0.25775206),(38 0.24863555),(39 0.25049633),(40 0.25323847),(41 0.25322846),(42 0.2386684),(43 0.2540627),(44 0.25403625),
(1 0.0000958456),(2 0.026860334),(3 0.0787647),(4 0.0958933),(5 0.09598626),(6 0.10493461),(7 0.13155541),(8 0.14049028),(9 0.14038031),(10 0.1461446),(11 0.15200175),(12 0.17028789),(13 0.17009225),(14 0.17202932),(15 0.17397009),(16 0.17939304),(17 0.17845531),(18 0.18376856),(19 0.17568976),(20 0.18879814),(21 0.18848899),(22 0.1719565),(23 0.18333225),(24 0.18789905),(25 0.18789338),(26 0.1830251),(27 0.20933314),(28 0.21472855),(29 0.2160095),(30 0.20722562),(31 0.20927386),(32 0.22553335),(33 0.22487798),(34 0.2174176),(35 0.20684013),(36 0.22107278),(37 0.22062492),(38 0.21275495),(39 0.21583669),(40 0.21778922),(41 0.21759482),(42 0.20493829),(43 0.21682723),(44 0.21680796),
(1 0.00009027439),(2 0.023039978),(3 0.06581677),(4 0.08100114),(5 0.081054084),(6 0.08854091),(7 0.11336494),(8 0.12063794),(9 0.12031074),(10 0.12575972),(11 0.12933941),(12 0.14467043),(13 0.1442107),(14 0.1432786),(15 0.14428967),(16 0.15047549),(17 0.14959969),(18 0.15434015),(19 0.14836594),(20 0.15991993),(21 0.15967093),(22 0.14630373),(23 0.15726097),(24 0.15956125),(25 0.15958183),(26 0.15503448),(27 0.17752957),(28 0.18193997),(29 0.18295276),(30 0.1743367),(31 0.17755298),(32 0.19028866),(33 0.18948257),(34 0.1844168),(35 0.17061104),(36 0.18319036),(37 0.18256368),(38 0.17650634),(39 0.17925888),(40 0.18049781),(41 0.18043317),(42 0.17112082),(43 0.18249518),(44 0.18245505),
(1 0.00008698258),(2 0.019830642),(3 0.055754658),(4 0.06810636),(5 0.068168655),(6 0.07372202),(7 0.09470978),(8 0.10120299),(9 0.10106042),(10 0.10327941),(11 0.1081266),(12 0.12141494),(13 0.120963894),(14 0.12069268),(15 0.12215514),(16 0.1270543),(17 0.12635958),(18 0.13064802),(19 0.12612665),(20 0.13581716),(21 0.13556692),(22 0.1242871),(23 0.13338499),(24 0.13636756),(25 0.13634641),(26 0.13137908),(27 0.14969388),(28 0.15319768),(29 0.15319085),(30 0.14515673),(31 0.1500293),(32 0.15969622),(33 0.159009),(34 0.15571097),(35 0.14447866),(36 0.15475512),(37 0.15431221),(38 0.14774758),(39 0.15113248),(40 0.15033658),(41 0.15028788),(42 0.1432821),(43 0.15265627),(44 0.15261616),
(1 0.00008045931),(2 0.016666982),(3 0.04634567),(4 0.057044186),(5 0.05709851),(6 0.06235178),(7 0.08047132),(8 0.08604647),(9 0.08582298),(10 0.08603075),(11 0.09095481),(12 0.10063659),(13 0.10034668),(14 0.09974757),(15 0.10270875),(16 0.10683237),(17 0.106078826),(18 0.11123612),(19 0.106193244),(20 0.11407211),(21 0.11385205),(22 0.10438055),(23 0.11231044),(24 0.115622066),(25 0.115676746),(26 0.11112521),(27 0.12675712),(28 0.12955134),(29 0.1296004),(30 0.123485),(31 0.12836145),(32 0.13844006),(33 0.13783169),(34 0.13262714),(35 0.12221681),(36 0.13104706),(37 0.1306229),(38 0.12474076),(39 0.12800634),(40 0.1289554),(41 0.12884349),(42 0.12203238),(43 0.1285096),(44 0.12843372),
(1 0.000085884145),(2 0.015962956),(3 0.04397243),(4 0.053054485),(5 0.053115733),(6 0.05920016),(7 0.075455874),(8 0.079825625),(9 0.07968722),(10 0.08118208),(11 0.0839911),(12 0.094495006),(13 0.09398054),(14 0.09480945),(15 0.094646655),(16 0.09913998),(17 0.09807779),(18 0.102211),(19 0.09788874),(20 0.10561178),(21 0.1054566),(22 0.09637058),(23 0.104199015),(24 0.104614146),(25 0.10475354),(26 0.10274219),(27 0.118117385),(28 0.11893634),(29 0.119187154),(30 0.11317186),(31 0.11727536),(32 0.12651543),(33 0.12578648),(34 0.119842745),(35 0.11146596),(36 0.119427465),(37 0.11909103),(38 0.11314216),(39 0.11758675),(40 0.11700652),(41 0.116917774),(42 0.11249932),(43 0.11916852),(44 0.11913025),
