1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,
(1 0.00018815786),(2 0.9047835),(3 3.6261048),(4 5.1966877),(5 5.1962748),(6 7.3476615),(7 9.697173),(8 9.992185),(9 9.999041),(10 10.194797),(11 11.132426),(12 12.201166),(13 12.1958),(14 13.067235),(15 15.132065),(16 16.9352),(17 16.944065),(18 19.133322),(19 20.352402),(20 20.623259),(21 20.619576),(22 20.944057),(23 22.72939),(24 23.615223),(25 23.619797),(26 24.036463),(27 25.499947),(28 25.697414),(29 25.738926),(30 25.725206),(31 26.902882),(32 27.706575),(33 27.699396),(34 26.452293),(35 25.420933),(36 25.954456),(37 25.952436),(38 26.39526),(39 27.300169),(40 27.2628),(41 27.26271),(42 27.1521),(43 28.34148),(44 28.341328),
(1 0.00027418154),(2 1.2424946),(3 4.776969),(4 6.5026536),(5 6.5040956),(6 8.362593),(7 11.667967),(8 12.592548),(9 12.604013),(10 13.144925),(11 15.006365),(12 16.473057),(13 16.481031),(14 17.708427),(15 20.388689),(16 21.71194),(17 21.723143),(18 23.426928),(19 22.246593),(20 22.79826),(21 22.794573),(22 22.47253),(23 22.160284),(24 22.402721),(25 22.40273),(26 23.667776),(27 26.639484),(28 26.375324),(29 26.413544),(30 26.122026),(31 28.035429),(32 28.625185),(33 28.62856),(34 27.361643),(35 25.199968),(36 25.520256),(37 25.526749),(38 25.79766),(39 26.177858),(40 25.916672),(41 25.916674),(42 25.58529),(43 25.702353),(44 25.705809),
(1 0.0002980377),(2 0.98859835),(3 3.7779005),(4 5.1754403),(5 5.1749787),(6 6.4559216),(7 8.194427),(8 9.307753),(9 9.319081),(10 10.080172),(11 11.234121),(12 12.011662),(13 12.015281),(14 12.295149),(15 13.811537),(16 14.466513),(17 14.476135),(18 14.616729),(19 14.324773),(20 14.65515),(21 14.656321),(22 14.347023),(23 14.732859),(24 14.663957),(25 14.6641),(26 14.928846),(27 15.873782),(28 16.402609),(29 16.449263),(30 15.995145),(31 17.291882),(32 17.73902),(33 17.738981),(34 17.397413),(35 16.738691),(36 16.781166),(37 16.78009),(38 16.684786),(39 16.798847),(40 16.690697),(41 16.687904),(42 16.554554),(43 17.110353),(44 17.11292),
(1 0.00036729543),(2 0.9677243),(3 3.4526062),(4 4.6255703),(5 4.6284695),(6 5.411259),(7 6.8074594),(8 7.7947145),(9 7.8002176),(10 8.765765),(11 10.065274),(12 10.752805),(13 10.7614),(14 11.209619),(15 11.519281),(16 11.277829),(17 11.284469),(18 11.501616),(19 11.857307),(20 12.436562),(21 12.438901),(22 12.014513),(23 11.98162),(24 12.089741),(25 12.087889),(26 12.172911),(27 12.877197),(28 13.183992),(29 13.223502),(30 12.954387),(31 13.605477),(32 14.246556),(33 14.248688),(34 14.342396),(35 13.949997),(36 13.98652),(37 13.988149),(38 13.867335),(39 13.580211),(40 13.680112),(41 13.680836),(42 13.466534),(43 13.770067),(44 13.76954),
(1 0.0003704377),(2 0.7922162),(3 2.7239587),(4 3.7108116),(5 3.7113886),(6 4.375443),(7 5.5878205),(8 6.4649005),(9 6.4713516),(10 7.179077),(11 8.003636),(12 8.397416),(13 8.401845),(14 8.639768),(15 8.830327),(16 9.058555),(17 9.067965),(18 9.384051),(19 9.41369),(20 9.727032),(21 9.730621),(22 9.428744),(23 9.472409),(24 9.605403),(25 9.604057),(26 9.596794),(27 10.109918),(28 10.345201),(29 10.384811),(30 10.230418),(31 10.389134),(32 11.041924),(33 11.044025),(34 11.075753),(35 10.63838),(36 10.80964),(37 10.811411),(38 10.789453),(39 10.689645),(40 10.681173),(41 10.682782),(42 10.42077),(43 10.667732),(44 10.667231),
(1 0.0002877476),(2 0.4907256),(3 1.6551806),(4 2.2539632),(5 2.2559001),(6 2.5756426),(7 3.3057747),(8 3.9369977),(9 3.9387822),(10 4.367508),(11 4.689454),(12 4.977805),(13 4.9813905),(14 5.1739416),(15 5.346463),(16 5.2794514),(17 5.284307),(18 5.4552574),(19 5.4599056),(20 5.6815963),(21 5.6842046),(22 5.587807),(23 5.719752),(24 5.931538),(25 5.9309454),(26 5.8743916),(27 6.0062923),(28 6.15175),(29 6.167391),(30 6.1295824),(31 6.0766435),(32 6.3316026),(33 6.3298855),(34 6.4532146),(35 6.291277),(36 6.4201922),(37 6.4196467),(38 6.4649143),(39 6.324297),(40 6.369703),(41 6.3685875),(42 6.1593666),(43 6.23906),(44 6.238845),
(1 0.00031116788),(2 0.43699756),(3 1.4879612),(4 2.0264952),(5 2.0272894),(6 2.2737482),(7 2.9704883),(8 3.3653088),(9 3.3708327),(10 3.6762266),(11 4.0554643),(12 4.3494916),(13 4.351338),(14 4.4674506),(15 4.5796633),(16 4.571068),(17 4.572509),(18 4.8149343),(19 4.6262527),(20 4.818306),(21 4.8187976),(22 4.5412493),(23 4.7241764),(24 4.8972306),(25 4.897731),(26 4.828174),(27 5.081931),(28 5.2589054),(29 5.280615),(30 5.26358),(31 5.244915),(32 5.379924),(33 5.3790927),(34 5.399631),(35 5.3491817),(36 5.4664288),(37 5.466292),(38 5.4574594),(39 5.353758),(40 5.3944297),(41 5.3940916),(42 5.20912),(43 5.2701607),(44 5.270542),
(1 0.00030034158),(2 0.3586483),(3 1.1958206),(4 1.6601839),(5 1.6619381),(6 1.7887218),(7 2.2482889),(8 2.55479),(9 2.5580022),(10 2.8640068),(11 3.0230236),(12 3.2350183),(13 3.2362075),(14 3.3244157),(15 3.4772599),(16 3.4465508),(17 3.4482768),(18 3.520515),(19 3.4922895),(20 3.7110758),(21 3.7135985),(22 3.5733244),(23 3.7124605),(24 3.8145647),(25 3.8156252),(26 3.6608334),(27 3.939754),(28 4.0651045),(29 4.0748796),(30 3.9701538),(31 3.9613914),(32 4.1739407),(33 4.1723027),(34 4.180474),(35 4.110324),(36 4.2480693),(37 4.2446113),(38 4.175289),(39 4.054983),(40 4.066214),(41 4.0657516),(42 3.8995855),(43 3.9868362),(44 3.9868703),
(1 0.00028681147),(2 0.2922119),(3 0.9463049),(4 1.3142704),(5 1.3149259),(6 1.4264693),(7 1.8340585),(8 2.064886),(9 2.0663178),(10 2.2899172),(11 2.427626),(12 2.621643),(13 2.6220927),(14 2.672246),(15 2.7577734),(16 2.7620993),(17 2.7621078),(18 2.822422),(19 2.7408144),(20 2.8829117),(21 2.8827116),(22 2.7327828),(23 2.8342743),(24 2.9125667),(25 2.9128726),(26 2.8620043),(27 3.0578842),(28 3.1644204),(29 3.1724849),(30 3.0632477),(31 3.0191104),(32 3.1842766),(33 3.1836712),(34 3.1701648),(35 3.1242044),(36 3.2634423),(37 3.2623613),(38 3.198908),(39 3.1693282),(40 3.2245736),(41 3.2236617),(42 3.026972),(43 3.0994544),(44 3.0992002),
(1 0.00025364774),(2 0.23510198),(3 0.77877975),(4 1.0585874),(5 1.0597063),(6 1.131791),(7 1.4318199),(8 1.624025),(9 1.626834),(10 1.804762),(11 1.8221955),(12 1.954014),(13 1.9550873),(14 1.9953028),(15 2.1130826),(16 2.0818746),(17 2.0808697),(18 2.1639757),(19 2.096096),(20 2.2147207),(21 2.215373),(22 2.110749),(23 2.1513662),(24 2.2307227),(25 2.2315977),(26 2.190472),(27 2.4028878),(28 2.4759688),(29 2.494253),(30 2.3847032),(31 2.3866653),(32 2.5348215),(33 2.5323188),(34 2.5286386),(35 2.4656374),(36 2.575295),(37 2.5734494),(38 2.536313),(39 2.465286),(40 2.5267231),(41 2.5261319),(42 2.399758),(43 2.4614718),(44 2.4615283),
(1 0.0002042657),(2 0.16735049),(3 0.5611969),(4 0.75966084),(5 0.760105),(6 0.80633676),(7 1.0013666),(8 1.1241683),(9 1.1250917),(10 1.2317674),(11 1.3075416),(12 1.4210101),(13 1.4210881),(14 1.4646877),(15 1.5372001),(16 1.5341427),(17 1.5340189),(18 1.5593797),(19 1.519332),(20 1.6148579),(21 1.6142368),(22 1.508093),(23 1.5594188),(24 1.6269304),(25 1.62815),(26 1.5898484),(27 1.709144),(28 1.750904),(29 1.7589785),(30 1.6560173),(31 1.6512887),(32 1.7484658),(33 1.7460879),(34 1.7374331),(35 1.7081532),(36 1.7928908),(37 1.7915246),(38 1.7455368),(39 1.7107741),(40 1.7660314),(41 1.7653195),(42 1.6657505),(43 1.7081865),(44 1.7077398),
