1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,
(1 0.00069300225),(2 1.0724516),(3 3.7015538),(4 4.96641),(5 4.969328),(6 5.5068746),(7 7.559201),(8 8.50776),(9 8.519866),(10 9.5632105),(11 10.563672),(12 11.359183),(13 11.358533),(14 11.917752),(15 12.246084),(16 12.149601),(17 12.172496),(18 12.858698),(19 12.12567),(20 12.456645),(21 12.4574175),(22 11.964628),(23 12.719817),(24 13.101749),(25 13.107964),(26 13.065419),(27 13.797883),(28 14.028854),(29 14.061011),(30 13.871598),(31 13.632642),(32 14.065865),(33 14.061071),(34 14.72051),(35 14.136696),(36 14.231641),(37 14.23918),(38 14.309765),(39 14.362103),(40 14.595176),(41 14.60238),(42 14.251574),(43 14.165499),(44 14.168106),
(1 0.00064228236),(2 0.98392224),(3 3.237873),(4 4.436689),(5 4.4422317),(6 4.8990817),(7 6.4687643),(8 7.3472342),(9 7.3599367),(10 8.030677),(11 8.565216),(12 9.234093),(13 9.244967),(14 9.624904),(15 10.118261),(16 10.114219),(17 10.121475),(18 10.714716),(19 10.340435),(20 10.580597),(21 10.589188),(22 10.127862),(23 10.3779955),(24 10.749016),(25 10.759376),(26 10.578176),(27 11.127588),(28 11.443653),(29 11.469661),(30 11.269958),(31 10.977474),(32 11.4293375),(33 11.420571),(34 11.590751),(35 11.448548),(36 11.6609),(37 11.655028),(38 11.469337),(39 11.28683),(40 11.384415),(41 11.385443),(42 11.082649),(43 11.550811),(44 11.545904),
(1 0.0006074316),(2 0.8208668),(3 2.7829194),(4 3.7529526),(5 3.7564538),(6 4.10978),(7 5.314902),(8 5.8252425),(9 5.8296695),(10 6.5696864),(11 6.9280453),(12 7.4372516),(13 7.4358683),(14 7.7012744),(15 7.926582),(16 7.867374),(17 7.866192),(18 8.381948),(19 8.218465),(20 8.68036),(21 8.683192),(22 8.393053),(23 8.655093),(24 9.09121),(25 9.085532),(26 8.793905),(27 9.258922),(28 9.600724),(29 9.640579),(30 9.4472275),(31 9.383934),(32 9.780397),(33 9.778136),(34 9.640971),(35 9.581119),(36 9.848887),(37 9.850847),(38 9.726377),(39 9.187712),(40 9.289882),(41 9.282081),(42 9.128409),(43 9.278044),(44 9.279005),
(1 0.0005620868),(2 0.72107005),(3 2.4179778),(4 3.3169336),(5 3.31615),(6 3.6653824),(7 4.68623),(8 5.3614836),(9 5.3682427),(10 5.902999),(11 6.31276),(12 6.636813),(13 6.6375093),(14 6.928192),(15 7.2377024),(16 7.3457966),(17 7.347753),(18 7.626396),(19 7.580907),(20 7.9645176),(21 7.9613934),(22 7.4826546),(23 7.529574),(24 7.582836),(25 7.5760083),(26 7.3922386),(27 7.8810325),(28 8.272022),(29 8.313404),(30 7.9569793),(31 8.0001135),(32 8.348066),(33 8.340741),(34 8.191688),(35 8.15582),(36 8.439143),(37 8.436316),(38 8.486819),(39 8.4066),(40 8.369677),(41 8.370399),(42 8.0636635),(43 8.114784),(44 8.116069),
(1 0.0005933205),(2 0.6947777),(3 2.3428884),(4 3.3039649),(5 3.3075476),(6 3.5286257),(7 4.345323),(8 4.965344),(9 4.969434),(10 5.5369534),(11 5.6906433),(12 6.06388),(13 6.0692596),(14 6.104266),(15 6.119344),(16 6.201289),(17 6.208887),(18 6.3078504),(19 6.229749),(20 6.5743265),(21 6.5782638),(22 6.349843),(23 6.824395),(24 7.07754),(25 7.0774503),(26 6.728253),(27 7.17856),(28 7.3940063),(29 7.3972216),(30 7.2343006),(31 7.2123356),(32 7.564679),(33 7.5656056),(34 7.6510663),(35 7.57392),(36 7.853381),(37 7.852638),(38 7.5861855),(39 7.606381),(40 7.6861844),(41 7.683879),(42 7.1786833),(43 7.187198),(44 7.1857986),
(1 0.0005951571),(2 0.65202266),(3 2.124128),(4 2.9179692),(5 2.917534),(6 3.1569173),(7 3.9243176),(8 4.4312),(9 4.4420033),(10 4.958662),(11 5.1744976),(12 5.5138636),(13 5.51584),(14 5.621705),(15 5.6326613),(16 5.7389383),(17 5.7390447),(18 5.8997335),(19 5.9146066),(20 6.210696),(21 6.216701),(22 5.931864),(23 5.9612875),(24 6.2125673),(25 6.207592),(26 5.9929686),(27 6.55164),(28 6.6839194),(29 6.6914287),(30 6.6387835),(31 6.544869),(32 6.977841),(33 6.9772468),(34 6.873616),(35 6.611531),(36 6.906762),(37 6.9005575),(38 6.843493),(39 6.8032312),(40 6.9722667),(41 6.9760146),(42 6.539591),(43 6.6703415),(44 6.6737404),
(1 0.000557109),(2 0.583976),(3 1.8635114),(4 2.6449382),(5 2.6489658),(6 2.7236624),(7 3.3817117),(8 3.7875733),(9 3.7989757),(10 4.140852),(11 4.3456197),(12 4.6317134),(13 4.6314),(14 4.683548),(15 5.013922),(16 4.967934),(17 4.9754543),(18 5.1610036),(19 5.0586863),(20 5.4530826),(21 5.4498105),(22 5.239437),(23 5.274738),(24 5.4167824),(25 5.4194508),(26 5.352744),(27 6.0150747),(28 6.1188293),(29 6.150501),(30 5.77436),(31 5.596899),(32 6.0136094),(33 6.012834),(34 6.005868),(35 5.9786954),(36 6.3365054),(37 6.3300323),(38 6.27652),(39 5.976291),(40 6.049252),(41 6.04856),(42 5.77319),(43 5.8152084),(44 5.8147826),
(1 0.0005394772),(2 0.5460308),(3 1.6807847),(4 2.302171),(5 2.3049405),(6 2.4460578),(7 3.0738382),(8 3.402223),(9 3.402353),(10 3.7028472),(11 3.859512),(12 4.225367),(13 4.223343),(14 4.39572),(15 4.5682664),(16 4.5105953),(17 4.511486),(18 4.634424),(19 4.454784),(20 4.77219),(21 4.778431),(22 4.522887),(23 4.7634),(24 4.852127),(25 4.8535247),(26 4.7526174),(27 5.0227957),(28 5.213814),(29 5.2320523),(30 4.958468),(31 5.023669),(32 5.3579564),(33 5.35566),(34 5.3349614),(35 5.193858),(36 5.2815847),(37 5.276818),(38 5.1302557),(39 4.9909387),(40 5.1038237),(41 5.096687),(42 4.8173423),(43 5.0860486),(44 5.086822),
(1 0.00047139026),(2 0.4239124),(3 1.3355017),(4 1.8278292),(5 1.8292542),(6 2.0003064),(7 2.5638537),(8 2.827528),(9 2.83011),(10 3.1341748),(11 3.2781043),(12 3.591711),(13 3.5937638),(14 3.7750912),(15 3.8317218),(16 3.8605852),(17 3.8557613),(18 3.8479955),(19 3.8375235),(20 4.1301827),(21 4.1293616),(22 3.7971377),(23 3.8991668),(24 4.0091977),(25 4.0135226),(26 3.90745),(27 4.1844563),(28 4.338787),(29 4.362629),(30 4.024585),(31 3.936068),(32 4.151894),(33 4.147087),(34 4.135277),(35 4.137307),(36 4.331144),(37 4.3280044),(38 4.188601),(39 4.0902195),(40 4.2554307),(41 4.254117),(42 4.0614424),(43 4.1855593),(44 4.184605),
(1 0.00048231235),(2 0.4235351),(3 1.4247363),(4 1.865599),(5 1.8666923),(6 2.0270288),(7 2.5417752),(8 2.8631458),(9 2.8689885),(10 3.2209668),(11 3.1827378),(12 3.402789),(13 3.4060402),(14 3.4282255),(15 3.6718118),(16 3.650652),(17 3.6516576),(18 3.7870839),(19 3.5967255),(20 3.8681426),(21 3.8657513),(22 3.655383),(23 3.8055127),(24 3.989279),(25 3.9947212),(26 3.9299145),(27 4.2953167),(28 4.4095497),(29 4.431915),(30 4.1571913),(31 4.110442),(32 4.3712974),(33 4.364074),(34 4.2908187),(35 4.036691),(36 4.1960273),(37 4.194087),(38 4.193387),(39 4.180452),(40 4.279548),(41 4.275797),(42 4.064759),(43 4.1406894),(44 4.141799),
