1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,500.5,501.5,502.5,503.5,504.5,505.5,506.5,507.5,508.5,509.5,510.5,511.5,
(1 901633.3),(2 2837991.3),(3 4558148.5),(4 7594985.5),(5 12025400),(6 18300506),(7 23037402),(8 29152842),(9 31592162),(10 39438640),(11 45574108),(12 56200396),(13 67648150),(14 74589624),(15 79434890),(16 84068584),(17 89455200),(18 92730430),(19 96959360),(20 98391770),(21 103069480),(22 102716670),(23 103318430),(24 100449430),(25 104020540),(26 113255200),(27 119118920),(28 132193670),(29 148995920),(30 164298540),(31 177298240),(32 194499020),(33 202233900),(34 212075970),(35 220161070),(36 233165710),(37 268180350),(38 297186700),(39 321259500),(40 350067040),(41 379327400),(42 393735420),(43 413929730),(44 427097500),(45 440108200),(46 459925400),(47 472187550),(48 508620800),(49 558930500),(50 606363970),(51 649226000),(52 698333100),(53 766003650),(54 809808700),(55 855598660),(56 883660300),(57 897004300),(58 893069500),(59 896625660),(60 894275260),(61 859597060),(62 830904300),(63 804680900),(64 770959700),(65 728979200),(66 701556160),(67 674525700),(68 642051800),(69 621964600),(70 608536400),(71 594393540),(72 585213100),(73 571322050),(74 564015300),(75 555857900),(76 552976900),(77 548064830),(78 541906100),(79 535826530),
(1 1622507.8),(2 3906366),(3 6441378.5),(4 10088002),(5 14700776),(6 18502166),(7 21936556),(8 26658986),(9 31734176),(10 37750476),(11 42791508),(12 49138732),(13 58903520),(14 65519692),(15 71508200),(16 75843944),(17 79980870),(18 82695770),(19 86111720),(20 89186240),(21 99237960),(22 108925080),(23 116133680),(24 127059250),(25 142658000),(26 155042600),(27 166993470),(28 179399140),(29 181675020),(30 180982620),(31 181336640),(32 178024540),(33 167470370),(34 163532820),(35 157739180),(36 153580900),(37 155773490),(38 160582830),(39 163369040),(40 173024020),(41 174594460),(42 170515490),(43 169264030),(44 170639580),(45 194392540),(46 228863330),(47 251653630),(48 288281380),(49 340838720),(50 383436700),(51 428002000),(52 468688480),(53 511253000),(54 540284350),(55 565818750),(56 575979650),(57 566171700),(58 576685900),(59 580141400),(60 603466400),(61 626720100),(62 643760830),(63 658129300),(64 681755650),(65 708727940),(66 729881100),(67 749815300),(68 766772600),(69 768106940),(70 766987650),(71 767579500),(72 760979460),(73 761843100),(74 754482050),(75 749513700),(76 736083600),(77 720107000),(78 726332100),(79 723917950),
(1 2269494.5),(2 5040939),(3 7920659.5),(4 12102928),(5 17180760),(6 21054498),(7 24110314),(8 29932726),(9 33753932),(10 39507500),(11 44694156),(12 49635860),(13 52677132),(14 52644924),(15 53129010),(16 52211924),(17 56339764),(18 60632972),(19 63823932),(20 68209570),(21 76421896),(22 86719784),(23 95168790),(24 106475370),(25 117052890),(26 127491256),(27 137007740),(28 151234050),(29 162108880),(30 170255780),(31 178450690),(32 178135760),(33 180249420),(34 186188160),(35 190012620),(36 191722770),(37 195299250),(38 194678000),(39 195619280),(40 198803340),(41 203131180),(42 208772660),(43 212506620),(44 216627860),(45 227419860),(46 244230700),(47 257732820),(48 267188780),(49 280283300),(50 295502850),(51 308923780),(52 334042750),(53 352613500),(54 370309730),(55 383860740),(56 397712640),(57 399492350),(58 403512930),(59 406541300),(60 411405570),(61 422115230),(62 429953440),(63 435480200),(64 437567900),(65 443637760),(66 449752580),(67 455907330),(68 466598240),(69 483008350),(70 491949340),(71 501222300),(72 511012220),(73 533383780),(74 551551500),(75 567788540),(76 580429600),(77 579033300),(78 584341000),(79 587056900),
(1 2567519.5),(2 5482298),(3 8134431),(4 11121332),(5 16458549),(6 22230642),(7 26523330),(8 34957576),(9 41384444),(10 53652810),(11 62835372),(12 72431090),(13 78638376),(14 83043900),(15 87718840),(16 90611250),(17 93402984),(18 95171790),(19 96050370),(20 97494930),(21 100435330),(22 103070810),(23 105784936),(24 109753464),(25 116233710),(26 123694296),(27 129519890),(28 137005060),(29 142648020),(30 149911980),(31 156380860),(32 162506990),(33 169185170),(34 172274320),(35 176317920),(36 174393420),(37 174181600),(38 171854530),(39 169806300),(40 168478130),(41 163741650),(42 160532860),(43 157255440),(44 153763260),(45 157429000),(46 162821570),(47 165351220),(48 173683700),(49 178129000),(50 185316030),(51 191857950),(52 203918860),(53 207706370),(54 209864600),(55 213094900),(56 210855150),(57 205614820),(58 198911710),(59 192855250),(60 186609810),(61 184008590),(62 187512690),(63 188574380),(64 192465300),(65 203837470),(66 216855570),(67 227644400),(68 246329340),(69 260952130),(70 269398750),(71 279398340),(72 286787740),(73 292415100),(74 295777280),(75 298880000),(76 302315300),(77 305399780),(78 311033470),(79 315941630),
(1 2317673),(2 4943822),(3 7250536.5),(4 9022611),(5 14177244),(6 18703646),(7 22215710),(8 25998420),(9 30075304),(10 39573330),(11 46313244),(12 53327860),(13 58154436),(14 61828924),(15 65189990),(16 67675016),(17 70636170),(18 71482950),(19 71941544),(20 71508900),(21 70783176),(22 71962136),(23 72311620),(24 74214776),(25 76865800),(26 79473580),(27 81815110),(28 87436904),(29 92389590),(30 96465460),(31 100132910),(32 104677496),(33 110626070),(34 111041020),(35 114173080),(36 116997000),(37 119267830),(38 119048400),(39 119203050),(40 117152770),(41 114786870),(42 114440680),(43 114103784),(44 119358980),(45 122803200),(46 133178930),(47 139497380),(48 146215020),(49 151984660),(50 159271360),(51 165492900),(52 172596980),(53 179619580),(54 185316980),(55 189979440),(56 193811700),(57 191385620),(58 189680200),(59 188257260),(60 190189760),(61 193961070),(62 195791100),(63 197148580),(64 200788900),(65 202986500),(66 210401940),(67 216487700),(68 221954930),(69 221935800),(70 219892620),(71 219636340),(72 218766140),(73 214043230),(74 209235870),(75 204646910),(76 200099330),(77 196377920),(78 194446260),(79 192518980),
(1 2042665.4),(2 3683653.3),(3 5343471),(4 6384777),(5 9818134),(6 12307314),(7 14356322),(8 16365264),(9 20788000),(10 26717506),(11 31226964),(12 33643924),(13 36969028),(14 40291772),(15 43242348),(16 46436160),(17 49737464),(18 52257796),(19 53924840),(20 56989024),(21 61180650),(22 66039200),(23 69813670),(24 74270230),(25 75757170),(26 78586210),(27 80842750),(28 84596810),(29 92161540),(30 94588456),(31 97598696),(32 99368300),(33 98546200),(34 100742830),(35 102378080),(36 106382680),(37 103847060),(38 101694190),(39 99402890),(40 95642690),(41 89531250),(42 88662936),(43 86836690),(44 84466670),(45 90684930),(46 90419660),(47 91248450),(48 87458190),(49 88989560),(50 88943530),(51 89259470),(52 91931250),(53 92374230),(54 95264820),(55 96856184),(56 100898920),(57 105232130),(58 109751730),(59 113429784),(60 118368024),(61 120462616),(62 121834300),(63 123796504),(64 125641650),(65 124067280),(66 120842880),(67 118475860),(68 112780540),(69 109300630),(70 106165930),(71 103030680),(72 97947370),(73 91346640),(74 87770120),(75 84443890),(76 82215020),(77 80149260),(78 76497950),(79 72839270),
(1 1933103.4),(2 3397072),(3 4909848),(4 5749392),(5 9286119),(6 11530623),(7 13775822),(8 15376599),(9 18663276),(10 21955602),(11 24282998),(12 26176604),(13 28240466),(14 29808156),(15 31630698),(16 33292956),(17 34491930),(18 34879150),(19 35373084),(20 36561384),(21 38347930),(22 39680156),(23 40835536),(24 42553410),(25 44316080),(26 46837176),(27 48704852),(28 50684480),(29 51400252),(30 51894310),(31 52767268),(32 53504650),(33 55414060),(34 58336810),(35 60291584),(36 61861508),(37 63951464),(38 65370012),(39 66964330),(40 66549376),(41 65459972),(42 62804270),(43 60083000),(44 55149720),(45 56409924),(46 56878444),(47 56941380),(48 59615492),(49 61633130),(50 61841892),(51 62660180),(52 64973190),(53 64257156),(54 67504130),(55 69148744),(56 71571180),(57 68099060),(58 69139660),(59 69163230),(60 68209200),(61 68152450),(62 67785430),(63 67571704),(64 68531970),(65 66222984),(66 64774344),(67 62455492),(68 60684484),(69 61302868),(70 62834890),(71 64110628),(72 63991490),(73 65382804),(74 67082160),(75 68131030),(76 71838136),(77 74511630),(78 76383736),(79 78411660),
(1 2086544.8),(2 2954146.3),(3 4327704),(4 5578404.5),(5 8068334),(6 10409724),(7 12150276),(8 14150086),(9 16768772),(10 19270536),(11 21530082),(12 23890810),(13 26513510),(14 28208670),(15 29805850),(16 31154214),(17 32287522),(18 33835532),(19 35084700),(20 35812356),(21 36495210),(22 36816180),(23 37222948),(24 37451890),(25 38608616),(26 39100016),(27 39540316),(28 41239212),(29 45935896),(30 49526180),(31 52667468),(32 55611704),(33 58491324),(34 60890970),(35 62933130),(36 63043492),(37 63918780),(38 64683140),(39 64991050),(40 62165220),(41 59103908),(42 57746904),(43 56452292),(44 55210544),(45 60157040),(46 59898116),(47 60549540),(48 61610284),(49 65471284),(50 67418710),(51 69906720),(52 69897970),(53 68760640),(54 68409810),(55 68132130),(56 69362000),(57 68244380),(58 67298750),(59 67135496),(60 66093376),(61 66571290),(62 64878256),(63 63411324),(64 62403964),(65 63225664),(66 61995164),(67 61552150),(68 61535344),(69 61247656),(70 62739748),(71 63475944),(72 65557532),(73 67556330),(74 69809144),(75 72456630),(76 74295540),(77 76827384),(78 77106330),(79 77881190),
(1 1578976),(2 2285909.3),(3 3280520.8),(4 4425502),(5 5763749),(6 7335439.5),(7 8241229),(8 9293483),(9 10153881),(10 11019620),(11 11790857),(12 12691574),(13 14706318),(14 16146654),(15 17325342),(16 18459370),(17 19693102),(18 20908246),(19 22314902),(20 23997222),(21 25240672),(22 26312898),(23 27106102),(24 28131204),(25 28591402),(26 29290470),(27 29870102),(28 30380664),(29 30644488),(30 30759556),(31 30990120),(32 31825212),(33 32175978),(34 32975120),(35 33392726),(36 34951264),(37 39013780),(38 40479970),(39 42452932),(40 44387880),(41 47191396),(42 49827740),(43 52094080),(44 52979190),(45 52787440),(46 54771668),(47 56182424),(48 55866250),(49 52925136),(50 51042336),(51 48422532),(52 47451212),(53 48118380),(54 49691012),(55 50152068),(56 54339350),(57 56725468),(58 61062240),(59 64565308),(60 68237630),(61 72110400),(62 73418136),(63 75484940),(64 75436820),(65 74684990),(66 72887464),(67 71465490),(68 69677750),(69 67170830),(70 64642500),(71 62557424),(72 60311490),(73 57948000),(74 56882228),(75 55665270),(76 54818212),(77 52973056),(78 49369840),(79 46788676),
(1 1488864),(2 2388017.3),(3 3462389),(4 4835151),(5 6620854),(6 8510436),(7 9999444),(8 11655901),(9 12810298),(10 14848688),(11 16400910),(12 17461938),(13 18827812),(14 20097708),(15 20961162),(16 21480398),(17 22869302),(18 23743148),(19 24618152),(20 25507146),(21 26631744),(22 27235574),(23 27743248),(24 27895172),(25 27854564),(26 28089392),(27 28170372),(28 30026184),(29 31520590),(30 32896384),(31 34183600),(32 35188050),(33 35165810),(34 35581036),(35 35956256),(36 36288860),(37 39000764),(38 40462460),(39 41950344),(40 41387540),(41 41405240),(42 43206470),(43 44525400),(44 46579376),(45 44855332),(46 44311770),(47 43428050),(48 43761736),(49 47720390),(50 49903068),(51 51834576),(52 51728464),(53 55144380),(54 58340736),(55 60617828),(56 63424612),(57 64144570),(58 65670116),(59 66971336),(60 67976320),(61 65597456),(62 62981796),(63 60499130),(64 58056004),(65 58195510),(66 57894828),(67 57466304),(68 57364428),(69 58407796),(70 58759670),(71 59334590),(72 60288044),(73 60351140),(74 59586750),(75 59140024),(76 59035920),(77 60607930),(78 60933204),(79 61356372),
(1 1143186),(2 2055061.1),(3 3060881.5),(4 4156908.8),(5 5949219.5),(6 7568479),(7 9037650),(8 10692736),(9 12616287),(10 14573952),(11 16481141),(12 18087044),(13 18682296),(14 19381752),(15 19892030),(16 20570706),(17 20986198),(18 21432688),(19 21747930),(20 22163434),(21 23129412),(22 23269534),(23 23600120),(24 22899312),(25 22595726),(26 22795438),(27 22844492),(28 23815308),(29 24045704),(30 24219814),(31 24421264),(32 25085832),(33 25843332),(34 26040060),(35 26244422),(36 26929010),(37 29887318),(38 31722982),(39 33420834),(40 33403772),(41 35175412),(42 34991010),(43 35794150),(44 35746170),(45 36544444),(46 37600556),(47 37726200),(48 37823840),(49 36644420),(50 38463600),(51 39635264),(52 41186050),(53 41760800),(54 42123956),(55 42366910),(56 42724468),(57 44555540),(58 43725160),(59 43326690),(60 42643336),(61 43473400),(62 44950724),(63 45454344),(64 46889636),(65 47962780),(66 48856464),(67 50056860),(68 49872944),(69 48876450),(70 48160110),(71 47595944),(72 46612680),(73 45185350),(74 44542588),(75 43740020),(76 43434036),(77 43718030),(78 43949590),(79 44279290),
