1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 18746.879),(2 51312.438),(3 85280.914),(4 110604.766),(5 128738.42),(6 141378.9),(7 152170.38),(8 162004.88),(9 173756.11),(10 182575.31),(11 188498.03),(12 192536.94),(13 194707.92),(14 195902.17),(15 196750.39),(16 196730.69),(17 197569.78),(18 199606.72),(19 201820.36),(20 203381.25),(21 204751.11),(22 207454.27),(23 210284.17),(24 213759.38),(25 217378.52),(26 219814.86),(27 221155.22),(28 222168.73),(29 223568.77),(30 222650.86),(31 221367.48),(32 221421.42),(33 222742.8),(34 224645.14),(35 225357.06),(36 225372.94),(37 224464.34),(38 223854.45),(39 223513.8),(40 223464.61),(41 224011.67),(42 226659.34),(43 229658.94),(44 232147.5),(45 234233.13),(46 235127.92),(47 234840.36),(48 234648.03),(49 235370.22),(50 235743.7),(51 235525.89),(52 235230),(53 234770.5),(54 234013.89),(55 232111.89),(56 230430.3),(57 228959.9),(58 229431.27),(59 228885.34),(60 227904.4),(61 226738.4),(62 226206.58),(63 225886.44),(64 226189.16),(65 225885.77),(66 226777.86),(67 228578.14),(68 231537.89),(69 232746.25),(70 233113.89),(71 232544.77),(72 231358.5),(73 230348.08),(74 229256.52),(75 230303.02),(76 231650.98),(77 233141.06),(78 234985.94),(79 235369.7),
(1 19681.576),(2 54272.746),(3 91219.58),(4 119241.24),(5 138229.05),(6 150777.1),(7 159826.6),(8 167720.47),(9 176009.08),(10 183182.98),(11 187726.69),(12 190359.88),(13 193587.11),(14 196643.78),(15 199806.02),(16 201960.23),(17 202808.7),(18 204007.5),(19 204872.84),(20 205276.69),(21 205498.67),(22 207740.42),(23 209824.97),(24 212901.13),(25 215745.02),(26 217305.78),(27 219611.77),(28 221840.16),(29 223263.16),(30 222630.4),(31 221631.45),(32 220810.72),(33 220131.77),(34 220427.77),(35 220871.81),(36 219850.53),(37 218957.4),(38 218773.61),(39 219120.16),(40 220308.31),(41 221537.02),(42 223145.2),(43 224606.56),(44 225374.44),(45 225549.13),(46 224450.61),(47 222926.06),(48 221763.31),(49 222017.44),(50 223385.13),(51 226097.47),(52 227935.19),(53 228424.92),(54 227701.17),(55 227447.8),(56 227660.23),(57 228819),(58 231189.6),(59 232970.36),(60 235261.02),(61 236408.69),(62 236355.64),(63 234657.75),(64 232174.75),(65 230039.5),(66 229334.2),(67 228669.7),(68 228178.56),(69 227351.73),(70 226487.92),(71 225549.23),(72 223960.11),(73 221845.17),(74 220124.23),(75 220877.55),(76 223415.14),(77 226623.22),(78 228379.48),(79 229757),
(1 18678.701),(2 51554.31),(3 86204.836),(4 112636.984),(5 131729.2),(6 144672.94),(7 154083.13),(8 160935.45),(9 167863.45),(10 173539.52),(11 178340.4),(12 182396.36),(13 187264.38),(14 192221.64),(15 196298.66),(16 199251.56),(17 201396.42),(18 203405.42),(19 204659.73),(20 206050.97),(21 206961.63),(22 207509.64),(23 208423.27),(24 210469.14),(25 214037.89),(26 217256.88),(27 220855.52),(28 222595.02),(29 223896.17),(30 225051.14),(31 225993.19),(32 228800.4),(33 231785.77),(34 233170.72),(35 231657.77),(36 228748.63),(37 224119.6),(38 219894.73),(39 217206.94),(40 216855.95),(41 218223.7),(42 220624.63),(43 222543.3),(44 223588.22),(45 223052.63),(46 220646.67),(47 217512.45),(48 215391.27),(49 215468.86),(50 218219.39),(51 221612.28),(52 224506.48),(53 225676),(54 224292.63),(55 221454.56),(56 220294.1),(57 221043.63),(58 221539.75),(59 221922.94),(60 220402.39),(61 217752.25),(62 214961.7),(63 214027.5),(64 213405.03),(65 213334.34),(66 214237.4),(67 215314.3),(68 216155.45),(69 216605.86),(70 216740.53),(71 217211.8),(72 217676.9),(73 217047.17),(74 217051.67),(75 218085.52),(76 218912.45),(77 219236.16),(78 218855.34),(79 218789.31),
(1 18822.736),(2 51507.75),(3 86177.39),(4 112439.24),(5 131193.94),(6 143358.61),(7 153065.19),(8 161582.64),(9 171380.16),(10 178975),(11 184880.19),(12 186791.7),(13 187767.28),(14 188430.45),(15 190633.69),(16 192552.94),(17 194093.95),(18 196389.31),(19 198046.94),(20 200139.95),(21 202671.92),(22 206417.23),(23 210033.08),(24 213937.63),(25 217225.4),(26 219025.16),(27 220973.8),(28 221337.8),(29 221504.11),(30 220940.6),(31 220312.77),(32 219731.73),(33 220345.63),(34 221308.7),(35 221070.92),(36 218783.78),(37 215900.78),(38 213951.78),(39 212835.72),(40 212833.06),(41 212948.81),(42 213809.53),(43 214236.69),(44 213897.63),(45 213722.52),(46 214424.6),(47 215544.05),(48 215885.72),(49 216490),(50 216705.56),(51 216862.88),(52 216080.2),(53 213925.55),(54 211181.73),(55 208111),(56 206091.02),(57 204596.23),(58 203719.4),(59 202352.52),(60 200436.52),(61 197424.75),(62 194669.23),(63 193694.77),(64 194186.81),(65 195592.78),(66 197947.34),(67 200533.64),(68 202158.28),(69 203558.28),(70 204983.38),(71 205900.13),(72 206951.95),(73 207737.6),(74 208947.44),(75 210214.47),(76 212067.44),(77 213958.75),(78 215279.98),(79 215860.52),
(1 18666.707),(2 51004.535),(3 85135.04),(4 110306.8),(5 128285.46),(6 139675.6),(7 148221.86),(8 153828.23),(9 159123.77),(10 163169.81),(11 166063.61),(12 167929.92),(13 170003.69),(14 171342.33),(15 173310.36),(16 175076),(17 177813.19),(18 180851.55),(19 183772.08),(20 185691.39),(21 187050.23),(22 187439.23),(23 189354.08),(24 192444.11),(25 194731.95),(26 196178.11),(27 197408.66),(28 197802.22),(29 197358.77),(30 197248.75),(31 197669.97),(32 198721.27),(33 200493.92),(34 201776.75),(35 201803.92),(36 200779.8),(37 198070.77),(38 195501.97),(39 194303.3),(40 194784.22),(41 196020.63),(42 196565.73),(43 195137.88),(44 193214.06),(45 190931.7),(46 189733.64),(47 189062.47),(48 189634.64),(49 190533.77),(50 191882.39),(51 193105.52),(52 191846.84),(53 190105.77),(54 187960.14),(55 186357.14),(56 186077.08),(57 187457.1),(58 189131.61),(59 189886.69),(60 190010.55),(61 189915.7),(62 189249.36),(63 189243.5),(64 189910.61),(65 191272.14),(66 192518.45),(67 192677.98),(68 191790.61),(69 190388.55),(70 189398.77),(71 189505.38),(72 189764.9),(73 188923.17),(74 188348.78),(75 188020.38),(76 188873.72),(77 191000),(78 192168.6),(79 192395.67),
(1 17197.328),(2 46599.336),(3 76762.12),(4 98765.055),(5 114582.3),(6 125624.1),(7 134828.34),(8 142006.89),(9 149569.05),(10 155488.55),(11 160309.27),(12 163890.63),(13 167062.03),(14 169427.67),(15 172075.34),(16 173019.44),(17 174237.48),(18 174676.72),(19 173873.3),(20 173223.86),(21 173260.7),(22 174488.66),(23 177179.94),(24 180722.45),(25 184759.3),(26 188184.72),(27 190411.95),(28 191582.78),(29 190771.67),(30 189257.6),(31 188378.94),(32 188798.63),(33 190396.69),(34 191752.73),(35 192048.2),(36 192174.56),(37 192072.2),(38 191517.38),(39 191855.39),(40 192097.1),(41 192143.58),(42 191729.23),(43 190575.08),(44 189525.4),(45 188181.98),(46 188182.66),(47 187382.72),(48 186417.14),(49 184736.2),(50 183390),(51 182674.97),(52 181770.44),(53 181216.36),(54 181098.55),(55 181053.36),(56 181904.56),(57 184957.6),(58 188370.7),(59 190319.84),(60 190640.86),(61 188926.63),(62 187154.22),(63 187262.94),(64 189405.08),(65 191125.11),(66 192285.28),(67 193055.83),(68 193017.61),(69 191949.03),(70 191529.81),(71 191323.33),(72 190485.44),(73 189593.6),(74 188399.05),(75 187609.8),(76 187079.66),(77 187159.13),(78 185815.69),(79 183501.27),
(1 17164.438),(2 45956.934),(3 76232.94),(4 98585.61),(5 114108.52),(6 124880.59),(7 134151.05),(8 142484.33),(9 150414.36),(10 156069.4),(11 160048.78),(12 162439.58),(13 164735.28),(14 166808.42),(15 169402.86),(16 171461.02),(17 174370.66),(18 177832.47),(19 180327.48),(20 183291.81),(21 186396.55),(22 187426.75),(23 187209.73),(24 186321.95),(25 186338.58),(26 186884.36),(27 187658.95),(28 189034.22),(29 190311.63),(30 191545.19),(31 193389.53),(32 195884.95),(33 198437),(34 200424.7),(35 200945.42),(36 200829.83),(37 199953.14),(38 199115.55),(39 196844.47),(40 195193.63),(41 193626.17),(42 191273.84),(43 188002.31),(44 184342.63),(45 182481.58),(46 182408.61),(47 182290.72),(48 183223.06),(49 184393.1),(50 185312.56),(51 185957.27),(52 185924.27),(53 185981.58),(54 186050.1),(55 185892.5),(56 185202.64),(57 184311.47),(58 184104.77),(59 183307.1),(60 182534.27),(61 182626.98),(62 182701.23),(63 182987.69),(64 183813.33),(65 186095),(66 187993.13),(67 189766.63),(68 192187.78),(69 192937.69),(70 192503.13),(71 192457.23),(72 193218.39),(73 194089.8),(74 193217.8),(75 190840.08),(76 186824.55),(77 183101.38),(78 181065.92),(79 179657.22),
(1 16746.3),(2 44699.49),(3 73478.63),(4 95783.98),(5 112014.98),(6 124136.94),(7 134035.2),(8 141682.14),(9 148376.03),(10 153181.03),(11 156846.73),(12 159483.9),(13 162866.78),(14 164784.14),(15 166624.55),(16 168436.47),(17 169458.3),(18 170953.7),(19 172436.72),(20 174473.6),(21 178345.56),(22 182294.1),(23 184757.95),(24 185558.55),(25 185951.61),(26 185762.53),(27 186045.69),(28 185879.72),(29 185512.39),(30 184570.9),(31 184099.03),(32 183845.23),(33 182519.63),(34 182153.53),(35 182780.6),(36 182907.73),(37 182798.42),(38 183019.14),(39 183382.05),(40 183276.8),(41 182568.67),(42 181538.05),(43 179938.97),(44 178259.97),(45 176603.67),(46 175779.7),(47 174994.34),(48 175402.97),(49 176705.66),(50 177332.03),(51 178164.8),(52 178718.17),(53 179498.56),(54 180641.39),(55 182568.55),(56 184375.45),(57 185750.98),(58 186691.4),(59 186233.63),(60 184076.56),(61 182650.56),(62 180936.73),(63 180286.63),(64 180751.08),(65 182238.08),(66 183790.08),(67 184869.95),(68 186218.38),(69 187323.7),(70 186948.39),(71 185821.92),(72 185835.23),(73 186372.1),(74 186434.13),(75 186255.8),(76 184215.53),(77 181909.53),(78 180176.53),(79 179230.13),
(1 16757.666),(2 44891.402),(3 73913.89),(4 95298.19),(5 110932.45),(6 122490.664),(7 131467.88),(8 139237.97),(9 146291.19),(10 152050.58),(11 156841.42),(12 159663.61),(13 162003.25),(14 163166.73),(15 164664.66),(16 165142.2),(17 167057.39),(18 168777.16),(19 170502.89),(20 172423.84),(21 175148.25),(22 177706.64),(23 178786.97),(24 179232.45),(25 179116.2),(26 179217.02),(27 180039.19),(28 180580.19),(29 180679.27),(30 180363.06),(31 181825.56),(32 182988.78),(33 183771.34),(34 184843.67),(35 185861.08),(36 185261.03),(37 184364.45),(38 183064.38),(39 181594.23),(40 182674.75),(41 184579.11),(42 186523.58),(43 188436.38),(44 189321.48),(45 190100.55),(46 190374.34),(47 190019.8),(48 189284.06),(49 188970.08),(50 190137.03),(51 190789.17),(52 190028.56),(53 190230.02),(54 189992.8),(55 189531.08),(56 190027.47),(57 190873.72),(58 191730.5),(59 192747.39),(60 194819.3),(61 197121.06),(62 199098.03),(63 198433.03),(64 196773.89),(65 195029.08),(66 193520.3),(67 192207.16),(68 191806.55),(69 192319.23),(70 193264.98),(71 193860.3),(72 194430.03),(73 195088.53),(74 195357.73),(75 195316.08),(76 196176.2),(77 196154.33),(78 195281.11),(79 194010.89),
(1 16655.668),(2 44447.355),(3 72621.44),(4 92767.445),(5 106167.22),(6 115153.36),(7 122622.05),(8 129339.695),(9 135711.89),(10 140954.86),(11 144488.53),(12 147315.19),(13 149888.39),(14 151952.06),(15 153439.47),(16 154149.2),(17 155123.38),(18 156371.05),(19 157728.88),(20 158856.67),(21 159953.13),(22 161695.08),(23 162962.98),(24 161633.23),(25 160521.19),(26 159867.05),(27 160724.47),(28 160868.23),(29 161972.52),(30 161833.2),(31 161870.33),(32 162128.92),(33 161755.23),(34 161891.33),(35 162290.95),(36 162275.14),(37 161906.3),(38 162418.02),(39 163756.16),(40 165127.66),(41 165890.53),(42 167644.48),(43 169563.98),(44 170990.44),(45 172183.19),(46 173955.1),(47 176174.88),(48 178924.11),(49 181069.73),(50 182237.33),(51 182460.98),(52 182102.53),(53 181638.73),(54 181692.53),(55 181989.84),(56 182145.94),(57 182746.27),(58 182979.19),(59 183126.06),(60 183169.6),(61 182984.56),(62 183655.33),(63 184095.58),(64 183839.88),(65 183378.58),(66 183011.47),(67 182766.48),(68 183280.53),(69 182721.63),(70 182377.19),(71 181672.31),(72 181006.16),(73 180377.05),(74 179909.77),(75 179384.03),(76 178303.39),(77 177911.44),(78 177217.89),(79 176053.36),
(1 16503.084),(2 43983.055),(3 72200.43),(4 92887.875),(5 106938.46),(6 116573.44),(7 123517.45),(8 129317),(9 134504.44),(10 138332.27),(11 140564.66),(12 141203.47),(13 142412.7),(14 144149.19),(15 147053.86),(16 149542.7),(17 151725.83),(18 153550.6),(19 155237.02),(20 156609.56),(21 157826.67),(22 158903.11),(23 159843.69),(24 160327.58),(25 160615.03),(26 160156.63),(27 159574.16),(28 158118.22),(29 157426.03),(30 157011.6),(31 156852.31),(32 156689.52),(33 156730.17),(34 157621.86),(35 159010.86),(36 160827.5),(37 162709.48),(38 164049.06),(39 164219.53),(40 163861.14),(41 163534.5),(42 164040.28),(43 164146.2),(44 163636.56),(45 162980.86),(46 163541.39),(47 164532.58),(48 166490.44),(49 168125.4),(50 169515.94),(51 169659.47),(52 169504.97),(53 169313.39),(54 170601.3),(55 171726.45),(56 172659.19),(57 172983.27),(58 173551.75),(59 173429.19),(60 172843.69),(61 173045.16),(62 173663.86),(63 174286.92),(64 174819.14),(65 174798.97),(66 174399.73),(67 173508.19),(68 172403.92),(69 171349.69),(70 170979.64),(71 171116.1),(72 171034.56),(73 171519.89),(74 172032.97),(75 171405.86),(76 170293.36),(77 168977.34),(78 168285.92),(79 169417.05),
(1 15664.814),(2 41888.12),(3 68197.13),(4 87708.64),(5 101237.164),(6 110135.03),(7 116765.336),(8 122132.4),(9 126918.516),(10 131345.4),(11 134515.38),(12 136179.33),(13 137372.02),(14 138014.39),(15 139231),(16 140387.92),(17 141036.31),(18 142149.03),(19 143390.06),(20 145147.77),(21 146714.75),(22 148739.95),(23 149545.02),(24 149706.73),(25 149882.75),(26 150051.45),(27 150844.63),(28 151074.48),(29 151076.56),(30 150884.36),(31 150552.45),(32 150162.61),(33 149894.06),(34 150383.34),(35 151634.52),(36 152960.1),(37 153737.16),(38 154621.67),(39 155194.03),(40 156251.08),(41 157470.67),(42 158987.22),(43 159507.88),(44 158797.45),(45 157613.81),(46 157686.38),(47 159254.16),(48 161118.33),(49 163020.5),(50 163741.4),(51 163580.34),(52 163669.92),(53 163997.17),(54 165420.88),(55 166970.33),(56 168035.4),(57 168119.05),(58 167711.84),(59 167166.92),(60 167113.86),(61 167274.19),(62 168062.61),(63 168767.38),(64 169829.28),(65 171003.78),(66 170904.83),(67 170071.73),(68 168601.97),(69 166716.88),(70 165177.13),(71 165294.1),(72 166351.88),(73 167116.67),(74 167718.27),(75 168336.14),(76 168767.8),(77 168492.78),(78 168252.53),(79 168645.69),
(1 15509.816),(2 41020.03),(3 67046.484),(4 86219.04),(5 99436.016),(6 108073.5),(7 115232.51),(8 120116.06),(9 124750.06),(10 128780.83),(11 131889.52),(12 133765.7),(13 136374.97),(14 138185),(15 139586.56),(16 141361.06),(17 143503.67),(18 144046.83),(19 143924.25),(20 144437.66),(21 145602.03),(22 147333.94),(23 147877.48),(24 147942.48),(25 147617.2),(26 148116.28),(27 150079.34),(28 151048.28),(29 151557.11),(30 151947.64),(31 151721.78),(32 150930.42),(33 151036.17),(34 152278.56),(35 153481.42),(36 154787.28),(37 155564.86),(38 155282.16),(39 154519.52),(40 154354.47),(41 153547.73),(42 151933.14),(43 151059.78),(44 150365.64),(45 149637.44),(46 149448.86),(47 150149.13),(48 151204.08),(49 151836.16),(50 152194),(51 152472.53),(52 152605.78),(53 152906.63),(54 152771.92),(55 152985),(56 153193.55),(57 153057.1),(58 152626.72),(59 151179.44),(60 149610.03),(61 148415.44),(62 147890.83),(63 148263.28),(64 148890.3),(65 149243.31),(66 148899.44),(67 148000.47),(68 147204.28),(69 147032.75),(70 147829.92),(71 148130.63),(72 148903),(73 149578.16),(74 149949.63),(75 151170.42),(76 152327.4),(77 153670.33),(78 155064.92),(79 155797.14),
(1 15063.324),(2 40202.31),(3 65196.023),(4 82951.695),(5 94940.69),(6 102738.64),(7 108078.87),(8 111443.445),(9 114924.48),(10 117990.695),(11 120963.06),(12 123086.18),(13 125176.79),(14 126513.586),(15 127914.305),(16 129091.93),(17 130960.9),(18 133044.13),(19 135270.61),(20 137106.17),(21 137774.63),(22 138761.14),(23 139358.56),(24 139259.25),(25 139129.42),(26 139220.78),(27 141070.22),(28 142190.75),(29 142746.69),(30 142894.31),(31 143206.7),(32 143686.75),(33 144444.42),(34 144886.34),(35 145006.2),(36 145605.52),(37 146483.2),(38 147236.81),(39 146868.08),(40 146388.23),(41 146137.34),(42 146379.78),(43 146574.95),(44 146139.4),(45 146124.81),(46 146251.36),(47 145299.05),(48 143941.56),(49 143112.64),(50 142593.92),(51 142517.23),(52 142193.36),(53 143182.63),(54 144398.95),(55 145947.34),(56 146495.78),(57 146228.89),(58 146782.19),(59 146957.6),(60 146903.11),(61 146543.25),(62 146754.28),(63 146818.45),(64 147787.25),(65 148062.45),(66 148973.64),(67 149984.4),(68 151084.03),(69 151683.34),(70 152159.25),(71 152447.44),(72 152564.63),(73 152652.17),(74 152237.8),(75 151199),(76 149948.75),(77 148722.52),(78 148402.56),(79 148324.66),
(1 14970.287),(2 39106.652),(3 62931.145),(4 80314.81),(5 92657.86),(6 100906.02),(7 106576.164),(8 110650.76),(9 115304.81),(10 119626.32),(11 122792.07),(12 124772.3),(13 126516.42),(14 127301.15),(15 128643.01),(16 130841.7),(17 133418.94),(18 135182.97),(19 135942.56),(20 135650.11),(21 135114.38),(22 135517.06),(23 135514.52),(24 135681.38),(25 135973.19),(26 136979.16),(27 139242.72),(28 141431.36),(29 142764.72),(30 143445.3),(31 143298.45),(32 142680.14),(33 142466.45),(34 142489.75),(35 143521.66),(36 145415.45),(37 147071.66),(38 147883.75),(39 147290.28),(40 147091.25),(41 147460.4),(42 148501.23),(43 150027.94),(44 150636.73),(45 151369.33),(46 152201.28),(47 151545.13),(48 150790.39),(49 150566.31),(50 151022.84),(51 152138.78),(52 152478.8),(53 153346.45),(54 154309.02),(55 154674.61),(56 154204.4),(57 153846.06),(58 153102.38),(59 152366.02),(60 151788.13),(61 150737.9),(62 150552.23),(63 151351.38),(64 152881.81),(65 153896.16),(66 154279.13),(67 154541.92),(68 154809.03),(69 154649.28),(70 154629.23),(71 153907.58),(72 153492.11),(73 153902.47),(74 152902.44),(75 151480.11),(76 149721.19),(77 147962.28),(78 146822.13),(79 146053.66),
(1 14673.05),(2 38352.25),(3 61288.707),(4 77202.26),(5 89257.9),(6 97688.07),(7 104162.67),(8 108809.92),(9 112850.67),(10 115980.266),(11 117748.695),(12 118985.01),(13 120412.39),(14 121985.77),(15 123820.22),(16 125675.41),(17 127783.61),(18 130455.086),(19 132811.52),(20 135149.63),(21 137410.64),(22 138950.28),(23 140097.3),(24 141006.47),(25 142527.02),(26 143122.95),(27 143879.08),(28 144052.25),(29 144337.42),(30 145344.23),(31 146407.31),(32 147003.52),(33 147201.89),(34 147394.39),(35 147514.83),(36 147894.03),(37 148444.84),(38 148228.05),(39 147906.3),(40 147059.67),(41 146589.77),(42 145994.2),(43 146481.69),(44 147019.36),(45 147921.89),(46 148573.98),(47 149572.4),(48 150331.81),(49 150653.25),(50 150897.78),(51 150983.64),(52 150861.33),(53 150681.19),(54 149836.53),(55 149698.83),(56 149057.38),(57 147672.2),(58 146446.61),(59 146340.4),(60 146602.11),(61 147514.61),(62 148165.69),(63 147656.61),(64 147393.14),(65 148387.42),(66 149564.77),(67 150197.95),(68 150082.39),(69 149047.11),(70 148156.3),(71 146258.4),(72 144574.75),(73 143752.95),(74 143435.94),(75 142409.78),(76 141312.2),(77 140857.9),(78 141785.52),(79 142452.56),
(1 13950.733),(2 36214.344),(3 57298.656),(4 71800.11),(5 81751.09),(6 88492.72),(7 93352.266),(8 96972.42),(9 100462.27),(10 103757.76),(11 106030.82),(12 108389.59),(13 110995.78),(14 113320.766),(15 115437.74),(16 118395.2),(17 120659.37),(18 121382.63),(19 122147.836),(20 122660.29),(21 123865.98),(22 124782.375),(23 125575.49),(24 126396.21),(25 126697.46),(26 126501.74),(27 126497.97),(28 126215.2),(29 126422.72),(30 126399.84),(31 126970.4),(32 127421.33),(33 129110.67),(34 130761.06),(35 131243.53),(36 132251.84),(37 133581.5),(38 135605.56),(39 137405.44),(40 138926.44),(41 140370.77),(42 140357.39),(43 139913.56),(44 139664.97),(45 139351.45),(46 139740.2),(47 139259.61),(48 138191.53),(49 137531.16),(50 137111.84),(51 136048.44),(52 134575.1),(53 133543),(54 132697.48),(55 132362.08),(56 132284.36),(57 131874.34),(58 131807.3),(59 131980.05),(60 131969.17),(61 132575.5),(62 133613),(63 133296.9),(64 133038.4),(65 133728.89),(66 134362.2),(67 134805.13),(68 134612.39),(69 134282.58),(70 134172.63),(71 133494.61),(72 133522.63),(73 133806.27),(74 133329.03),(75 132747.69),(76 133004.48),(77 133000.25),(78 133492.83),(79 134071.75),
(1 14722.82),(2 38349.066),(3 60443.246),(4 75598.2),(5 85954.69),(6 92877.67),(7 97734.51),(8 101372.72),(9 104688.79),(10 107988.82),(11 110616.25),(12 112051.21),(13 113863.55),(14 115655.79),(15 117671.17),(16 120037.586),(17 122135.1),(18 122934.336),(19 123047.31),(20 122932.19),(21 122617.44),(22 123185.26),(23 123619.65),(24 123602.39),(25 124116.23),(26 124745.62),(27 124944.45),(28 125267.51),(29 125666.125),(30 126333.54),(31 126405.125),(32 126048.81),(33 126237.234),(34 127212.07),(35 128149.38),(36 128605.9),(37 127863.25),(38 126892.31),(39 126426.95),(40 127449.57),(41 128311.305),(42 129373.62),(43 129961.74),(44 130599.07),(45 131299.66),(46 132023.81),(47 132116.94),(48 131877.22),(49 131717.03),(50 131067.9),(51 130514.516),(52 129417.23),(53 128499.95),(54 127261.766),(55 126191.46),(56 125302.65),(57 124479.29),(58 124826.2),(59 125178.414),(60 126283.99),(61 126919.23),(62 126960.516),(63 126755.73),(64 126918.27),(65 127201.03),(66 127961.82),(67 128975.25),(68 130001.03),(69 130616.69),(70 130413.61),(71 129711.29),(72 129069.47),(73 128292.36),(74 127678.69),(75 127051.08),(76 126460.516),(77 126569.19),(78 126842.16),(79 127297.91),
(1 14111.815),(2 36501.3),(3 57662.1),(4 71706.836),(5 81102.1),(6 87430.14),(7 92101.6),(8 96222.24),(9 100471.62),(10 104633.484),(11 107254.85),(12 108804.72),(13 110670.72),(14 112842.89),(15 114850.266),(16 116349.8),(17 117091.43),(18 117221.04),(19 116692.78),(20 116156.39),(21 115927.89),(22 117139.19),(23 119628.32),(24 121894.01),(25 124328.83),(26 125405.22),(27 126810.01),(28 126631.87),(29 126696.31),(30 126339.27),(31 126140.58),(32 125732.1),(33 126253.43),(34 127058.67),(35 126543.14),(36 126017.51),(37 125898.28),(38 125576.984),(39 125254.305),(40 125693.95),(41 126847.125),(42 127143.14),(43 127420),(44 128237.46),(45 128584.6),(46 129591.58),(47 130528.62),(48 130004.57),(49 129039.51),(50 127704.99),(51 126318.68),(52 125491.664),(53 125022.305),(54 123874.445),(55 123455.05),(56 124067.664),(57 124694.984),(58 124963.3),(59 123928.58),(60 123636.01),(61 123766.47),(62 123650.164),(63 123122.88),(64 123139.03),(65 123732.21),(66 124174.88),(67 124662.42),(68 124908.2),(69 124760.086),(70 124115.45),(71 122950.4),(72 122510.47),(73 122573.19),(74 123349.17),(75 124056.23),(76 125165.164),(77 125743.01),(78 126451.84),(79 126297.19),
