1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 9286.47),(2 14912.331),(3 34566.027),(4 53237.105),(5 80176.96),(6 106447.805),(7 137849.44),(8 168592.55),(9 204890.19),(10 243007.36),(11 285426.28),(12 330073.78),(13 376301.84),(14 428038.34),(15 480224.5),(16 533062.7),(17 596465.7),(18 660836.94),(19 725999.06),(20 790031.3),(21 858674.94),(22 934659.5),(23 1000782.7),(24 1066769.6),(25 1131731.5),(26 1201314.1),(27 1267646.9),(28 1330882.9),(29 1401445.5),(30 1475519.4),(31 1555727.4),(32 1643595.4),(33 1731383.4),(34 1819467.4),(35 1920937.4),(36 2019294.1),(37 2132972.3),(38 2251038.3),(39 2366714.3),(40 2497722.5),(41 2639146.3),(42 2795132.8),(43 2941010),(44 3071629.3),(45 3228656),(46 3384577.8),(47 3541615.3),(48 3684729.8),(49 3850462),(50 4013105.3),(51 4177604.3),(52 4352413),(53 4513219.5),(54 4686376.5),(55 4866880.5),(56 5034991.5),(57 5220085.5),(58 5396359.5),(59 5562226),(60 5712165.5),(61 5855242.5),(62 6005973.5),(63 6117278.5),(64 6259417.5),(65 6389713.5),(66 6487987.5),(67 6611374.5),(68 6723770.5),(69 6832142),(70 6931202),(71 7040952),(72 7125345.5),(73 7212220.5),(74 7257248),(75 7302152),(76 7345688),(77 7367493.5),(78 7395942.5),(79 7406160),
(1 7348.7124),(2 23496.672),(3 49993.613),(4 82675.92),(5 125064.55),(6 173789.95),(7 229511.8),(8 289490.28),(9 355689.44),(10 426779.4),(11 500853.6),(12 582108.1),(13 664676.3),(14 752417.6),(15 845151.5),(16 936024.4),(17 1036443.2),(18 1134981.6),(19 1232854.4),(20 1334665.6),(21 1442114.4),(22 1550164.3),(23 1650919.3),(24 1759094.4),(25 1862670),(26 1974188),(27 2091766.3),(28 2208715.5),(29 2330637.3),(30 2465416.8),(31 2601835.5),(32 2744933.3),(33 2888592.5),(34 3033454.8),(35 3189056),(36 3350093.3),(37 3511198.5),(38 3683082.5),(39 3868175.3),(40 4058052.8),(41 4251594.5),(42 4465300),(43 4658513),(44 4860747.5),(45 5075165.5),(46 5285271),(47 5490206.5),(48 5680013),(49 5885396),(50 6093137),(51 6281664),(52 6483515),(53 6672101),(54 6859360),(55 7053364),(56 7232209.5),(57 7415035),(58 7604849.5),(59 7779585.5),(60 7934899),(61 8088593.5),(62 8252555),(63 8361651),(64 8514479),(65 8660419),(66 8783094),(67 8918936),(68 9048747),(69 9177483),(70 9296350),(71 9419837),(72 9533675),(73 9645346),(74 9722520),(75 9808011),(76 9883392),(77 9944021),(78 10013130),(79 10067658),
(1 8719.396),(2 29848.787),(3 63807.613),(4 109048.914),(5 162128.6),(6 229343.58),(7 306252.75),(8 391531.9),(9 485687.1),(10 588986.8),(11 700879.7),(12 824573.75),(13 955764.8),(14 1097672.1),(15 1248879.4),(16 1410956.4),(17 1577940.4),(18 1752947.9),(19 1924069),(20 2102323),(21 2286132.3),(22 2474978.5),(23 2649299.3),(24 2834253),(25 3011428),(26 3186733),(27 3370012),(28 3547573.8),(29 3741029.3),(30 3936809.3),(31 4125183),(32 4318644.5),(33 4506707.5),(34 4686958.5),(35 4877222.5),(36 5064086),(37 5253031.5),(38 5438252),(39 5633426.5),(40 5828333.5),(41 6010490.5),(42 6209162.5),(43 6406904.5),(44 6594132),(45 6806244),(46 7006313.5),(47 7219282.5),(48 7424060),(49 7630511.5),(50 7848400),(51 8049472),(52 8257909.5),(53 8456628),(54 8662739),(55 8876624),(56 9070396),(57 9270855),(58 9486035),(59 9675206),(60 9861219),(61 10053559),(62 10235951),(63 10410833),(64 10560627),(65 10750388),(66 10897787),(67 11052735),(68 11190895),(69 11331256),(70 11459083),(71 11577392),(72 11696065),(73 11800139),(74 11875729),(75 11969637),(76 12024607),(77 12051140),(78 12094763),(79 12101104),
(1 12423.958),(2 43464.82),(3 98932.58),(4 171452.97),(5 259726.67),(6 366984.5),(7 491222.78),(8 630110.5),(9 785141.06),(10 955063),(11 1138932.5),(12 1338771.6),(13 1554016.6),(14 1784131.9),(15 2020556.9),(16 2273334.8),(17 2532330),(18 2794776.5),(19 3060866.3),(20 3331948.8),(21 3610211),(22 3893674.3),(23 4166394.3),(24 4435740.5),(25 4694213.5),(26 4941327.5),(27 5183586),(28 5421175.5),(29 5651400),(30 5880427.5),(31 6098060.5),(32 6316567),(33 6525410.5),(34 6720850),(35 6912625),(36 7093412.5),(37 7261000),(38 7416007),(39 7565246),(40 7706597.5),(41 7844676.5),(42 7969985),(43 8079342),(44 8189422),(45 8286904),(46 8375388.5),(47 8462100),(48 8547074),(49 8634449),(50 8703972),(51 8782818),(52 8851961),(53 8917364),(54 8978172),(55 9035326),(56 9086269),(57 9140784),(58 9190213),(59 9246493),(60 9290995),(61 9338527),(62 9380485),(63 9429243),(64 9474157),(65 9536695),(66 9579593),(67 9641339),(68 9703261),(69 9754770),(70 9812473),(71 9873959),(72 9932580),(73 9982232),(74 10049492),(75 10115218),(76 10184297),(77 10232532),(78 10296236),(79 10353348),
(1 9941.751),(2 32887.195),(3 72852.85),(4 123491.34),(5 188376.78),(6 264092.4),(7 353326.28),(8 451477.63),(9 564781.56),(10 686060.75),(11 816364.44),(12 954312),(13 1104561.9),(14 1259508.4),(15 1419614.1),(16 1583556.4),(17 1752642.9),(18 1928041.6),(19 2101677.8),(20 2274566),(21 2450131.3),(22 2629373.5),(23 2811079),(24 2979339.3),(25 3142781),(26 3299976),(27 3459272.3),(28 3601245),(29 3756207),(30 3906645.5),(31 4057360.8),(32 4192769.5),(33 4333950),(34 4460079),(35 4584652.5),(36 4703022.5),(37 4814009.5),(38 4920121.5),(39 5018192),(40 5107520.5),(41 5196679.5),(42 5272555.5),(43 5333962),(44 5391614),(45 5432706),(46 5467355.5),(47 5495556.5),(48 5508360.5),(49 5526030.5),(50 5528239),(51 5534271.5),(52 5530459.5),(53 5524635),(54 5518207.5),(55 5510024.5),(56 5500607),(57 5484962),(58 5463940),(59 5440535.5),(60 5415173),(61 5392130),(62 5355525),(63 5335793.5),(64 5311790),(65 5287750),(66 5266500.5),(67 5236799.5),(68 5223270.5),(69 5207176.5),(70 5181963.5),(71 5167365.5),(72 5151190.5),(73 5134987),(74 5123222),(75 5118372.5),(76 5106878.5),(77 5103107.5),(78 5107013),(79 5113111),
(1 9606.493),(2 32949.55),(3 70536.69),(4 120642.05),(5 182047.38),(6 251925.83),(7 331839.38),(8 419409.9),(9 515833.2),(10 618769),(11 729333.4),(12 844023.9),(13 968524),(14 1100285.8),(15 1237327),(16 1370535.4),(17 1512330.4),(18 1659866.3),(19 1806225.8),(20 1956128),(21 2108824.8),(22 2266746.3),(23 2427523.8),(24 2586916.5),(25 2752036),(26 2906476.5),(27 3069610.8),(28 3224692.5),(29 3392918),(30 3559839.3),(31 3731570),(32 3889395.3),(33 4052136.8),(34 4213287),(35 4376317),(36 4534473),(37 4682857.5),(38 4829401),(39 4969652),(40 5102451),(41 5215781.5),(42 5327131),(43 5422893),(44 5501567),(45 5562822.5),(46 5611907),(47 5639942),(48 5658513.5),(49 5659553),(50 5649761.5),(51 5637133),(52 5602494.5),(53 5561447),(54 5507661.5),(55 5436603),(56 5366137.5),(57 5286836.5),(58 5199993.5),(59 5113357),(60 5019702.5),(61 4921753.5),(62 4827573),(63 4736456),(64 4655079),(65 4571423),(66 4501133),(67 4423376.5),(68 4363003.5),(69 4311229.5),(70 4268548),(71 4244036),(72 4224949.5),(73 4214419.5),(74 4222653),(75 4245818),(76 4272521),(77 4316277),(78 4369204),(79 4435229),
(1 8768.507),(2 28534.813),(3 60163.85),(4 105102.01),(5 158772.13),(6 221866.98),(7 292333.56),(8 372197.8),(9 459266.16),(10 550846.06),(11 650618.3),(12 755201.6),(13 865757.94),(14 982281.1),(15 1098611.8),(16 1209037.8),(17 1322535.1),(18 1434226.1),(19 1539933.8),(20 1651231.5),(21 1762379.8),(22 1874560.9),(23 1986594.6),(24 2094735.8),(25 2195961),(26 2298464.3),(27 2394238.3),(28 2489735),(29 2589375),(30 2688731.5),(31 2780385.3),(32 2862219),(33 2950199.5),(34 3038409.8),(35 3117131.8),(36 3200435.5),(37 3280683),(38 3358039.5),(39 3435750.3),(40 3516796.5),(41 3591857.8),(42 3663419),(43 3727401),(44 3787672.5),(45 3842029.3),(46 3897654.8),(47 3941068.5),(48 3993770.5),(49 4035538.3),(50 4078334.5),(51 4113075.8),(52 4138943.8),(53 4162825.5),(54 4175549.3),(55 4183786.5),(56 4188620),(57 4185140.3),(58 4174525.3),(59 4162636),(60 4144662.8),(61 4110086.3),(62 4080332.5),(63 4039850.8),(64 4000755),(65 3954778.5),(66 3908409.5),(67 3853103),(68 3802716.5),(69 3749637.8),(70 3691717.8),(71 3637026.3),(72 3578883),(73 3525947.5),(74 3471658.8),(75 3422733),(76 3380142.5),(77 3341170.3),(78 3308586.8),(79 3276417),
(1 7833.5522),(2 25693.725),(3 55000.2),(4 95127.43),(5 144228.98),(6 202581.56),(7 268897.47),(8 342307.47),(9 418722.03),(10 502880.38),(11 589340.25),(12 679463.44),(13 773352.75),(14 871744.7),(15 968177.3),(16 1059811.5),(17 1153282.4),(18 1243824),(19 1334974.6),(20 1421721.4),(21 1506392.4),(22 1585184.8),(23 1661286.5),(24 1729602.6),(25 1793218.1),(26 1855618.4),(27 1910526.6),(28 1957739.8),(29 1999657.9),(30 2035494.6),(31 2066551.1),(32 2091212.1),(33 2109885.8),(34 2122889.8),(35 2125119.5),(36 2125188.5),(37 2121418.5),(38 2113253.5),(39 2097028.6),(40 2079376.6),(41 2058291.5),(42 2036436.6),(43 2015765.6),(44 1991663.3),(45 1968619.8),(46 1948638.9),(47 1926714.8),(48 1908256.8),(49 1897342.9),(50 1886620.9),(51 1880326.6),(52 1878778.1),(53 1884075.3),(54 1891565.6),(55 1899653.6),(56 1911592.5),(57 1936310.6),(58 1960782),(59 1994844.3),(60 2028294.9),(61 2066587.6),(62 2108603.8),(63 2151467),(64 2199867.3),(65 2253240),(66 2308765.5),(67 2364877),(68 2421027.8),(69 2482939.3),(70 2547240),(71 2606695.5),(72 2670415),(73 2730413.3),(74 2789724),(75 2846202.5),(76 2904536),(77 2960806.5),(78 3021000.5),(79 3072714.5),
(1 8885.695),(2 31132.734),(3 68292.06),(4 119515.15),(5 181390.9),(6 255267.06),(7 339797.75),(8 433580.13),(9 532975.94),(10 643264.25),(11 754700.94),(12 872268.9),(13 994788.94),(14 1118014),(15 1241010.9),(16 1357544.5),(17 1473045),(18 1593842.3),(19 1711188.8),(20 1821730.4),(21 1934336),(22 2041247),(23 2146406.8),(24 2240332.5),(25 2328822),(26 2409596.3),(27 2481032.3),(28 2556952.8),(29 2626539.8),(30 2691726.5),(31 2741235.3),(32 2794105),(33 2837204.5),(34 2875230.8),(35 2905199),(36 2930536.3),(37 2947218.8),(38 2963434.8),(39 2968840.5),(40 2968656.8),(41 2960735.5),(42 2944258),(43 2919027.8),(44 2890116.5),(45 2854474.5),(46 2814442.8),(47 2772783.5),(48 2728969.8),(49 2675194.8),(50 2626207),(51 2578519.8),(52 2526759.5),(53 2480337.8),(54 2436080),(55 2393889.8),(56 2359634),(57 2334882.8),(58 2309652),(59 2296801.5),(60 2288951.8),(61 2287092.8),(62 2296843.3),(63 2308464.5),(64 2328761.8),(65 2352913),(66 2376201.8),(67 2401602.8),(68 2428091.8),(69 2453902),(70 2478530.3),(71 2499307.5),(72 2518479.5),(73 2532370),(74 2542076),(75 2548370.3),(76 2551540.3),(77 2554519),(78 2553293.8),(79 2551662),
(1 12199.288),(2 43154.89),(3 94441.66),(4 163462.83),(5 247122.94),(6 346693.25),(7 458334.72),(8 582191.75),(9 713737.7),(10 856773.8),(11 1004791.56),(12 1157574.5),(13 1317177.6),(14 1479247.9),(15 1635328.5),(16 1783282.3),(17 1929450.6),(18 2076765.4),(19 2216239.5),(20 2349144.3),(21 2477083.8),(22 2594971.8),(23 2706498.5),(24 2804366.5),(25 2888749),(26 2963333.3),(27 3016092.8),(28 3066907),(29 3101727.3),(30 3129845.8),(31 3141874),(32 3149664),(33 3145735.5),(34 3134168.8),(35 3114521),(36 3091180.3),(37 3059255.8),(38 3025917),(39 2984167),(40 2938329.8),(41 2886788),(42 2827548),(43 2766920.5),(44 2709909.8),(45 2646941.5),(46 2578003.3),(47 2516921.5),(48 2457416),(49 2392781.5),(50 2337517.3),(51 2283423),(52 2228334.3),(53 2175597),(54 2127772.5),(55 2083776.9),(56 2051265.4),(57 2022572),(58 2000559.4),(59 1989180.9),(60 1987322.5),(61 1989627.8),(62 2005372.9),(63 2027342),(64 2056914.5),(65 2089268.3),(66 2128010.8),(67 2172749.3),(68 2219028),(69 2268430.8),(70 2322357.3),(71 2376361.8),(72 2433259.8),(73 2485837.3),(74 2541089.8),(75 2592607.8),(76 2644271),(77 2691327.8),(78 2737791.3),(79 2781282.3),
(1 12851.721),(2 46801.563),(3 103735.45),(4 180947.1),(5 274796.88),(6 383958.28),(7 506976.66),(8 641626.5),(9 786131.2),(10 938367.9),(11 1096657.8),(12 1259481.5),(13 1429630.9),(14 1602177),(15 1767364.5),(16 1920655.8),(17 2070308.5),(18 2218528.8),(19 2354181.8),(20 2476386.5),(21 2592491.5),(22 2696217.5),(23 2788031.3),(24 2865554.5),(25 2926758.5),(26 2978770),(27 3008588),(28 3035595.3),(29 3053167),(30 3062199.3),(31 3059384.8),(32 3046159.5),(33 3024430.3),(34 2991959.5),(35 2951318),(36 2900911.8),(37 2846664),(38 2786625),(39 2722989.8),(40 2653907.8),(41 2581627),(42 2505718.5),(43 2433929.8),(44 2362981),(45 2291106),(46 2222693.5),(47 2159188.3),(48 2093558.9),(49 2028948),(50 1975174.6),(51 1926795.3),(52 1879515.5),(53 1839836.9),(54 1806631.8),(55 1777129.3),(56 1754852.1),(57 1740455),(58 1732383),(59 1726835.4),(60 1730605.6),(61 1740743),(62 1753050.6),(63 1775117.4),(64 1802488.4),(65 1832274.9),(66 1864384.9),(67 1899272.3),(68 1935529.8),(69 1973773.4),(70 2013527.8),(71 2051027.5),(72 2087042.9),(73 2119678.3),(74 2149185.3),(75 2172380),(76 2198471.5),(77 2216437.8),(78 2235603.3),(79 2247642.3),
