1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 13655.215),(2 33250.195),(3 55719.758),(4 71299.81),(5 88272.984),(6 96337.09),(7 107095.43),(8 112581.97),(9 120925.65),(10 124281.72),(11 133132.55),(12 136518.14),(13 142470.88),(14 144190.52),(15 149504.66),(16 149812.08),(17 152963.86),(18 152465.03),(19 155798.1),(20 155093.06),(21 157721.13),(22 155606.39),(23 156492.75),(24 154025.44),(25 156510.02),(26 154500.34),(27 155814.66),(28 153364.39),(29 155043.23),(30 153264.14),(31 156768.36),(32 155692.94),(33 158365.3),(34 157478.28),(35 162153.92),(36 161846.95),(37 164948.77),(38 163815.56),(39 165532.36),(40 162356.14),(41 163316.06),(42 161691.8),(43 166182.73),(44 166326.28),(45 169280.11),(46 166943.98),(47 169056.77),(48 166871.45),(49 168155.19),(50 166027.06),(51 168757.14),(52 167357.48),(53 170347.39),(54 169977.89),(55 174175.33),(56 174438.19),(57 178365.14),(58 178850.6),(59 183486.84),(60 182867.66),(61 186036.97),(62 186679.78),(63 192051.13),(64 192828.33),(65 195182.44),(66 191702.36),(67 192349.44),(68 189734.67),(69 191611.69),(70 188890.75),(71 191012.52),(72 190856.11),(73 194590.14),(74 193691.77),(75 197656.02),(76 195945.08),(77 198494.42),(78 196853.89),(79 197795.6),
(1 13948.742),(2 33569.938),(3 55507.703),(4 71980.1),(5 88984.24),(6 96982.49),(7 106590.36),(8 111621.24),(9 119728.24),(10 123263.51),(11 131049.2),(12 135348.7),(13 141220.06),(14 142600.75),(15 147416),(16 147131.38),(17 150051.39),(18 149369.95),(19 152850.25),(20 152280.83),(21 154944.48),(22 153418.75),(23 156178.33),(24 155489.6),(25 158654.4),(26 156086.53),(27 158494.6),(28 157329.31),(29 159790.69),(30 158393.47),(31 159253.1),(32 156015.67),(33 157144.16),(34 155979.11),(35 159291.52),(36 158698.66),(37 162429.66),(38 162745.02),(39 165998.13),(40 165283.02),(41 167408.52),(42 166382.14),(43 170467.6),(44 170567.84),(45 174344),(46 172451.17),(47 172808.02),(48 169518.34),(49 169966.63),(50 167545.88),(51 170339.44),(52 170719.27),(53 175752.53),(54 176234.05),(55 179963.44),(56 179553.66),(57 181464.28),(58 179650.33),(59 182406.25),(60 180271.45),(61 182305.98),(62 181874.33),(63 185619.75),(64 184658.27),(65 186014.48),(66 182465.23),(67 184005.69),(68 182633.27),(69 184691.19),(70 185625.58),(71 192153.52),(72 194578.77),(73 198374.56),(74 197776.6),(75 200630.75),(76 199733.27),(77 202717.98),(78 201689.17),(79 203530.45),
(1 13977.715),(2 33560.754),(3 55015.88),(4 70359.38),(5 85985.48),(6 93492.78),(7 104119.57),(8 110618.92),(9 119690.484),(10 125982.72),(11 135459.86),(12 138468.64),(13 143590.03),(14 145017.06),(15 149703.22),(16 149181.05),(17 152727.88),(18 151980.45),(19 155320.11),(20 154848.45),(21 157923.42),(22 156307.55),(23 158911.3),(24 156832.16),(25 157922.7),(26 155408.78),(27 158039.88),(28 156462.8),(29 159153.22),(30 159823.44),(31 164680.08),(32 164658.31),(33 167693.55),(34 166349.03),(35 167550.55),(36 165369.66),(37 167216.11),(38 165743.4),(39 167934.56),(40 166571.33),(41 169334.22),(42 169567.84),(43 174358.55),(44 174047.08),(45 176998.38),(46 176567.31),(47 178404.64),(48 174834.69),(49 175172.25),(50 173227.75),(51 176023.83),(52 174265.17),(53 175701.05),(54 174400.34),(55 176881.08),(56 175597.11),(57 177924.52),(58 178498),(59 183106.31),(60 184287.69),(61 189706.44),(62 191480.48),(63 196290.75),(64 195879.78),(65 197344.78),(66 195733.5),(67 198996.03),(68 197769.39),(69 198880.94),(70 197190.94),(71 200474.92),(72 200087.02),(73 202618.36),(74 202632.19),(75 207814.31),(76 209345.05),(77 212623.17),(78 212907.52),(79 216078.08),
(1 13405.703),(2 32149.58),(3 52123.01),(4 66935.68),(5 83152.055),(6 91659.77),(7 103710.72),(8 111693.45),(9 121422.11),(10 128386.484),(11 138085.55),(12 141353.81),(13 146496.78),(14 147710.88),(15 151447.11),(16 150095.64),(17 152883.56),(18 152252.3),(19 154532.31),(20 153736.84),(21 156437.89),(22 154887.52),(23 157013.73),(24 155624.88),(25 158627.69),(26 157127.25),(27 160127.92),(28 159987.7),(29 163388.31),(30 163668.89),(31 167548.64),(32 166797.3),(33 169379.05),(34 167061.73),(35 169131.05),(36 168689.06),(37 171264.92),(38 170571.77),(39 174239.33),(40 173927.25),(41 177080.45),(42 177181.2),(43 180547.05),(44 180238.66),(45 182649.72),(46 180076.98),(47 180896.38),(48 178902.88),(49 180574.66),(50 177483.13),(51 177169.56),(52 174583.78),(53 176761.52),(54 176214.53),(55 179295.95),(56 179042.05),(57 181722.8),(58 180907.16),(59 184203.73),(60 182926.48),(61 186324.36),(62 185663.34),(63 189280.53),(64 188441.84),(65 190256.81),(66 189989.34),(67 195184.9),(68 194648.64),(69 197623.22),(70 197406.92),(71 202601.73),(72 203706.69),(73 207526.72),(74 208352.27),(75 213087.48),(76 212206.66),(77 213566.16),(78 212003.72),(79 213866.9),
(1 13785.387),(2 32430.877),(3 52575.582),(4 67195.41),(5 83315.54),(6 91147.87),(7 103542.63),(8 111835.43),(9 121229.445),(10 126657.164),(11 136097.98),(12 139466.94),(13 144511.67),(14 146498.23),(15 151358.17),(16 151644.2),(17 155624.73),(18 154473.11),(19 155520.17),(20 152778.7),(21 155155.5),(22 153742.84),(23 155449.6),(24 153755.98),(25 155869.27),(26 153893.77),(27 156852.44),(28 155924.3),(29 160067.27),(30 158989.73),(31 161207.48),(32 159264.31),(33 161540.86),(34 159618.92),(35 162054.92),(36 159816.17),(37 160586.17),(38 157963.44),(39 161213.67),(40 161313.88),(41 165439.5),(42 165374.56),(43 169146.67),(44 168682.97),(45 171697.19),(46 170407.27),(47 172889),(48 171464.27),(49 174153.52),(50 171700.67),(51 173554.6),(52 171887.22),(53 175720.44),(54 175016.9),(55 178909.5),(56 178247.7),(57 181776.94),(58 180981.8),(59 184770.14),(60 183631.56),(61 188388.3),(62 188707.58),(63 193547.92),(64 194771.6),(65 198025.97),(66 195120.23),(67 197032.8),(68 194524),(69 198050.53),(70 198181.31),(71 202680.22),(72 202128.33),(73 205841.27),(74 205653.38),(75 209334.08),(76 207471.14),(77 208880.14),(78 206999.19),(79 208948.2),
(1 13057.746),(2 30318.602),(3 48297.063),(4 61912.477),(5 76724.84),(6 84339.555),(7 95220.08),(8 102623.25),(9 112099.586),(10 117701.055),(11 127234.54),(12 131568.06),(13 137562.69),(14 139432.25),(15 143367.89),(16 142917.08),(17 145530.9),(18 143651.2),(19 144040.53),(20 141555.64),(21 142900.55),(22 140650.11),(23 142303.97),(24 141160.69),(25 143349.25),(26 142461.45),(27 144619.39),(28 143171.66),(29 146455.5),(30 146233.95),(31 150134.78),(32 150635.42),(33 155030.67),(34 154171.27),(35 156600.48),(36 156896.86),(37 159876.3),(38 159074.55),(39 161391.34),(40 159671.77),(41 161608.13),(42 160824.31),(43 164400.4),(44 165259.86),(45 167312.47),(46 163976.58),(47 164878.98),(48 162733.34),(49 164076.81),(50 162118.69),(51 164465.45),(52 162587.75),(53 164323.3),(54 163071.22),(55 165546.19),(56 164770.02),(57 167895.61),(58 167651.83),(59 171393.14),(60 171114.94),(61 174481.44),(62 174214.23),(63 178137.11),(64 178753.7),(65 181416.48),(66 178573.1),(67 179805.52),(68 177793.19),(69 179904.23),(70 179408.03),(71 183466.75),(72 182845.77),(73 185375.53),(74 185146.36),(75 187624.75),(76 185720.83),(77 186830.33),(78 185349.84),(79 187385.81),
(1 13394.502),(2 30962.883),(3 49457.047),(4 63191.887),(5 77856.67),(6 84808.13),(7 95167.53),(8 101558.52),(9 110268.06),(10 115444.305),(11 124124.16),(12 126405.94),(13 130956.984),(14 131101.53),(15 133456.48),(16 133878.83),(17 137534.52),(18 136229.83),(19 138089.27),(20 136011.64),(21 137486.5),(22 136441.1),(23 139725.47),(24 139234.13),(25 141735.66),(26 140635.42),(27 142379.16),(28 141949.3),(29 145123.75),(30 144121.97),(31 145996.1),(32 144233.4),(33 145557.48),(34 143726.86),(35 146828.25),(36 146158.42),(37 147561.88),(38 146269.47),(39 148958.66),(40 148613.2),(41 151638.84),(42 150986.39),(43 153171.13),(44 153426.06),(45 156999.45),(46 155273.98),(47 156931.48),(48 154679.81),(49 154985.84),(50 152897.78),(51 155752.03),(52 155392.17),(53 158814.28),(54 158655.77),(55 162268.86),(56 162759.03),(57 166594.77),(58 167132.27),(59 169868.48),(60 168910.25),(61 171447.61),(62 170777.95),(63 173126.88),(64 171789.66),(65 173270.67),(66 171365.56),(67 174538.25),(68 175078.42),(69 178626.88),(70 178433.27),(71 181851.03),(72 182311.98),(73 187633.3),(74 189664.84),(75 194807.64),(76 194158.44),(77 194835.23),(78 191695.8),(79 193096.73),
(1 12895.864),(2 28783.492),(3 45383.35),(4 57263.793),(5 70270.33),(6 75770.89),(7 84048.984),(8 88878.195),(9 96431.29),(10 101418.125),(11 108560.59),(12 110888.2),(13 116460.09),(14 117455.31),(15 120714.305),(16 120746.375),(17 123986.73),(18 122393.49),(19 125491.63),(20 124947.35),(21 126876.71),(22 124605.94),(23 126086.18),(24 123993.3),(25 125289.4),(26 123537.42),(27 126021.62),(28 125295.42),(29 127950.56),(30 126368.34),(31 128615.336),(32 127274.46),(33 129687.086),(34 129693.95),(35 133749.6),(36 132500.95),(37 134477.5),(38 133756.81),(39 137018.7),(40 136204.47),(41 139329.44),(42 138486.61),(43 140679.48),(44 140290.75),(45 143236.69),(46 142529.55),(47 145329.05),(48 144106.66),(49 145672.53),(50 143905.27),(51 145281.16),(52 142758.38),(53 144833.42),(54 143786.64),(55 145936.27),(56 144971.19),(57 147610.84),(58 146713.89),(59 149356.81),(60 148683.66),(61 152320.55),(62 151114.95),(63 151930.03),(64 149978.25),(65 152036.95),(66 150838.08),(67 153251.66),(68 152356.44),(69 154524.33),(70 153190.89),(71 156355.05),(72 156075.95),(73 159715.6),(74 159896.03),(75 163878.23),(76 163457.52),(77 165314.69),(78 162566.86),(79 165267.56),
(1 12877.858),(2 28831.123),(3 45834.746),(4 58029.91),(5 70400.64),(6 75703.17),(7 83860.53),(8 88385.734),(9 95961.234),(10 100993.64),(11 109003.414),(12 111766.15),(13 117671.32),(14 119649.18),(15 123870.03),(16 124422.32),(17 128585.98),(18 128586.805),(19 131640.61),(20 131173.16),(21 133104.53),(22 131060),(23 133222.34),(24 131931.16),(25 134070.31),(26 132736.97),(27 134636.72),(28 134424.33),(29 137160.8),(30 135877.33),(31 137805.55),(32 135752.9),(33 137490.47),(34 136506.84),(35 138646.23),(36 136811.02),(37 138861.66),(38 138298.78),(39 142459.69),(40 143002.44),(41 147120.42),(42 146709.77),(43 149174),(44 147770.14),(45 150321.27),(46 148607.69),(47 152218.47),(48 152739.97),(49 155640.69),(50 154520.95),(51 155685.8),(52 152731.25),(53 154327),(54 152829.66),(55 154716.22),(56 153054.34),(57 154551.34),(58 152066.83),(59 154001.94),(60 153243.89),(61 157210.06),(62 157268.05),(63 159889.16),(64 159457.58),(65 162672.28),(66 161575.77),(67 164068.83),(68 163308.66),(69 166228.47),(70 165865.45),(71 169315.72),(72 169538.95),(73 175099.56),(74 175970.23),(75 179104.5),(76 177473.73),(77 178190.27),(78 176404.83),(79 179962.16),
(1 13209.177),(2 29716.81),(3 46487.07),(4 59327.258),(5 73164.24),(6 79963.72),(7 89858.33),(8 94671.305),(9 101967.1),(10 106860.4),(11 113642.33),(12 115352),(13 120246.15),(14 121345.04),(15 124708.33),(16 125212.89),(17 128754.09),(18 127649.164),(19 130354.55),(20 128930.32),(21 130470.66),(22 129697.05),(23 132814.3),(24 131519.52),(25 133902.63),(26 132063.48),(27 133641.75),(28 131315.9),(29 132447.31),(30 129914.05),(31 131408.39),(32 128841.984),(33 130621.914),(34 130137.555),(35 133105.47),(36 132468.72),(37 136374.84),(38 136915.02),(39 141418.63),(40 141881.69),(41 145248.97),(42 144173.27),(43 145072.39),(44 143351.1),(45 145555.3),(46 143269.27),(47 145404.11),(48 144239.1),(49 145270.78),(50 142943.98),(51 143713.52),(52 140596),(53 141379.88),(54 138972.83),(55 141811.2),(56 141345.77),(57 143638.11),(58 143418.33),(59 147181.1),(60 146851.52),(61 150742.13),(62 150617.75),(63 153868.5),(64 153400.98),(65 156732.33),(66 156182.98),(67 159341.38),(68 158691.44),(69 162686.11),(70 163141.05),(71 165878.45),(72 165698.25),(73 170587.75),(74 170791.89),(75 172967.6),(76 170625.7),(77 171985.66),(78 171249.05),(79 174384.53),
(1 12674.038),(2 28564.033),(3 45069.816),(4 57166.758),(5 69250.414),(6 74213.29),(7 82423.02),(8 87441.16),(9 94398.445),(10 98835.82),(11 104864.77),(12 107232.39),(13 112480.34),(14 114152.85),(15 118616.32),(16 119368.31),(17 121546.586),(18 120125.23),(19 122623.414),(20 120782.37),(21 121203.61),(22 119733.336),(23 122020.836),(24 120429.78),(25 122772.914),(26 121599.55),(27 124087.21),(28 122867.68),(29 124204.445),(30 122050.66),(31 122915.695),(32 120414.54),(33 121685.46),(34 119571.125),(35 120940.836),(36 120005.84),(37 122209.98),(38 121507.26),(39 125560.164),(40 126271.8),(41 129502.65),(42 129147.38),(43 131260.06),(44 130196.75),(45 131731.23),(46 130001.64),(47 131504.6),(48 130800.31),(49 133609.78),(50 132735.9),(51 134661.75),(52 132635.7),(53 133316.95),(54 131769.56),(55 134186.67),(56 134694.84),(57 138459.48),(58 138200.25),(59 140665.3),(60 139583.8),(61 141807.53),(62 140402.86),(63 142667.63),(64 142266.7),(65 145260.61),(66 144580.2),(67 146837.92),(68 145587.61),(69 148757.5),(70 147830.52),(71 150529.53),(72 149666.64),(73 151157.3),(74 148989.61),(75 149591.56),(76 147139.05),(77 148308.64),(78 146608.19),(79 149189.34),
(1 12977.923),(2 29154.934),(3 47006.63),(4 60983.727),(5 75039.88),(6 81729.125),(7 91410.664),(8 96838.98),(9 105310.76),(10 110787.57),(11 117552.516),(12 118875.21),(13 123606.164),(14 124839.555),(15 127797.37),(16 126217.85),(17 126681.04),(18 124414.64),(19 126630.164),(20 125599.664),(21 127552.85),(22 126288.91),(23 128143.83),(24 126681.5),(25 127656.79),(26 126535.805),(27 128690.445),(28 127029.3),(29 128663.766),(30 126937.586),(31 128366.49),(32 127545.484),(33 131023.46),(34 129938.87),(35 131590.17),(36 130405.5),(37 132651.53),(38 132950.6),(39 137241.16),(40 137127.78),(41 139083.61),(42 138186.55),(43 139612.64),(44 138004.75),(45 139887.69),(46 138241.61),(47 140001.08),(48 140212.34),(49 142556.42),(50 141045.67),(51 144046.23),(52 142976.34),(53 144841.72),(54 144641.58),(55 147926.2),(56 146904.22),(57 149498.08),(58 150195.06),(59 153137.3),(60 152915.33),(61 155524.86),(62 154242.8),(63 156033.66),(64 155111.06),(65 157540.84),(66 157769.45),(67 160559.64),(68 159007.98),(69 160112.77),(70 158091.28),(71 160089.94),(72 159433.3),(73 162268),(74 160680.36),(75 160665.66),(76 157393.08),(77 157061.75),(78 155096),(79 158241.5),
(1 12557.043),(2 28150.223),(3 44637.85),(4 56848.258),(5 69706.03),(6 76846.53),(7 86971.195),(8 92167.89),(9 100577.85),(10 105419.7),(11 112508.33),(12 114084.555),(13 118688.77),(14 120582.82),(15 124888.39),(16 124653.72),(17 125905.62),(18 124100.76),(19 126005.484),(20 124128.195),(21 125546.98),(22 124105.1),(23 125576.52),(24 124175.125),(25 127400.93),(26 127433.414),(27 129254.25),(28 126659.734),(29 128361.945),(30 126069.164),(31 126522.6),(32 124607.086),(33 125929.305),(34 123007.53),(35 124048.45),(36 122117.01),(37 123559.35),(38 122757.94),(39 126555.94),(40 126281.445),(41 127949.414),(42 125290.555),(43 126722.68),(44 123768.02),(45 124762.32),(46 122141.84),(47 122651.766),(48 121614.69),(49 123729.21),(50 122552.63),(51 124441.414),(52 123491.125),(53 126220.26),(54 126147.27),(55 129190.65),(56 128873.06),(57 132246.64),(58 132481.86),(59 135683.69),(60 135457.61),(61 138462.02),(62 138090.58),(63 140629.45),(64 139554.3),(65 142657.8),(66 142118.89),(67 145247.75),(68 144812.5),(69 146793.55),(70 144785.98),(71 146526.52),(72 145537.1),(73 147884.8),(74 145747.81),(75 147206.13),(76 145533.83),(77 148342.02),(78 148580.81),(79 151609.39),
(1 12263.413),(2 27831.012),(3 44196.574),(4 56124.703),(5 68096.414),(6 74836.6),(7 84962.11),(8 90105.54),(9 98510.59),(10 102553.42),(11 109196.35),(12 110842.65),(13 115637.86),(14 116578.56),(15 120484.47),(16 119979.65),(17 122422.97),(18 121340.83),(19 122307.586),(20 119361.25),(21 120561.59),(22 118551.05),(23 120162.76),(24 118745.7),(25 120274.11),(26 118355.76),(27 119390.78),(28 117343.26),(29 118887.41),(30 117074.53),(31 119182.98),(32 117952.37),(33 119552.33),(34 118236.98),(35 121137.13),(36 120428.16),(37 122698.4),(38 123803.32),(39 128327.42),(40 128459.63),(41 130747.36),(42 128540.93),(43 130496.8),(44 128056.84),(45 129174.81),(46 126950.08),(47 128199.74),(48 127331.68),(49 129604.26),(50 127564.87),(51 128860.78),(52 126695.07),(53 128032.49),(54 126158.06),(55 128671.984),(56 128444.14),(57 132168.25),(58 131741.63),(59 133411.14),(60 132065.86),(61 135035.39),(62 133410.63),(63 134912.95),(64 133640.1),(65 135959.73),(66 134445.14),(67 136277.61),(68 135222.72),(69 137975.33),(70 137424.64),(71 139878.5),(72 139201.08),(73 142263.47),(74 141481),(75 144050.33),(76 142551.36),(77 144817),(78 143946.58),(79 146487.7),
(1 12262.58),(2 27965.277),(3 44393.008),(4 56138.2),(5 67949.375),(6 73758.66),(7 83132.93),(8 87701.766),(9 95802.29),(10 100425.08),(11 106736.164),(12 109489.48),(13 115719.516),(14 117859.08),(15 122007.63),(16 121819.164),(17 123959.125),(18 122339.836),(19 122684.945),(20 120017.13),(21 120740.29),(22 118587.82),(23 119598.06),(24 117535.47),(25 118617.75),(26 116568.53),(27 118869.91),(28 117968.84),(29 119782.555),(30 118288.64),(31 119779.22),(32 117540.41),(33 118957.93),(34 118078.47),(35 121096.96),(36 121136.32),(37 123768.54),(38 123749.33),(39 126964.91),(40 126560.875),(41 128590.84),(42 127740.41),(43 130034.26),(44 127703.22),(45 128732.734),(46 127247.7),(47 128641.02),(48 126022.92),(49 126271.4),(50 123069.93),(51 123735.586),(52 121928.59),(53 123757.75),(54 122611.85),(55 124738.38),(56 122875.61),(57 125536.625),(58 125483.43),(59 128525.01),(60 127668.72),(61 130513.984),(62 129935.27),(63 132452.55),(64 132555.98),(65 136129.7),(66 136520.66),(67 138787.27),(68 137958.2),(69 141000.89),(70 140072.88),(71 142147.98),(72 141698.44),(73 143686.28),(74 142539.36),(75 144632.31),(76 143563.34),(77 146345.8),(78 145848.27),(79 148045.56),
(1 12246.976),(2 27905.549),(3 43973.95),(4 55293.113),(5 66732.914),(6 72975.07),(7 83333.96),(8 89375.78),(9 96670.87),(10 101381.94),(11 107510.164),(12 108918.86),(13 113853.734),(14 115968.68),(15 120242.234),(16 119732.79),(17 121340.22),(18 120556.07),(19 122047.76),(20 121122.44),(21 123436.22),(22 122050.84),(23 123995.16),(24 123333.67),(25 124422.84),(26 122337.58),(27 123567.586),(28 121130.734),(29 121720.28),(30 119927.04),(31 121094.664),(32 118952.71),(33 119436.24),(34 117394.37),(35 118185.945),(36 116525.74),(37 118642.84),(38 117959.5),(39 121556.44),(40 122480.27),(41 125095.6),(42 124250.18),(43 125660.86),(44 124331.125),(45 125576.74),(46 125633.21),(47 127887.08),(48 126263.29),(49 127536.37),(50 125065.484),(51 126203.26),(52 125648.945),(53 127578.516),(54 126879.02),(55 129341.17),(56 129326.625),(57 133556.16),(58 134803.56),(59 138730.9),(60 139279.52),(61 142718.19),(62 142579.63),(63 145685.61),(64 145339),(65 148333.81),(66 148481.38),(67 150769.63),(68 150322.4),(69 152411.34),(70 151066.23),(71 152505.86),(72 151978.22),(73 153530.14),(74 152440.16),(75 154688.95),(76 153012.55),(77 154470.03),(78 153119.55),(79 153651.52),
(1 12455.788),(2 27966.285),(3 43278.44),(4 54340.008),(5 65906.2),(6 72956.586),(7 83271.02),(8 88479.19),(9 96213.62),(10 99828.42),(11 104514.22),(12 105988.836),(13 110812.99),(14 112373.125),(15 116512.375),(16 116423.36),(17 118706.25),(18 118555.055),(19 120393.766),(20 119261.016),(21 121424.234),(22 119104.11),(23 119536.555),(24 116327.46),(25 116251.766),(26 114010.76),(27 114469.164),(28 112075.26),(29 112460.055),(30 110329.195),(31 111793.27),(32 110572.71),(33 112853.84),(34 111378.17),(35 113406.67),(36 112544.84),(37 114264.305),(38 113599.56),(39 116818.35),(40 116241.19),(41 118201.83),(42 117279.74),(43 119090.31),(44 118184.59),(45 120680.39),(46 120498.016),(47 122820.734),(48 122763.305),(49 124396.47),(50 122907.086),(51 124257.96),(52 123242.29),(53 125195.055),(54 124580.99),(55 126361.84),(56 124976.445),(57 128355.48),(58 128484.33),(59 131715.31),(60 132022.88),(61 134639.33),(62 133742.11),(63 136114.88),(64 135035.44),(65 137258.58),(66 135720.08),(67 137190.78),(68 136946.83),(69 139413.73),(70 138695.48),(71 140302.33),(72 139378.53),(73 141667.16),(74 141275.97),(75 143129.08),(76 142031.53),(77 143299.61),(78 141772.75),(79 143401.77),
(1 11375.163),(2 25341.344),(3 39409.887),(4 48939.285),(5 58867.582),(6 65135.035),(7 74115.984),(8 78867.555),(9 86872.586),(10 90200.59),(11 94578.28),(12 97055.95),(13 101941.86),(14 103100.82),(15 106885.766),(16 106748.35),(17 109615.26),(18 109776.84),(19 112012.445),(20 111667.56),(21 114408.7),(22 112948.195),(23 114241.02),(24 111914.16),(25 112880.414),(26 110955.27),(27 111611.22),(28 109681.836),(29 110562.82),(30 109019.234),(31 110964.984),(32 109782.58),(33 112427.93),(34 111991.9),(35 115359.07),(36 115557.555),(37 118542.87),(38 118777.984),(39 122383.19),(40 122209.7),(41 124207.79),(42 123102.46),(43 125090.94),(44 124320.41),(45 126397.36),(46 124926.7),(47 126423.875),(48 124756.73),(49 125835.36),(50 124588.48),(51 125874.6),(52 123740.5),(53 125213.65),(54 124590.43),(55 127444.35),(56 127202.87),(57 130607.2),(58 131674.27),(59 134934.38),(60 134746.06),(61 136673.23),(62 135783.25),(63 137356.64),(64 136923.84),(65 139403),(66 137544.44),(67 137910.42),(68 136315.84),(69 138320.28),(70 137144.33),(71 138053.94),(72 135998.8),(73 137050.98),(74 136035.27),(75 137578.16),(76 136645.33),(77 138911.52),(78 138152.7),(79 139401.3),
(1 11252.22),(2 24708.563),(3 38380.313),(4 47763.22),(5 58007.6),(6 64177.84),(7 73454.28),(8 78286.65),(9 86395.32),(10 89787.15),(11 94909.85),(12 96763.98),(13 101394.76),(14 101923.69),(15 104804.71),(16 104082.11),(17 106583.375),(18 105498.305),(19 107203.48),(20 105647.195),(21 107385.56),(22 105371.26),(23 107131.19),(24 105536.46),(25 107483.766),(26 107005.766),(27 108947.65),(28 107411.25),(29 109257.41),(30 107286.19),(31 108885.75),(32 107166.625),(33 109153.22),(34 107856.445),(35 110446.39),(36 109471.01),(37 111231.84),(38 109767.62),(39 112648.22),(40 111860.65),(41 114524.65),(42 113549.04),(43 116232.836),(44 115151.54),(45 117146.88),(46 115305.22),(47 116817.58),(48 114232.35),(49 116118.57),(50 115896.52),(51 118646.55),(52 118053.13),(53 120643.55),(54 118812.586),(55 121009.05),(56 121014.38),(57 124785.44),(58 125223.27),(59 128758.41),(60 129265.78),(61 132590.72),(62 131829.72),(63 133923.97),(64 133646.88),(65 136370.17),(66 135149.77),(67 136933.69),(68 135713.28),(69 137940.38),(70 136563.6),(71 138354.14),(72 137393.05),(73 140108.22),(74 139720.86),(75 142265.9),(76 140641.66),(77 142201.89),(78 140504.88),(79 141606.9),
