1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 3804.4814),(2 6885.3657),(3 7353.042),(4 7855.9355),(5 8054.284),(6 8502.391),(7 8868.434),(8 9157.257),(9 9555.767),(10 9519.033),(11 9778.281),(12 10172.771),(13 10361.934),(14 10797.158),(15 10993.87),(16 11033.419),(17 11198.508),(18 11207.148),(19 11415.647),(20 11803.52),(21 11843.683),(22 11594.938),(23 11697.924),(24 11701.781),(25 11478.489),(26 11156.371),(27 11087.083),(28 10945.598),(29 10894.284),(30 10953.937),(31 10483.623),(32 10495.271),(33 10437.709),(34 10212.271),(35 10091.071),(36 10058.084),(37 10221.33),(38 10143.676),(39 10039.518),(40 10058.314),(41 9954.996),(42 9735.757),(43 9785.902),(44 9783.114),(45 9690.797),(46 9762.597),(47 9815.55),(48 10049.9),(49 10132.822),(50 9983.049),(51 9962.36),(52 9861.813),(53 9903.583),(54 10098.694),(55 10256.031),(56 10511.548),(57 10642.181),(58 10531.872),(59 10501.464),(60 10661.324),(61 10775.966),(62 10905.726),(63 10787.751),(64 10732.624),(65 10762.484),(66 10787.959),(67 10867.182),(68 10774.38),(69 10743.5),(70 10773.644),(71 10662.463),(72 10633.349),(73 10742.204),(74 10886.406),(75 10855.25),(76 10758.628),(77 10717.149),(78 10780.424),(79 10880.256),
(1 3801.4658),(2 6874.3667),(3 7298.2344),(4 7774.025),(5 8014.595),(6 8230.327),(7 8502.818),(8 8836.8125),(9 9344.957),(10 9379.709),(11 9692.27),(12 9989.262),(13 9972.4),(14 10343.596),(15 10814.754),(16 11010.669),(17 10996.082),(18 10881.622),(19 11219.316),(20 11431.745),(21 11359.538),(22 11163.536),(23 11237.474),(24 11234.43),(25 11058.812),(26 11029.547),(27 10894.026),(28 10479.411),(29 10403.043),(30 10565.876),(31 10232.981),(32 10001.266),(33 9919.909),(34 10038.627),(35 9964.607),(36 9836.944),(37 9894.497),(38 9519.899),(39 9462.651),(40 9609.198),(41 9652.8955),(42 9738.668),(43 9567.874),(44 9453.595),(45 9487.395),(46 9319.558),(47 9241.279),(48 9397.633),(49 9542.667),(50 9619.774),(51 9751.328),(52 9841.152),(53 9994.014),(54 9989.378),(55 10023.14),(56 10297.544),(57 10413.388),(58 10324.904),(59 10420.555),(60 10547.773),(61 10566.64),(62 10490.133),(63 10298.766),(64 10403.183),(65 10477.996),(66 10544.317),(67 10597.341),(68 10536.5625),(69 10496.742),(70 10473.206),(71 10466.382),(72 10496.782),(73 10422.557),(74 10384.746),(75 10381.404),(76 10370.037),(77 10363.132),(78 10375.87),(79 10497.65),
(1 3788.4885),(2 6762.5063),(3 7175.442),(4 7635.394),(5 7845.4243),(6 8053.3594),(7 8387.849),(8 8874.4375),(9 9362.068),(10 9237.969),(11 9639.378),(12 9988.674),(13 10048.121),(14 10315.107),(15 10583.318),(16 10762.936),(17 10780.515),(18 10929.712),(19 11132.598),(20 11164.238),(21 11154.877),(22 11012.645),(23 11053.851),(24 11178.697),(25 11006.139),(26 10858.9),(27 10679.93),(28 10436.451),(29 10391.611),(30 10306.048),(31 10146.171),(32 10080.535),(33 9855.692),(34 9739.971),(35 9518.276),(36 9419.164),(37 9400.196),(38 9187.394),(39 9126.197),(40 9059.348),(41 8992.74),(42 9064.744),(43 9114.974),(44 9233.669),(45 9101.091),(46 9089.314),(47 9343.791),(48 9500.081),(49 9430.714),(50 9442.899),(51 9385.285),(52 9449.963),(53 9736.545),(54 9788.037),(55 9826.06),(56 10015.52),(57 10158.482),(58 10274.706),(59 10364.92),(60 10287.696),(61 10391.462),(62 10339.968),(63 10171.495),(64 10129.746),(65 10208.232),(66 10365.512),(67 10360.797),(68 10203.711),(69 10000.799),(70 9867.781),(71 9978.316),(72 10068.381),(73 10139.855),(74 10064.401),(75 9850.419),(76 9830.116),(77 9900.482),(78 9936.897),(79 10036.964),
(1 3722.2961),(2 6693.0464),(3 7118.9717),(4 7644.298),(5 7694.919),(6 7878.6133),(7 8034.7227),(8 8546.057),(9 8938.933),(10 8922.479),(11 9278.471),(12 9463.432),(13 9620.492),(14 9883.89),(15 10197.159),(16 10459.53),(17 10531.063),(18 10705.189),(19 10732.783),(20 10768.448),(21 10699.595),(22 10588.269),(23 10746.416),(24 10776.819),(25 10632.321),(26 10471.659),(27 10195.248),(28 10004.789),(29 10075.392),(30 10072.928),(31 9994.665),(32 9994.058),(33 9857.35),(34 9631.948),(35 9540.333),(36 9512.584),(37 9418.647),(38 9193.01),(39 9189.379),(40 9245.765),(41 9229.548),(42 9130.059),(43 9209.764),(44 9320.17),(45 9333.744),(46 9300.202),(47 9395.503),(48 9475.735),(49 9409.798),(50 9447.236),(51 9623.891),(52 9723.427),(53 9820.225),(54 9834.713),(55 9857.811),(56 10127.162),(57 10317.242),(58 10466.073),(59 10473.221),(60 10277.609),(61 10453.319),(62 10450.914),(63 10478.652),(64 10477.744),(65 10412.647),(66 10400.055),(67 10289.027),(68 10165.467),(69 10142.117),(70 10161.895),(71 10173.646),(72 10169.788),(73 10304.888),(74 10310.488),(75 10096.506),(76 10181.154),(77 10246.679),(78 10190.919),(79 10110.823),
(1 3690.359),(2 6622.226),(3 7135.5195),(4 7435.578),(5 7451.632),(6 7735.973),(7 8059.3706),(8 8640.301),(9 9089.823),(10 8967.737),(11 9277.757),(12 9451.4),(13 9548.898),(14 9776.736),(15 10118.589),(16 10408.984),(17 10510.152),(18 10740.47),(19 10935.672),(20 10854.782),(21 10790.381),(22 10707.5625),(23 10789.463),(24 10721.594),(25 10573.386),(26 10466.3955),(27 10334.404),(28 10333.908),(29 10242.122),(30 10154.454),(31 10155.668),(32 9972.188),(33 9768.16),(34 9618.817),(35 9500.13),(36 9457.203),(37 9427.4795),(38 9439.698),(39 9404.011),(40 9293.093),(41 9255.627),(42 9145.577),(43 9145.593),(44 9220.416),(45 9123.921),(46 9092.119),(47 9257.704),(48 9366.389),(49 9372.152),(50 9440.117),(51 9563.402),(52 9646.042),(53 9802.217),(54 9730.532),(55 9849.52),(56 10332.242),(57 10411.077),(58 10249.896),(59 10193.48),(60 10236.072),(61 10252.929),(62 10114.173),(63 9994.523),(64 10059.043),(65 10267.126),(66 10162.578),(67 10049.074),(68 10106.834),(69 9951.016),(70 9933.271),(71 9946.456),(72 9932.289),(73 10032.651),(74 10004.224),(75 10048.528),(76 10039.483),(77 9966.831),(78 9832.717),(79 9799.541),
(1 3497.7341),(2 6232.218),(3 6700.0044),(4 7124.2085),(5 7099.0176),(6 7310.9043),(7 7680.2646),(8 8049.1987),(9 8225.972),(10 8286.358),(11 8497.411),(12 8655.637),(13 8804.118),(14 9045.332),(15 9130.092),(16 9297.156),(17 9501.351),(18 9727.253),(19 9900.695),(20 9801.649),(21 9629.37),(22 9664.281),(23 9936.498),(24 9982.954),(25 9844.573),(26 9622.727),(27 9597.82),(28 9474.597),(29 9256.097),(30 9163.894),(31 9237.961),(32 9041.946),(33 8996.901),(34 9020.353),(35 8890.538),(36 8866.8545),(37 8705.0625),(38 8554.552),(39 8636.0205),(40 8576.535),(41 8530.6045),(42 8530.628),(43 8650.335),(44 8616.9375),(45 8521.922),(46 8669.245),(47 8859.352),(48 8768.323),(49 8868.394),(50 8979.361),(51 8965.413),(52 9038.399),(53 9157.047),(54 9245.078),(55 9290.263),(56 9431.072),(57 9640.037),(58 9672.047),(59 9673.113),(60 9827.036),(61 9855.501),(62 9797.17),(63 9742.658),(64 9609.636),(65 9698.3545),(66 9692.113),(67 9812.46),(68 9809.478),(69 9693.187),(70 9623.255),(71 9600.508),(72 9630.907),(73 9551.645),(74 9470.866),(75 9487.915),(76 9421.308),(77 9301.88),(78 9184.147),(79 9245.234),
(1 3516.9785),(2 6235.6177),(3 6742.9634),(4 7087.773),(5 7045.5933),(6 7299.7344),(7 7612.311),(8 8036.0537),(9 8242.744),(10 8338.108),(11 8631.904),(12 8816.043),(13 9166.139),(14 9415.927),(15 9650.878),(16 9811.014),(17 9878.626),(18 10115.704),(19 10321.487),(20 10159.419),(21 9842.543),(22 9874.004),(23 9952.363),(24 9846.034),(25 9839.962),(26 9676.863),(27 9501.828),(28 9340.956),(29 9363.54),(30 9278.552),(31 9224.474),(32 9284.885),(33 9245.187),(34 8930.437),(35 8932.319),(36 8749.778),(37 8657.216),(38 8608.841),(39 8657.231),(40 8610.012),(41 8549.796),(42 8581.018),(43 8670.66),(44 8773.04),(45 8782.428),(46 8799.641),(47 8892.064),(48 9000.214),(49 9087.088),(50 9180.21),(51 9323.703),(52 9399.356),(53 9407.781),(54 9571.979),(55 9682.217),(56 9806.817),(57 9925.308),(58 9949.108),(59 9817.28),(60 9801.696),(61 9735.874),(62 9840.46),(63 9813.185),(64 9714.342),(65 9550.89),(66 9453.947),(67 9594.405),(68 9534.676),(69 9485.417),(70 9539.126),(71 9562.636),(72 9527.912),(73 9354.415),(74 9387.196),(75 9502.574),(76 9521.063),(77 9544.555),(78 9486.517),(79 9561.798),
(1 3482.849),(2 6065.5815),(3 6532.4956),(4 6920.962),(5 6950.8237),(6 7275.179),(7 7663.824),(8 7997.088),(9 8238.148),(10 8267.163),(11 8653.005),(12 8821.088),(13 8952.037),(14 9252.553),(15 9332.349),(16 9475.374),(17 9686.534),(18 9730.927),(19 9776.74),(20 9728.569),(21 9614.046),(22 9597.677),(23 9636.667),(24 9627.061),(25 9621.559),(26 9483.432),(27 9325.285),(28 9222.041),(29 9199.102),(30 9037.211),(31 9125.963),(32 8971.925),(33 8933.657),(34 8944.403),(35 8853.378),(36 8546.762),(37 8446.107),(38 8419.576),(39 8405.128),(40 8188.619),(41 8053.4194),(42 8064.5493),(43 8011.446),(44 8048.356),(45 8126.6387),(46 8272.658),(47 8570.451),(48 8739.803),(49 8829.54),(50 8779.049),(51 8889.35),(52 8941.3955),(53 8843.173),(54 8998.524),(55 9097.279),(56 9223.823),(57 9308.727),(58 9276.837),(59 9302.801),(60 9302.605),(61 9268.343),(62 9172.041),(63 9180.302),(64 9415.569),(65 9423.66),(66 9430.543),(67 9379.477),(68 9285.978),(69 9228.771),(70 8995.075),(71 8956.642),(72 8957.291),(73 8894.442),(74 9071.118),(75 9115.966),(76 9095.265),(77 8961.437),(78 8930.247),(79 9082.355),
(1 3354.9617),(2 5998.167),(3 6441.6387),(4 6739.887),(5 6809.5933),(6 6996.7446),(7 7202.383),(8 7593.8955),(9 7777.225),(10 7989.3423),(11 8371.0205),(12 8603.016),(13 8701.261),(14 8764.453),(15 8895.285),(16 9134.362),(17 9421.879),(18 9578.593),(19 9555.673),(20 9373.041),(21 9273.504),(22 9345.695),(23 9546.676),(24 9580.53),(25 9418.403),(26 9118.204),(27 8894.917),(28 8848.554),(29 8875.57),(30 8744.544),(31 8601.294),(32 8551.223),(33 8528.974),(34 8485.294),(35 8422.149),(36 8221.301),(37 8127.97),(38 8183.211),(39 8198.218),(40 8072.4053),(41 8086.16),(42 8127.2285),(43 8156.954),(44 8141.6147),(45 8028.8657),(46 8183.46),(47 8467.937),(48 8551.39),(49 8523.742),(50 8673.356),(51 8657.04),(52 8660.754),(53 8714.4795),(54 8829.753),(55 8935.68),(56 9204.097),(57 9181.283),(58 9217.844),(59 9363.169),(60 9300.649),(61 9223.986),(62 9097.177),(63 9089.531),(64 9227.484),(65 9243.918),(66 9346.845),(67 9236.77),(68 9270.232),(69 9169.53),(70 9066.92),(71 9103.679),(72 8967.709),(73 8846.476),(74 8901.21),(75 8962.088),(76 8955.897),(77 8887.665),(78 8922.771),(79 8918.477),
(1 3389.5752),(2 5986.4185),(3 6398.8555),(4 6725.7554),(5 6848.7827),(6 7079.715),(7 7272.9956),(8 7713.539),(9 7840.689),(10 7818.7207),(11 8150.5747),(12 8365.969),(13 8517.018),(14 8647.165),(15 8860.992),(16 9121.4375),(17 9307.459),(18 9336.077),(19 9367.648),(20 9317.437),(21 9186.035),(22 9136.411),(23 9116.849),(24 9018.237),(25 8803.485),(26 8703.301),(27 8514.305),(28 8658.696),(29 8488.298),(30 8427.766),(31 8503.269),(32 8367.337),(33 8325.428),(34 8221.06),(35 8101.99),(36 8077.419),(37 8229.867),(38 8272.948),(39 8218.805),(40 8023.904),(41 7980.5547),(42 7986.921),(43 8010.1626),(44 8069.474),(45 8039.4204),(46 8124.4126),(47 8273.206),(48 8450.551),(49 8447.533),(50 8548.099),(51 8609.024),(52 8599.188),(53 8714.99),(54 8774.635),(55 8790.824),(56 8905.182),(57 8722.571),(58 8650.4),(59 8639.52),(60 8590.367),(61 8616.143),(62 8462.643),(63 8537.803),(64 8546.997),(65 8464.282),(66 8330.135),(67 8378.537),(68 8387.34),(69 8397.862),(70 8542.124),(71 8534.858),(72 8386.626),(73 8437.755),(74 8516.253),(75 8510.673),(76 8385.969),(77 8386.707),(78 8370.491),(79 8281.338),
(1 3247.8745),(2 5571.78),(3 5937.666),(4 6315.012),(5 6314.6543),(6 6495.6353),(7 6903.7676),(8 7170.6514),(9 7380.106),(10 7515.3857),(11 7816.4614),(12 8077.9893),(13 8372.009),(14 8548.143),(15 8715.57),(16 8877.282),(17 9081.662),(18 9129.702),(19 9006.489),(20 8914.262),(21 8924.222),(22 8970.96),(23 8929.936),(24 8666.109),(25 8521.763),(26 8330.086),(27 8200.928),(28 8267.516),(29 8060.156),(30 7969.3125),(31 7883.6826),(32 7822.811),(33 7675.5786),(34 7608.693),(35 7610.1025),(36 7554.546),(37 7590.5625),(38 7579.544),(39 7589.837),(40 7525.016),(41 7572.3354),(42 7774.017),(43 7705.2866),(44 7641.7974),(45 7613.8916),(46 7743.561),(47 7880.5635),(48 8058.8057),(49 7987.4727),(50 8013.14),(51 8070.826),(52 8122.7373),(53 8159.5894),(54 8255.057),(55 8301.233),(56 8397.592),(57 8422.323),(58 8429.312),(59 8475.204),(60 8470.309),(61 8489.549),(62 8525.728),(63 8587.963),(64 8475.645),(65 8382.814),(66 8315.085),(67 8396.494),(68 8439.396),(69 8378.842),(70 8386.331),(71 8327.537),(72 8408.911),(73 8456.439),(74 8288.105),(75 8255.022),(76 8234.33),(77 8318.213),(78 8322.93),(79 8289.971),
(1 3187.9873),(2 5538.98),(3 5843.795),(4 6185.3794),(5 6272.31),(6 6449.027),(7 6728.72),(8 6979.2505),(9 7131.861),(10 7250.857),(11 7649.18),(12 7837.9463),(13 8084.987),(14 8226.402),(15 8383.823),(16 8394.987),(17 8607.543),(18 8752.527),(19 8604.918),(20 8562.723),(21 8586.837),(22 8676.322),(23 8828.265),(24 8750.136),(25 8613.339),(26 8382.693),(27 8338.477),(28 8402.626),(29 8374.97),(30 8351.633),(31 8211.995),(32 8088.8496),(33 7995.356),(34 7902.2905),(35 7778.5576),(36 7676.242),(37 7643.7637),(38 7530.196),(39 7509.8354),(40 7524.314),(41 7626.4385),(42 7582.18),(43 7547.316),(44 7655.44),(45 7574.113),(46 7634.2456),(47 7882.381),(48 8114.285),(49 7960.825),(50 7894.429),(51 7941.7183),(52 7920.573),(53 8067.978),(54 8039.568),(55 8079.6553),(56 8113.228),(57 8052.2397),(58 8230.45),(59 8235.3),(60 8088.6245),(61 8218.664),(62 8367.291),(63 8435.315),(64 8359.086),(65 8319.854),(66 8274.063),(67 8306.533),(68 8209.659),(69 8155.5933),(70 8275.11),(71 8187.9063),(72 8149.418),(73 8129.959),(74 8035.8843),(75 8151.352),(76 8061.6094),(77 8094.148),(78 8256.049),(79 8300.032),
(1 3121.7903),(2 5351.081),(3 5772.5923),(4 6155.685),(5 6136.8794),(6 6254.4824),(7 6565.4263),(8 6857.998),(9 7016.4004),(10 7217.2466),(11 7534.3027),(12 7689.694),(13 7854.9487),(14 7969.7847),(15 8132.2114),(16 8358.577),(17 8491.627),(18 8567.88),(19 8458.879),(20 8325.1875),(21 8288.12),(22 8391.122),(23 8534.145),(24 8607.695),(25 8435.78),(26 8163.6523),(27 8045.5063),(28 7966.459),(29 7911.2583),(30 7834.998),(31 7669.45),(32 7686.881),(33 7706.375),(34 7580.203),(35 7398.6445),(36 7262.018),(37 7341.579),(38 7432.81),(39 7297.1743),(40 7221.346),(41 7268.309),(42 7284.72),(43 7325.652),(44 7424.774),(45 7483.3696),(46 7591.4507),(47 7697.219),(48 7959.0947),(49 8082.1284),(50 7947.3022),(51 8029.0503),(52 8040.454),(53 8111.5845),(54 8120.127),(55 8125.3994),(56 8229.912),(57 8300.353),(58 8322.016),(59 8255.243),(60 8259.033),(61 8170.5684),(62 8253.2705),(63 8320.448),(64 8196.899),(65 8223.243),(66 8252.756),(67 8253.161),(68 8373.947),(69 8402.606),(70 8347.214),(71 8228.074),(72 8145.9663),(73 8089.4497),(74 8164.9634),(75 8165.7373),(76 8221.051),(77 8246.848),(78 8189.994),(79 8152.9873),
(1 3040.3462),(2 5229.4175),(3 5656.0327),(4 5893.9478),(5 5924.2036),(6 6097.523),(7 6469.1953),(8 6826.4155),(9 7090.037),(10 7252.7583),(11 7533.923),(12 7662.543),(13 7821.4043),(14 7940.753),(15 8077.7915),(16 8285.8),(17 8444.389),(18 8476.004),(19 8419.711),(20 8325.991),(21 8326.333),(22 8477.652),(23 8475.943),(24 8358.631),(25 8195.159),(26 7995.27),(27 7852.745),(28 7945.1665),(29 7774.4224),(30 7624.878),(31 7562.679),(32 7572.6777),(33 7602.225),(34 7602.829),(35 7443.9614),(36 7337.3994),(37 7285.8413),(38 7201.4414),(39 7163.217),(40 7119.276),(41 7177.6997),(42 7305.358),(43 7219.481),(44 7284.052),(45 7520.3574),(46 7632.008),(47 7674.477),(48 7741.4043),(49 7687.141),(50 7751.042),(51 7819.4863),(52 7903.7813),(53 7957.806),(54 7945.34),(55 8039.982),(56 8042.6924),(57 8199.414),(58 8289.248),(59 8285.707),(60 8192.047),(61 8144.8076),(62 8300.926),(63 8129.759),(64 8018.978),(65 8081.2124),(66 8137.9326),(67 8149.152),(68 8180.404),(69 8241.795),(70 8141.3105),(71 8144.815),(72 8156.2813),(73 8069.55),(74 7960.3164),(75 7924.3286),(76 7951.836),(77 7927.405),(78 7949.776),(79 7950.772),
(1 2962.801),(2 5085.7446),(3 5403.0903),(4 5548.9453),(5 5644.29),(6 5920.9355),(7 6332.1924),(8 6604.2905),(9 6742.1772),(10 6892.033),(11 7210.368),(12 7436.2515),(13 7624.326),(14 7732.166),(15 7927.813),(16 8037.7813),(17 8179.403),(18 8223.973),(19 8123.866),(20 8061.098),(21 8022.7964),(22 8054.1885),(23 8088.4634),(24 8048.616),(25 7888.3936),(26 7790.9546),(27 7918.1914),(28 7877.513),(29 7785.1216),(30 7639.577),(31 7504.3057),(32 7467.002),(33 7367.6396),(34 7216.9443),(35 7071.3433),(36 7022.9834),(37 7076.716),(38 6991.4707),(39 6974.711),(40 6968.826),(41 7014.133),(42 6896.183),(43 6954.2964),(44 7105.72),(45 7276.0615),(46 7227.302),(47 7280.1216),(48 7246.6094),(49 7209.7095),(50 7275.401),(51 7320.904),(52 7415.6655),(53 7379.8887),(54 7417.3555),(55 7447.838),(56 7452.5444),(57 7710.748),(58 7688.7666),(59 7718.615),(60 7626.353),(61 7764.0605),(62 7789.8145),(63 7753.157),(64 7809.1763),(65 7833.4756),(66 7741.1743),(67 7548.234),(68 7514.705),(69 7531.5728),(70 7531.57),(71 7456.2314),(72 7423),(73 7451.149),(74 7448.1836),(75 7459.051),(76 7374.6035),(77 7356.769),(78 7465.5156),(79 7395.567),
(1 2882.4158),(2 4852.534),(3 5140.2354),(4 5373.611),(5 5459.362),(6 5663.8687),(7 6034.658),(8 6324.212),(9 6315.747),(10 6514.745),(11 6728.2476),(12 6969.8506),(13 7238.8267),(14 7184.077),(15 7349.1265),(16 7598.747),(17 7798.515),(18 7828.477),(19 7689.901),(20 7615.3774),(21 7668.248),(22 7710.2056),(23 7648.202),(24 7548.116),(25 7525.1343),(26 7605.9893),(27 7678.255),(28 7572.8315),(29 7285.19),(30 7199.9883),(31 7175.8315),(32 7235.643),(33 7179.6387),(34 7088.816),(35 6880.378),(36 6747.3677),(37 6823.0547),(38 6819.966),(39 6939.9155),(40 6928.8047),(41 6938.054),(42 6956.6353),(43 7051.303),(44 7115.2744),(45 7272.2534),(46 7254.61),(47 7288.851),(48 7373.8384),(49 7398.6777),(50 7321.7407),(51 7294.8037),(52 7301.01),(53 7411.9805),(54 7495.7197),(55 7441.6978),(56 7510.1797),(57 7613.1333),(58 7485.85),(59 7504.854),(60 7443.9736),(61 7485.7754),(62 7455.246),(63 7407.145),(64 7443.2563),(65 7339.595),(66 7340.9365),(67 7356.4355),(68 7304.1978),(69 7300.289),(70 7278.79),(71 7297.998),(72 7264.468),(73 7327.098),(74 7294.9775),(75 7330.145),(76 7310.3247),(77 7357.8755),(78 7336.346),(79 7310.519),
(1 2819.2253),(2 4785.783),(3 5110.12),(4 5353.253),(5 5572.1836),(6 5768.246),(7 6042.2026),(8 6313.9854),(9 6469.495),(10 6614.919),(11 6900.499),(12 7138.206),(13 7224.1104),(14 7177.962),(15 7274.2827),(16 7440.725),(17 7603.1333),(18 7749.4814),(19 7714.8193),(20 7614.7256),(21 7552.9683),(22 7517.2495),(23 7533.3667),(24 7434.403),(25 7420.7534),(26 7356.6577),(27 7326.5576),(28 7304.3193),(29 7138.3203),(30 7010.1763),(31 7061.0386),(32 7145.4077),(33 7029.4814),(34 6959.12),(35 6851.726),(36 6691.411),(37 6599.8057),(38 6585.473),(39 6692.86),(40 6629.575),(41 6562.122),(42 6622.728),(43 6636.4897),(44 6655.5723),(45 6748.415),(46 6841.5537),(47 7015.4404),(48 6985.4717),(49 6993.548),(50 7175.7764),(51 7193.7446),(52 7235.8887),(53 7284.835),(54 7406.622),(55 7425.805),(56 7534.949),(57 7583.199),(58 7510.337),(59 7526.5654),(60 7397.9023),(61 7385.168),(62 7311.089),(63 7337.3813),(64 7339.9795),(65 7278.8867),(66 7330.2715),(67 7365.4063),(68 7328.896),(69 7278.6875),(70 7333.884),(71 7383.461),(72 7297.842),(73 7283.28),(74 7242.1675),(75 7252.5303),(76 7354.1816),(77 7448.802),(78 7319.2476),(79 7291.9526),
(1 2792.988),(2 4611.6553),(3 4818.0435),(4 5026.583),(5 5088.5396),(6 5314.504),(7 5677.188),(8 5993.0283),(9 5998.249),(10 6149.086),(11 6353.0054),(12 6673.5454),(13 6787.471),(14 6826.9355),(15 6902.262),(16 7042.365),(17 7150.4663),(18 7192.0493),(19 7114.845),(20 7049.4697),(21 6994.3164),(22 7091.8745),(23 7111.1255),(24 7188.385),(25 6972.414),(26 6855.664),(27 6911.404),(28 6758.7285),(29 6722.2686),(30 6622.1597),(31 6555.821),(32 6557.035),(33 6465.148),(34 6332.815),(35 6186.5205),(36 6238.4565),(37 6255.932),(38 6209.363),(39 6266.0796),(40 6287.2783),(41 6273.389),(42 6351.244),(43 6416.061),(44 6528.3594),(45 6440.1045),(46 6456.447),(47 6578.8135),(48 6636.565),(49 6639.652),(50 6732.1655),(51 6814.5273),(52 6834.6265),(53 6901.6953),(54 6898.614),(55 6917.2876),(56 7002.536),(57 6958.2866),(58 6998.224),(59 7102.993),(60 7105.6133),(61 7069.8755),(62 6994.3013),(63 6949.5596),(64 6967.103),(65 6875.076),(66 6878.271),(67 6945.98),(68 6917.197),(69 6927.127),(70 6958.944),(71 6882.044),(72 6885.3584),(73 7017.193),(74 6973.291),(75 6956.8374),(76 7064.445),(77 7146.6006),(78 7038.814),(79 7058.6875),
