1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 32168.723),(2 80957.164),(3 123329.125),(4 154382.36),(5 175390.94),(6 187886.58),(7 192745.47),(8 198968.66),(9 208303.4),(10 217908.47),(11 225560.69),(12 230990.22),(13 231598.33),(14 228690.84),(15 228074.97),(16 232020),(17 235446.52),(18 235684.8),(19 239409.4),(20 245874.3),(21 247428.8),(22 245229.56),(23 244644.3),(24 248662.08),(25 250974.14),(26 251808.97),(27 255946.03),(28 258869.44),(29 260779.19),(30 263942.06),(31 269530.28),(32 276369.3),(33 279403.3),(34 284467.25),(35 287508.53),(36 285394.66),(37 279657),(38 277057.5),(39 275034.06),(40 276486),(41 279842.8),(42 283404.88),(43 285105.16),(44 285304.03),(45 284919.56),(46 288336.34),(47 292212.84),(48 292736),(49 293799.2),(50 296891.75),(51 296938.66),(52 294324.47),(53 292974.1),(54 291029.16),(55 288413.25),(56 288358.4),(57 290805.84),(58 296328.53),(59 299813.25),(60 294900.22),(61 294617.25),(62 295570),(63 298433.34),(64 303146.4),(65 306466.28),(66 305387.56),(67 300851.72),(68 299256.6),(69 301181.8),(70 302836.03),(71 304975.8),(72 306051.72),(73 307512),(74 309290.88),(75 309921.28),(76 309409.06),(77 310192.5),(78 314513.2),(79 315860.25),
(1 33478.633),(2 82430.11),(3 125273.68),(4 157546.77),(5 179429.44),(6 193476.48),(7 203478.06),(8 214521.28),(9 223000.72),(10 227724.84),(11 231666.16),(12 232513.36),(13 230832.33),(14 229245.06),(15 231827.28),(16 239753.95),(17 246529.8),(18 250023.31),(19 253647.4),(20 254576.73),(21 247991.61),(22 239425.23),(23 237215.89),(24 237959.02),(25 239601.86),(26 242752.89),(27 245319.17),(28 243481.33),(29 242322.23),(30 244621.7),(31 249198.48),(32 253334.84),(33 260332.1),(34 266590.75),(35 268584.63),(36 266277.66),(37 262908.47),(38 262388.47),(39 260055.16),(40 259150.83),(41 258727.45),(42 260554.69),(43 260757.47),(44 262969.6),(45 268256.2),(46 275241.06),(47 282489),(48 288396.56),(49 290602.16),(50 289748.22),(51 288699.9),(52 289985.44),(53 293569.47),(54 296995.2),(55 300879.1),(56 303048.66),(57 303426.22),(58 303512.1),(59 303669.34),(60 298372.38),(61 298558.03),(62 300287.6),(63 300323.06),(64 299111.28),(65 298358.53),(66 296670.66),(67 297026.75),(68 299286.4),(69 302682.47),(70 306778.8),(71 309459.16),(72 309402.3),(73 306206.13),(74 300440.8),(75 297301.25),(76 298419.8),(77 301343.06),(78 306942.3),(79 309701.75),
(1 31168.816),(2 77869.04),(3 118971.14),(4 150520.28),(5 172454),(6 187028.52),(7 196314.03),(8 204425.13),(9 211882.77),(10 218514.33),(11 222272.22),(12 223182.72),(13 222927.03),(14 224607.92),(15 229683.6),(16 235085.45),(17 237892.81),(18 240208.08),(19 244330.86),(20 244534.64),(21 240148.73),(22 237875.1),(23 239309.83),(24 242837.64),(25 245885.23),(26 245104.88),(27 240988.33),(28 235256.38),(29 234187.77),(30 235518.81),(31 235054.55),(32 237192.23),(33 241102.92),(34 243681.19),(35 244024.13),(36 243997.13),(37 247270.1),(38 252380.88),(39 251793.1),(40 254653.86),(41 255566.31),(42 253415.92),(43 252125.9),(44 252576.86),(45 254650.67),(46 256845.77),(47 258249.31),(48 259457.23),(49 258664.14),(50 257048.92),(51 255839.28),(52 258198.28),(53 261703.28),(54 265492.63),(55 267862.84),(56 265929.97),(57 264793.16),(58 266111.34),(59 266478.22),(60 265494.7),(61 264432.25),(62 264274.47),(63 264146.28),(64 264144.66),(65 264747.72),(66 268570.44),(67 272252.03),(68 276530.25),(69 280375.34),(70 279714),(71 279967.94),(72 281826.4),(73 284353.72),(74 285392.56),(75 285440.63),(76 284122.03),(77 282343.06),(78 278459.25),(79 274665.84),
(1 30289.355),(2 74331.26),(3 111821.02),(4 140982.94),(5 162662.45),(6 175444.77),(7 183646.64),(8 193108.84),(9 201656.67),(10 207312.44),(11 210136.25),(12 209493.56),(13 208140.52),(14 209409.67),(15 213279.73),(16 219449.1),(17 220581.14),(18 224125.67),(19 227485.53),(20 227501.61),(21 225336.22),(22 225666.56),(23 228317.28),(24 230267.48),(25 234821.5),(26 239505.97),(27 239299.1),(28 238420.5),(29 241759.86),(30 244861.19),(31 247199.56),(32 252352.77),(33 253760.34),(34 249909.02),(35 244665.28),(36 243131.16),(37 243709.48),(38 246073.92),(39 246061.48),(40 247398.81),(41 246109.44),(42 246044.69),(43 247615.2),(44 249099.19),(45 250643.66),(46 252727.4),(47 251353.28),(48 247194.39),(49 242329.4),(50 243379.45),(51 247035.7),(52 249834.39),(53 255100.47),(54 257249.28),(55 255739.75),(56 251177.38),(57 249537.66),(58 251269.97),(59 257044.77),(60 258003.31),(61 260985.45),(62 262132.97),(63 261986.3),(64 262900.9),(65 265432.4),(66 268489.88),(67 270851.34),(68 272856.7),(69 269883.28),(70 266309.72),(71 266370.53),(72 266954.88),(73 268385.03),(74 271351.13),(75 273765.2),(76 273884.63),(77 271575.84),(78 268373.06),(79 266529.34),
(1 28238.135),(2 69026.42),(3 103335.86),(4 128477.54),(5 145875.98),(6 156269.94),(7 163430.69),(8 172785.4),(9 181882.02),(10 189527.4),(11 193926.77),(12 193309.08),(13 193301.7),(14 196257.38),(15 200268.6),(16 203561.16),(17 203237.38),(18 205249.42),(19 207183.03),(20 206253.36),(21 205554.2),(22 206549.89),(23 207495.81),(24 206362.38),(25 205543.27),(26 204543.95),(27 203648.55),(28 203560.73),(29 205671.5),(30 208420.98),(31 209565.52),(32 211092.63),(33 211397.98),(34 209940.58),(35 209204.97),(36 209604.11),(37 208842.88),(38 209953.63),(39 211548.44),(40 212452.98),(41 212461.86),(42 212375.4),(43 215817.02),(44 220145.95),(45 224863.27),(46 229153.84),(47 230534.69),(48 229152.5),(49 229536.39),(50 232603.36),(51 234600.69),(52 237553.56),(53 240580.11),(54 241475.36),(55 239676.48),(56 236378.88),(57 233004.38),(58 231816.38),(59 233656.92),(60 236268.5),(61 237949.06),(62 239390.3),(63 240542.34),(64 242635.06),(65 244201.2),(66 247394.6),(67 248337.11),(68 246746.02),(69 242811.4),(70 245464.88),(71 250506.64),(72 254632.64),(73 255049.47),(74 253641.9),(75 251173.17),(76 249018),(77 246134),(78 244381.03),(79 247621.89),
(1 26541.746),(2 65433.23),(3 97362.93),(4 119235.07),(5 131720.92),(6 136228.36),(7 139442.17),(8 146662.36),(9 156218.67),(10 165595.19),(11 171159.17),(12 169772.5),(13 168122.22),(14 169940.05),(15 175069),(16 178244.97),(17 181997.33),(18 187197.47),(19 190096.13),(20 189413.42),(21 187571.22),(22 186240.13),(23 187350.45),(24 189580.72),(25 190851.77),(26 189881.31),(27 187946.42),(28 189487),(29 192427.17),(30 196459.89),(31 200875.42),(32 206562.42),(33 207850.64),(34 205835.45),(35 204002.45),(36 203499.9),(37 203494.95),(38 204178.72),(39 203984.1),(40 203867.4),(41 204640.53),(42 210638.72),(43 215205.58),(44 217503.47),(45 219901.45),(46 221491.55),(47 220945.14),(48 220511.28),(49 220813.63),(50 223064.45),(51 222940),(52 222366.4),(53 221772.88),(54 220477.38),(55 218137.67),(56 217016.47),(57 217306.22),(58 218756.14),(59 222107.81),(60 222862.97),(61 224459.03),(62 225124.19),(63 222895),(64 221690.1),(65 222714),(66 225532.64),(67 228712.05),(68 231046.33),(69 230311.23),(70 229163.19),(71 228183.36),(72 227980.05),(73 228038.77),(74 226950.58),(75 225818.47),(76 225514.22),(77 225259.33),(78 225425.28),(79 228214.83),
(1 25703.232),(2 63298.03),(3 93870.76),(4 115325.34),(5 128860.234),(6 134862.3),(7 142363.78),(8 153689.28),(9 163590.36),(10 169045.33),(11 170249.08),(12 169680.47),(13 169811.94),(14 171496.44),(15 173376.52),(16 178150.13),(17 182902.78),(18 188933.2),(19 190046.5),(20 187179.94),(21 183926.95),(22 182958.34),(23 186953.31),(24 191032.98),(25 192962.08),(26 191942.6),(27 190960),(28 193165.83),(29 198223.11),(30 204539.7),(31 208972.56),(32 208079.53),(33 206267.16),(34 205324.3),(35 204909.27),(36 205736.38),(37 207443.63),(38 208802.6),(39 209109.03),(40 208971.28),(41 209621.6),(42 210966.53),(43 211919.92),(44 213829.28),(45 215542),(46 215302.2),(47 214147.83),(48 212613.66),(49 212750.72),(50 217865.69),(51 219003.64),(52 219194.23),(53 219078.4),(54 218579.39),(55 217420.34),(56 218288.67),(57 218038.6),(58 216875.69),(59 219700.5),(60 222143.4),(61 224694.44),(62 225641.02),(63 225410.48),(64 226361.14),(65 226006.95),(66 223150.13),(67 221590.13),(68 223369.39),(69 227652.47),(70 229493.33),(71 229108.89),(72 228706.77),(73 229992.42),(74 231681.92),(75 231740.61),(76 231393.69),(77 231479.72),(78 233848.19),(79 237897.11),
(1 26537.498),(2 64261.19),(3 94398.336),(4 115837.195),(5 130312.31),(6 141374.63),(7 152213.02),(8 163396.7),(9 172584.67),(10 179213.38),(11 181793.84),(12 184104.33),(13 187168.23),(14 191353.1),(15 195395.94),(16 197542.02),(17 199911.81),(18 203044.34),(19 203293.4),(20 202567.08),(21 202286.64),(22 201055.08),(23 207390.64),(24 211984.97),(25 214918.19),(26 216731.72),(27 216919.02),(28 216131.67),(29 216528.69),(30 218057.38),(31 220004.6),(32 220952.02),(33 220885.36),(34 219136.72),(35 215986.55),(36 214582.39),(37 215797.94),(38 216115.75),(39 214744.33),(40 216125.16),(41 216328.38),(42 216831.8),(43 219018.44),(44 220244.2),(45 218601.89),(46 216180.44),(47 213196.2),(48 211227.42),(49 209886.19),(50 211347.06),(51 214261.81),(52 217321.98),(53 218837.28),(54 219046.33),(55 218089.13),(56 217061.16),(57 216958.14),(58 216859.02),(59 215366.94),(60 217574.34),(61 216758.48),(62 215967.33),(63 215470.02),(64 215302.89),(65 216323.45),(66 217272.28),(67 219427.28),(68 224440.53),(69 225900.45),(70 225739.63),(71 224829.98),(72 222473.27),(73 222576.16),(74 224358.94),(75 227062.02),(76 228226.72),(77 230107.55),(78 231411.61),(79 231646.67),
(1 26922.736),(2 64774.64),(3 95291.6),(4 116336.83),(5 129253.516),(6 138664.67),(7 146311.4),(8 156940.16),(9 166629.16),(10 172603.11),(11 174449.64),(12 173680.39),(13 173785.81),(14 175599.17),(15 178291.84),(16 180856.27),(17 183869.2),(18 185222.8),(19 184221.77),(20 182947.77),(21 182819.25),(22 185527.55),(23 189339.25),(24 191210.53),(25 190308.58),(26 189962.28),(27 190228.97),(28 192450.27),(29 194961.38),(30 197203.2),(31 199107.3),(32 201789.94),(33 202870.88),(34 201568.98),(35 199410.19),(36 198757.78),(37 199704.52),(38 200382.95),(39 200089.94),(40 199532.16),(41 198742.64),(42 200947.94),(43 203332.02),(44 205264.02),(45 206255.38),(46 204199.19),(47 202739.6),(48 203280.98),(49 202782.5),(50 200866.1),(51 199635.88),(52 198782.9),(53 198971.6),(54 200462.7),(55 200618.28),(56 202062.75),(57 205303.61),(58 206683.39),(59 207572.56),(60 211290.98),(61 212999.72),(62 211752.67),(63 209948.64),(64 208513.38),(65 208774.27),(66 209912.13),(67 209977.5),(68 209474),(69 206947.53),(70 206355.1),(71 204185.03),(72 202205.25),(73 200927.2),(74 198797.2),(75 196682.4),(76 195865.84),(77 198069.19),(78 201353.44),(79 202468),
(1 26208.19),(2 62955.863),(3 91863.19),(4 112406.22),(5 126098.414),(6 135453.83),(7 144863.14),(8 157287.78),(9 164947.4),(10 168101.13),(11 168668.72),(12 168760.3),(13 172533.39),(14 178556),(15 182622.55),(16 186696.27),(17 192125.38),(18 194348.1),(19 194160.8),(20 193083.1),(21 191240.88),(22 190860.7),(23 191890.02),(24 190158.3),(25 187982.84),(26 186209.95),(27 183893.83),(28 185086.89),(29 187724.16),(30 190912.1),(31 192964.73),(32 194338.88),(33 194443.55),(34 193244.13),(35 191911.88),(36 190880.95),(37 189700.22),(38 188171.2),(39 187657.66),(40 185760.94),(41 185528.1),(42 189347.4),(43 190889.11),(44 192970.78),(45 196806.33),(46 198566.33),(47 197856.6),(48 197717.78),(49 196964.28),(50 196263.45),(51 196021.88),(52 195755.4),(53 195619.23),(54 196118.7),(55 198424.56),(56 201075.98),(57 201539.28),(58 201175.84),(59 202905.33),(60 203366.44),(61 203572.83),(62 204961.95),(63 202338.06),(64 199390.63),(65 198805.13),(66 200812.73),(67 201424.02),(68 202215.34),(69 204882.17),(70 204839.7),(71 206766.44),(72 208887.23),(73 209608.55),(74 208104.5),(75 204413.66),(76 202237),(77 202875.77),(78 204937.3),(79 206732.98),
(1 26950.7),(2 64221.26),(3 95300.83),(4 116452.766),(5 128692.97),(6 136486.38),(7 144611.08),(8 155743.38),(9 164645.77),(10 169737.39),(11 172602.2),(12 173955.34),(13 176137.8),(14 178024.9),(15 180190.38),(16 181995.31),(17 182178),(18 180042.4),(19 178529.47),(20 177851.17),(21 177740.02),(22 178519.95),(23 178984.4),(24 177713.94),(25 176210.31),(26 174728.44),(27 173967.08),(28 175791.2),(29 177617.69),(30 177488.78),(31 178122.38),(32 181124.66),(33 183689.44),(34 184563.95),(35 184639.39),(36 183215.39),(37 181714.97),(38 180924.97),(39 181274.28),(40 182686.86),(41 183866.53),(42 183998.69),(43 185062.02),(44 186153.64),(45 187745.95),(46 190351.72),(47 193873.77),(48 194186.92),(49 193382.95),(50 190042.14),(51 188018.77),(52 188087.17),(53 187416.3),(54 186012.3),(55 185317.16),(56 186707.2),(57 187494.11),(58 188268.73),(59 187951.94),(60 186436.83),(61 187952.89),(62 188179.03),(63 187361.56),(64 187603.64),(65 187913.98),(66 187496.14),(67 188372.77),(68 191121.77),(69 196070.53),(70 197826.6),(71 199993.72),(72 202784.4),(73 205185.4),(74 206448.17),(75 206848.6),(76 207672.3),(77 208597.23),(78 210011.2),(79 207533.31),
(1 24935.852),(2 61163.39),(3 90245.93),(4 108139.6),(5 118961.664),(6 125782.375),(7 134379.45),(8 144306.39),(9 153980.9),(10 162425.4),(11 168266.64),(12 171387.2),(13 174656.08),(14 177113.42),(15 179779.16),(16 181462.73),(17 183778.02),(18 183647.78),(19 183610.45),(20 185293.5),(21 186986.66),(22 186516.75),(23 183255.55),(24 179458.31),(25 177847.02),(26 177697.78),(27 179531.7),(28 181535.25),(29 183519.34),(30 184210.61),(31 184220.23),(32 184450.66),(33 184996),(34 185265.98),(35 184203.58),(36 183667.84),(37 183343.75),(38 182615.53),(39 182732.36),(40 185130.95),(41 187238.97),(42 187236.22),(43 187860.08),(44 187812.23),(45 187610.83),(46 190120.83),(47 192397.16),(48 193954.95),(49 194375.05),(50 192301.9),(51 188482.64),(52 187054.1),(53 187367.28),(54 187156.72),(55 187363.83),(56 187905.33),(57 188230.72),(58 189197.06),(59 189882.73),(60 190143.92),(61 187114.72),(62 184987.42),(63 184604),(64 182461.25),(65 178807.2),(66 176983.23),(67 177486.73),(68 180735.7),(69 185102.02),(70 187352.88),(71 188419.2),(72 187575.42),(73 187105.42),(74 186881.75),(75 186836.16),(76 189061.33),(77 191772.25),(78 191513.95),(79 188462.89),
(1 25058.969),(2 57714),(3 82847.56),(4 99935.66),(5 111723.08),(6 120133.08),(7 130103.125),(8 141661.86),(9 150337.42),(10 155981.69),(11 160192.33),(12 163773.2),(13 167322.38),(14 170929.94),(15 174790.2),(16 174748.67),(17 177437.69),(18 178622.02),(19 181090.4),(20 184116.34),(21 186351.69),(22 186596.69),(23 184237.47),(24 181442.92),(25 178864.89),(26 177213.05),(27 176879.27),(28 177042.27),(29 176768.53),(30 176846.88),(31 177017.67),(32 175821.2),(33 175394.66),(34 176029.22),(35 176925.52),(36 176199.63),(37 176652.02),(38 176474.39),(39 176679.39),(40 176344),(41 174638.05),(42 173590.8),(43 174643.94),(44 176580.67),(45 177478.05),(46 178765.28),(47 180973.06),(48 181805.75),(49 183077.34),(50 184657.28),(51 184170.58),(52 182249),(53 183836.52),(54 184337.06),(55 183994.81),(56 185124.08),(57 187303.11),(58 186669.67),(59 186664.16),(60 185695.81),(61 183378.19),(62 182607.11),(63 184515.89),(64 183924.78),(65 180379.66),(66 177747.53),(67 179521.27),(68 182870.02),(69 181458.92),(70 178639),(71 177085.45),(72 175548.48),(73 175680.53),(74 176959.8),(75 177674.98),(76 178293.84),(77 178685.72),(78 178949.38),(79 179361.33),
(1 23153.664),(2 54925.145),(3 81924.016),(4 101693.96),(5 113008.95),(6 120709.78),(7 128676),(8 137438.98),(9 145990.06),(10 153564.55),(11 158770.92),(12 162117.19),(13 164928.94),(14 166862.58),(15 168446.14),(16 170356.36),(17 171413.38),(18 172645.6),(19 172795.1),(20 172394.33),(21 171227.11),(22 169663.88),(23 168354.47),(24 166791.58),(25 165786.78),(26 166843.33),(27 168577.16),(28 170063.9),(29 170797.94),(30 169933.33),(31 169292.64),(32 169273.5),(33 168695.88),(34 167559.77),(35 165827.88),(36 163522.97),(37 163506.44),(38 165562.95),(39 166044.06),(40 167957.08),(41 169881.38),(42 171843.52),(43 172174.5),(44 172492.67),(45 173095.75),(46 174909.25),(47 177805.61),(48 178612.25),(49 178579.17),(50 178477.42),(51 176649.25),(52 174448.83),(53 172015.02),(54 171081.64),(55 172283.02),(56 173734.33),(57 173765.42),(58 171877.52),(59 170212.02),(60 171426.5),(61 172093.67),(62 171398.13),(63 169308.67),(64 166509.39),(65 165374.22),(66 165132.02),(67 167710.08),(68 171691.75),(69 173361.45),(70 173288.77),(71 172116.56),(72 171659.47),(73 172983.05),(74 175276.44),(75 177064.84),(76 177838.47),(77 178177.19),(78 178772.53),(79 179200.2),
(1 23601.89),(2 55798.94),(3 81993.01),(4 99067.06),(5 109961.96),(6 117416.05),(7 124150.3),(8 131937.28),(9 137657.14),(10 143088.88),(11 146622.88),(12 148548.53),(13 150204.64),(14 153056.75),(15 156514.95),(16 156736.55),(17 152685.23),(18 151158.75),(19 150192.75),(20 149683.4),(21 149133.45),(22 148608.06),(23 147779.72),(24 147191.8),(25 148067.03),(26 151158.69),(27 154771.31),(28 158599.39),(29 162868.69),(30 165760.72),(31 166910.98),(32 164325.8),(33 163352.98),(34 162986.98),(35 162181.28),(36 160788.44),(37 159254.47),(38 158229.05),(39 159513.95),(40 159862.64),(41 161451.27),(42 162081.94),(43 162138.98),(44 163513.55),(45 164432.77),(46 164621.42),(47 164213.48),(48 163187.64),(49 163503.66),(50 162677.83),(51 160850.75),(52 161687.8),(53 164882.08),(54 167614.38),(55 167887.88),(56 167018.16),(57 164779.11),(58 161930.13),(59 161602.94),(60 162142.31),(61 161667.42),(62 161589.7),(63 160384.17),(64 161434.89),(65 164014.31),(66 164482.53),(67 163269.03),(68 163337.8),(69 165776.52),(70 169738.84),(71 171103.83),(72 170300.17),(73 169660.88),(74 171528.13),(75 173959.84),(76 173503.55),(77 173545.19),(78 173102.95),(79 174073.5),
(1 21880.883),(2 50648.152),(3 73316.484),(4 87963.5),(5 97428.016),(6 106469.79),(7 114789.195),(8 122300.945),(9 127920.96),(10 132923.25),(11 136219.78),(12 138171.8),(13 139702.19),(14 142119.25),(15 143547.56),(16 144698.44),(17 143454.03),(18 142629.05),(19 142505.56),(20 144471.72),(21 147133.75),(22 146996.2),(23 146817.63),(24 144752.8),(25 143092.67),(26 143274.67),(27 145261.98),(28 145457.73),(29 145235.78),(30 146069.83),(31 146582.67),(32 146277.56),(33 147277.67),(34 146811.89),(35 144835.78),(36 145234.81),(37 147857.78),(38 150617.47),(39 151914.58),(40 152293.75),(41 152870.8),(42 153284.28),(43 154067.2),(44 154670.84),(45 154801.84),(46 155820.75),(47 157266.8),(48 157246.58),(49 159033.94),(50 160542.47),(51 160149.08),(52 158756.16),(53 157831.38),(54 157654.83),(55 159320.3),(56 162139.25),(57 162760.47),(58 161300),(59 161372.89),(60 160357.19),(61 160376.9),(62 160536.17),(63 159947.3),(64 159546.27),(65 160154.22),(66 159756.98),(67 158005.08),(68 157087.7),(69 159025.75),(70 160063.19),(71 159826.44),(72 159921.19),(73 160287.94),(74 159319.39),(75 158067.66),(76 158123.56),(77 158635.89),(78 158302.06),(79 158583.72),
(1 20709.955),(2 47820.902),(3 69271.7),(4 82911.42),(5 90951.586),(6 99500.44),(7 107447.23),(8 116062.72),(9 122662.875),(10 127039.32),(11 129250.31),(12 131579.47),(13 133831.9),(14 135877.97),(15 137162.02),(16 137904.23),(17 137365.3),(18 138485.45),(19 139864.11),(20 141708.83),(21 143800.52),(22 143638.27),(23 141136.2),(24 139582.36),(25 139982.48),(26 141644.84),(27 142074.95),(28 142444.22),(29 142388.55),(30 143328.1),(31 145060.69),(32 145129.19),(33 144951.98),(34 144331.36),(35 142521.42),(36 142565.06),(37 143019.88),(38 144100.75),(39 144565.22),(40 145110.13),(41 147546.08),(42 150938.9),(43 152622.14),(44 153499.81),(45 154264.45),(46 156252.42),(47 157166.44),(48 155631.83),(49 155453.64),(50 155688.55),(51 154960.17),(52 155635.36),(53 156901.88),(54 157742.86),(55 159134.11),(56 159910.75),(57 159248.14),(58 159381.3),(59 159407.92),(60 161150.2),(61 160816.13),(62 162202.36),(63 163438.44),(64 164158.39),(65 164280.83),(66 164010.66),(67 162983.02),(68 161602.4),(69 161892.6),(70 162764.45),(71 163595.22),(72 163286.64),(73 163137.17),(74 162429.06),(75 161237.44),(76 159088.45),(77 156850.61),(78 154218.42),(79 154146.25),
(1 21137.64),(2 48526.51),(3 69649.49),(4 81865.46),(5 88985.98),(6 96614.4),(7 103657.42),(8 111446.78),(9 117004.96),(10 120642.9),(11 122388.58),(12 123849.266),(13 126678.6),(14 130534.03),(15 135105.53),(16 136282.33),(17 134017.66),(18 135224.45),(19 137187.05),(20 138540.4),(21 138642.16),(22 136408.83),(23 133415.6),(24 131409.56),(25 130715.695),(26 130630.12),(27 130641.42),(28 131369.08),(29 132796.5),(30 134074.95),(31 135024.42),(32 137103.84),(33 139718.94),(34 141762.34),(35 142843.56),(36 141655.55),(37 140875.42),(38 142251.02),(39 142385.05),(40 142915.9),(41 144731.47),(42 145355.83),(43 147458.23),(44 148661.81),(45 148575.94),(46 149576.94),(47 150263.95),(48 150825.25),(49 151927.42),(50 154066.39),(51 155817.1),(52 158460.28),(53 160595.83),(54 161257.53),(55 160153.44),(56 158874.5),(57 159183.58),(58 160586.23),(59 161224.23),(60 162012.61),(61 163590.02),(62 163854.25),(63 162194.47),(64 161647.63),(65 161450.52),(66 162049.6),(67 162011.67),(68 160511.47),(69 160811.31),(70 162390.88),(71 163188.5),(72 163193.4),(73 162822.02),(74 161813.53),(75 161513.25),(76 158955.9),(77 154416.75),(78 152235.98),(79 151605.2),
(1 20570.03),(2 46569.98),(3 66238.23),(4 78938.75),(5 87339.43),(6 94470.07),(7 101259.69),(8 107684),(9 113571.42),(10 117362.086),(11 118757.15),(12 120184.945),(13 122503.75),(14 125257.97),(15 127360.805),(16 126987.53),(17 125069.52),(18 125048.28),(19 125829.79),(20 126545.96),(21 126876.97),(22 126214.26),(23 125395.59),(24 124850.27),(25 126564.15),(26 128740.55),(27 129727.63),(28 130294.9),(29 132181.92),(30 135282.34),(31 138148.22),(32 137377.02),(33 136497.66),(34 135838.28),(35 137227.61),(36 138785.88),(37 139370.84),(38 138353.78),(39 137934.88),(40 137628.55),(41 138951.44),(42 139299.95),(43 139791.27),(44 140792.77),(45 141303.23),(46 142301.23),(47 144042.08),(48 145989.22),(49 146365.88),(50 147283.81),(51 146921.56),(52 148007.5),(53 150413.55),(54 151727.75),(55 150777.83),(56 149607.48),(57 151252.52),(58 153181.63),(59 153766.64),(60 153841.66),(61 154717.8),(62 155456.53),(63 155342.25),(64 155261.67),(65 155391.03),(66 155474.53),(67 153899.94),(68 152974.81),(69 153783.94),(70 154159.47),(71 153497.4),(72 152431.58),(73 151649.25),(74 151357.6),(75 150337.5),(76 148237.88),(77 145702.94),(78 146801.88),(79 146302.83),
