1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 240154.88),(2 843499.2),(3 1807201.4),(4 3133311.3),(5 4828284.5),(6 6837523.5),(7 9176881),(8 11692921),(9 14324820),(10 17160056),(11 20094558),(12 23304374),(13 26798016),(14 30378970),(15 34208716),(16 38221084),(17 42519228),(18 46974652),(19 51480652),(20 56247680),(21 61338644),(22 66757700),(23 72346890),(24 78060490),(25 84158770),(26 90463400),(27 97177220),(28 103846856),(29 110639384),(30 117522750),(31 124648350),(32 132099976),(33 139405120),(34 146718060),(35 154131700),(36 161522900),(37 169041620),(38 176692050),(39 184402690),(40 191642900),(41 198405010),(42 204570180),(43 210976020),(44 217496560),(45 223575790),(46 229815220),(47 236220420),(48 242520530),(49 249053780),(50 255186740),(51 261113780),(52 266363760),(53 271003780),(54 275220740),(55 279177950),(56 283119000),(57 287159800),(58 291603780),(59 295425900),(60 299689500),(61 304770430),(62 310249280),(63 316686700),(64 323113300),(65 329295200),(66 335734400),(67 342989700),(68 350250900),(69 357385820),(70 364590240),(71 372402850),(72 380568930),(73 388796300),(74 397356830),(75 406345440),(76 415147800),(77 424426880),(78 434040200),(79 443838430),
(1 365081.94),(2 1408811.3),(3 3142874.8),(4 5515468),(5 8515614),(6 12033836),(7 16003853),(8 20298624),(9 24903888),(10 29870640),(11 35201000),(12 40942932),(13 47071656),(14 53364570),(15 59832692),(16 66401640),(17 72934510),(18 79429736),(19 86129656),(20 92931820),(21 99665360),(22 106012560),(23 112211700),(24 118282830),(25 124242410),(26 130201176),(27 136414620),(28 142575360),(29 148605470),(30 154533220),(31 160200880),(32 165336100),(33 170103840),(34 174698080),(35 179047400),(36 183062560),(37 187075980),(38 191064930),(39 195106530),(40 198801120),(41 202316540),(42 205602850),(43 209303740),(44 213394020),(45 217786200),(46 222555650),(47 227412600),(48 232208420),(49 237373390),(50 242325380),(51 247327400),(52 252070750),(53 256349870),(54 260517800),(55 265118080),(56 269752770),(57 274296960),(58 279033250),(59 283213900),(60 287092540),(61 291529280),(62 296177400),(63 301263800),(64 306406980),(65 311402940),(66 316367200),(67 321814460),(68 326846370),(69 332076600),(70 336993950),(71 341819680),(72 346996160),(73 351739360),(74 356963230),(75 362237760),(76 367039680),(77 371917900),(78 376643500),(79 381158080),
(1 411163.4),(2 1587386.5),(3 3504739.3),(4 6033182),(5 9080914),(6 12706436),(7 16726992),(8 21003478),(9 25503290),(10 30281778),(11 35158750),(12 40290636),(13 45541548),(14 50735652),(15 55988164),(16 61024384),(17 65793076),(18 70456170),(19 75183976),(20 79728376),(21 83941336),(22 87832680),(23 91409660),(24 94912380),(25 98511850),(26 102084540),(27 105854440),(28 109708170),(29 113539210),(30 117378310),(31 121319100),(32 124766270),(33 128039910),(34 131312536),(35 134211290),(36 136976370),(37 139821630),(38 142649680),(39 145405650),(40 147601940),(41 149500670),(42 151168290),(43 152645140),(44 154670770),(45 156644240),(46 158716880),(47 160653680),(48 162254990),(49 163744380),(50 164980140),(51 165891490),(52 166977230),(53 167989140),(54 168580340),(55 169117150),(56 169682450),(57 169757630),(58 169812770),(59 169535400),(60 169044980),(61 168689580),(62 168119280),(63 167606380),(64 166878380),(65 165786370),(66 164500200),(67 163031790),(68 161226030),(69 159182200),(70 156949520),(71 154529040),(72 152232130),(73 149977780),(74 148158980),(75 146483410),(76 144794500),(77 143164260),(78 141768430),(79 140607150),
(1 427372.38),(2 1671714.1),(3 3670859.3),(4 6278807),(5 9463041),(6 13152711),(7 17162862),(8 21315892),(9 25650972),(10 30121642),(11 34590450),(12 39041030),(13 43458580),(14 47595924),(15 51496660),(16 55014570),(17 58120530),(18 61030270),(19 63856804),(20 66439360),(21 68592970),(22 70418810),(23 72105130),(24 73507304),(25 74826584),(26 75976720),(27 77061704),(28 78234664),(29 79288670),(30 80287336),(31 81469230),(32 82506500),(33 83666720),(34 84794140),(35 85739600),(36 86352296),(37 86909980),(38 87216140),(39 87200250),(40 86898980),(41 86173280),(42 85377940),(43 84343970),(44 83377500),(45 82118370),(46 80969740),(47 79665410),(48 78285610),(49 76839890),(50 75421510),(51 74111784),(52 72785410),(53 71569170),(54 70357090),(55 69255660),(56 68411380),(57 67749690),(58 67296930),(59 67158210),(60 67230460),(61 67479260),(62 67974060),(63 68458980),(64 68902080),(65 69362660),(66 69620664),(67 69736220),(68 69803630),(69 69728750),(70 69590240),(71 69590180),(72 69521450),(73 69519464),(74 69725230),(75 70033180),(76 70593960),(77 71189890),(78 71951330),(79 72725790),
(1 395709.9),(2 1517233.4),(3 3283672.8),(4 5564688),(5 8313946),(6 11456404),(7 14924288),(8 18516594),(9 22246328),(10 26049800),(11 29918936),(12 33728704),(13 37606212),(14 41252536),(15 44777570),(16 48138450),(17 51217820),(18 54107224),(19 56900800),(20 59452788),(21 61687910),(22 63631836),(23 65431540),(24 66983104),(25 68445650),(26 69739490),(27 71001704),(28 72337500),(29 73587470),(30 74798136),(31 75986580),(32 76955060),(33 77917150),(34 78881660),(35 79498184),(36 79929380),(37 80229320),(38 80288344),(39 80012730),(40 79537270),(41 78645016),(42 77685900),(43 76592340),(44 75394260),(45 74035020),(46 72721310),(47 71330024),(48 69799700),(49 68243540),(50 66775412),(51 65502660),(52 64323300),(53 63396748),(54 62742492),(55 62484740),(56 62677732),(57 63166800),(58 63987184),(59 64983876),(60 66186228),(61 67597650),(62 69274270),(63 70935384),(64 72626030),(65 74337290),(66 75933240),(67 77471280),(68 78927030),(69 80326450),(70 81660010),(71 83099180),(72 84453980),(73 85697440),(74 87105440),(75 88430240),(76 89659224),(77 90794850),(78 91752700),(79 92647390),
(1 308869.13),(2 1166109.8),(3 2481021.5),(4 4116654.5),(5 5980521),(6 8076890.5),(7 10308683),(8 12623123),(9 14960022),(10 17345142),(11 19788268),(12 22299690),(13 24844276),(14 27300000),(15 29846380),(16 32403600),(17 34927260),(18 37464960),(19 39994384),(20 42418490),(21 44686216),(22 46940796),(23 49075564),(24 51025256),(25 52922210),(26 54617624),(27 56264760),(28 57892256),(29 59459348),(30 60913140),(31 62214230),(32 63253900),(33 64149908),(34 64971372),(35 65423510),(36 65785704),(37 66125228),(38 66297384),(39 66235188),(40 66034250),(41 65661056),(42 65154010),(43 64471948),(44 63828532),(45 63072040),(46 62376390),(47 61659304),(48 60798964),(49 59892160),(50 58952052),(51 57974856),(52 57054732),(53 56150580),(54 55212296),(55 54216724),(56 53232010),(57 52208108),(58 51133976),(59 50080536),(60 49139332),(61 48342950),(62 47789370),(63 47351210),(64 47156070),(65 47169470),(66 47289204),(67 47685664),(68 48370996),(69 49351080),(70 50458580),(71 51732404),(72 53132704),(73 54438816),(74 55952812),(75 57546892),(76 59186840),(77 60898260),(78 62608972),(79 64291724),
(1 351332.66),(2 1309958),(3 2737546.3),(4 4445661),(5 6349786.5),(6 8359573.5),(7 10451838),(8 12545564),(9 14636453),(10 16702906),(11 18685670),(12 20594816),(13 22435522),(14 24064286),(15 25685386),(16 27204546),(17 28786302),(18 30354926),(19 31965812),(20 33525394),(21 35066390),(22 36560136),(23 37954716),(24 39287236),(25 40586852),(26 41762510),(27 42898940),(28 43950104),(29 44928084),(30 45799844),(31 46520124),(32 47134150),(33 47550172),(34 47862470),(35 48030612),(36 48121530),(37 48141184),(38 48152340),(39 48189524),(40 48235496),(41 48304504),(42 48403830),(43 48529304),(44 48720040),(45 48817690),(46 48910470),(47 48922690),(48 48877736),(49 48854236),(50 48781720),(51 48653390),(52 48492440),(53 48244580),(54 47885932),(55 47498120),(56 47132012),(57 46732584),(58 46423484),(59 46184624),(60 45928250),(61 45690908),(62 45539370),(63 45392470),(64 45291840),(65 45127908),(66 44871384),(67 44616810),(68 44293416),(69 43902456),(70 43490140),(71 43084670),(72 42626550),(73 42141130),(74 41735236),(75 41334884),(76 40857308),(77 40487910),(78 40191040),(79 39949770),
(1 282126.06),(2 1013769.4),(3 2088974.9),(4 3355744),(5 4761774),(6 6263806),(7 7802366),(8 9349445),(9 10869230),(10 12344304),(11 13717316),(12 15007333),(13 16303437),(14 17427322),(15 18554136),(16 19670070),(17 20880414),(18 22200722),(19 23632098),(20 25046168),(21 26390314),(22 27732970),(23 29071070),(24 30337950),(25 31491144),(26 32464828),(27 33396732),(28 34256970),(29 34940396),(30 35465092),(31 35871780),(32 36158708),(33 36286770),(34 36343708),(35 36445772),(36 36464376),(37 36481996),(38 36479068),(39 36390550),(40 36313176),(41 36262772),(42 36186564),(43 36046484),(44 35896984),(45 35723668),(46 35563588),(47 35469028),(48 35397284),(49 35293172),(50 35086970),(51 34881400),(52 34714490),(53 34486836),(54 34227028),(55 34027770),(56 33786988),(57 33603124),(58 33498100),(59 33383554),(60 33317060),(61 33203448),(62 33075172),(63 32894244),(64 32674912),(65 32367332),(66 31968612),(67 31527028),(68 31004256),(69 30506932),(70 29956236),(71 29399928),(72 28904706),(73 28486358),(74 28142526),(75 27829746),(76 27554922),(77 27345242),(78 27257002),(79 27293226),
(1 304730.06),(2 1123070.8),(3 2345982.8),(4 3825413.3),(5 5460466),(6 7213236),(7 9011328),(8 10814419),(9 12543204),(10 14185221),(11 15640915),(12 17001136),(13 18267268),(14 19355018),(15 20414794),(16 21401336),(17 22343012),(18 23238702),(19 24001490),(20 24660570),(21 25242598),(22 25796446),(23 26338852),(24 26901056),(25 27416734),(26 27932228),(27 28477802),(28 28966260),(29 29429892),(30 29773210),(31 30006146),(32 30211228),(33 30369226),(34 30505126),(35 30622350),(36 30675478),(37 30769944),(38 30809028),(39 30757616),(40 30722298),(41 30695306),(42 30593236),(43 30403152),(44 30229606),(45 29891258),(46 29489204),(47 28979114),(48 28430694),(49 27847464),(50 27307618),(51 26761074),(52 26303992),(53 25856564),(54 25400312),(55 25009400),(56 24698338),(57 24519608),(58 24491736),(59 24579170),(60 24713360),(61 24854320),(62 24977938),(63 25128002),(64 25244518),(65 25246568),(66 25194114),(67 25109402),(68 24996412),(69 24891174),(70 24797984),(71 24706296),(72 24635300),(73 24612340),(74 24586402),(75 24604750),(76 24693086),(77 24854164),(78 25093900),(79 25416200),
(1 317904.13),(2 1181299.5),(3 2467281),(4 4005480),(5 5643522),(6 7337166),(7 9032909),(8 10696148),(9 12316708),(10 13872857),(11 15277415),(12 16605351),(13 17919452),(14 19100530),(15 20269936),(16 21329258),(17 22270118),(18 23056040),(19 23670772),(20 24142368),(21 24434682),(22 24617486),(23 24688696),(24 24682432),(25 24573216),(26 24365720),(27 24148406),(28 23874506),(29 23619786),(30 23333000),(31 23028216),(32 22731160),(33 22422196),(34 22122134),(35 21772128),(36 21483828),(37 21272446),(38 21098074),(39 20929638),(40 20809888),(41 20702246),(42 20584038),(43 20387740),(44 20177164),(45 19939136),(46 19740012),(47 19517832),(48 19362014),(49 19284946),(50 19325476),(51 19506862),(52 19799838),(53 20160064),(54 20553678),(55 21073768),(56 21703982),(57 22408022),(58 23147192),(59 23920104),(60 24696636),(61 25363590),(62 25899248),(63 26271490),(64 26442282),(65 26374816),(66 26142666),(67 25743126),(68 25278132),(69 24829128),(70 24455722),(71 24150086),(72 23918072),(73 23739622),(74 23643416),(75 23592066),(76 23630262),(77 23700274),(78 23864152),(79 24040468),
(1 358037.63),(2 1314910.3),(3 2743390.5),(4 4460012),(5 6334184.5),(6 8286782),(7 10182036),(8 11895396),(9 13370463),(10 14543273),(11 15446013),(12 16176081),(13 16789204),(14 17312998),(15 17775910),(16 18182900),(17 18551694),(18 18858032),(19 19140488),(20 19258970),(21 19260560),(22 19113792),(23 18865434),(24 18586928),(25 18268690),(26 17985118),(27 17796960),(28 17721232),(29 17755938),(30 17851464),(31 18039522),(32 18341822),(33 18572974),(34 18820868),(35 19056426),(36 19293396),(37 19520828),(38 19719378),(39 19871440),(40 19967024),(41 19996240),(42 19961766),(43 19872854),(44 19728722),(45 19592534),(46 19465414),(47 19340394),(48 19259964),(49 19255054),(50 19304918),(51 19375706),(52 19607702),(53 19868118),(54 20146186),(55 20472956),(56 20814110),(57 21081096),(58 21253586),(59 21398878),(60 21474498),(61 21532694),(62 21632012),(63 21697276),(64 21795150),(65 21923008),(66 22088696),(67 22335292),(68 22645580),(69 22990630),(70 23350394),(71 23783586),(72 24250508),(73 24673754),(74 25121500),(75 25485994),(76 25819200),(77 26068268),(78 26204062),(79 26261260),
