1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 792072.06),(2 2914725.3),(3 6038598.5),(4 9870403),(5 14169184),(6 18887006),(7 23829318),(8 28872838),(9 34084116),(10 39647580),(11 45652290),(12 52008000),(13 58577756),(14 65189940),(15 71492680),(16 77603770),(17 82861050),(18 87268696),(19 91055960),(20 93932410),(21 96645464),(22 99714460),(23 103103840),(24 106244184),(25 109313784),(26 112211400),(27 115001160),(28 117229290),(29 119406080),(30 121961910),(31 125222536),(32 128988170),(33 132736470),(34 135771730),(35 137860590),(36 139502100),(37 140510580),(38 140832140),(39 140625520),(40 139913230),(41 139224560),(42 138956420),(43 138698690),(44 138989170),(45 139643840),(46 140790700),(47 142572660),(48 145296260),(49 149014600),(50 153215570),(51 157828100),(52 163063790),(53 168661060),(54 174134260),(55 179916080),(56 186627570),(57 193641460),(58 200094640),(59 206131920),(60 211773870),(61 218014830),(62 224501780),(63 231896960),(64 239450560),(65 246802900),(66 254499710),(67 263081470),(68 272005300),(69 281704930),(70 290796640),(71 299812060),(72 308153250),(73 315912900),(74 322948320),(75 327871260),(76 331548400),(77 334229000),(78 336104450),(79 337175840),
(1 1005634.4),(2 3835417.5),(3 8305081),(4 14130202),(5 21055164),(6 28891322),(7 37387624),(8 46501388),(9 56112790),(10 66225270),(11 76814610),(12 88313496),(13 100508180),(14 113142340),(15 126046100),(16 138239780),(17 150048180),(18 161157710),(19 171649440),(20 181098910),(21 190515170),(22 199490820),(23 207890990),(24 216124700),(25 224027820),(26 231926530),(27 239283760),(28 245849600),(29 251768530),(30 257127980),(31 262156450),(32 266433230),(33 269769150),(34 271874240),(35 273550720),(36 274808500),(37 276011840),(38 276746600),(39 276616860),(40 275824060),(41 274969020),(42 273972500),(43 272919700),(44 272014050),(45 271215420),(46 270443970),(47 269916400),(48 270119170),(49 270875840),(50 271893440),(51 273665860),(52 275982900),(53 278679740),(54 282072930),(55 286352830),(56 291242940),(57 296483400),(58 301487800),(59 306329500),(60 311652700),(61 317350460),(62 322496100),(63 327542430),(64 331960400),(65 335555000),(66 338554940),(67 342353950),(68 346464960),(69 351141660),(70 356129600),(71 361897470),(72 368243550),(73 374559740),(74 381621100),(75 389855260),(76 399013200),(77 408963140),(78 420324300),(79 434059600),
(1 1018840.06),(2 3925916),(3 8362112.5),(4 14052668),(5 20876330),(6 28650238),(7 37268824),(8 46489484),(9 56451956),(10 67089652),(11 78251224),(12 90124420),(13 102614270),(14 115885440),(15 130053250),(16 144418900),(17 159254220),(18 174744480),(19 190780220),(20 206321200),(21 222297460),(22 238125490),(23 254122430),(24 270652300),(25 287112100),(26 304004480),(27 320974340),(28 338502050),(29 355767550),(30 371389020),(31 386124830),(32 400797340),(33 415644770),(34 430273500),(35 444977540),(36 457988830),(37 470191870),(38 481271800),(39 490683400),(40 497687580),(41 503115940),(42 506685200),(43 509183650),(44 511051420),(45 513083800),(46 515156320),(47 516795400),(48 517946620),(49 517932450),(50 517585500),(51 517758100),(52 518252130),(53 519059200),(54 519956830),(55 520988320),(56 521749250),(57 522653020),(58 523118240),(59 522700300),(60 521692160),(61 520620320),(62 519346340),(63 517985900),(64 516695550),(65 515322980),(66 512662500),(67 508790180),(68 503904420),(69 497944200),(70 491748580),(71 485490430),(72 479333380),(73 472462080),(74 465633920),(75 459321600),(76 453181440),(77 447749600),(78 443633760),(79 439829150),
(1 1100616.8),(2 4240866),(3 9019620),(4 15236804),(5 22601076),(6 30611256),(7 39137236),(8 47799264),(9 56657080),(10 65568696),(11 74202200),(12 82440660),(13 90006104),(14 97049660),(15 103609500),(16 109871380),(17 116195230),(18 122613960),(19 128846860),(20 134895870),(21 141177340),(22 147526930),(23 154084860),(24 160819710),(25 167408080),(26 174131860),(27 181378530),(28 189664670),(29 198498750),(30 207347120),(31 216149140),(32 225401920),(33 235041780),(34 244507250),(35 253762500),(36 262375310),(37 270052700),(38 276849540),(39 283683460),(40 290309540),(41 296019170),(42 300367700),(43 303795600),(44 306432130),(45 308306240),(46 309675300),(47 310428100),(48 310385100),(49 309549500),(50 308623650),(51 307253660),(52 305765100),(53 304374750),(54 302881950),(55 301328800),(56 299623330),(57 297799740),(58 296040860),(59 294430880),(60 292569100),(61 290276380),(62 288667000),(63 287553900),(64 287154750),(65 286822600),(66 286124100),(67 285038200),(68 283917440),(69 282725760),(70 281292580),(71 278872740),(72 275510900),(73 270989300),(74 265650660),(75 259566080),(76 252849580),(77 245436480),(78 237872380),(79 230330690),
(1 1137932.4),(2 4331840.5),(3 9271442),(4 15739569),(5 23449824),(6 32024000),(7 41328028),(8 51111936),(9 61277870),(10 71659180),(11 82213896),(12 92542750),(13 102636650),(14 112573510),(15 122480480),(16 131689850),(17 139985220),(18 147077200),(19 152738260),(20 157343040),(21 160630780),(22 162667400),(23 163645650),(24 163750000),(25 163084930),(26 162021650),(27 160690770),(28 159426700),(29 158101140),(30 157294780),(31 157476930),(32 157962640),(33 158242370),(34 158222540),(35 158141140),(36 157341000),(37 155602900),(38 153070530),(39 149897280),(40 146515570),(41 142652340),(42 138488620),(43 134077010),(44 129442150),(45 124872860),(46 120436020),(47 116241784),(48 112123600),(49 108411300),(50 105348664),(51 102950680),(52 101164104),(53 99880216),(54 99400100),(55 99889130),(56 100817944),(57 102044616),(58 103428050),(59 104834530),(60 106142340),(61 107447500),(62 109028616),(63 110266250),(64 111544450),(65 112897840),(66 114205090),(67 115169944),(68 116112010),(69 117090970),(70 118009400),(71 118643100),(72 119117416),(73 119128504),(74 119025360),(75 118753070),(76 117958200),(77 116508770),(78 114805096),(79 113299020),
(1 897985),(2 3319183.5),(3 6902158.5),(4 11405509),(5 16518637),(6 21813500),(7 27208276),(8 32546612),(9 37771110),(10 42863144),(11 47767680),(12 52602570),(13 57483400),(14 62422260),(15 67141910),(16 71788120),(17 76267600),(18 80752136),(19 85095020),(20 89266180),(21 93198260),(22 96690240),(23 99919740),(24 102966160),(25 105779860),(26 108430360),(27 110519144),(28 111958310),(29 112813656),(30 113352296),(31 113437390),(32 113109040),(33 112536810),(34 111729020),(35 110810136),(36 109871336),(37 108821736),(38 107688430),(39 106620904),(40 105720640),(41 104527790),(42 103176296),(43 101770160),(44 100336936),(45 98878904),(46 97640320),(47 96827440),(48 96468690),(49 96811710),(50 97965360),(51 99411380),(52 101053784),(53 102853360),(54 104799450),(55 106925910),(56 109323030),(57 111665620),(58 113883930),(59 116105940),(60 118111440),(61 119484460),(62 120354940),(63 120736730),(64 120826580),(65 120775910),(66 120796184),(67 120998696),(68 121301070),(69 121488900),(70 121685144),(71 121715090),(72 121836540),(73 121834750),(74 121379380),(75 121022770),(76 120655280),(77 120215760),(78 120122984),(79 120439760),
(1 1234610.3),(2 4706254),(3 10009142),(4 16719697),(5 24574076),(6 33118474),(7 41967356),(8 50772692),(9 59431280),(10 67590904),(11 75073570),(12 81648140),(13 87349640),(14 91895280),(15 95293870),(16 97725610),(17 99212250),(18 100097280),(19 100887640),(20 101517690),(21 101979600),(22 102458680),(23 102879180),(24 103171704),(25 103230590),(26 102888456),(27 102297030),(28 101552500),(29 100627640),(30 99570490),(31 98678330),(32 98066424),(33 97488400),(34 97012280),(35 96736090),(36 96783260),(37 96899624),(38 97240980),(39 98118560),(40 99268450),(41 100448550),(42 101760270),(43 103147180),(44 104577910),(45 105950290),(46 107403430),(47 108795600),(48 109924750),(49 110716170),(50 111386260),(51 111837190),(52 111971310),(53 112210720),(54 112592610),(55 113034800),(56 113334536),(57 113562110),(58 113779710),(59 114169384),(60 114705410),(61 115392740),(62 116185080),(63 116823540),(64 117333580),(65 117868800),(66 118603096),(67 119479750),(68 120340430),(69 121051420),(70 121646160),(71 122194860),(72 122621140),(73 122556536),(74 121960660),(75 120786530),(76 119125410),(77 117098950),(78 115035360),(79 112970910),
(1 1226288.4),(2 4734627),(3 10152307),(4 17011918),(5 24818758),(6 33296500),(7 41976772),(8 50537932),(9 58845200),(10 66785188),(11 74182620),(12 80770530),(13 86586100),(14 91459064),(15 95089790),(16 97402510),(17 98555880),(18 98779830),(19 98239800),(20 96929910),(21 94940696),(22 92585750),(23 90012660),(24 87206310),(25 84320100),(26 81332260),(27 78409330),(28 75604136),(29 72972710),(30 70456260),(31 68020584),(32 65707732),(33 63859428),(34 62600320),(35 61945370),(36 61967630),(37 62654376),(38 63978628),(39 65755800),(40 67841920),(41 70169850),(42 72714700),(43 75442536),(44 78113464),(45 80374300),(46 82133600),(47 83163140),(48 83651330),(49 83668610),(50 83253620),(51 82670520),(52 82024840),(53 81472150),(54 80973180),(55 80521980),(56 80032456),(57 79522216),(58 79068960),(59 78663460),(60 78187704),(61 77858340),(62 77531950),(63 77075630),(64 76624140),(65 76219400),(66 75785960),(67 75373050),(68 75045850),(69 74662790),(70 74450250),(71 74238720),(72 73908220),(73 73115820),(74 72209510),(75 71298670),(76 70329400),(77 69379740),(78 68565430),(79 67555144),
(1 937702.44),(2 3514604.8),(3 7245857),(4 11657628),(5 16531437),(6 21638050),(7 26769262),(8 31669120),(9 36367452),(10 40866396),(11 45086884),(12 48953412),(13 52399616),(14 55233492),(15 57417290),(16 58872830),(17 59843716),(18 60598520),(19 61026212),(20 61105730),(21 60867376),(22 60465652),(23 59742190),(24 58839212),(25 57813390),(26 56783068),(27 55718876),(28 54562620),(29 53298612),(30 51977456),(31 50538976),(32 48940292),(33 47182030),(34 45355904),(35 43615292),(36 41922530),(37 40366508),(38 39047900),(39 37869276),(40 36899090),(41 36144670),(42 35942580),(43 36426690),(44 37515300),(45 39104684),(46 41216376),(47 43741544),(48 46555052),(49 49338904),(50 52056148),(51 54572130),(52 56792390),(53 58631344),(54 60218756),(55 61615684),(56 62691276),(57 63248920),(58 63204556),(59 62610868),(60 61674956),(61 60615460),(62 59649988),(63 58625216),(64 57577524),(65 56407356),(66 55175150),(67 53901492),(68 52703184),(69 51679990),(70 50968916),(71 50393630),(72 50054452),(73 50031584),(74 50272064),(75 50401084),(76 50539060),(77 50621984),(78 50572428),(79 50623890),
(1 994176.75),(2 3708579.3),(3 7643587.5),(4 12284709),(5 17260808),(6 22184822),(7 26701614),(8 30683370),(9 34200684),(10 37212572),(11 39707096),(12 41700856),(13 43191652),(14 44142660),(15 44702108),(16 44958276),(17 45006450),(18 45137770),(19 45267950),(20 45283850),(21 45366224),(22 45392656),(23 45430268),(24 45441450),(25 45323930),(26 44991880),(27 44509576),(28 43944988),(29 43202544),(30 42353970),(31 41740012),(32 41296156),(33 40939320),(34 40721140),(35 40682610),(36 40746956),(37 40773330),(38 40764580),(39 40700280),(40 40628024),(41 40661284),(42 40764340),(43 40936110),(44 41088576),(45 41238400),(46 41449316),(47 41692496),(48 42147812),(49 42992164),(50 44116276),(51 45389296),(52 46441590),(53 47243110),(54 48072850),(55 48698990),(56 49082220),(57 49091948),(58 48841910),(59 48282120),(60 47384750),(61 46359276),(62 45148904),(63 43767056),(64 42356136),(65 40985990),(66 39696628),(67 38602690),(68 37856116),(69 37319250),(70 36894890),(71 36588332),(72 36321330),(73 35974356),(74 35781850),(75 35634230),(76 35532700),(77 35535252),(78 35486236),(79 35251120),
(1 843057.2),(2 3064360),(3 6184915),(4 9780843),(5 13518319),(6 17091744),(7 20300028),(8 23090662),(9 25559590),(10 27681744),(11 29360602),(12 30641344),(13 31528110),(14 32132962),(15 32551574),(16 32824820),(17 33039416),(18 33136452),(19 33086468),(20 32723494),(21 32111856),(22 31375304),(23 30571192),(24 29784550),(25 29095820),(26 28492926),(27 28030328),(28 27774648),(29 27739200),(30 27988958),(31 28638524),(32 29522216),(33 30601170),(34 31905480),(35 33398736),(36 34664244),(37 35632390),(38 36279144),(39 36563740),(40 36692284),(41 36605180),(42 36381276),(43 36018280),(44 35619896),(45 35268784),(46 34954390),(47 34699948),(48 34550050),(49 34423950),(50 34142800),(51 33677892),(52 33062546),(53 32360976),(54 31597462),(55 30843054),(56 30186200),(57 29524094),(58 28982054),(59 28636792),(60 28495856),(61 28559518),(62 28839186),(63 29414640),(64 30273198),(65 31296752),(66 32453768),(67 33772520),(68 35255364),(69 36775040),(70 38156516),(71 39325772),(72 40325240),(73 41138244),(74 41762270),(75 42224480),(76 42362080),(77 41963680),(78 41225470),(79 40175772),
