1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 14507.986),(2 49412.69),(3 108877.55),(4 182938.48),(5 270750.2),(6 373344.03),(7 486547.22),(8 610543.1),(9 745219.3),(10 888450.44),(11 1036904.44),(12 1190437),(13 1345455.4),(14 1504347.9),(15 1665356.5),(16 1823092),(17 1974966.8),(18 2123462.5),(19 2266274.5),(20 2402468.8),(21 2530093.8),(22 2645115.5),(23 2759215),(24 2860821.3),(25 2949288.8),(26 3034334),(27 3114746),(28 3197653.5),(29 3263564.5),(30 3320339.5),(31 3371179.3),(32 3412016.8),(33 3452911),(34 3496275.3),(35 3533114.5),(36 3566786),(37 3596030),(38 3624570.5),(39 3650035.5),(40 3673278.3),(41 3694250.5),(42 3718500.3),(43 3732684.8),(44 3745293.5),(45 3745730.8),(46 3738448),(47 3733100.8),(48 3726563.5),(49 3715733.5),(50 3709081.8),(51 3700832),(52 3689954),(53 3690807.3),(54 3693377),(55 3697149.5),(56 3704278.3),(57 3716455),(58 3729486.5),(59 3757728.8),(60 3790403.5),(61 3813126.3),(62 3833065),(63 3833857.5),(64 3831937.8),(65 3822465.5),(66 3818476.3),(67 3792701.3),(68 3759280.8),(69 3727598.3),(70 3700775.3),(71 3671313.8),(72 3639259.8),(73 3598528.3),(74 3558126.3),(75 3498953),(76 3441560.8),(77 3382940.5),(78 3311460.3),(79 3254135.3),
(1 13329.899),(2 44384.2),(3 94624.77),(4 154504.48),(5 222155.52),(6 299239.03),(7 382648.84),(8 470558.34),(9 565832.3),(10 668761.75),(11 775469.5),(12 885870.75),(13 992198.2),(14 1099159.9),(15 1206216.9),(16 1310994.9),(17 1413613.6),(18 1519556),(19 1618629.9),(20 1717227),(21 1810153),(22 1891498),(23 1976184.4),(24 2053283.6),(25 2127372.3),(26 2202825.8),(27 2290448),(28 2372226.5),(29 2457653.5),(30 2548415.3),(31 2647729.8),(32 2759035.3),(33 2882341.3),(34 3004611.8),(35 3137410.8),(36 3274386),(37 3416617.3),(38 3563918.8),(39 3713036.8),(40 3864460.8),(41 4002670.3),(42 4148063.3),(43 4274388.5),(44 4400140.5),(45 4494909),(46 4578459),(47 4668697.5),(48 4742159.5),(49 4802554),(50 4848579.5),(51 4880969),(52 4906923),(53 4924289.5),(54 4945066.5),(55 4965014.5),(56 4970570.5),(57 4982100.5),(58 4994994.5),(59 5011144),(60 5011434.5),(61 4999541.5),(62 4996924),(63 4977533),(64 4958386),(65 4929926.5),(66 4902804),(67 4863124),(68 4811546.5),(69 4756422),(70 4714454.5),(71 4670712.5),(72 4639364.5),(73 4591778),(74 4551161.5),(75 4505488.5),(76 4453258),(77 4397704.5),(78 4322754.5),(79 4251299.5),
(1 14266.232),(2 47893.234),(3 102393.2),(4 166013.73),(5 239767.36),(6 323583.63),(7 411722.8),(8 507103.25),(9 607546.8),(10 712324.06),(11 819056.9),(12 924174.8),(13 1021355.06),(14 1116103.6),(15 1202217.5),(16 1276089.3),(17 1340687),(18 1400163.9),(19 1455039),(20 1507609.6),(21 1561720.8),(22 1608673.9),(23 1653594.3),(24 1692741.8),(25 1732293.1),(26 1765953.5),(27 1801207.4),(28 1844786.9),(29 1875534.4),(30 1909913.1),(31 1951102.9),(32 2006208.8),(33 2070366.4),(34 2135451.3),(35 2210533),(36 2296035.8),(37 2384833.5),(38 2469431),(39 2551419.3),(40 2639138),(41 2715932.3),(42 2795094.8),(43 2875011.3),(44 2962925),(45 3036318.8),(46 3104958.8),(47 3183180.8),(48 3255358),(49 3323403.8),(50 3394151),(51 3462695.8),(52 3530780.5),(53 3616847),(54 3685992.3),(55 3752060.3),(56 3805927),(57 3862059.5),(58 3899377.5),(59 3939459.3),(60 3965375),(61 3980368.8),(62 4007054),(63 4026663.8),(64 4046617),(65 4046739.3),(66 4042484.8),(67 4027717),(68 3997905.3),(69 3957387.5),(70 3917464.3),(71 3872345.5),(72 3830886.5),(73 3782155.5),(74 3729804.8),(75 3676200.3),(76 3613823.3),(77 3554651),(78 3490526),(79 3423722.3),
(1 13182.839),(2 43504.395),(3 92271.16),(4 148172.4),(5 211766.36),(6 283964.7),(7 357905.25),(8 437763.7),(9 521132.3),(10 608058.25),(11 693553.2),(12 778006.6),(13 859362.3),(14 936762.75),(15 1015482.8),(16 1078692.4),(17 1137342.8),(18 1194352),(19 1249129.8),(20 1300900),(21 1354467.3),(22 1407143),(23 1461438.1),(24 1520646.3),(25 1578834.8),(26 1639006.1),(27 1702243),(28 1772598.5),(29 1833790.5),(30 1889462.8),(31 1942915.4),(32 2001416.8),(33 2059007.4),(34 2109978),(35 2170510.5),(36 2225769.3),(37 2275056),(38 2320756),(39 2356523),(40 2391316.3),(41 2416460.5),(42 2438336.8),(43 2455959.8),(44 2470602),(45 2479420.8),(46 2482159.8),(47 2473346.5),(48 2457541.5),(49 2429404),(50 2402689),(51 2369918.5),(52 2338728.8),(53 2314606.5),(54 2288083.3),(55 2265740.8),(56 2240497),(57 2215567.5),(58 2184107),(59 2156948.3),(60 2123203),(61 2091309.3),(62 2067006.3),(63 2049338.5),(64 2030964.5),(65 2013410.1),(66 2004864.4),(67 1998681.3),(68 1998144),(69 2001220),(70 2012080),(71 2024176.6),(72 2036532.6),(73 2044735.4),(74 2050303),(75 2054941),(76 2056863.6),(77 2056715.9),(78 2064293.5),(79 2071880.1),
(1 13191.093),(2 43124.105),(3 91173.76),(4 147549.92),(5 211332.89),(6 282731.28),(7 355260.6),(8 433677.63),(9 514387.84),(10 597093.4),(11 676928.75),(12 756504.1),(13 834551.94),(14 908683.7),(15 978960.3),(16 1036644),(17 1088394.6),(18 1143188),(19 1191975.6),(20 1241462.1),(21 1291612.6),(22 1342673.1),(23 1395104),(24 1446537.8),(25 1499455.8),(26 1553982.1),(27 1609986.6),(28 1672570.9),(29 1735020.1),(30 1795719.1),(31 1856056.5),(32 1915477.4),(33 1967251.3),(34 2013874.6),(35 2060849.1),(36 2100705.3),(37 2135428.5),(38 2156843),(39 2172363.8),(40 2180499.8),(41 2177004.5),(42 2168348.5),(43 2155603.3),(44 2138969.8),(45 2121612.5),(46 2115540.3),(47 2102130.3),(48 2089140),(49 2077513),(50 2067668.9),(51 2064819.4),(52 2070699.8),(53 2088149.6),(54 2117471),(55 2151069),(56 2185253.3),(57 2224011),(58 2256818.3),(59 2285934.8),(60 2313704),(61 2353747.3),(62 2398651.5),(63 2450213.8),(64 2502767.5),(65 2552900.8),(66 2612376.5),(67 2674902.5),(68 2732838),(69 2784894),(70 2838265),(71 2890295.5),(72 2928532.5),(73 2956087.8),(74 2974298.8),(75 2976070.5),(76 2971522.3),(77 2959464.3),(78 2937846.3),(79 2919035.8),
(1 13170.636),(2 42825.61),(3 88994.984),(4 143945.8),(5 206896.95),(6 277920.6),(7 352341.94),(8 428505.06),(9 507305.8),(10 590382.6),(11 672076.25),(12 755622.7),(13 836160.2),(14 917628.2),(15 994267),(16 1063968.8),(17 1132975.9),(18 1204311.3),(19 1275349.1),(20 1345612.1),(21 1413010.4),(22 1479363.8),(23 1542672.5),(24 1605836.5),(25 1668142.6),(26 1728772.8),(27 1789993.1),(28 1849240.3),(29 1905176.6),(30 1960681.6),(31 2008887.5),(32 2051094.9),(33 2087007.3),(34 2121914),(35 2152648.3),(36 2180342.5),(37 2200095),(38 2217254.5),(39 2222951.8),(40 2228623.5),(41 2224551.8),(42 2215773),(43 2198576),(44 2184794.3),(45 2164163.5),(46 2144638.5),(47 2121359.5),(48 2095812.8),(49 2066933.1),(50 2042372.8),(51 2015302.8),(52 1991642.8),(53 1974563.4),(54 1957907.6),(55 1939189.8),(56 1920214.9),(57 1900153.8),(58 1880100.4),(59 1860368.5),(60 1846786.1),(61 1838894.6),(62 1837940.1),(63 1841506.5),(64 1852699.3),(65 1863484.3),(66 1885327.3),(67 1904024.8),(68 1922116.1),(69 1934761.9),(70 1950952.8),(71 1969533.9),(72 1986595.6),(73 2005171.4),(74 2022568.3),(75 2035434.4),(76 2043824),(77 2045789.9),(78 2042963.3),(79 2039461.4),
(1 14181.617),(2 46487.195),(3 97662.87),(4 156813.67),(5 225662.58),(6 303550.78),(7 385966.66),(8 472623.06),(9 564317.44),(10 656427.7),(11 746865.9),(12 836188.25),(13 921666.2),(14 1005162.7),(15 1081489.6),(16 1154306.6),(17 1219117.6),(18 1283932.5),(19 1343404.8),(20 1398753),(21 1447453.9),(22 1492942.5),(23 1538091.9),(24 1578491.6),(25 1609727.6),(26 1637234.4),(27 1666210.4),(28 1680508.4),(29 1694586.1),(30 1703889.6),(31 1708588.3),(32 1710275.1),(33 1711652),(34 1710744.3),(35 1707285.8),(36 1699733.8),(37 1687141.6),(38 1671882.1),(39 1650655.8),(40 1629591.4),(41 1601079.8),(42 1574747.6),(43 1547523),(44 1527359.3),(45 1508065.8),(46 1501927.8),(47 1504237.9),(48 1508048),(49 1518703),(50 1536042.6),(51 1540141),(52 1550867.4),(53 1556685.5),(54 1565273.5),(55 1572162.4),(56 1577922.6),(57 1579412.9),(58 1584383.4),(59 1584894.9),(60 1587230.4),(61 1588150.5),(62 1589193),(63 1592159.5),(64 1591044.4),(65 1588395.5),(66 1591000.1),(67 1597234.3),(68 1603397.6),(69 1617407.1),(70 1632384.3),(71 1650195),(72 1679904.5),(73 1710295.3),(74 1745460),(75 1785802.4),(76 1824725.8),(77 1862477),(78 1899310.5),(79 1933687.1),
(1 13000.349),(2 42881.926),(3 92073.375),(4 149706),(5 216032.95),(6 290250.13),(7 368204.72),(8 449151),(9 531144.06),(10 614524.06),(11 697182.4),(12 780209.2),(13 855886.4),(14 927747.75),(15 996067.5),(16 1058112.5),(17 1113152.8),(18 1163368.5),(19 1206114.4),(20 1247023),(21 1284501.8),(22 1319557.8),(23 1353330.8),(24 1378062.9),(25 1400741.6),(26 1421756.9),(27 1441866.3),(28 1462024.3),(29 1478646.8),(30 1494073.8),(31 1507831.5),(32 1524990.4),(33 1543159),(34 1557764.1),(35 1576339.4),(36 1594271.3),(37 1607848.4),(38 1619691.4),(39 1627241),(40 1641609.6),(41 1651785),(42 1663215.5),(43 1672790.9),(44 1682925.5),(45 1693231.1),(46 1716568),(47 1738860.5),(48 1761222.5),(49 1782005.1),(50 1810498.3),(51 1831126.3),(52 1852729.3),(53 1871169.1),(54 1895102.8),(55 1919123),(56 1940048.5),(57 1955939.4),(58 1969852),(59 1979539.9),(60 1986362.9),(61 1996215),(62 2000229.5),(63 1995652.9),(64 1986615.3),(65 1971229.9),(66 1952151.6),(67 1926835.1),(68 1894244.6),(69 1858610.8),(70 1827908.8),(71 1796510.4),(72 1762557.5),(73 1734330.6),(74 1710250.1),(75 1686315.6),(76 1662053.1),(77 1647537.3),(78 1640966.4),(79 1629986.6),
(1 13520.846),(2 45101.645),(3 96374.734),(4 155860.31),(5 225204.64),(6 304386.88),(7 386656.63),(8 475711.53),(9 566568.1),(10 658968.7),(11 750256.7),(12 838577),(13 919387.5),(14 994022.6),(15 1065214.5),(16 1129257.9),(17 1185965),(18 1237709.5),(19 1283636.9),(20 1321734),(21 1354703.4),(22 1385060),(23 1405318.3),(24 1420175.5),(25 1431765.3),(26 1436544),(27 1443704.6),(28 1451612),(29 1451459),(30 1455747.3),(31 1458146.5),(32 1463862.6),(33 1467908.5),(34 1478766.6),(35 1489114.5),(36 1498900.5),(37 1507467.3),(38 1514637.1),(39 1521316.3),(40 1525277.1),(41 1528162.6),(42 1528199),(43 1523354.1),(44 1520281.5),(45 1515336.4),(46 1509204.1),(47 1494570.8),(48 1480092.4),(49 1467558.8),(50 1460371.1),(51 1453390.9),(52 1452449.8),(53 1462065),(54 1474680.1),(55 1487838),(56 1503938.5),(57 1520973.1),(58 1536319.4),(59 1550374.3),(60 1568565.8),(61 1585736),(62 1590666.8),(63 1600037),(64 1609248.4),(65 1617227.4),(66 1623948.4),(67 1634935.5),(68 1640864),(69 1639714.3),(70 1633814.4),(71 1628695.1),(72 1621493),(73 1606683.3),(74 1594746.9),(75 1577402.1),(76 1559403.4),(77 1544388.3),(78 1530620.1),(79 1515603.3),
(1 12105.348),(2 39004.047),(3 82088.98),(4 130842.836),(5 183814.78),(6 242488.3),(7 300194.66),(8 360708.72),(9 422757.9),(10 483246.1),(11 543097.1),(12 602844.3),(13 653864.44),(14 702892.2),(15 750686.25),(16 796224.2),(17 838233.7),(18 881143.7),(19 921357.75),(20 959303.1),(21 1000462.94),(22 1042160.1),(23 1084200.4),(24 1119967.9),(25 1152744),(26 1177793.5),(27 1199086.5),(28 1221030.5),(29 1233272.6),(30 1243811),(31 1249269.1),(32 1253563.6),(33 1252758.1),(34 1253793.6),(35 1249844.3),(36 1247877.3),(37 1248428.5),(38 1248140.5),(39 1248040.8),(40 1248294),(41 1245395.3),(42 1245830.5),(43 1247837.4),(44 1250987.8),(45 1259081.1),(46 1263429.3),(47 1267759.8),(48 1270867.3),(49 1271919.4),(50 1276204.5),(51 1283341.8),(52 1287750.8),(53 1293980.4),(54 1300755.9),(55 1312490.1),(56 1325317.5),(57 1335655.6),(58 1346842.6),(59 1363183.5),(60 1378247.6),(61 1389451.5),(62 1392663.8),(63 1402064),(64 1407411.3),(65 1412172),(66 1410259.9),(67 1403752.4),(68 1398615.8),(69 1393972.5),(70 1387493.8),(71 1381616),(72 1371935.5),(73 1360341.6),(74 1348914.8),(75 1333947.6),(76 1318808.5),(77 1306010.9),(78 1294657.3),(79 1283033.1),
(1 12849.907),(2 42426.164),(3 89298.99),(4 143676.89),(5 205340.94),(6 271229.03),(7 338424.16),(8 406580.94),(9 473138.8),(10 537007.56),(11 594775.8),(12 650032.75),(13 698891.94),(14 740676.06),(15 778151),(16 810793.25),(17 841984.56),(18 870723.3),(19 897574.06),(20 921977.56),(21 941570.44),(22 955772.44),(23 968856.7),(24 978865),(25 985956.1),(26 991496.25),(27 993875.3),(28 998114.06),(29 999193.8),(30 999374.75),(31 999861.8),(32 999509.8),(33 998156.3),(34 993715.2),(35 988955.2),(36 984997.25),(37 982972.25),(38 980917.7),(39 977273.8),(40 971965.7),(41 965769.7),(42 963696.1),(43 963539.3),(44 966146.3),(45 968910.9),(46 968671.75),(47 972691.7),(48 975615.3),(49 980668.1),(50 984887.3),(51 991232.7),(52 1000446.4),(53 1012515.9),(54 1029944),(55 1050290.6),(56 1073831.8),(57 1097062),(58 1118867.4),(59 1142686.4),(60 1166158.4),(61 1183773),(62 1196970),(63 1206469.3),(64 1216238.4),(65 1223920.1),(66 1228402),(67 1233550.4),(68 1237374.4),(69 1237283.6),(70 1234824),(71 1235461),(72 1232613),(73 1229830.8),(74 1229510.9),(75 1226421.4),(76 1222591.4),(77 1220391.4),(78 1215900.6),(79 1212922.3),
(1 13300.083),(2 43660.242),(3 92257.56),(4 147616.53),(5 211523.98),(6 280703.06),(7 352598.16),(8 426244.88),(9 498959.84),(10 568034.2),(11 629977.75),(12 688367.94),(13 740805.3),(14 790787.25),(15 837889.94),(16 880967.75),(17 917417.25),(18 955193.9),(19 986727.56),(20 1017266.1),(21 1044318.44),(22 1070163.4),(23 1093949.6),(24 1114834.6),(25 1135895.5),(26 1151792.3),(27 1162778.6),(28 1168204),(29 1172902.8),(30 1175901.9),(31 1179280.4),(32 1187030.9),(33 1193728.3),(34 1197441),(35 1196287.5),(36 1194755.4),(37 1189976.5),(38 1184156.5),(39 1177889.5),(40 1173794.1),(41 1172460.1),(42 1172183.5),(43 1173844.9),(44 1176187),(45 1177676.5),(46 1175744.5),(47 1173101.5),(48 1170005.8),(49 1166973.8),(50 1164960.9),(51 1156170.1),(52 1149397.6),(53 1137656.5),(54 1131971.1),(55 1129800),(56 1131187.5),(57 1131954.5),(58 1138336.6),(59 1144010.1),(60 1151925.1),(61 1156189.3),(62 1155784.5),(63 1151793.5),(64 1145780.6),(65 1135268.5),(66 1122370.6),(67 1113271.9),(68 1105840),(69 1098165.9),(70 1092340),(71 1084338.1),(72 1080075.8),(73 1079818.5),(74 1084498.3),(75 1093480),(76 1097354.8),(77 1105525.8),(78 1115524.5),(79 1124195.6),
(1 12355.907),(2 39827.28),(3 83344.67),(4 130313.14),(5 181841.02),(6 235758),(7 292380),(8 351320.53),(9 408553.06),(10 464454.2),(11 515589.16),(12 563601.5),(13 606510.8),(14 643802.8),(15 680953.4),(16 713350.25),(17 742382.9),(18 771105.8),(19 792435.4),(20 812830.7),(21 829511.2),(22 849012.25),(23 867332.4),(24 883760.4),(25 897077.5),(26 911458.6),(27 922062.7),(28 936535.8),(29 948268),(30 957860.94),(31 964952.4),(32 972142.06),(33 976064.25),(34 976696.75),(35 977084.25),(36 974410.8),(37 967367.06),(38 960821.1),(39 953647.2),(40 952854.7),(41 955394.8),(42 962121.94),(43 969128.25),(44 976452.25),(45 978473.5),(46 979014.44),(47 978637.1),(48 978864.25),(49 979266.1),(50 979819.06),(51 979258.3),(52 978981.5),(53 978483.75),(54 977828.2),(55 977444.56),(56 979741.4),(57 985901.2),(58 998024.44),(59 1012497.1),(60 1028507.2),(61 1049363.1),(62 1067347.4),(63 1079313.3),(64 1086813.8),(65 1088770.6),(66 1090155.5),(67 1088237.4),(68 1091914.8),(69 1095667.8),(70 1100878),(71 1109147.4),(72 1114190),(73 1123531.9),(74 1132363.4),(75 1138365.8),(76 1142982.9),(77 1147531.6),(78 1151367.5),(79 1156349),
(1 13345.174),(2 43120.7),(3 91125.99),(4 142610.17),(5 200917.11),(6 263954.97),(7 331482.66),(8 403323.97),(9 475657.06),(10 547179.1),(11 613658.44),(12 675860.56),(13 729992.06),(14 777657.7),(15 819007.4),(16 854870.06),(17 884459.94),(18 909889.7),(19 925108.9),(20 938655.8),(21 947976.4),(22 956350.94),(23 962073.6),(24 965716.25),(25 971139.2),(26 977079.56),(27 981300.2),(28 986705.6),(29 989848.6),(30 991744.9),(31 990573.9),(32 989235.56),(33 985561.06),(34 984444.44),(35 986899.56),(36 991321.06),(37 996628.8),(38 1005032.44),(39 1017174.5),(40 1031520),(41 1044075.3),(42 1056739.8),(43 1068855.5),(44 1075188.8),(45 1077336.8),(46 1076719.6),(47 1078199.5),(48 1078588.6),(49 1081953.8),(50 1086817.8),(51 1092681.4),(52 1097221.6),(53 1100461.4),(54 1099366.3),(55 1095292.8),(56 1091172.9),(57 1084795.5),(58 1081709.8),(59 1081442.9),(60 1077069.1),(61 1072461.6),(62 1068942.6),(63 1064553.9),(64 1060142.6),(65 1057620.6),(66 1054050.9),(67 1052855.9),(68 1054561.8),(69 1053552.1),(70 1050035.9),(71 1047263.1),(72 1041090.4),(73 1036198.25),(74 1031932.6),(75 1029026.7),(76 1028038.7),(77 1030412.9),(78 1036251),(79 1040600.7),
(1 13240.013),(2 43414.914),(3 92148.99),(4 146353.61),(5 205199.06),(6 266332.63),(7 329216.34),(8 391872.56),(9 451885.47),(10 508159.2),(11 556542.94),(12 598553),(13 630997.6),(14 656077.1),(15 671692.1),(16 682217.3),(17 687420.75),(18 690043.75),(19 690480.6),(20 688439),(21 686402.3),(22 688064.6),(23 693865),(24 701276.7),(25 710261.3),(26 719380.56),(27 728015.6),(28 737520.25),(29 746261.9),(30 757038.4),(31 766256.7),(32 774504.25),(33 781257.06),(34 788738.4),(35 794266.9),(36 800133.9),(37 803763.56),(38 808369.1),(39 811050.75),(40 820898.94),(41 828124),(42 834173.6),(43 843293.6),(44 850008.6),(45 857264.8),(46 862646.06),(47 867266.75),(48 872354.25),(49 874993.6),(50 882988),(51 885100.25),(52 891884.8),(53 894185.5),(54 895762.9),(55 897377.7),(56 899732.7),(57 901659.75),(58 904341.7),(59 906616.7),(60 905916.7),(61 907190.75),(62 908334.25),(63 909423.4),(64 909351.3),(65 911342.3),(66 913520),(67 919468.56),(68 927132.44),(69 935006.56),(70 942213.9),(71 949200.8),(72 951026.56),(73 951388.25),(74 952476.4),(75 952328.56),(76 952813.7),(77 953042.3),(78 952529.7),(79 953987.44),
(1 13051.983),(2 43176.28),(3 89460.7),(4 141783.64),(5 200014.86),(6 262208.25),(7 326349.06),(8 391063.28),(9 453415.53),(10 515162.28),(11 570437.6),(12 619444.1),(13 659891.06),(14 689384.2),(15 711539.56),(16 731516.4),(17 745564.25),(18 757428.5),(19 767833.9),(20 776605.1),(21 786063.44),(22 795872.9),(23 804537.9),(24 815149.44),(25 823726.9),(26 832636.1),(27 839095.44),(28 841948.1),(29 846358.56),(30 848782.94),(31 847275.8),(32 847556.56),(33 846927.5),(34 847968),(35 847469.9),(36 847139.06),(37 847660.2),(38 845274.1),(39 843954.5),(40 845687.44),(41 850350.9),(42 851635.5),(43 854423.7),(44 852301.44),(45 847125.3),(46 841776.7),(47 835771.7),(48 829947.06),(49 822860),(50 818936),(51 812297.5),(52 806422.75),(53 795066.2),(54 781436.8),(55 768113.8),(56 756826),(57 746325.1),(58 737427.25),(59 735714.56),(60 742007.2),(61 750760.9),(62 764219.2),(63 784427.6),(64 805445.3),(65 825866.1),(66 847776.75),(67 868135.6),(68 888986.7),(69 907016),(70 923975.3),(71 936811.1),(72 945781.1),(73 949390.1),(74 955190.7),(75 953872.9),(76 953501.3),(77 953743.8),(78 959324.4),(79 962566.56),
(1 13228.682),(2 43263.53),(3 88458.64),(4 140829.22),(5 197002.53),(6 254552.89),(7 313237.44),(8 369889.47),(9 425470.8),(10 476806.84),(11 522631.16),(12 561519.1),(13 595404.2),(14 621432.8),(15 641873.6),(16 656609.56),(17 670299.4),(18 683638.25),(19 695240.8),(20 708000.6),(21 722370.7),(22 738042.44),(23 755843.44),(24 773312.4),(25 789381.06),(26 806533.1),(27 820747.94),(28 835071.6),(29 848189.6),(30 859929.25),(31 871358.06),(32 882986.3),(33 893682.7),(34 904549.3),(35 916331.2),(36 927737.5),(37 938621),(38 951264.2),(39 962714.3),(40 974036.44),(41 987749),(42 1000388.6),(43 1012004.7),(44 1023961.75),(45 1032350.06),(46 1034579),(47 1036203.1),(48 1035392.2),(49 1033435.3),(50 1027819.1),(51 1019178.1),(52 1010343.44),(53 998182.3),(54 987345.75),(55 975349.25),(56 958882.56),(57 940383.94),(58 920388.9),(59 903064.9),(60 888681.9),(61 880875.94),(62 876679.1),(63 874994.1),(64 875907.94),(65 874137.25),(66 871206.1),(67 868298.1),(68 863605.06),(69 861679.1),(70 858975.4),(71 857929.6),(72 856001.44),(73 855888.9),(74 856113.9),(75 855309),(76 851963.8),(77 850763.2),(78 849236.44),(79 847379.1),
(1 12302.74),(2 40139.996),(3 82968.77),(4 129602.03),(5 178702.05),(6 227095.38),(7 275311.56),(8 321411.34),(9 364151.75),(10 402910.72),(11 437573.66),(12 464321.72),(13 484921.56),(14 499595.9),(15 508349.22),(16 516103.75),(17 524352.4),(18 534996.56),(19 547433.5),(20 561103),(21 577771.5),(22 598868.9),(23 623576.3),(24 647461.3),(25 670208.6),(26 692322.1),(27 712503.94),(28 731431.4),(29 750584.94),(30 767330.5),(31 782535.75),(32 793255.5),(33 799785.94),(34 800406.1),(35 802497.3),(36 803967.7),(37 806745.1),(38 806490.9),(39 806464.2),(40 803907.44),(41 801949.8),(42 799180.06),(43 798760.8),(44 800318.56),(45 804463.94),(46 808452.2),(47 817622.8),(48 821956.94),(49 828207.5),(50 829582.06),(51 831086.5),(52 831071.2),(53 828444.56),(54 827132.7),(55 827367.7),(56 825359.06),(57 818851.44),(58 809529.56),(59 800833.1),(60 789385.3),(61 781800.9),(62 773192.4),(63 768932.94),(64 766371.44),(65 765682.4),(66 763780.06),(67 760692.7),(68 752254.7),(69 744035.06),(70 735216),(71 726832),(72 721050.5),(73 717339.6),(74 715610.5),(75 713045.9),(76 707149.5),(77 703065.6),(78 702678.44),(79 700176.94),
