1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 7467.131),(2 23739.852),(3 42886.168),(4 60982.81),(5 75880.9),(6 86289.63),(7 94408.984),(8 99850.21),(9 103621.875),(10 107480.164),(11 110589.125),(12 113872.28),(13 117359.38),(14 119870.53),(15 121904.78),(16 124306.05),(17 126179.21),(18 127664.03),(19 129459.86),(20 132664.14),(21 136054.02),(22 139432.08),(23 141980.89),(24 143238.88),(25 143016.16),(26 142892.61),(27 142228.17),(28 140938.6),(29 139684.52),(30 138759.56),(31 138449.53),(32 138588.34),(33 139168.39),(34 140180.25),(35 141193.56),(36 141876.52),(37 142015.77),(38 142675.17),(39 143239.4),(40 144041.64),(41 145164.44),(42 146780.11),(43 149222.88),(44 152276.75),(45 154589.75),(46 155720.23),(47 154906.95),(48 153126.13),(49 150908.03),(50 147886.34),(51 144907.33),(52 142851.77),(53 141897.14),(54 140954.72),(55 140734.67),(56 139474.61),(57 137595.77),(58 135232.4),(59 134296.13),(60 133995.61),(61 134017.13),(62 134295.61),(63 134861.89),(64 134848.47),(65 134230.66),(66 134162.36),(67 135748.53),(68 138085.67),(69 141676.6),(70 145269.19),(71 148763.72),(72 150571.39),(73 151530.14),(74 151268.7),(75 150225.9),(76 150029),(77 149495.66),(78 149950.77),(79 150756.97),
(1 7564.395),(2 23621.707),(3 41919.195),(4 58547.742),(5 71724.34),(6 80230.44),(7 86952.06),(8 92660.94),(9 97311.46),(10 102382.63),(11 107034.9),(12 111554.67),(13 115543.984),(14 119191.086),(15 122652.56),(16 126320),(17 129602.15),(18 131738.08),(19 133984.84),(20 136574.3),(21 139031.69),(22 141702.48),(23 144678.39),(24 146149.19),(25 147901.06),(26 149153.19),(27 149713.39),(28 149170.23),(29 148096.58),(30 146464.6),(31 145582.64),(32 145080.98),(33 145420.31),(34 145668.31),(35 146274.1),(36 146873.38),(37 147690.34),(38 148323.78),(39 148964.31),(40 150019.78),(41 150755.28),(42 150511.92),(43 149308.11),(44 147242.73),(45 144353.34),(46 141271.08),(47 138285.36),(48 135414.45),(49 133375.66),(50 131464.06),(51 130216.63),(52 129899.78),(53 130370.09),(54 131391.8),(55 132206.11),(56 132655.2),(57 132762.63),(58 132128.23),(59 132275.94),(60 133368.61),(61 135234.69),(62 136519.47),(63 137777.56),(64 138428.25),(65 138357.61),(66 138030.3),(67 138287.34),(68 138831.14),(69 140703.63),(70 142424),(71 144481.23),(72 145872.95),(73 147045.17),(74 147431.6),(75 147603.5),(76 148034.97),(77 148240.2),(78 149320.4),(79 150595.22),
(1 7667.149),(2 23864.504),(3 42506.31),(4 59418.477),(5 72898.69),(6 82100),(7 88723.734),(8 94454.89),(9 99352.15),(10 104370.36),(11 109371.86),(12 114203.99),(13 118365.34),(14 121576.516),(15 124203.555),(16 125930.07),(17 126850.73),(18 127044.87),(19 128049.01),(20 129475.65),(21 130704.49),(22 131651.38),(23 133102.88),(24 134033.9),(25 135036.61),(26 135871.92),(27 136795.56),(28 137556.72),(29 137691.55),(30 137571.39),(31 138141.6),(32 139302.16),(33 140504.03),(34 141353.69),(35 141347.14),(36 141013.81),(37 141050.55),(38 141192.19),(39 141774.27),(40 142681.95),(41 143013.81),(42 142980.86),(43 142977.92),(44 142455.17),(45 141407.69),(46 140445.86),(47 139824.42),(48 139119.06),(49 138746.17),(50 138751.13),(51 139623.44),(52 141334.78),(53 143276.42),(54 145035.45),(55 146362.5),(56 146942.63),(57 146859.17),(58 146443.19),(59 145849.66),(60 144820.22),(61 143467.89),(62 142877.63),(63 142546.14),(64 142721.8),(65 142983.25),(66 143683.89),(67 144022),(68 144540.28),(69 145695.44),(70 146704.84),(71 148070.72),(72 148906.39),(73 149720.81),(74 149993.81),(75 150142.69),(76 151160.02),(77 151689.97),(78 153313.98),(79 154352.95),
(1 7368.0845),(2 23141.033),(3 41138.348),(4 57224.125),(5 69986.945),(6 78204.61),(7 83973.664),(8 88319.68),(9 92217.266),(10 95479.68),(11 98013.24),(12 99806.11),(13 101134.555),(14 101868.39),(15 102793.15),(16 103977.07),(17 104785.016),(18 105708.25),(19 107021.5),(20 109043.484),(21 110975.5),(22 113364.89),(23 115384.91),(24 117005.89),(25 118576.12),(26 119159.22),(27 119677.29),(28 120194.94),(29 120468.63),(30 121115.46),(31 122100.31),(32 123642.19),(33 125373.66),(34 126553.34),(35 127480.5),(36 128041.04),(37 128416.12),(38 128585.945),(39 128584.7),(40 128762.86),(41 128718.91),(42 128682.35),(43 128201.2),(44 126942.16),(45 125352.15),(46 123721.8),(47 122283.36),(48 121599.93),(49 121471.61),(50 121735.24),(51 122726.63),(52 124734.26),(53 126752.945),(54 128425.64),(55 129246.016),(56 130097.5),(57 130287.93),(58 131082.66),(59 131663.42),(60 131682.88),(61 131040.05),(62 129385.04),(63 128421.57),(64 127484.95),(65 127624.76),(66 128983.34),(67 130976.84),(68 133249.72),(69 136227.13),(70 138473.72),(71 140570.17),(72 142463.56),(73 143802.94),(74 144095.6),(75 144053.45),(76 144487.13),(77 143997.03),(78 143963.92),(79 143696.75),
(1 7094.415),(2 22133.102),(3 39366.906),(4 54680.023),(5 67189.3),(6 75800.14),(7 81937.58),(8 86207.45),(9 89197.945),(10 92071.33),(11 94478.12),(12 96910.375),(13 98962.35),(14 100037.62),(15 101719.875),(16 103591.33),(17 105505.414),(18 106841.45),(19 107991.03),(20 109667.76),(21 110820.69),(22 111603.85),(23 112024.82),(24 112896.445),(25 114299.836),(26 115540.09),(27 117401.93),(28 118901.42),(29 119510.42),(30 120306.016),(31 120393.8),(32 121269.625),(33 122155.516),(34 122106.53),(35 122532.766),(36 122824.484),(37 123710.57),(38 124999.05),(39 126376.37),(40 127564.086),(41 128287.75),(42 128028.086),(43 127215.8),(44 126065.28),(45 124063.055),(46 121995.01),(47 120083.25),(48 118730.19),(49 118058.164),(50 117803.14),(51 117148.03),(52 116403.02),(53 115665.24),(54 115854.35),(55 116376.64),(56 117987.21),(57 119553.16),(58 120511.65),(59 120635.02),(60 119988.82),(61 119078.88),(62 118787.03),(63 119223.83),(64 119519.46),(65 120081.02),(66 120869.45),(67 121658.18),(68 122649.77),(69 123738.234),(70 124733.43),(71 126181.08),(72 126877.8),(73 127413.96),(74 128132.555),(75 128594.35),(76 128984.46),(77 129020.83),(78 128226.38),(79 128583.84),
(1 7329.506),(2 22910.148),(3 41252.58),(4 57226.21),(5 69867.86),(6 77605.31),(7 82678.71),(8 86494.58),(9 89890.59),(10 93217.95),(11 96313.23),(12 99061.38),(13 101975.52),(14 102890.8),(15 104351.54),(16 105977.516),(17 107424.71),(18 108773.48),(19 110051.09),(20 111961.23),(21 113416.086),(22 114911.375),(23 116234.484),(24 116681.11),(25 118205.49),(26 119902.58),(27 122407.32),(28 125106.52),(29 126993.54),(30 129067.85),(31 129832.78),(32 131007.086),(33 131541.97),(34 130839.47),(35 130773.7),(36 130311.93),(37 130924.98),(38 131845.81),(39 133285.16),(40 134761.53),(41 135750.25),(42 135796.92),(43 135394.77),(44 134570.05),(45 133302.73),(46 131794.52),(47 130182.71),(48 129174.2),(49 128681.336),(50 128389.56),(51 127515.04),(52 126393.09),(53 125338.086),(54 124904.57),(55 125377.82),(56 126049.1),(57 126654.016),(58 126700.22),(59 125643.84),(60 123645.48),(61 121240.586),(62 118699.34),(63 116637.88),(64 114619.34),(65 113373.63),(66 112431.3),(67 112265.42),(68 113107.46),(69 114908.44),(70 116921.47),(71 119485.19),(72 121592.01),(73 123920.484),(74 126112.875),(75 127464.26),(76 128744.59),(77 129569.85),(78 130673.42),(79 131673.92),
(1 7443.278),(2 22942.365),(3 40502.297),(4 55931.953),(5 67385.03),(6 74421.53),(7 78587.52),(8 81660.84),(9 84352.84),(10 86661.516),(11 89333.2),(12 92332.06),(13 95080.14),(14 97207.836),(15 99840.22),(16 102232.99),(17 103652.47),(18 104726.16),(19 106185.54),(20 108195.6),(21 110067.58),(22 112473.24),(23 114791.625),(24 116238.97),(25 118204.516),(26 119954.94),(27 122284.96),(28 124824.54),(29 126636.875),(30 128552.305),(31 129510.06),(32 130738.375),(33 131108.64),(34 129689.19),(35 128602.81),(36 127355.26),(37 127042.43),(38 127295.43),(39 127723.54),(40 128263.805),(41 128970.35),(42 129014.305),(43 128416.445),(44 127360),(45 126022.22),(46 124226.71),(47 122734.555),(48 121402.164),(49 120602.75),(50 119580.875),(51 118013.39),(52 116468.08),(53 114896.17),(54 113236.9),(55 112300.445),(56 111435.87),(57 110414.58),(58 108891.234),(59 107323.89),(60 106403.984),(61 106278.336),(62 106664.53),(63 107394.94),(64 108855.516),(65 110462.66),(66 111687.734),(67 112661.99),(68 113466.35),(69 114582.92),(70 115810.305),(71 116596.875),(72 117055.85),(73 118547.86),(74 119473.6),(75 120634.59),(76 121905.266),(77 122635.11),(78 123779.89),(79 125331.35),
(1 6990.029),(2 21672.912),(3 37909.18),(4 51703.168),(5 61780.82),(6 67761.04),(7 71770.75),(8 75071.29),(9 78034.02),(10 81119.695),(11 84615.4),(12 88148.42),(13 91692.87),(14 93196.95),(15 94259.04),(16 94959.516),(17 95015.05),(18 95422.86),(19 96779.01),(20 98518.96),(21 99916.984),(22 101648.336),(23 103626.375),(24 105228.51),(25 106815.08),(26 108589.79),(27 110339.66),(28 111670.15),(29 112660.195),(30 113261.76),(31 112646.734),(32 111483.47),(33 110108.734),(34 108263.55),(35 106612.914),(36 105661.63),(37 105825.96),(38 106220.05),(39 107079.65),(40 108347.74),(41 109188.15),(42 109758.25),(43 110066.586),(44 109240.92),(45 107269.46),(46 105395.62),(47 103831.66),(48 102590.54),(49 101981.87),(50 101138.11),(51 100270.16),(52 99305.13),(53 98238.984),(54 97605.8),(55 98120.07),(56 99169.07),(57 100255.164),(58 101408.12),(59 101669.18),(60 101546.6),(61 101734.89),(62 102658.625),(63 104693.2),(64 106341.914),(65 108334.64),(66 110766.195),(67 112286.7),(68 112691.37),(69 112986.664),(70 112784.8),(71 112867.305),(72 113464.43),(73 114301.39),(74 115060.83),(75 115810.93),(76 116635.67),(77 117049.35),(78 117535.05),(79 117634.52),
(1 7047.873),(2 21453.814),(3 36879.59),(4 50151.53),(5 60112.72),(6 66313.664),(7 70858.016),(8 74406.77),(9 77113.914),(10 79808.02),(11 82167.66),(12 84061.67),(13 85567.96),(14 85669.2),(15 86090.55),(16 86219.35),(17 86738.52),(18 87751.62),(19 89283.01),(20 91464.984),(21 93390.91),(22 94470.24),(23 94309.56),(24 93485.43),(25 93663.71),(26 94860.7),(27 96061.96),(28 97616.914),(29 98360.516),(30 98685.12),(31 98926.02),(32 99295.2),(33 99638.27),(34 99201.25),(35 99279.26),(36 99498.516),(37 100315.85),(38 101060.03),(39 101978.46),(40 102961.484),(41 103639.58),(42 102914.37),(43 101447.86),(44 100060.92),(45 99473.12),(46 99582.76),(47 100735.76),(48 101678.914),(49 102219.3),(50 101784.625),(51 101203.19),(52 101331.26),(53 101679.69),(54 101860.83),(55 102309.7),(56 101870.77),(57 101185.305),(58 99624.46),(59 97938.74),(60 97273.48),(61 97170.37),(62 97571.48),(63 98120.8),(64 99359.8),(65 100346.04),(66 101885.984),(67 103350.414),(68 104306.67),(69 104983.586),(70 105305.97),(71 105820.06),(72 105770.11),(73 105911.984),(74 106165.87),(75 106510.47),(76 106727.95),(77 107031.484),(78 108025.95),(79 108968.83),
(1 6647.569),(2 20411.945),(3 35008.59),(4 47026.63),(5 55927.625),(6 61993.14),(7 66312.17),(8 69989.195),(9 73347.2),(10 76474.836),(11 78951.766),(12 81018.47),(13 81875.66),(14 81974.914),(15 82342.38),(16 82657.984),(17 83494.72),(18 84847.56),(19 85979.22),(20 87621.59),(21 89177.89),(22 90326.555),(23 91200),(24 91835.62),(25 92678.84),(26 93738.664),(27 94508.77),(28 95265.53),(29 96178.266),(30 96953.52),(31 97037.586),(32 96382.85),(33 95907.63),(34 96276.36),(35 97344.62),(36 98764.82),(37 100532.6),(38 101919.57),(39 102564.39),(40 103024.49),(41 103539.15),(42 103774.76),(43 103874.99),(44 103434.336),(45 102975.09),(46 102341.48),(47 101902.31),(48 101479.83),(49 101108.72),(50 100751.15),(51 100406.06),(52 100302.53),(53 100341.055),(54 100195.06),(55 100127.414),(56 99570.56),(57 99036.04),(58 98489.52),(59 97801.06),(60 97659.1),(61 98475.73),(62 99383.68),(63 100001.8),(64 100076.695),(65 99496.87),(66 99630.445),(67 100629.66),(68 102668.914),(69 104478.11),(70 105173.266),(71 105456.63),(72 104948.29),(73 104579.02),(74 104029.35),(75 103772.18),(76 103224.54),(77 102639.734),(78 102383.87),(79 102180.164),
(1 6887.0405),(2 21039.771),(3 36444.91),(4 49451.293),(5 59407.797),(6 67089.38),(7 73574.55),(8 79138),(9 83217.25),(10 86623.97),(11 89002.77),(12 90230.67),(13 90776.17),(14 90692.22),(15 90583.07),(16 90934.2),(17 90933.28),(18 92122.47),(19 93785.65),(20 95801.96),(21 96616.24),(22 96746.6),(23 96271.5),(24 96000.85),(25 96834.62),(26 97922.1),(27 98888.984),(28 99402.836),(29 99597.984),(30 99948.88),(31 100281.98),(32 100322.53),(33 100602.8),(34 100515.664),(35 101334.664),(36 102101.77),(37 103462.53),(38 105355.87),(39 106957.85),(40 108560.89),(41 109503.82),(42 109704.33),(43 109675.914),(44 109536.86),(45 109533.34),(46 109989.984),(47 110283.33),(48 110462.93),(49 110439.43),(50 109965.78),(51 109468.37),(52 108815.6),(53 107542.91),(54 106156.95),(55 104730.28),(56 102562.18),(57 100625.71),(58 99051.01),(59 98685.72),(60 99374.945),(61 100234.28),(62 100441.836),(63 100204.74),(64 100016.516),(65 99311.41),(66 99123.26),(67 99090.484),(68 99350.41),(69 99798.336),(70 100144.76),(71 100364.45),(72 100156.57),(73 100031.88),(74 100130.98),(75 100209.68),(76 100401.02),(77 100486.82),(78 101372.42),(79 102165.234),
(1 6479.3457),(2 19341.71),(3 33057.395),(4 44367.906),(5 52911.24),(6 59634.32),(7 65031.777),(8 70354.28),(9 74521.86),(10 78584.836),(11 82108.84),(12 84954.195),(13 86990.56),(14 87674.47),(15 88289.86),(16 88227.82),(17 88143.91),(18 89380.98),(19 91048.68),(20 92758.58),(21 93798.63),(22 94959.41),(23 95707.766),(24 96354.03),(25 97418.63),(26 98800.664),(27 99230.516),(28 99301.18),(29 99178.586),(30 98435.91),(31 97710.96),(32 97313.484),(33 97515.69),(34 98080.94),(35 99622.266),(36 101400.64),(37 103475.195),(38 105212.45),(39 106139.86),(40 106206.67),(41 106280.73),(42 106231.67),(43 106182.125),(44 105476.31),(45 104612.53),(46 103912.22),(47 103326.31),(48 103157.94),(49 103183.26),(50 103103.35),(51 103278.766),(52 103605.1),(53 104060.53),(54 103843.195),(55 103584.805),(56 102385.164),(57 100953.42),(58 99017.914),(59 97360.91),(60 96318.266),(61 95908.266),(62 95568.35),(63 94883.29),(64 94374.77),(65 93976.51),(66 94763.79),(67 95472.97),(68 96104.06),(69 97109.414),(70 97530.69),(71 98983.68),(72 99473.086),(73 100090.88),(74 100624.734),(75 101941.57),(76 103299.2),(77 104259.734),(78 105093.01),(79 105595.19),
(1 6520.406),(2 19716.188),(3 34351.418),(4 46685.402),(5 55912.883),(6 62861.05),(7 67852.85),(8 71885.22),(9 75010.86),(10 77794.03),(11 79988.555),(12 81575.6),(13 82582.69),(14 82990.055),(15 83048.61),(16 83196.78),(17 83632.17),(18 84308.01),(19 85706.414),(20 87533.39),(21 89137.836),(22 89722.12),(23 89532.04),(24 88508.09),(25 87614.836),(26 86523.42),(27 85384.72),(28 84992.02),(29 84759.25),(30 84463.86),(31 84222.195),(32 84592.98),(33 85316.734),(34 86044.69),(35 87208.58),(36 88695.586),(37 90336),(38 91649.266),(39 92194.61),(40 91743.234),(41 91007.94),(42 89702.625),(43 88139.89),(44 87329.72),(45 86266.22),(46 85500.02),(47 85289.414),(48 85698.36),(49 86869.71),(50 87989.875),(51 89435.97),(52 90834.46),(53 91571.62),(54 90974.6),(55 89826.37),(56 89011.74),(57 88541.34),(58 88024.43),(59 88637.88),(60 89391.97),(61 90019.44),(62 90320.92),(63 90598.58),(64 89846.64),(65 89021.09),(66 89110.35),(67 89463.01),(68 89800.51),(69 90503.77),(70 91545.734),(71 93167.83),(72 94092.38),(73 94023.68),(74 93395.59),(75 92597.79),(76 91938.805),(77 90991.02),(78 91276.055),(79 92227.96),
(1 6424.6533),(2 19267.393),(3 32912.324),(4 44018.242),(5 52528.902),(6 58637.855),(7 63545.063),(8 67684.44),(9 71252.68),(10 74578.98),(11 77197.586),(12 79494.44),(13 81268.39),(14 82838.664),(15 84474.12),(16 85668.59),(17 86464.23),(18 87315.414),(19 88436.7),(20 89543.52),(21 89843.1),(22 89280.61),(23 87888.05),(24 85902.55),(25 84412.664),(26 83367.92),(27 82544.336),(28 82163.56),(29 81565.07),(30 80619.75),(31 79552.41),(32 78484.17),(33 77998.93),(34 78141.94),(35 78957.05),(36 79819.57),(37 80925.195),(38 81444.63),(39 81654.734),(40 81574.74),(41 81566.3),(42 81883.65),(43 82156.97),(44 81567.76),(45 80835.01),(46 80372.96),(47 80939.7),(48 82093.28),(49 83543.8),(50 84723.016),(51 85165.836),(52 85219.625),(53 84978.85),(54 84197.984),(55 83866.555),(56 83705.53),(57 83734.24),(58 84346.23),(59 85501.86),(60 86466.27),(61 86917.125),(62 87690.48),(63 88253.53),(64 88796.89),(65 88669.63),(66 88363.14),(67 88015.46),(68 87749.34),(69 87914.32),(70 88162.11),(71 89418.83),(72 89884.37),(73 90106.41),(74 90641.26),(75 91008.68),(76 91166.67),(77 90743),(78 90814.3),(79 90843.03),
(1 6391.305),(2 19033.623),(3 32423.504),(4 43565.844),(5 52405.453),(6 59059.07),(7 64327.94),(8 68515.2),(9 71750.21),(10 74224.56),(11 76170.82),(12 77840.15),(13 78973.17),(14 79278.06),(15 79330.234),(16 79916.945),(17 80822.03),(18 82004.09),(19 82813.09),(20 83571.16),(21 84170.64),(22 84330.57),(23 84138.41),(24 83482.91),(25 83174.09),(26 82808.22),(27 82170.11),(28 81988.33),(29 81985.914),(30 81730.86),(31 81501.164),(32 81337.57),(33 81469.4),(34 81780.6),(35 82582.414),(36 83878.984),(37 85435.734),(38 86488.21),(39 86792.78),(40 86637.9),(41 86402.984),(42 86457.4),(43 86123.72),(44 85915.44),(45 85709.89),(46 85038.086),(47 84333.664),(48 83684.945),(49 83227.836),(50 82812.56),(51 82538.09),(52 81777.62),(53 81013.68),(54 80170.58),(55 79818.93),(56 79789.69),(57 79519.375),(58 79197.43),(59 78582.84),(60 78022.88),(61 77751.36),(62 77484.22),(63 77373.23),(64 77400.18),(65 78021.35),(66 78847.484),(67 79616.15),(68 80768.7),(69 82638.77),(70 83971.36),(71 85708.914),(72 86582.734),(73 88413.65),(74 89797.57),(75 90854.73),(76 91676.31),(77 92436.21),(78 93844.1),(79 95172.305),
(1 6417.8877),(2 19178.87),(3 32807.05),(4 43883.184),(5 52023.742),(6 57361.14),(7 61360.695),(8 64319.14),(9 67147.55),(10 70182.71),(11 72912.17),(12 74692.39),(13 75826.37),(14 76975.81),(15 77489.914),(16 77801.74),(17 78134.82),(18 78798.34),(19 79810.83),(20 81418.945),(21 83250.8),(22 84132.19),(23 84586.44),(24 84679.26),(25 84873.75),(26 85288.74),(27 85310.31),(28 84675.56),(29 83755.91),(30 82682.83),(31 81934.82),(32 82134.055),(33 82967.57),(34 84293.63),(35 85292.79),(36 86069.414),(37 86526.195),(38 86221.53),(39 85399.89),(40 85195.62),(41 85357.7),(42 85026.65),(43 84809.93),(44 84803.42),(45 85060.234),(46 85461.516),(47 85406.85),(48 84776.875),(49 83835.79),(50 83344.29),(51 83394.37),(52 83970.664),(53 84926.72),(54 85859.21),(55 86435.516),(56 86418.65),(57 85875.016),(58 84981.29),(59 84086.17),(60 83038.79),(61 81937.445),(62 81392),(63 81547.96),(64 81810.01),(65 81990.71),(66 82111.04),(67 82308.65),(68 82736.73),(69 83289.44),(70 84195.95),(71 85366.57),(72 85928.4),(73 87028.07),(74 87743.086),(75 87806.25),(76 87962.93),(77 88116.7),(78 88929),(79 90667.37),
(1 6305.9897),(2 19081.021),(3 32232.066),(4 42338.777),(5 49206.91),(6 53683.79),(7 57548.816),(8 61134.195),(9 64742.316),(10 67912.92),(11 70498.9),(12 72440.57),(13 74210.42),(14 75690.03),(15 77504.59),(16 79525.96),(17 81370.516),(18 82710.18),(19 84480.92),(20 86064.39),(21 87028.875),(22 87595.21),(23 87984.234),(24 87957.65),(25 88527.34),(26 89617.61),(27 90788.09),(28 91489.33),(29 91545.54),(30 91165.79),(31 90267.83),(32 89605.77),(33 89264.484),(34 89298.78),(35 89489.3),(36 89541.48),(37 88927.805),(38 87199.87),(39 84971.914),(40 83265.766),(41 81931.76),(42 81036.88),(43 80671.84),(44 80264.37),(45 79896.1),(46 79765.04),(47 79526.84),(48 79064.73),(49 79185.7),(50 79497.89),(51 79626.57),(52 79259.555),(53 78791.53),(54 78559.086),(55 78352.67),(56 78643.65),(57 79122.62),(58 79764.98),(59 80013.67),(60 80131.16),(61 80223.04),(62 80778.21),(63 82313.24),(64 83570.12),(65 83810.586),(66 83621.63),(67 83481.336),(68 83328.055),(69 82927.586),(70 82570.53),(71 82147.09),(72 81517.58),(73 81390.37),(74 81293.5),(75 81188.37),(76 81684.85),(77 81750.05),(78 82932.6),(79 85008.09),
(1 6346.684),(2 19086.693),(3 32377.537),(4 43117.035),(5 50880.17),(6 55468.664),(7 58712.95),(8 61365.08),(9 63652.24),(10 66703.42),(11 69762.52),(12 72881),(13 75835.35),(14 77946.27),(15 79702.7),(16 81279.44),(17 82648.086),(18 83707.95),(19 85154.31),(20 85794.68),(21 85825.945),(22 85589.875),(23 85049.71),(24 84381.32),(25 84347.695),(26 84407.66),(27 84635.08),(28 85136.78),(29 86164.27),(30 87011.766),(31 87466.45),(32 88103.96),(33 88115.055),(34 88184.9),(35 87672.26),(36 87389.98),(37 86603.46),(38 85453.93),(39 83907.29),(40 82195.68),(41 81250.38),(42 80293.81),(43 80107.9),(44 80249.61),(45 80563.14),(46 81007.17),(47 81291.55),(48 81511.17),(49 81655.84),(50 81557.734),(51 80759.05),(52 79890.984),(53 79416.25),(54 79230.52),(55 79565.11),(56 80674.1),(57 81869.1),(58 82643.05),(59 83348),(60 83547.73),(61 83461.22),(62 83574.305),(63 84222.68),(64 84878.18),(65 85371.2),(66 85221.05),(67 84719.016),(68 84148.45),(69 83766.62),(70 83471.65),(71 83678.73),(72 83839.16),(73 84697.516),(74 85667.234),(75 86495.91),(76 88241.984),(77 89868.82),(78 91446.266),(79 93444.96),
