1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 43358.113),(2 152164.34),(3 336297.3),(4 574565.56),(5 890413.2),(6 1190747.6),(7 1579845.6),(8 2031983.5),(9 2527820.3),(10 3073628.8),(11 3697898),(12 4363522),(13 5083276),(14 5818271.5),(15 6585319.5),(16 7339161.5),(17 8114001.5),(18 8866991),(19 9631816),(20 10393675),(21 11172145),(22 11919799),(23 12689036),(24 13472344),(25 14249139),(26 15060260),(27 15901129),(28 16818314),(29 17743466),(30 18725760),(31 19474734),(32 20398404),(33 21346136),(34 22323472),(35 23399130),(36 24526730),(37 25844006),(38 27280342),(39 28785390),(40 30203970),(41 31426994),(42 32610890),(43 33771956),(44 34886092),(45 35958496),(46 37027860),(47 38072404),(48 39106068),(49 40056140),(50 40952224),(51 41769304),(52 42396700),(53 42858108),(54 43175980),(55 43467340),(56 43467116),(57 43378440),(58 43232020),(59 43186268),(60 43025424),(61 43076540),(62 43337652),(63 43719804),(64 44200200),(65 44731476),(66 45382956),(67 46122724),(68 46923120),(69 47869532),(70 48882068),(71 49994108),(72 51187148),(73 52628932),(74 54301828),(75 56187364),(76 58031308),(77 59838116),(78 61643300),(79 63321684),
(1 32040.666),(2 125599.375),(3 276651.94),(4 483336.4),(5 731632),(6 987794),(7 1299061.1),(8 1663726.8),(9 2063420),(10 2527213),(11 3044622.5),(12 3616635.3),(13 4239837),(14 4900959),(15 5592943),(16 6302046.5),(17 7028998.5),(18 7773369),(19 8537011),(20 9321074),(21 10120477),(22 10922859),(23 11736943),(24 12555212),(25 13321160),(26 14128230),(27 14987438),(28 15915680),(29 16846172),(30 17845244),(31 18635420),(32 19539972),(33 20470902),(34 21386734),(35 22311640),(36 23202996),(37 24152672),(38 25062088),(39 25974284),(40 26776132),(41 27511612),(42 28202138),(43 28899590),(44 29491996),(45 30086810),(46 30678176),(47 31322624),(48 31937626),(49 32545296),(50 33080340),(51 33628720),(52 34083440),(53 34529960),(54 34811348),(55 35083110),(56 35244684),(57 35298370),(58 35397376),(59 35561050),(60 35783160),(61 36116090),(62 36564490),(63 37001876),(64 37497836),(65 37989156),(66 38588550),(67 39158410),(68 39806200),(69 40504904),(70 41221800),(71 41873770),(72 42509224),(73 43198264),(74 43949372),(75 44717812),(76 45412984),(77 46115308),(78 46791136),(79 47376280),
(1 27731.959),(2 108470.66),(3 240190.77),(4 419442.84),(5 639092.3),(6 865554.94),(7 1144818.4),(8 1470718),(9 1825923.9),(10 2246380.8),(11 2706698.5),(12 3237486.8),(13 3810573.8),(14 4441412.5),(15 5097448.5),(16 5780853.5),(17 6477220),(18 7209868.5),(19 7972917.5),(20 8805054),(21 9652069),(22 10541743),(23 11448428),(24 12373424),(25 13248664),(26 14164571),(27 15136480),(28 16170715),(29 17158216),(30 18176654),(31 19030214),(32 19945182),(33 20846094),(34 21751774),(35 22618954),(36 23429480),(37 24217674),(38 24937086),(39 25590118),(40 26151664),(41 26666598),(42 27131616),(43 27556702),(44 27857864),(45 28107632),(46 28366638),(47 28672038),(48 28978230),(49 29329248),(50 29695288),(51 30093040),(52 30521894),(53 31035902),(54 31411222),(55 31744634),(56 32041984),(57 32248310),(58 32548626),(59 32852736),(60 33321376),(61 33872276),(62 34549520),(63 35174504),(64 35856436),(65 36579204),(66 37381300),(67 38134276),(68 38970896),(69 39751868),(70 40518010),(71 41107148),(72 41665180),(73 42216572),(74 42778732),(75 43241916),(76 43618336),(77 43955796),(78 44389884),(79 44730756),
(1 27248.066),(2 102604.55),(3 223574.19),(4 384651.72),(5 586576.9),(6 786329.75),(7 1043101.9),(8 1332081.4),(9 1645786),(10 2001559.5),(11 2399401.3),(12 2832501),(13 3303023),(14 3810296.5),(15 4343086),(16 4886717.5),(17 5434237.5),(18 5999605.5),(19 6597492.5),(20 7242940.5),(21 7905209),(22 8574500),(23 9272960),(24 9981669),(25 10691585),(26 11428587),(27 12218247),(28 13029230),(29 13805403),(30 14551205),(31 15196857),(32 15883378),(33 16559413),(34 17282472),(35 17997746),(36 18696404),(37 19393102),(38 20116234),(39 20833974),(40 21489384),(41 22056970),(42 22628086),(43 23142756),(44 23594972),(45 23946792),(46 24325408),(47 24675848),(48 25033544),(49 25435480),(50 25873592),(51 26357118),(52 26844978),(53 27399052),(54 27880512),(55 28296622),(56 28716214),(57 29102840),(58 29522230),(59 29900380),(60 30338120),(61 30798104),(62 31319894),(63 31778400),(64 32232604),(65 32691246),(66 33111538),(67 33449298),(68 33811740),(69 34086524),(70 34307170),(71 34385508),(72 34407490),(73 34380170),(74 34248350),(75 33997520),(76 33598640),(77 33176520),(78 32799730),(79 32379114),
(1 29660.1),(2 111137.08),(3 246653),(4 425930.78),(5 649888.94),(6 858381.25),(7 1125591.1),(8 1416933.1),(9 1727505.1),(10 2063751.5),(11 2439520.3),(12 2846887.5),(13 3289706.3),(14 3779453.8),(15 4293664.5),(16 4820523),(17 5352358),(18 5900276.5),(19 6475083.5),(20 7069297.5),(21 7689189),(22 8288644.5),(23 8883853),(24 9467841),(25 10063363),(26 10675493),(27 11313343),(28 11975590),(29 12624806),(30 13233001),(31 13754857),(32 14317849),(33 14850084),(34 15400567),(35 15899066),(36 16393929),(37 16866562),(38 17335680),(39 17803832),(40 18213004),(41 18557694),(42 18917908),(43 19283728),(44 19633922),(45 19926446),(46 20211380),(47 20461816),(48 20690126),(49 20894084),(50 21067054),(51 21277862),(52 21452162),(53 21651970),(54 21834354),(55 21995474),(56 22162286),(57 22283442),(58 22422776),(59 22540600),(60 22679650),(61 22791260),(62 22900310),(63 22948824),(64 22950376),(65 22922162),(66 22831704),(67 22678842),(68 22546284),(69 22402144),(70 22273950),(71 22138086),(72 22018452),(73 21921186),(74 21859474),(75 21774856),(76 21658632),(77 21537054),(78 21460378),(79 21363692),
(1 30852.531),(2 118635.73),(3 265993.44),(4 458738.8),(5 689979.6),(6 901997.5),(7 1163046),(8 1441225.5),(9 1733512.6),(10 2043233.3),(11 2379766.8),(12 2764266.5),(13 3186417),(14 3665181.3),(15 4169901.5),(16 4685431),(17 5214250.5),(18 5750419),(19 6290591),(20 6815155),(21 7342357.5),(22 7848307),(23 8334917.5),(24 8788568),(25 9221874),(26 9650318),(27 10092562),(28 10531202),(29 10965142),(30 11353961),(31 11671922),(32 12007529),(33 12269821),(34 12523036),(35 12689670),(36 12866922),(37 13030411),(38 13178076),(39 13284013),(40 13383213),(41 13496309),(42 13624142),(43 13767181),(44 13902083),(45 14036806),(46 14177072),(47 14317739),(48 14451659),(49 14570410),(50 14650038),(51 14741118),(52 14808749),(53 14868528),(54 14915614),(55 14937187),(56 14983560),(57 15021829),(58 15058941),(59 15134445),(60 15240198),(61 15324336),(62 15379619),(63 15395486),(64 15375587),(65 15343712),(66 15332678),(67 15327709),(68 15361824),(69 15439875),(70 15555560),(71 15706006),(72 15889483),(73 16069763),(74 16246573),(75 16353731),(76 16458525),(77 16563643),(78 16657658),(79 16716176),
(1 33869.79),(2 131506.47),(3 291690.78),(4 503266.78),(5 759567.75),(6 1001941.7),(7 1300590.6),(8 1622392.8),(9 1974057.5),(10 2356742.5),(11 2769659.8),(12 3222248.5),(13 3709580),(14 4232343),(15 4770647.5),(16 5308592.5),(17 5855939.5),(18 6401123.5),(19 6935331),(20 7454719),(21 7959411.5),(22 8450668),(23 8923402),(24 9399506),(25 9853230),(26 10289600),(27 10701312),(28 11091711),(29 11422090),(30 11689302),(31 11923014),(32 12092652),(33 12203628),(34 12295386),(35 12347906),(36 12388782),(37 12430002),(38 12470572),(39 12503910),(40 12534801),(41 12571220),(42 12614727),(43 12664516),(44 12734201),(45 12835924),(46 12954889),(47 13063214),(48 13171470),(49 13274441),(50 13345355),(51 13359687),(52 13365369),(53 13369706),(54 13357230),(55 13334567),(56 13329687),(57 13349618),(58 13349840),(59 13358171),(60 13357851),(61 13330906),(62 13294128),(63 13227278),(64 13149150),(65 13063482),(66 12977004),(67 12844342),(68 12688570),(69 12531494),(70 12322441),(71 12106571),(72 11882583),(73 11619794),(74 11313218),(75 10999855),(76 10733334),(77 10481419),(78 10268516),(79 10091650),
(1 43554.203),(2 166650.48),(3 370019.34),(4 644284.3),(5 990235.6),(6 1323600),(7 1742239.1),(8 2199407.3),(9 2708822.5),(10 3283795.3),(11 3909847.8),(12 4576623.5),(13 5263097),(14 5947689),(15 6619732.5),(16 7281712),(17 7935503.5),(18 8586193),(19 9224581),(20 9852257),(21 10424422),(22 10952499),(23 11430508),(24 11841764),(25 12181117),(26 12444764),(27 12648820),(28 12784829),(29 12851229),(30 12861710),(31 12843370),(32 12780935),(33 12725227),(34 12675388),(35 12626505),(36 12594023),(37 12564857),(38 12560605),(39 12558811),(40 12593378),(41 12656757),(42 12696565),(43 12758620),(44 12863405),(45 12977356),(46 13064478),(47 13123455),(48 13159722),(49 13145949),(50 13091021),(51 12973807),(52 12806444),(53 12625997),(54 12458445),(55 12289886),(56 12110739),(57 11927684),(58 11722196),(59 11516049),(60 11286597),(61 11050684),(62 10794684),(63 10480907),(64 10138083),(65 9778411),(66 9431893),(67 9094847),(68 8774548),(69 8482916),(70 8185609),(71 7919032.5),(72 7686909),(73 7501009),(74 7375864),(75 7314199),(76 7324800),(77 7359707.5),(78 7438143.5),(79 7538939.5),
(1 56911.47),(2 217507.38),(3 482622.22),(4 841022.44),(5 1288801),(6 1729373),(7 2265482),(8 2853264),(9 3495646.5),(10 4205988.5),(11 4954942.5),(12 5743125.5),(13 6548199),(14 7341433),(15 8110327.5),(16 8838405),(17 9518320),(18 10155698),(19 10718078),(20 11221433),(21 11650974),(22 12016768),(23 12325220),(24 12562219),(25 12716691),(26 12783469),(27 12781777),(28 12714072),(29 12585913),(30 12418533),(31 12255539),(32 12057472),(33 11879359),(34 11702842),(35 11550622),(36 11425315),(37 11321980),(38 11251527),(39 11218078),(40 11249012),(41 11305239),(42 11324890),(43 11357419),(44 11436729),(45 11498545),(46 11550904),(47 11560816),(48 11559482),(49 11525030),(50 11459342),(51 11366199),(52 11242772),(53 11141990),(54 11040305),(55 10889464),(56 10766818),(57 10661818),(58 10569249),(59 10496454),(60 10426882),(61 10350893),(62 10257913),(63 10132499),(64 9991157),(65 9839736),(66 9722224),(67 9644375),(68 9615836),(69 9630616),(70 9650827),(71 9715514),(72 9826997),(73 9969257),(74 10124919),(75 10281756),(76 10464010),(77 10621843),(78 10781581),(79 10943274),
(1 51488.113),(2 194262.11),(3 426195.16),(4 732025.7),(5 1104408.9),(6 1475036.8),(7 1910434.6),(8 2378052.3),(9 2872068.5),(10 3392706.8),(11 3923927.5),(12 4463373.5),(13 5000657),(14 5512404),(15 5988562),(16 6415810),(17 6789698),(18 7115773.5),(19 7371105),(20 7565627.5),(21 7700769),(22 7773406),(23 7790462),(24 7767797.5),(25 7710984),(26 7630074),(27 7525399),(28 7408718),(29 7292634),(30 7177775),(31 7082661.5),(32 6993922.5),(33 6937017),(34 6917297),(35 6950423),(36 7047668.5),(37 7204771),(38 7425021.5),(39 7672391),(40 7919941.5),(41 8152478),(42 8396768),(43 8643645),(44 8907482),(45 9144818),(46 9357828),(47 9519817),(48 9653132),(49 9726843),(50 9734962),(51 9685216),(52 9588940),(53 9465093),(54 9315569),(55 9161184),(56 9010788),(57 8881026),(58 8779702),(59 8705724),(60 8648324),(61 8604446),(62 8576140),(63 8555446),(64 8542743),(65 8549254),(66 8593486),(67 8692628),(68 8824208),(69 8974615),(70 9132426),(71 9306850),(72 9483394),(73 9666116),(74 9842313),(75 10009980),(76 10181476),(77 10348846),(78 10543957),(79 10750936),
(1 38768.543),(2 143874.27),(3 314602.72),(4 536775.1),(5 807207.75),(6 1069407),(7 1377755.5),(8 1706286),(9 2041518.6),(10 2387673),(11 2740227.8),(12 3097166),(13 3446047.3),(14 3771969),(15 4065898.3),(16 4320714),(17 4533783),(18 4710130.5),(19 4847693),(20 4935523),(21 4976437.5),(22 4957330),(23 4892962),(24 4798840.5),(25 4695756),(26 4594561.5),(27 4504020),(28 4432267.5),(29 4392552.5),(30 4387709),(31 4384300),(32 4434037.5),(33 4515300.5),(34 4626636),(35 4769501),(36 4951715),(37 5163093.5),(38 5401907),(39 5640776),(40 5864127),(41 6093718.5),(42 6335068),(43 6572951.5),(44 6803137),(45 6988725),(46 7121540),(47 7231680),(48 7310191),(49 7350717),(50 7364056),(51 7343219.5),(52 7305128.5),(53 7264679.5),(54 7229825),(55 7160779),(56 7149446.5),(57 7159751.5),(58 7194756),(59 7232520),(60 7272980.5),(61 7320754.5),(62 7392448),(63 7460602),(64 7501716),(65 7523966.5),(66 7558028),(67 7611875),(68 7665110.5),(69 7723494),(70 7796742),(71 7859463),(72 7925095.5),(73 7994432),(74 8076438.5),(75 8168996),(76 8270953.5),(77 8391966),(78 8529459),(79 8672813),
