1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 34968.973),(2 97114.29),(3 154136.38),(4 196907.72),(5 222149.34),(6 238227.05),(7 247200.66),(8 256849.8),(9 269050.25),(10 281353.97),(11 287894.13),(12 291860.44),(13 293928.56),(14 297999.66),(15 299792.06),(16 303733.75),(17 303282.8),(18 302860.13),(19 300621.34),(20 300816.16),(21 304783.3),(22 308017.44),(23 310433.25),(24 311219.72),(25 311769.72),(26 309537.84),(27 307090.1),(28 307803.56),(29 312814.9),(30 313760.2),(31 313446),(32 315292.53),(33 319471.2),(34 322188.38),(35 322428.78),(36 321727.16),(37 322372.06),(38 319401.1),(39 316929.25),(40 317563.44),(41 320656.1),(42 322097.9),(43 324927.2),(44 327008.47),(45 324868.63),(46 320042.1),(47 316530.5),(48 317198.22),(49 319639.88),(50 321212.3),(51 322477.5),(52 323445.1),(53 321023.84),(54 317222.25),(55 315437.2),(56 312956.8),(57 311414.9),(58 314676.6),(59 316700.9),(60 320010.4),(61 320128.56),(62 323197.6),(63 327603.22),(64 334013.78),(65 340576.3),(66 347783.44),(67 349616.38),(68 348645.84),(69 347911.44),(70 346707.3),(71 346297.56),(72 345870),(73 347670.38),(74 346064.53),(75 342200.16),(76 336500.5),(77 332685.75),(78 330853.78),(79 333200.44),
(1 34007.34),(2 93765.37),(3 149154.56),(4 190873.7),(5 217710.97),(6 236301.95),(7 247440.88),(8 255993.86),(9 262858.06),(10 272287),(11 279126.1),(12 281740),(13 282171.38),(14 281516.5),(15 280963.8),(16 281421.66),(17 279753.34),(18 279372.6),(19 280563.44),(20 282801.38),(21 285947.53),(22 285494.3),(23 287039.28),(24 288592.88),(25 292201.34),(26 293924.7),(27 296833.97),(28 299955.47),(29 302695.13),(30 306036.28),(31 308828.38),(32 308299),(33 306408.94),(34 302157.5),(35 301036.66),(36 301997.84),(37 301534.22),(38 300385.9),(39 301172.25),(40 301928.25),(41 304831.6),(42 305057.28),(43 308793.84),(44 314138.78),(45 318018.16),(46 317173.5),(47 316894.2),(48 317586.28),(49 318922.38),(50 321134.03),(51 321080.03),(52 322621.34),(53 323890.34),(54 325150.38),(55 324635.22),(56 324362.97),(57 322328.88),(58 321912.56),(59 323228.94),(60 323634.44),(61 321752.6),(62 323667.47),(63 325265.78),(64 325952.6),(65 326102.1),(66 323874.94),(67 322637.13),(68 321196.03),(69 319915.22),(70 316692.1),(71 312144.94),(72 307499.22),(73 305595.2),(74 304323.84),(75 302684.22),(76 301406.03),(77 300422.63),(78 299086.1),(79 299964.4),
(1 34506.22),(2 95613.55),(3 150689.23),(4 192162.61),(5 218190.73),(6 235521.84),(7 243323.4),(8 247776.3),(9 250374.72),(10 254550.3),(11 255839.19),(12 255198.97),(13 252633.42),(14 253092.31),(15 257463.47),(16 264982.72),(17 269945.9),(18 275082.2),(19 277651.06),(20 277995.7),(21 280147.16),(22 283745.47),(23 286497.63),(24 287009.88),(25 290461.44),(26 294111),(27 298890.1),(28 299242.94),(29 294970.53),(30 288974.75),(31 286874.34),(32 284881.8),(33 284340),(34 283068.22),(35 281298.53),(36 278506.03),(37 275253.9),(38 275758.13),(39 280383.72),(40 287996.72),(41 294874.03),(42 296606.25),(43 297520.13),(44 298222.38),(45 297381.06),(46 296540.2),(47 294093.53),(48 293965.5),(49 295792.84),(50 299873.97),(51 303641.03),(52 309419.75),(53 312807.8),(54 316293.53),(55 318756.28),(56 321129.97),(57 324232.3),(58 323966.7),(59 321863.3),(60 319355.5),(61 316408.03),(62 313475.8),(63 311839.22),(64 315598.03),(65 317259.28),(66 315319.5),(67 313196),(68 311632.03),(69 310313.1),(70 310808.25),(71 310991.25),(72 307945.44),(73 307170.1),(74 305325.34),(75 303517.44),(76 300322.97),(77 297119.7),(78 296067.6),(79 299069.1),
(1 35792.297),(2 100280.28),(3 160400.48),(4 201716.45),(5 221678.72),(6 231679.25),(7 236136.34),(8 239197.7),(9 239660.11),(10 241009.53),(11 241768.72),(12 241924.97),(13 240660.63),(14 244180.63),(15 249154.73),(16 257556.16),(17 262781.97),(18 266203.97),(19 266926.16),(20 266332.75),(21 267486.03),(22 268578.88),(23 269217),(24 270426.78),(25 276640.56),(26 284661),(27 291207.3),(28 292443.6),(29 292344.44),(30 291064.13),(31 291263.2),(32 290627.84),(33 289107.1),(34 286687.4),(35 284254.75),(36 282678.5),(37 284632.94),(38 285627.94),(39 287103.22),(40 285444.22),(41 285574.1),(42 285602.78),(43 287842.94),(44 290733.6),(45 290343.1),(46 289455.66),(47 286893.13),(48 290023.7),(49 293475.4),(50 296236.84),(51 295416.88),(52 294890.3),(53 296263.1),(54 296785.16),(55 297989.03),(56 303065.3),(57 306393.63),(58 303870.06),(59 300750.72),(60 296252.44),(61 293651.25),(62 293958.78),(63 292980.25),(64 292762.06),(65 290134.4),(66 287357.88),(67 285234.6),(68 286241.75),(69 287995.5),(70 289746.72),(71 291802.3),(72 292639.84),(73 291343.97),(74 290852.38),(75 292147.5),(76 292374.47),(77 293629.75),(78 293833.22),(79 294116.88),
(1 34175.285),(2 93144.72),(3 144502.28),(4 178471.89),(5 198801.05),(6 212738.56),(7 217319.78),(8 219734.19),(9 223429.13),(10 230632.22),(11 234678.11),(12 234393.08),(13 234609.52),(14 236739.89),(15 239949.33),(16 243562.5),(17 243607.1),(18 244462.78),(19 246186.25),(20 246507.05),(21 246480.84),(22 249434.56),(23 253499.34),(24 256872.73),(25 259877.22),(26 262373.13),(27 262881.16),(28 259366.31),(29 255925.1),(30 253237.72),(31 254235.3),(32 255888.66),(33 255818.83),(34 255174.11),(35 254273.48),(36 252822.03),(37 252870.44),(38 252294.36),(39 253258.81),(40 251900.1),(41 252387.06),(42 253282.33),(43 254725.27),(44 254862.13),(45 254451.47),(46 256164.1),(47 258737.8),(48 261982.23),(49 265471.4),(50 267621.84),(51 267338.75),(52 268474.28),(53 270369.78),(54 273962.34),(55 274935),(56 274897.6),(57 273299.44),(58 272657.25),(59 270726.53),(60 270093.53),(61 270508.28),(62 272294.6),(63 273816.28),(64 279491),(65 282146.63),(66 283753.7),(67 285306.13),(68 287934.2),(69 288769.8),(70 284474.1),(71 280443.4),(72 275981.1),(73 271456.28),(74 269056.47),(75 266922.2),(76 264729.88),(77 264398.3),(78 263996.06),(79 264082.2),
(1 33146.96),(2 90035.38),(3 139685.02),(4 175213.8),(5 197389.33),(6 212308.94),(7 219047.27),(8 223404.34),(9 226328.73),(10 230585.58),(11 232374.22),(12 232627.25),(13 231949.9),(14 233503.05),(15 235719.13),(16 237401.39),(17 236222.13),(18 236894.55),(19 238712.31),(20 240264.89),(21 240063.13),(22 239751.25),(23 242237.64),(24 247177.78),(25 250839.11),(26 253416.06),(27 251979.86),(28 248459.72),(29 245100),(30 245800.42),(31 249714.64),(32 252349.84),(33 252696.88),(34 251549.5),(35 253942.55),(36 259227.58),(37 261027.64),(38 257936.22),(39 254764.02),(40 252384.47),(41 255768.81),(42 257341.39),(43 261838),(44 265979.38),(45 267825.13),(46 270643.1),(47 271504.84),(48 272853.94),(49 275188.34),(50 276679.1),(51 276830.06),(52 278780.1),(53 277763.3),(54 275842.7),(55 271427.75),(56 267783.97),(57 262544.28),(58 259146.69),(59 255277.98),(60 253331.83),(61 255648.36),(62 257921.33),(63 260615.8),(64 262200.84),(65 260923.2),(66 263154.25),(67 264166.78),(68 263296.4),(69 264226.22),(70 265376.22),(71 267573.06),(72 266588.13),(73 263647.06),(74 262928.9),(75 266065.22),(76 268045.6),(77 268891.5),(78 267157.2),(79 268785.47),
(1 31814.94),(2 85444.16),(3 130682.734),(4 160624.72),(5 180335.33),(6 195867.02),(7 205119.19),(8 212165.98),(9 217620.67),(10 223502.98),(11 225217.22),(12 223710.02),(13 222757.86),(14 225590.03),(15 227562.03),(16 228890.11),(17 226339.05),(18 224342.22),(19 223208.39),(20 224529.97),(21 228368.81),(22 232226.61),(23 237173.78),(24 243341.22),(25 248549.06),(26 250820.94),(27 250243.14),(28 250428.08),(29 251876),(30 251357.22),(31 250281.66),(32 247486.2),(33 247373.94),(34 250033.5),(35 253211.89),(36 253296.84),(37 254305.39),(38 253682.73),(39 255063.38),(40 255016.33),(41 257099.83),(42 256689.98),(43 257912.66),(44 259999.05),(45 260133.58),(46 263070.03),(47 266891.5),(48 271090.97),(49 272089.38),(50 272066.53),(51 271378.66),(52 272176.88),(53 271231.7),(54 268792.6),(55 262239.4),(56 258040.33),(57 255425.47),(58 256044.36),(59 257112.72),(60 261098.03),(61 263399.5),(62 265991.3),(63 267434.9),(64 268150.6),(65 268345.1),(66 267372),(67 263066.56),(68 259010.4),(69 256340.19),(70 253519.14),(71 250956.66),(72 250030.25),(73 248485.3),(74 245803.25),(75 246287.61),(76 246419.94),(77 248172.88),(78 248963.36),(79 249995.14),
(1 31730.38),(2 85059.77),(3 131198.44),(4 162195),(5 180226.66),(6 193886.17),(7 199605.14),(8 201724.69),(9 202897.4),(10 205640.61),(11 208282.67),(12 212187.28),(13 217166.11),(14 225784.61),(15 229789.8),(16 233907.75),(17 235105.17),(18 235323.3),(19 233303.16),(20 231044.7),(21 229083.25),(22 228778.23),(23 230551.25),(24 233295.6),(25 237131.67),(26 241416.25),(27 246274.06),(28 247123.17),(29 249171.47),(30 251086.42),(31 253384.97),(32 252821.58),(33 254385.94),(34 255948.88),(35 258190.03),(36 259214.1),(37 259387.58),(38 257781.39),(39 257022.53),(40 256723.88),(41 258663.06),(42 257926.47),(43 255959.19),(44 253994.3),(45 253057.53),(46 255056.98),(47 256925.28),(48 257947.83),(49 259719.05),(50 261333.77),(51 259330.05),(52 257526.19),(53 256932.4),(54 257642.63),(55 256815.75),(56 254732.11),(57 251402.39),(58 251911.75),(59 254225.27),(60 256077.72),(61 253961.52),(62 251910.17),(63 248887.84),(64 247192.45),(65 245866.06),(66 244500.67),(67 245765.02),(68 248437.02),(69 249561.6),(70 248130.14),(71 246993.9),(72 245120.58),(73 244283.89),(74 242092.69),(75 239481.38),(76 236315.7),(77 235434.75),(78 235279.16),(79 236930.56),
(1 29553.174),(2 79252.414),(3 120822.25),(4 148833.94),(5 166244.4),(6 178312.97),(7 184650.34),(8 189752.6),(9 194366.27),(10 198613.34),(11 201711.31),(12 204217.27),(13 208227.63),(14 215443.94),(15 217887.9),(16 218090.98),(17 218230.73),(18 219533.42),(19 222923.56),(20 225690.92),(21 227886.66),(22 232046.2),(23 235552.78),(24 237027.53),(25 235920.52),(26 233629.63),(27 234521.33),(28 237346.47),(29 241056.1),(30 242465.75),(31 243707.08),(32 242242.83),(33 243021.4),(34 245375.4),(35 248657.02),(36 247385.31),(37 242518.4),(38 238981.48),(39 239571.3),(40 241330.86),(41 241461.16),(42 239546.22),(43 236104.16),(44 236174.58),(45 237596.7),(46 239174.94),(47 240570.38),(48 241608.88),(49 240131.05),(50 240994.31),(51 240815.3),(52 240067.31),(53 238031.61),(54 238182.5),(55 237938.73),(56 238161.9),(57 234684.02),(58 233500.19),(59 233226.92),(60 233743.9),(61 232609.52),(62 230273.42),(63 228225.9),(64 229239.44),(65 228821.16),(66 229750.03),(67 230292.44),(68 231161.2),(69 229500.39),(70 227025.55),(71 226591.03),(72 224351.3),(73 221726.66),(74 219484.17),(75 218863.8),(76 215782.06),(77 214627.7),(78 213477.23),(79 215022.92),
(1 29466.977),(2 77047.34),(3 117300.23),(4 145639.81),(5 162096.03),(6 173458.56),(7 179231.72),(8 181316.53),(9 182877.63),(10 185663.11),(11 186908.75),(12 187529.48),(13 188706.45),(14 192293.36),(15 194158.44),(16 198262.8),(17 200179.97),(18 201819.31),(19 202992.95),(20 204834.4),(21 208499.31),(22 211904.1),(23 213979.86),(24 213120.22),(25 212013.25),(26 210342.8),(27 210835.44),(28 211824.28),(29 214050),(30 215879.25),(31 218578.64),(32 220057.88),(33 221935.89),(34 220999.19),(35 220713.42),(36 220721.28),(37 220688.11),(38 220483.03),(39 222769.1),(40 223084.94),(41 223853.42),(42 221845.05),(43 220988.13),(44 220766.97),(45 221445.83),(46 223506.38),(47 225471.97),(48 228521.45),(49 230868.58),(50 234300.55),(51 235447.22),(52 235301.2),(53 234595.22),(54 235978.63),(55 235490.23),(56 234198.55),(57 231068.38),(58 230757.28),(59 232173.69),(60 234268.28),(61 233707.7),(62 234556.56),(63 233586.44),(64 232242.88),(65 227329.6),(66 226091.34),(67 226060.45),(68 227281.98),(69 227631.02),(70 226640.55),(71 226883.39),(72 225047.95),(73 225606.28),(74 223420.95),(75 223102.83),(76 223108.45),(77 223499.1),(78 222574.67),(79 222095.86),
(1 28891.56),(2 74895.21),(3 112465.65),(4 138442.39),(5 153705.34),(6 164963.28),(7 171688.14),(8 176179.73),(9 180195.97),(10 183836.23),(11 184199.89),(12 182252.33),(13 182527.72),(14 184989.86),(15 186724.69),(16 190678.3),(17 191673.98),(18 193122.97),(19 194181.73),(20 196016.56),(21 200583),(22 204097.92),(23 207021.17),(24 207386.38),(25 206277.06),(26 204980.73),(27 205892.38),(28 205830.83),(29 206954.63),(30 206676.73),(31 208277),(32 209628.78),(33 212557.63),(34 213341.97),(35 214008.72),(36 212363.6),(37 211729.83),(38 211273.89),(39 212107.52),(40 212598.2),(41 213180.42),(42 212641.86),(43 212270.78),(44 212244.44),(45 213877.63),(46 215524.77),(47 216672.89),(48 218458.8),(49 220880.39),(50 223422.97),(51 225997.1),(52 227100.67),(53 226302.81),(54 224503.52),(55 222118.64),(56 219705.36),(57 218052.73),(58 216693.7),(59 216955.2),(60 218947.83),(61 219287.58),(62 218994.6),(63 218412.33),(64 219433.23),(65 218428.42),(66 219727.9),(67 219989.64),(68 219651.92),(69 217524.67),(70 214796.03),(71 213482.89),(72 209573.73),(73 207203.47),(74 204885.81),(75 205211.22),(76 206124.52),(77 208631.78),(78 210568.22),(79 212050.63),
(1 28240.918),(2 75036.555),(3 112213.33),(4 137670.69),(5 154069.98),(6 166940.11),(7 173425.64),(8 177146.9),(9 179993.36),(10 183661.95),(11 184336.48),(12 185080.11),(13 186746.14),(14 190463.47),(15 193262.4),(16 196039.95),(17 195108.33),(18 195488.63),(19 199636.72),(20 202403.23),(21 204528.06),(22 205440.92),(23 207996.14),(24 207824.28),(25 208503.58),(26 208312.39),(27 207999.03),(28 206304.77),(29 206045.95),(30 204046.97),(31 206046.61),(32 206900.27),(33 207874.75),(34 208808.81),(35 210255.2),(36 209671.11),(37 210136.58),(38 212060.66),(39 212901.06),(40 213216.77),(41 215870.27),(42 215450.8),(43 214943.75),(44 215046.31),(45 215207.95),(46 214940.89),(47 215555.36),(48 217079.55),(49 217288.14),(50 218455.9),(51 219505.72),(52 219159.47),(53 216555.3),(54 214238.36),(55 212613.58),(56 213424.08),(57 211700.34),(58 209677.81),(59 207885.23),(60 208652.02),(61 207624.25),(62 205809.73),(63 204091.63),(64 204236.9),(65 204856.03),(66 208887.36),(67 209958.66),(68 210479.39),(69 209892.38),(70 209616.48),(71 210061.95),(72 209134.69),(73 209579.81),(74 209875.3),(75 212866.42),(76 214085.25),(77 214022.73),(78 213763.36),(79 214674.83),
(1 28246.008),(2 72847.1),(3 108345.375),(4 131500.19),(5 145138.47),(6 154680.64),(7 160268.9),(8 165030.7),(9 169232.45),(10 171173.77),(11 170642.86),(12 171853.17),(13 174981.28),(14 180769.13),(15 181258.81),(16 183214.34),(17 182963.9),(18 183929.17),(19 184958.98),(20 185412.97),(21 186722.64),(22 188428.73),(23 191711.27),(24 193524.58),(25 194826.39),(26 195844.83),(27 197706.89),(28 198698.28),(29 200438.81),(30 201410.02),(31 202202.23),(32 201705.17),(33 201776.34),(34 203591.7),(35 206583.55),(36 208801.5),(37 213372.97),(38 218723.39),(39 222339.95),(40 221748.61),(41 221916.3),(42 220888.92),(43 220139.97),(44 220073.4),(45 219609.77),(46 221578.5),(47 224110.67),(48 226752.3),(49 224191.16),(50 221880.86),(51 219315.64),(52 219726.13),(53 219971.52),(54 219959.47),(55 217527.14),(56 215888.55),(57 215752.64),(58 216717.8),(59 215280.48),(60 214282.19),(61 211827.02),(62 211812.75),(63 211688.98),(64 212178.39),(65 210333.9),(66 210754.69),(67 211102.81),(68 211126.88),(69 210736.34),(70 210064.38),(71 211060.4),(72 212083.92),(73 213839.28),(74 213137.19),(75 212998.88),(76 211478.03),(77 209836.7),(78 207443.86),(79 205998.61),
(1 26446.45),(2 68366.38),(3 102289.33),(4 125156.164),(5 140475.39),(6 151145.55),(7 157312.73),(8 162885.19),(9 167598.11),(10 170055.02),(11 169145.08),(12 171112.86),(13 173767.16),(14 177650.69),(15 177584.64),(16 177803.06),(17 177492.83),(18 177576.84),(19 178210.88),(20 178976.64),(21 178759.77),(22 178834),(23 180020.58),(24 180610.47),(25 182024.22),(26 184245.55),(27 187072.02),(28 188153.31),(29 188710.75),(30 188149.08),(31 189883.56),(32 192063.5),(33 191387.9),(34 193038.19),(35 196948.17),(36 199810.67),(37 203557.77),(38 205995.64),(39 208764.44),(40 209347.88),(41 213374.64),(42 214874.7),(43 213925.03),(44 212635.84),(45 211296.61),(46 211370.39),(47 211543.81),(48 212958.94),(49 213217.34),(50 212558.86),(51 211449.53),(52 211772.25),(53 209394.23),(54 206830.33),(55 204491.45),(56 204262.25),(57 204029.81),(58 203374.58),(59 201058.67),(60 198933.25),(61 197258.81),(62 197900.89),(63 197662.13),(64 196506.17),(65 193682.7),(66 190597.1),(67 187835.4),(68 186258.22),(69 184750.02),(70 182610.73),(71 182222.27),(72 184524.4),(73 186780.31),(74 186250.9),(75 186581.48),(76 186526.31),(77 187213.98),(78 186707.23),(79 188533.2),
(1 25725.188),(2 66578.234),(3 97126.65),(4 115832.12),(5 128423.6),(6 138151.61),(7 144441.61),(8 148642.56),(9 151872.78),(10 155637.19),(11 158113.08),(12 160930.16),(13 164671.75),(14 166213.58),(15 165230.33),(16 165915.25),(17 166314.53),(18 167045.02),(19 168565.17),(20 168454.89),(21 169030.61),(22 169575.98),(23 169959.69),(24 170695.56),(25 173921.4),(26 175683.52),(27 176555.16),(28 176543.9),(29 177415.6),(30 177704.22),(31 176491.95),(32 175900.48),(33 175264.92),(34 176881.03),(35 180534.23),(36 182140.45),(37 183997.16),(38 184385.4),(39 187515.64),(40 188883.39),(41 189902.14),(42 189404.53),(43 189798.31),(44 190388.02),(45 191500.3),(46 192173.72),(47 191829.58),(48 193818.97),(49 194600.5),(50 195129.67),(51 193665.53),(52 191822.9),(53 188567.28),(54 187435.83),(55 186913.16),(56 187894.83),(57 189483.95),(58 190120.3),(59 190608.53),(60 192288.31),(61 191987.72),(62 191705.98),(63 190964.34),(64 190951.97),(65 189801.77),(66 188403.52),(67 187339.52),(68 188081.81),(69 188142.72),(70 186702.97),(71 185536.3),(72 184850.1),(73 184547.4),(74 184437.28),(75 184724.64),(76 183280.6),(77 183925.58),(78 182888.84),(79 183358.19),
(1 26150.953),(2 67069.2),(3 98304.125),(4 118376.53),(5 130969.32),(6 139196.64),(7 142517.47),(8 145919.22),(9 149479.2),(10 153792.22),(11 156559.05),(12 159749.98),(13 161861.63),(14 164571.3),(15 163623.78),(16 165172.86),(17 165505.38),(18 165329.67),(19 165997.16),(20 165930),(21 168790.81),(22 172152.28),(23 174358.9),(24 173136.11),(25 172641.47),(26 170890.78),(27 169684.8),(28 168998.9),(29 169069.84),(30 170092.53),(31 170399.7),(32 168926.97),(33 170543.73),(34 172679.64),(35 175147.3),(36 176154.27),(37 176062.97),(38 175824.13),(39 176307.8),(40 176124.53),(41 176433.6),(42 176056),(43 175095.56),(44 175256.6),(45 174748.63),(46 174316.22),(47 173473.1),(48 174089.36),(49 172567.27),(50 173110.55),(51 174272.13),(52 176852.83),(53 177413.08),(54 177226.34),(55 176870.47),(56 176017.48),(57 174752.8),(58 174242.1),(59 173895.52),(60 175416.63),(61 176740.67),(62 177825.11),(63 177331.23),(64 177724.89),(65 177578.34),(66 177905.31),(67 177488.63),(68 179085.17),(69 179382.6),(70 180302.08),(71 181910.83),(72 181741.44),(73 180852.83),(74 180112.28),(75 180417.81),(76 178629.6),(77 179399.08),(78 178784.97),(79 179842.95),
(1 26169.605),(2 66903.71),(3 97972.83),(4 117207.58),(5 128421.1),(6 136999.02),(7 139545.48),(8 141301.13),(9 143504.61),(10 147362.9),(11 150329.06),(12 152684.58),(13 154190.42),(14 156753.75),(15 157624.36),(16 158621.16),(17 158484.14),(18 158805.42),(19 160710.64),(20 164601.69),(21 168200.84),(22 169286.45),(23 168662.2),(24 166202.55),(25 165523.25),(26 165773.75),(27 167542.81),(28 168287.78),(29 168393.05),(30 167455.63),(31 166864.75),(32 166341.47),(33 168938.58),(34 170797.05),(35 173241.8),(36 172958.56),(37 173184.9),(38 172402.08),(39 171836),(40 170757.16),(41 170044.8),(42 170447.25),(43 169850.61),(44 170165.19),(45 171076.94),(46 172105.4),(47 172202.34),(48 173128.06),(49 173431.44),(50 176053.34),(51 177240.52),(52 177058.83),(53 172518.8),(54 168467.19),(55 164946.78),(56 163312.1),(57 163404.84),(58 164500.53),(59 166454.13),(60 170067.56),(61 172622.66),(62 176777.2),(63 177386.14),(64 179407.06),(65 181219.95),(66 183506.39),(67 183121.86),(68 182152.77),(69 179784.53),(70 176558.03),(71 172613.02),(72 169802.77),(73 170169.83),(74 170760.84),(75 171334.39),(76 170255.14),(77 169790.34),(78 167748.06),(79 166923.48),
(1 24947.53),(2 64590.723),(3 95534.75),(4 115051.7),(5 126680.76),(6 135863.94),(7 141209.27),(8 146319.83),(9 150969.78),(10 154474.81),(11 155556.55),(12 157603.78),(13 158338.03),(14 160117.83),(15 158861.86),(16 158109.5),(17 158221.78),(18 159595.16),(19 163265.92),(20 164221.45),(21 165983.42),(22 167008.1),(23 166638.7),(24 166318.72),(25 166865.11),(26 165728.84),(27 164645.69),(28 163924.52),(29 164245.06),(30 162697.86),(31 162847.25),(32 161838),(33 163078.67),(34 164624.81),(35 168292.8),(36 169903.23),(37 171544.47),(38 171648.83),(39 173347.39),(40 173804.36),(41 174496.78),(42 174019.23),(43 174734.05),(44 175808.16),(45 176834.56),(46 178290.25),(47 177500.78),(48 177187.83),(49 177119.14),(50 178328.81),(51 181216.94),(52 182741.53),(53 181200.58),(54 179455.19),(55 176998.89),(56 176873.33),(57 178121.28),(58 179112.97),(59 179856.66),(60 182858.28),(61 184941.61),(62 187038.22),(63 185977.03),(64 186809.36),(65 184791.83),(66 182877.95),(67 180379.08),(68 179031.55),(69 177126.1),(70 173256),(71 169306.66),(72 165531.45),(73 164244.94),(74 163393.42),(75 162626.73),(76 160283.47),(77 158990.19),(78 158103.44),(79 158629.17),
(1 24877.807),(2 64248.758),(3 95281.02),(4 114664.97),(5 126471.305),(6 134385.94),(7 137940.95),(8 141011.56),(9 144221.95),(10 146790.1),(11 147303.52),(12 148475.27),(13 147991.56),(14 148621.95),(15 149555.22),(16 152153.56),(17 152068.22),(18 153670.75),(19 156749.34),(20 158178.98),(21 158697.02),(22 158591.42),(23 158570.73),(24 156707.13),(25 155684.28),(26 155891.19),(27 158799.17),(28 160399.17),(29 160903.27),(30 159461.58),(31 160333.64),(32 161927.25),(33 162027.83),(34 161989.45),(35 164943.64),(36 165071.72),(37 165720.6),(38 167189.38),(39 168853.27),(40 169680.73),(41 171098.75),(42 170878.88),(43 169855.31),(44 169836.22),(45 169635.61),(46 168882),(47 167973.55),(48 168551.95),(49 168159.67),(50 167588.9),(51 166006.88),(52 162503.66),(53 158911.47),(54 158143.22),(55 158664.11),(56 160280.11),(57 162665.52),(58 164295.11),(59 166612.81),(60 167035.97),(61 166423.86),(62 165043.4),(63 163373.25),(64 164689.55),(65 164129.27),(66 164045.83),(67 163806.7),(68 163888.39),(69 164376.69),(70 163159.38),(71 163064.31),(72 161550.4),(73 160053.4),(74 158540.25),(75 158834.3),(76 157645.52),(77 158597.5),(78 159075.52),(79 159114.81),
