1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 34232.207),(2 117364.46),(3 221668.5),(4 320175.25),(5 404889.6),(6 471223.63),(7 522392.6),(8 575768),(9 611407.5),(10 651792.5),(11 696796.75),(12 748987.8),(13 821563.2),(14 934927.5),(15 1059436.4),(16 1184310),(17 1287442.4),(18 1367263.8),(19 1432655.4),(20 1492218.4),(21 1545897),(22 1605119),(23 1682219.9),(24 1770726.4),(25 1867179.6),(26 1961145),(27 2042724),(28 2092953.6),(29 2086449.6),(30 2052590.4),(31 1992577.4),(32 1946993.6),(33 1916731.6),(34 1929008.6),(35 1958166.6),(36 2009547.9),(37 2059807.1),(38 2083767.9),(39 2086447),(40 2068922),(41 2059754.9),(42 2070429.1),(43 2059149.6),(44 2031802.6),(45 2023477),(46 2017431.1),(47 2013299.9),(48 2015496),(49 2014539.9),(50 2009233.9),(51 1997042.4),(52 1968032.6),(53 1944285.6),(54 1932884.1),(55 1931236.4),(56 1991231),(57 2089325.4),(58 2204451.3),(59 2336716),(60 2439818.5),(61 2554288.3),(62 2627868.3),(63 2646742.3),(64 2610703.3),(65 2566726),(66 2544991.3),(67 2553672.8),(68 2587613.5),(69 2646128),(70 2732782.3),(71 2830360),(72 2891836.3),(73 2904348.3),(74 2896806.8),(75 2893958.3),(76 2914952.3),(77 2931256.3),(78 2974509.3),(79 3047017.8),
(1 32968.574),(2 112173.58),(3 217583.72),(4 332399.56),(5 445371.56),(6 535893.4),(7 626236.2),(8 706983.4),(9 770834.9),(10 832094.56),(11 884682.4),(12 937115.5),(13 990932.8),(14 1074760.3),(15 1166755.5),(16 1260810.8),(17 1329758),(18 1384542.4),(19 1444058.8),(20 1495492.9),(21 1537678.4),(22 1586935.1),(23 1648512.6),(24 1706983),(25 1772372.4),(26 1840667.4),(27 1905698),(28 1954567.3),(29 1970808.4),(30 1994033),(31 2005915.6),(32 2025327.8),(33 2033478.8),(34 2034241),(35 2005992.4),(36 1955439),(37 1898912),(38 1847483.6),(39 1808691.4),(40 1783451.8),(41 1778427.3),(42 1793248.6),(43 1814454),(44 1810570.4),(45 1799058.3),(46 1768739),(47 1737504.8),(48 1715324.8),(49 1700346.8),(50 1698757.8),(51 1707774),(52 1728522.8),(53 1757371),(54 1772862.8),(55 1790077.3),(56 1835397.3),(57 1900177),(58 1960374),(59 2015528.8),(60 2074961.6),(61 2131478),(62 2194454.5),(63 2250517.5),(64 2283239.5),(65 2335695.5),(66 2416045),(67 2514779.5),(68 2605540.8),(69 2720376.5),(70 2862184.8),(71 3032036.8),(72 3178760.5),(73 3301415.5),(74 3426122.5),(75 3548865.3),(76 3674755.3),(77 3852524),(78 4073471.3),(79 4299151),
(1 32892.62),(2 117046.04),(3 229517.42),(4 350020.84),(5 466336.75),(6 549378.5),(7 605386.1),(8 635725.56),(9 659273.56),(10 691819.56),(11 739765.44),(12 806278.06),(13 877590.8),(14 963215.8),(15 1060706.6),(16 1170713.6),(17 1272198.4),(18 1364981.6),(19 1451464.4),(20 1532730.9),(21 1609300.9),(22 1705490.4),(23 1802457),(24 1902047),(25 2011814.9),(26 2143463.3),(27 2264742.5),(28 2381170),(29 2476487.8),(30 2561889.8),(31 2647867.8),(32 2741150),(33 2827312.3),(34 2906520),(35 2964841.8),(36 3024220.8),(37 3080662),(38 3147914),(39 3243437.3),(40 3375758.3),(41 3527186),(42 3682422),(43 3816201.3),(44 3917891.3),(45 3992198.3),(46 4043838),(47 4071696),(48 4115886),(49 4159322.8),(50 4246475.5),(51 4347478),(52 4503449),(53 4678212.5),(54 4824637),(55 4978884.5),(56 5169304),(57 5364491.5),(58 5570278.5),(59 5765178),(60 5937134.5),(61 6096726.5),(62 6254476),(63 6430828),(64 6614945.5),(65 6811037.5),(66 7037855.5),(67 7300560),(68 7567948.5),(69 7865945.5),(70 8175816.5),(71 8514698),(72 8829879),(73 9125705),(74 9419841),(75 9757101),(76 10062247),(77 10360009),(78 10674077),(79 10961856),
(1 32589.271),(2 117081.875),(3 239732.64),(4 378029.56),(5 520545.88),(6 643251.56),(7 744141.56),(8 823517.75),(9 897440),(10 983829.7),(11 1091256.1),(12 1212771.1),(13 1352740.6),(14 1499857.3),(15 1658937.5),(16 1826148.6),(17 1984437.4),(18 2133953),(19 2259761.3),(20 2382798.5),(21 2492311),(22 2617647.8),(23 2765949),(24 2924349.3),(25 3092623.8),(26 3287263.5),(27 3482159),(28 3665599.8),(29 3849282.8),(30 4042933.3),(31 4223641.5),(32 4410916),(33 4563780.5),(34 4696339.5),(35 4817352),(36 4905998),(37 4984541.5),(38 5048968),(39 5116189.5),(40 5184697),(41 5244919.5),(42 5346524.5),(43 5462155),(44 5569584),(45 5671910),(46 5776812.5),(47 5861122),(48 5935524.5),(49 5986526),(50 6031721),(51 6080217),(52 6148478),(53 6205239),(54 6278534),(55 6391281.5),(56 6538724.5),(57 6713988.5),(58 6903229.5),(59 7116690),(60 7329290.5),(61 7536842.5),(62 7755684.5),(63 7960327),(64 8116890.5),(65 8259689),(66 8410709),(67 8547884),(68 8693563),(69 8898652),(70 9178352),(71 9507156),(72 9861164),(73 10190411),(74 10518334),(75 10831195),(76 11071639),(77 11283595),(78 11503749),(79 11714841),
(1 36955.773),(2 130876.02),(3 268440.6),(4 429095.72),(5 599622.56),(6 761569.75),(7 906467.8),(8 1032236.56),(9 1152930.9),(10 1272227.1),(11 1407514.9),(12 1561095.9),(13 1734440.5),(14 1936441.5),(15 2153254.5),(16 2386874.3),(17 2596606.5),(18 2791534.5),(19 2952748.3),(20 3115444.8),(21 3250010.3),(22 3395299.8),(23 3561767.3),(24 3746266.3),(25 3947893.5),(26 4179408.3),(27 4423963.5),(28 4668859.5),(29 4898920),(30 5140579.5),(31 5374244),(32 5613186),(33 5821127),(34 6001412.5),(35 6175563.5),(36 6319050),(37 6464725),(38 6601651.5),(39 6765885),(40 6922491.5),(41 7038260.5),(42 7189937.5),(43 7337484.5),(44 7463608.5),(45 7586446.5),(46 7691918.5),(47 7785528.5),(48 7875856),(49 7962869),(50 8035160.5),(51 8101200),(52 8165074),(53 8180420.5),(54 8203605),(55 8244864),(56 8295221),(57 8364462.5),(58 8445495),(59 8576230),(60 8720326),(61 8876154),(62 9025920),(63 9148710),(64 9237939),(65 9321709),(66 9424704),(67 9519767),(68 9611105),(69 9758075),(70 9945348),(71 10186985),(72 10456305),(73 10693689),(74 10941651),(75 11188247),(76 11389764),(77 11584561),(78 11796338),(79 12017116),
(1 42145.863),(2 151393.78),(3 307241.66),(4 482826.9),(5 665022.5),(6 837213.06),(7 995766.5),(8 1140502.6),(9 1292398.8),(10 1453522.8),(11 1627801.1),(12 1817557.8),(13 2020914.8),(14 2236372.5),(15 2462116.5),(16 2703341.8),(17 2925267.5),(18 3137140.5),(19 3333949.3),(20 3535242.5),(21 3704348),(22 3884781.3),(23 4056698.5),(24 4243089.5),(25 4445543),(26 4654156),(27 4878561.5),(28 5126149),(29 5354849),(30 5586712),(31 5817573.5),(32 6025777),(33 6207130),(34 6404931.5),(35 6601201),(36 6829433),(37 7061951),(38 7277328),(39 7475384),(40 7673373.5),(41 7842773.5),(42 8018018.5),(43 8181489.5),(44 8338965),(45 8514661),(46 8690011),(47 8842083),(48 8998915),(49 9126783),(50 9230850),(51 9294205),(52 9334845),(53 9382659),(54 9456030),(55 9558813),(56 9681999),(57 9816515),(58 9951333),(59 10134389),(60 10344806),(61 10559021),(62 10782438),(63 10991584),(64 11202882),(65 11426330),(66 11615203),(67 11765106),(68 11905444),(69 12076293),(70 12260002),(71 12522292),(72 12805782),(73 13118360),(74 13480101),(75 13873579),(76 14228800),(77 14549362),(78 14906618),(79 15236339),
(1 44198.027),(2 158284.9),(3 314820.22),(4 482976.13),(5 651463.9),(6 801327.25),(7 930006.25),(8 1054993.3),(9 1185388.4),(10 1324626.8),(11 1486225.3),(12 1659033.3),(13 1847969.8),(14 2041053.3),(15 2239864.5),(16 2456448.5),(17 2666092.3),(18 2873034.5),(19 3085503.8),(20 3315262.8),(21 3531646.5),(22 3765526.5),(23 4000634.8),(24 4239889),(25 4485720),(26 4727395),(27 4974961.5),(28 5260026.5),(29 5523803),(30 5782523),(31 6016203),(32 6218346),(33 6396706),(34 6580690),(35 6765271),(36 6962279.5),(37 7180824),(38 7418571),(39 7680552),(40 7959337),(41 8188957),(42 8414124),(43 8609167),(44 8784712),(45 8968966),(46 9148137),(47 9331079),(48 9544670),(49 9756919),(50 9957764),(51 10122079),(52 10239655),(53 10347278),(54 10440545),(55 10528521),(56 10630907),(57 10767570),(58 10922774),(59 11100697),(60 11312782),(61 11481961),(62 11667850),(63 11869290),(64 12056498),(65 12249022),(66 12418902),(67 12532385),(68 12654542),(69 12760334),(70 12843554),(71 12933322),(72 13033216),(73 13150802),(74 13287147),(75 13462849),(76 13666800),(77 13863639),(78 14046693),(79 14206094),
(1 44753.035),(2 161696.5),(3 331028),(4 529429),(5 739155.2),(6 942090.8),(7 1137404.9),(8 1314910.8),(9 1497714),(10 1694656.5),(11 1918278),(12 2161260.8),(13 2438248),(14 2743579.5),(15 3058759.5),(16 3407779.8),(17 3745041),(18 4088311.5),(19 4435655),(20 4809014.5),(21 5149166.5),(22 5500361),(23 5859443.5),(24 6228349.5),(25 6609792.5),(26 6993757.5),(27 7392979),(28 7819683),(29 8228113),(30 8652610),(31 9062284),(32 9441282),(33 9795009),(34 10144306),(35 10471789),(36 10788919),(37 11100128),(38 11419502),(39 11741482),(40 12059607),(41 12349686),(42 12672487),(43 12961245),(44 13256722),(45 13558337),(46 13854062),(47 14113637),(48 14340548),(49 14509794),(50 14675686),(51 14820162),(52 14937511),(53 15032215),(54 15145171),(55 15239168),(56 15357891),(57 15501930),(58 15644892),(59 15790770),(60 15947970),(61 16095882),(62 16245883),(63 16343716),(64 16400017),(65 16414662),(66 16393660),(67 16366897),(68 16362358),(69 16376884),(70 16417099),(71 16480466),(72 16531388),(73 16543901),(74 16567983),(75 16582462),(76 16592353),(77 16617130),(78 16625997),(79 16623026),
(1 50745.31),(2 180464.39),(3 367353.47),(4 586207.94),(5 819649.25),(6 1054574.9),(7 1282921),(8 1507603.5),(9 1743982.9),(10 1987386.1),(11 2240214),(12 2516014),(13 2823257),(14 3163820.8),(15 3524317.5),(16 3904052.3),(17 4284058.5),(18 4677668.5),(19 5060773.5),(20 5452932),(21 5797947.5),(22 6118244.5),(23 6446100.5),(24 6783041),(25 7135393),(26 7516602.5),(27 7916036.5),(28 8354236),(29 8776538),(30 9190246),(31 9615170),(32 10023684),(33 10431765),(34 10862404),(35 11263168),(36 11650011),(37 12022332),(38 12367940),(39 12681275),(40 13017197),(41 13324328),(42 13667140),(43 14043375),(44 14430442),(45 14839778),(46 15262520),(47 15662777),(48 16040107),(49 16373830),(50 16701786),(51 16999484),(52 17268156),(53 17542526),(54 17831524),(55 18093620),(56 18344290),(57 18585616),(58 18806372),(59 19020992),(60 19249802),(61 19520110),(62 19785250),(63 20019344),(64 20194066),(65 20310294),(66 20373480),(67 20455272),(68 20547818),(69 20644024),(70 20765628),(71 20892868),(72 20999808),(73 21137186),(74 21283650),(75 21417324),(76 21543636),(77 21668066),(78 21767486),(79 21873092),
(1 46158.797),(2 161802.61),(3 325538.4),(4 511861.34),(5 702372.2),(6 878127.06),(7 1040026.75),(8 1188406.6),(9 1337792.5),(10 1495242.4),(11 1669310.5),(12 1859712.9),(13 2086439.1),(14 2340359),(15 2620082.3),(16 2921048),(17 3221683),(18 3531033.3),(19 3820096.5),(20 4111673.3),(21 4375580.5),(22 4652026),(23 4934664),(24 5231822),(25 5551731.5),(26 5885738),(27 6232396.5),(28 6610535),(29 6978283.5),(30 7333497.5),(31 7684042),(32 8007182),(33 8344210),(34 8687191),(35 9007230),(36 9328490),(37 9652153),(38 9938308),(39 10212250),(40 10492956),(41 10762172),(42 11053892),(43 11344274),(44 11640588),(45 11955677),(46 12263225),(47 12551106),(48 12843170),(49 13101380),(50 13384788),(51 13701356),(52 14000374),(53 14295077),(54 14579980),(55 14826840),(56 15058299),(57 15262990),(58 15435003),(59 15626290),(60 15848100),(61 16104857),(62 16350684),(63 16576658),(64 16752032),(65 16857520),(66 16893496),(67 16904220),(68 16940078),(69 16993804),(70 17097816),(71 17202662),(72 17306858),(73 17378548),(74 17414384),(75 17438486),(76 17453906),(77 17453106),(78 17460398),(79 17478992),
(1 45098.58),(2 159560.78),(3 320444.47),(4 495678.6),(5 668166.06),(6 820973.94),(7 955646.94),(8 1071451.6),(9 1195174.5),(10 1319826.1),(11 1463983),(12 1631003.4),(13 1837029.4),(14 2079134.4),(15 2364377),(16 2681297),(17 3002466.8),(18 3330668.5),(19 3613425.5),(20 3897732.3),(21 4158128.5),(22 4421098),(23 4679797.5),(24 4938650.5),(25 5218483.5),(26 5504031.5),(27 5812485.5),(28 6158508),(29 6497512),(30 6838677),(31 7191322.5),(32 7531178.5),(33 7892580),(34 8257129.5),(35 8606229),(36 8911447),(37 9208505),(38 9479176),(39 9758140),(40 10072897),(41 10388411),(42 10716177),(43 11044429),(44 11354355),(45 11654705),(46 11920485),(47 12151985),(48 12379630),(49 12557026),(50 12760763),(51 12987124),(52 13184777),(53 13366139),(54 13551460),(55 13719557),(56 13881270),(57 14020609),(58 14150946),(59 14255435),(60 14363998),(61 14474549),(62 14567377),(63 14674788),(64 14755256),(65 14830078),(66 14881162),(67 14913907),(68 14965159),(69 15016552),(70 15076399),(71 15120510),(72 15136659),(73 15138808),(74 15130506),(75 15119030),(76 15090462),(77 15067914),(78 15072734),(79 15072308),
